challenge_mode.msbt
Challenge_Title_001	Acorn Plains Speed Run
Challenge_Message2_032	Two coins
Challenge_Message3_032	Zero coins
Challenge_Title_033	Spine Coaster Coin Cruise
Challenge_Content_033	Collect as many coins as you can, and reach the goal.
Challenge_Message1_033	120 coins
Challenge_Message2_033	130 coins
Challenge_Message3_033	140 coins
Challenge_Title_034	Don't. Touch. Anything.
Challenge_Content_034	Reach the goal, but don't hurt enemies or collect coins!\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends if you collect six or more coins.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_034	Five coins
Challenge_Message2_034	Two coins
Challenge_Message3_034	Zero coins
Challenge_Title_035	Triple-Jump for Coins
Challenge_Content_035	Use the triple jump to collect coins, and reach the goal.
Challenge_Message1_035	75 coins
Challenge_Message2_035	82 coins
Challenge_Message3_035	86 coins
Challenge_Title_037	200 Clifftop Coins
Challenge_Content_037	Collect as many coins as you can, and reach the goal.
Challenge_Message1_037	160 coins
Challenge_Message2_037	195 coins
Challenge_Message3_037	200 coins
Challenge_Title_039	Lakitu's Cloud Heist
Challenge_Content_039	Commandeer Lakitu's cloud, and use it to collect coins.
Challenge_Message1_039	120 coins
Challenge_Message2_039	130 coins
Challenge_Message3_039	140 coins
Challenge_Title_040	The Haunted Propeller
Challenge_Content_040	Reach the goal ring in propeller form in 50.00 or less.
Challenge_Message1_040	50.00 or less
Challenge_Message2_040	30.00 or less
Challenge_Message3_040	23.00 or less
Challenge_Title_041	Nonstop Flight
Challenge_Content_041	Use your Flying Squirrel powers to reach the goal\nwithout touching the ground.
Challenge_Message1_041	-
Challenge_Message2_041	-
Challenge_Message3_041	Clear!
Challenge_Title_044	Bullet Bill 1-Up Bounce
Challenge_Content_044	Jump on enemies without touching the ground to\nearn 1-Ups.
Challenge_Message1_044	1-Up
Challenge_Message2_044	20-Up
Challenge_Message3_044	60-Up
Challenge_Title_045	Airship 1-Up Rally
Challenge_Content_045	Jump on enemies and cannonballs without touching the\nground to earn 1-Ups.
Challenge_Message1_045	10-Up
Challenge_Message2_045	15-Up
Challenge_Message3_045	20-Up
Challenge_Title_048	Stone-Eye Koopas
Challenge_Content_048	Jump on enemies without touching the ground to earn\n1-Ups.
Challenge_Message1_048	1-Up
Challenge_Message2_048	15-Up
Challenge_Message3_048	30-Up
Challenge_Title_049	Star Connection
Challenge_Content_049	Topple enemies with consecutive\nSuper Stars, and rack up the 1-Ups.
Challenge_Message1_049	60-Up
Challenge_Message2_049	70-Up
Challenge_Message3_049	77-Up
Challenge_Title_057	Larry's Groundless Battle
Challenge_Content_057	Defeat Larry Koopa without touching the ground.
Challenge_Message1_057	-
Challenge_Message2_057	-
Challenge_Message3_057	Clear!
Challenge_Title_058	Be Gentle to Giants
Challenge_Content_058	Reach the goal without damaging enemies.\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends if you damage enemies three times.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_058	Damaged twice
Challenge_Message2_058	Damaged once
Challenge_Message3_058	No damage
Challenge_Title_059	Marathon Glide
Challenge_Content_059	Use your Flying Squirrel powers to reach the goal\nwithout touching solid ground.
Challenge_Message1_059	-
Challenge_Message2_059	-
Challenge_Message3_059	Clear!
Challenge_Title_064	Big Air at Sundown
Challenge_Content_064	Reach the goal in mini form without using the\nSnake Blocks.
Challenge_Message1_064	-
Challenge_Message2_064	-
Challenge_Message3_064	Clear!
Challenge_Title_067	No Climbing Allowed
Challenge_Content_067	Reach the goal ring in mini form.
Challenge_Message1_067	-
Challenge_Message2_067	-
Challenge_Message3_067	Clear!
Challenge_Title_068	Elevator Out of Service
Challenge_Content_068	Reach the goal ring without using the lift.
Challenge_Message1_068	-
Challenge_Message2_068	-
Challenge_Message3_068	Clear!
Challenge_Title_069	Express Elevator
Challenge_Content_069	Reach the goal ring in ice form without letting enemies\nor coins touch the lift.
Challenge_Message1_069	-
Challenge_Message2_069	-
Challenge_Message3_069	Clear!
Challenge_Title_070	Mole to Goal Returns
Challenge_Content_070	Let Monty Mole onto the lift, and get him to the goal.
Challenge_Message1_070	-
Challenge_Message2_070	-
Challenge_Message3_070	Clear!
Challenge_Title_071	Seriously! Fire, Bro!
Challenge_Content_071	Dodge the fireballs for 15.00 or longer.
Challenge_Message1_071	15.00 or longer
Challenge_Message2_071	25.00 or longer
Challenge_Message3_071	40.00 or longer
Challenge_Title_085	The Boo Ballet
Challenge_Content_085	Reach the goal in 40.00 or less.
Challenge_Message1_085	40.00 or less
Challenge_Message2_085	24.00 or less
Challenge_Message3_085	15.00 or less
Challenge_Title_086	The Boo-Ballet Encore
Challenge_Content_086	Reach the goal in 40.00 or less while in mini form.
Challenge_Message1_086	40.00 or less
Challenge_Message2_086	24.00 or less
Challenge_Message3_086	15.00 or less
Challenge_Title_088	Big Goomba Bounce Bash
Challenge_Content_088	Jump on enemies without touching the ground\nto earn 1-Ups.
Challenge_Message1_088	14-Up
Challenge_Message2_088	16-Up
Challenge_Message3_088	18-Up
Challenge_Title_089	Full Speed Ahead
Challenge_Content_089	Reach the goal in 40.00 or less.
Challenge_Message1_089	40.00 or less
Challenge_Message2_089	33.00 or less
Challenge_Message3_089	30.00 or less
Challenge_Title_090	Paratroopa Panic
Challenge_Content_090	Jump on the Paratroopas without touching the ground\nto earn 1-Ups.
Challenge_Message1_090	4-Up
Challenge_Message2_090	6-Up
Challenge_Message3_090	8-Up
Challenge_Title_091	The Goombrat Stomp
Challenge_Content_091	Jump on the Goombrats without touching the ground to\nearn 1-Ups.
Challenge_Message1_091	1-Up
Challenge_Message2_091	2-Up
Challenge_Message3_091	3-Up
Challenge_Title_093	Penguin vs. Torpedo
Challenge_Content_093	Pass through the goal ring in penguin form\nin 60.00 or less.
Challenge_Message1_093	60.00 or less
Challenge_Message2_093	50.00 or less
Challenge_Message3_093	45.00 or less
Challenge_Title_095	Bubble Up
Challenge_Content_095	Use Baby Yoshi's bubbles to reach the goal ring.
Challenge_Message1_095	-
Challenge_Message2_095	-
Challenge_Message3_095	Clear!
Challenge_Title_097	Dark Dark Coaster
Challenge_Content_097	Collect as many coins as you can, and reach the goal.
Challenge_Message1_097	150 coins
Challenge_Message2_097	168 coins
Challenge_Message3_097	175 coins
Challenge_Title_098	Bowser's Airship Sneak
Challenge_Content_098	Reach the goal ring without hurting any enemies,\ntouching any cannonballs, or collecting any coins!
Challenge_Message1_098	-
Challenge_Message2_098	-
Challenge_Message3_098	Clear!
Challenge_Title_100	Castle Crawl
Challenge_Content_100	Reach the goal ring without dashing.
Challenge_Message1_100	-
Challenge_Message2_100	-
Challenge_Message3_100	Clear!
Challenge_Title_101	Cashless Castle Crawl
Challenge_Content_101	Reach the goal ring without dashing or collecting coins.\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends if you collect six or more coins.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_101	Five coins
Challenge_Message2_101	Two coins
Challenge_Message3_101	Zero coins
Challenge_Title_102	Hot-Air Yoshi Ride
Challenge_Content_102	Collect all the coins in 50.00 or less.
Challenge_Message1_102	50.00 or less
Challenge_Message2_102	38.00 or less
Challenge_Message3_102	30.00 or less
Challenge_Title_104	Rickety Sprint
Challenge_Content_104	Reach the goal in 75.00 or less.
Challenge_Message1_104	75.00 or less
Challenge_Message2_104	63.00 or less
Challenge_Message3_104	58.00 or less
Challenge_Title_107	Swing into Action
Challenge_Content_107	Reach the goal in 75.00 or less.
Challenge_Message1_107	75.00 or less
Challenge_Message2_107	70.00 or less
Challenge_Message3_107	65.00 or less
Challenge_Title_109	The Trial of Bullet Bill Hill
Challenge_Content_109	Collect the Star Coin.
Challenge_Message1_109	-
Challenge_Message2_109	-
Challenge_Message3_109	Clear!
Challenge_Title_112	Attack of the Bob-ombs
Challenge_Content_112	Collect all the coins in 100.00 or less.
Challenge_Message1_112	100.00 or less
Challenge_Message2_112	65.00 or less
Challenge_Message3_112	50.00 or less
Challenge_Title_114	Spin Jump, Get Dizzy
Challenge_Content_114	Stomp on enemies using only the Spin Jump without\ntouching the ground to earn 1-Ups.
Challenge_Message1_114	3-Up
Challenge_Message2_114	7-Up
Challenge_Message3_114	14-Up
Challenge_Title_115	Penguin Bowling
Challenge_Content_115	Slide across the ice, without stopping, and defeat\nenemies to earn 1-Ups.
Challenge_Message1_115	25-Up
Challenge_Message2_115	30-Up
Challenge_Message3_115	32-Up
Challenge_Title_118	Balancing Act
Challenge_Content_118	Jump on the Wobble Rock to keep your balance for\n15.00 or longer.
Challenge_Message1_118	15.00 or longer
Challenge_Message2_118	40.00 or longer
Challenge_Message3_118	60.00 or longer
Challenge_Title_119	Goomba Bounce Bash
Challenge_Content_119	Jump on enemies without touching the ground to earn\n1-Ups.
Challenge_Message1_119	1-Up
Challenge_Message2_119	20-Up
Challenge_Message3_119	40-Up
Challenge_Title_122	Three Dry Bones
Challenge_Content_122	Jump on the enemies without touching the ground to\nearn 1-Ups!
Challenge_Message1_122	1-Up
Challenge_Message2_122	15-Up
Challenge_Message3_122	30-Up
Challenge_Title_123	Mini Mountaineer
Challenge_Content_123	Reach the goal ring in 100.00 or less without touching\nthe ground in mini form!
Challenge_Message1_123	100.00 or less
Challenge_Message2_123	40.00 or less
Challenge_Message3_123	25.00 or less
Challenge_Title_124	Time Attack Trial
Challenge_Content_124	Dash to reach the goal in 35.00 or less.
Challenge_Message1_124	35.00 or less
Challenge_Message2_124	25.00 or less
Challenge_Message3_124	21.00 or less
Challenge_Title_126	Wobble and Rock
Challenge_Content_126	Stay on the Wobble Rock as long as possible without\njumping.
Challenge_Message1_126	10.00 or longer
Challenge_Message2_126	20.00 or longer
Challenge_Message3_126	30.00 or longer
Challenge_Title_128	Graceful Glide
Challenge_Content_128	Earn 1-Ups and reach the goal without touching the\nground in Flying Squirrel form.
Challenge_Message1_128	0-Up
Challenge_Message2_128	1-Up
Challenge_Message3_128	5-Up
Challenge_Title_129	Fire, Bro!
Challenge_Content_129	Dodge the fireballs for 15.00 or longer.
Challenge_Message1_129	15.00 or longer
Challenge_Message2_129	25.00 or longer
Challenge_Message3_129	40.00 or longer
Challenge_Title_130	Mole to Goal
Challenge_Content_130	Let Monty Mole onto the lift, and get him to the goal.
Challenge_Message1_130	-
Challenge_Message2_130	-
Challenge_Message3_130	Clear!
Challenge_Title_132	Stingy Big Piranha Plants
Challenge_Content_132	Reach the goal ring, collecting as few coins as possible.\n&#xE;&#x0;&#x2;&#x2;K&#x0;*Challenge ends if you collect six or more coins.&#xE;&#x0;&#x2;&#x2;d&#x0;
Challenge_Message1_132	Five coins
Challenge_Message2_132	Two coins
Challenge_Message3_132	Zero coins
course_name.msbt
CourseName_1-1	Acorn Plains Way
CourseName_1-2	Tilted Tunnel
CourseName_1-3	Yoshi Hill
CourseName_1-4	Mushroom Heights
CourseName_1-5	Rise of the Piranha Plants
CourseName_1-TOWER1	Crushing-Cogs Tower
CourseName_1-CASTLE	Lemmy's Swingback Castle
CourseName_SECRET-SECRET1	Blooper's Secret Lair
CourseName_2-1	Stone-Eye Zone
CourseName_2-2	Perilous Pokey Cave
CourseName_2-3	Fire Snake Cavern
CourseName_2-4	Spike's Spouting Sands
CourseName_2-5	Dry Desert Mushrooms
CourseName_2-6	Blooming Lakitus
CourseName_2-TOWER1	Stoneslide Tower
CourseName_2-CASTLE	Morton's Compactor Castle
CourseName_SECRET-SECRET2	Piranha Plants on Ice
CourseName_3-1	Waterspout Beach
CourseName_3-2	Tropical Refresher
CourseName_3-3	Above the Cheep Cheep Seas
CourseName_3-4	Urchin Shoals
CourseName_3-5	Dragoneel's Undersea Grotto
CourseName_3-GHOST	Haunted Shipwreck
CourseName_3-TOWER1	Giant Skewer Tower
CourseName_3-CASTLE	Larry's Torpedo Castle
CourseName_SECRET-SECRET3	Skyward Stalk
CourseName_4-1	Spinning-Star Sky
CourseName_4-2	Cooligan Fields
CourseName_4-3	Prickly Goombas!
CourseName_4-4	Scaling the Mountainside
CourseName_4-5	Icicle Caverns
CourseName_4-GHOST	Swaying Ghost House
CourseName_4-TOWER1	Freezing-Rain Tower
CourseName_4-CASTLE	Wendy's Shifting Castle
CourseName_SECRET-SECRET4	Fliprus Lake
CourseName_5-1	Jungle of the Giants
CourseName_5-2	Bridge over Poisoned Waters
CourseName_5-3	Bramball Woods
CourseName_5-4	Painted Swampland
CourseName_5-5	Deepsea Ruins
CourseName_5-6	Seesaw Bridge
CourseName_5-7	Wiggler Stampede
CourseName_5-GHOST	Which-Way Labyrinth
CourseName_5-TOWER1	Snake Block Tower
CourseName_5-CASTLE	Iggy's Volcanic Castle
CourseName_SECRET-SECRET5	Flight of the Para-Beetles
CourseName_5-AIRSHIP	The Mighty Cannonship
CourseName_6-1	Fuzzy Clifftop
CourseName_6-2	Porcupuffer Falls
CourseName_6-3	Waddlewing's Nest
CourseName_6-4	Light Blocks, Dark Tower
CourseName_6-5	Walking Piranha Plants!
CourseName_6-6	Thrilling Spine Coaster
CourseName_6-7	Shifting-Floor Cave
CourseName_6-TOWER1	Grinding-Stone Tower
CourseName_6-TOWER2	Screwtop Tower
CourseName_6-CASTLE	Roy's Conveyor Castle
CourseName_7-1	Land of Flying Blocks
CourseName_7-2	Seesaw Shrooms
CourseName_7-3	Switchback Hill
CourseName_7-4	Bouncy Cloud Boomerangs
CourseName_7-5	A Quick Dip in the Sky
CourseName_7-6	Snaking above Mist Valley
CourseName_7-GHOST	Spinning Spirit House
CourseName_7-TOWER1	Slide Lift Tower
CourseName_7-CASTLE	Ludwig's Clockwork Castle
CourseName_7-AIRSHIP	Boarding the Airship
CourseName_8-1	Meteor Moat
CourseName_8-2	Magma-River Cruise
CourseName_8-3	Rising Tides of Lava
CourseName_8-4	Firefall Cliffs
CourseName_8-CASTLE	Red-Hot Elevator Ride
CourseName_8-CASTLE2	The Final Battle
CourseName_9-1	Spine-Tingling Spine Coaster
CourseName_9-2	Run for It
CourseName_9-3	Swim for Your Life!
CourseName_9-4	Hammerswing Caverns
CourseName_9-5	Spinning Platforms of Doom
CourseName_9-6	Fire Bar Cliffs
CourseName_9-7	Lakitu! Lakitu! Lakitu!
CourseName_9-8	Pendulum Castle
CourseName_9-9	Follow That Shell!
course_name_R-Dash.msbt
CourseName_1-1	Waddlewing Warning!
CourseName_1-2	Crooked Cavern
CourseName_1-3	Rolling Yoshi Hills
CourseName_1-4	Piranha Heights
CourseName_1-5	Piranha Gardens
CourseName_1-TOWER1	Flame-Gear Tower
CourseName_1-CASTLE	Lemmy's Lights-Out Castle
CourseName_SECRET-SECRET1	Cheep Chomp Chase
CourseName_2-1	Spike's Tumbling Desert
CourseName_2-2	Underground Grrrols
CourseName_2-3	Piranhas in the Dark
CourseName_2-4	The Walls Have Eyes
CourseName_2-5	Stone Spike Conveyors
CourseName_2-6	Spinning Sandstones
CourseName_2-TOWER1	Wind-Up Tower
CourseName_2-CASTLE	Morton's Lava-Block Castle
CourseName_SECRET-SECRET2	Slippery Rope Ladders
CourseName_3-1	Huckit Beach Resort
CourseName_3-2	Urchin Reef Romp
CourseName_3-3	Waterspout Sprint
CourseName_3-4	The Great Geysers
CourseName_3-5	Dragoneel Depths
CourseName_3-GHOST	Haunted Cargo Hold
CourseName_3-TOWER1	Shish-Kebab Tower
CourseName_3-CASTLE	Larry's Trigger-Happy Castle
CourseName_SECRET-SECRET3	Beanstalk Jungle
CourseName_4-1	Broozers and Barrels
CourseName_4-2	Cooligan Shrooms
CourseName_4-3	Fire and Ice
CourseName_4-4	Weighty Waddlewings
CourseName_4-5	Ice-Slide Expressway
CourseName_4-GHOST	Peek-a-Boo Ghost House
CourseName_4-TOWER1	Icicle Tower
CourseName_4-CASTLE	Wendy's Thwomp Castle
CourseName_SECRET-SECRET4	Fliprus Floes
CourseName_5-1	Giant Swing-Along
CourseName_5-2	Dancing Blocks, Poison Swamp
CourseName_5-3	Heart of Bramball Woods
CourseName_5-4	Painted Pipeworks
CourseName_5-5	Deepsea Stone-Eyes
CourseName_5-6	Sumo Bro Bridge
CourseName_5-7	Wiggler Floodlands
CourseName_5-GHOST	Boo's Favorite Haunt
CourseName_5-TOWER1	Stone-Snake Tower
CourseName_5-CASTLE	Iggy's Swinging-Chains Castle
CourseName_SECRET-SECRET5	Para-Beetle Parade
CourseName_5-AIRSHIP	All Aboard!
CourseName_6-1	Mount Fuzzy
CourseName_6-2	Porcupuffer Cavern
CourseName_6-3	Spike's Seesaws
CourseName_6-4	Light-Up-Lift Tower
CourseName_6-5	Rising Piranhas
CourseName_6-6	Spine Coaster Stowaways
CourseName_6-7	Switch-Lift Express
CourseName_6-TOWER1	Smashing-Stone Tower
CourseName_6-TOWER2	Sumo Bro's Spinning Tower
CourseName_6-CASTLE	Roy's Ironclad Castle
CourseName_7-1	Frozen Fuzzies
CourseName_7-2	Wiggler Rodeo
CourseName_7-3	Rainbow Skywalk
CourseName_7-4	Above the Bouncy Clouds
CourseName_7-5	Flame Chomp Ferris Wheel
CourseName_7-6	Three-Headed Snake Block
CourseName_7-GHOST	Vanishing Ghost House
CourseName_7-TOWER1	Stonecrush Tower
CourseName_7-CASTLE	Ludwig's Block-Press Castle
CourseName_7-AIRSHIP	Bowser Jr. Showdown
CourseName_8-1	Magma Moat
CourseName_8-2	Magmaw River Cruise
CourseName_8-3	Hot Cogs
CourseName_8-4	Firefall Rising
CourseName_8-CASTLE	Current Event
CourseName_8-CASTLE2	The Final Battle
CourseName_9-1	Spine Coaster Connections
CourseName_9-2	P Switch Peril
CourseName_9-3	Star Coin Deep Dive
CourseName_9-4	Hammerswing Hangout
CourseName_9-5	Under Construction
CourseName_9-6	Fire Bar Sprint
CourseName_9-7	Cloudy Capers
CourseName_9-8	Impossible Pendulums
CourseName_9-9	Flying Squirrel Ovation
Help.msbt
Help_Index_00	Hints
Help_PageNum_00	&#xE;&#xD;&#x1;&#x2;&#x0;&#x2;/&#xE;&#xD;&#x1;&#x2;&#x1;&#x2;
Help_Text_00	Shake the controller or press &#xE;&#x11;&#x10;&#x2;3&#x0;\nto do a Spin Jump.
Help_Text_01	Press &#xE;&#x11;&#xF;&#x2;2&#x0;+&#xE;&#x11;&#x10;&#x2;3&#x0; to enter a bubble while playing\nStory Mode with 2 - 4 players.
Help_Text_02	While in a bubble, you cannot take damage.\nShake the controller to move closer to other players.
Help_Text_03	In Story Mode, the game is saved when you clear a &#xE;&#x11;&#x18;&#x2;@&#x0; or &#xE;&#x11;&#x19;&#x2;A&#x0;, etc.\nYou can perform a quick save from the map screen at any time.
Help_Text_04	Touch a Checkpoint Flag and you'll continue from that point if\nyou lose a life. This will reset if you play a different level.
Help_Text_05	If you fail the same course five times, a Super Guide Block will\nappear. Hit it to see a demonstration of how to clear the course.
Help_Text_06	Stages cleared using Super Guide are marked with &#xE;&#x11;&#x6;&#x2;j&#x0;. You can\ngo on to play later stages, but that stage won't be fully cleared.
Help_Text_07	Stages cleared while playing alone as Nabbit are marked with &#xE;&#x11;$&#x2;i&#x0;.\nYou can play later stages, but that stage won't be fully cleared.
Help_Text_08	Contact with enemies does not damage Nabbit,\nand he does not transform if he picks up items.
Help_Text_09	Blocks hit by Toadette will produce 3-Up Moons\ninstead of 1-Up Mushrooms.
Help_Text_10	Toadette will transform into Peachette when she picks up\na Super Crown. Only Toadette can pick up Super Crowns.
Help_Text_11	The course timer is increased by 100 for Toadette and Nabbit.
Help_Text_12	While in water, Toadette and Nabbit can be moved\nfreely using &#xE;&#x11;&#x1;&#x2;"&#x0;.
Help_Text_13	Toadette and Nabbit are less prone to skidding,\ncompared to the other characters.
Help_Text_14	Toadette and Nabbit cannot be used in challenges.
Help_Text_15	You can play as a Mii in challenges, as well as Boost Rush\nand Coin Battle.
Help_Text_16	In New Super Luigi U you can jump higher, but you are more\nprone to skidding (compared to New Super Mario Bros. U).
message.msbt
PaCharacterSelector_Decide_00	Confirm
CharacterSelectBtn_Cancel_00	Quit
CharacterSelect_Text_00	Choose a character!
CharacterSelect_Text_01	Is this OK?
CharacterSelect_CapText_00	Hat / No Hat
CharacterSelectPos_BtnR_00	OK
CharacterSelectPos_BtnL_00	Cancel
CharacterSelectPos_BtnR_01	Free-for-All
CharacterSelectPos_BtnL_01	Team Battle
PaCharacterSelector_ZankiX_00	×
PaCharacterSelector_Zanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
MiiSelectBtn_Page_00	&#xE;&#xF;&#x0;&#x2;&#x0;&#x1;/&#xE;&#xF;&#x0;&#x2;&#x1;&#x1;
PaCharacterSelector_NameLuigi_00	Luigi
PaCharacterSelector_BalloonKinopiko_00	Easier
PaCharacterSelector_BalloonTotten_00	Easiest
PaCharacterSelector_NameMario_00	Mario
PaCharacterSelector_NameKino_00	Toad
PaCharacterSelector_NameKinopiko_00	Toadette
PaCharacterSelector_NameTotten_00	Nabbit
PaCharacterSelector_NameMii_00	Mii
PreGameStory_WorldCourse_00	&#xE;&#x13;&#x0;&#x0;-&#xE;&#x12;&#x1;&#x0;
PreGameStory_WorldName_00	&#xE;&#x13;&#x1;&#x0;
PreGameStory_WorldNameDL_00	&#xE;&#x13;&#x1;&#x0;
PreGameStory_X_00	×
PreGameStory_Zanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PreGameStory_ModelPlay_00	Super Guide
PointGet_Coin_00	×&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PointGet_1UP_00	&#xE;&#xD;&#x2;&#x2;&#x0;&#x3;UP
PointGet_RedCoin_00	&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;
PointGet_GreenCoin_00	&#xE;&#xE;&#x0;&#x2;&#x0;&#x1;
PointGet_1000_00	&#xE;&#xE;&#x3;&#x2;&#x0;&#x4;
PointGet_100_00	&#xE;&#xE;&#x2;&#x2;&#x0;&#x3;
PointGet_Bonus_00	BONUS
PointGet_BonusCoin_00	 × &#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Score_00	&#xE;&#xE;&#x8;&#x2;&#x0;	
GameScene_Timer_00	&#xE;&#xE;&#x2;&#x2;&#x0;&#x3;
GameScene_FreeTimer_00	&#xE;&#xF;&#x3;&#x2;&#x0;&#x4;.&#xE;&#x0;&#x2;&#x2;K&#x0;&#xE;&#xE;&#x1;&#x2;&#x1;&#x2;&#xE;&#x0;&#x2;&#x2;d&#x0;
GameScene_Coin_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_1UP_00	1UP
GameScene_Zanki4P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki3P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki2P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_Zanki1P_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
GameScene_X	×
GameScene_FreeZanki_00	&#xE;&#xE;&#x1;&#x2;&#x0;&#x2;
PauseGame_Continue_00	Continue
PauseGame_Exit_00	Quit
PauseGame_Exit_01	Quit
PauseGame_PlayStyle_00	Change Controller
