challenge_mode.msbt
Challenge_Title_001	穿越橡栗平原！
Challenge_Content_018	在90.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內穿過終點圓環！
Challenge_Message1_018	90.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_018	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_018	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_020	一邊打倒胖飛鼠，一邊收集金幣
Challenge_Content_020	打倒所有胖飛鼠並收集金幣！\n※碰到地面的話，挑戰就會結束。
Challenge_Message1_020	40枚
Challenge_Message2_020	60枚
Challenge_Message3_020	67枚
Challenge_Title_022	注意城堡裡的金幣！
Challenge_Content_022	在不收集金幣的情況下穿過終點圓環！\n※取得超過6枚的金幣，挑戰就會失敗。
Challenge_Message1_022	5枚
Challenge_Message2_022	2枚
Challenge_Message3_022	0枚
Challenge_Title_023	快快收集！沙漠中的隱藏金幣！
Challenge_Content_023	踩踏P開關並收集金幣！\n※P開關的效果消失後，挑戰就會結束。
Challenge_Message1_023	46枚
Challenge_Message2_023	50枚
Challenge_Message3_023	52枚
Challenge_Title_024	一邊躲避金幣，一邊跑過去！
Challenge_Content_024	在不收集任何金幣的情況下，\n在70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內抵達終點！
Challenge_Message1_024	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_024	58.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_024	53.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_026	閃躲尖刺栗寶寶以及不要獲取金幣。
Challenge_Content_026	在不收集金幣的情況下抵達終點！\n※取得超過6枚的金幣，挑戰就會失敗。
Challenge_Message1_026	5枚
Challenge_Message2_026	2枚
Challenge_Message3_026	0枚
Challenge_Title_028	怎樣獲取！？幽靈屋裡的金幣收集！
Challenge_Content_028	動動腦筋、想想辦法來收集大量金幣！\n※收集了所有可獲取的金幣後，挑戰才會結束。
Challenge_Message1_028	135枚
Challenge_Message2_028	145枚
Challenge_Message3_028	150枚
Challenge_Title_031	閃避雲中世界的金幣！
Challenge_Content_031	在不收集金幣的情況下抵達終點！\n※取得超過6枚的金幣，挑戰就會失敗。
Challenge_Message1_031	5枚
Challenge_Message2_031	2枚
Challenge_Message3_031	0枚
Challenge_Title_032	利用砲彈刺客和平台來閃躲金幣！？
Challenge_Content_032	在不收集金幣的情況下穿過終點圓環！\n※取得超過6枚的金幣，挑戰就會失敗。
Challenge_Message1_032	5枚
Challenge_Message2_032	2枚
Challenge_Message3_032	0枚
Challenge_Title_033	飛馳的白骨過山車
Challenge_Content_033	收集大量金幣並抵達終點！
Challenge_Message1_033	120枚
Challenge_Message2_033	130枚
Challenge_Message3_033	140枚
Challenge_Title_034	敵人！金幣！全部躲開！
Challenge_Content_034	在不傷害敵人及不收集金幣的情況下抵達終點！\n※取得超過6枚的金幣，挑戰就會失敗。
Challenge_Message1_034	5枚
Challenge_Message2_034	2枚
Challenge_Message3_034	0枚
Challenge_Title_035	利用3段跳來跳！跳！跳！
Challenge_Content_035	一邊跑，一邊使用連續跳躍\n來收集大量金幣並抵達終點！
Challenge_Message1_035	75枚
Challenge_Message2_035	82枚
Challenge_Message3_035	86枚
Challenge_Title_037	懸崖上的200枚金幣
Challenge_Content_037	收集大量金幣並抵達終點！
Challenge_Message1_037	160枚
Challenge_Message2_037	195枚
Challenge_Message3_037	200枚
Challenge_Title_039	坐上球蓋姆的雲
Challenge_Content_039	奪取球蓋姆的雲，\n並收集金幣！
Challenge_Message1_039	120枚
Challenge_Message2_039	130枚
Challenge_Message3_039	140枚
Challenge_Title_040	利用螺旋槳向上衝！害羞幽靈之環！
Challenge_Content_040	以螺旋槳的姿態在50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內穿過終點圓環！
Challenge_Message1_040	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_040	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_040	23.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_041	水畔谷的飛鼠飛行
Challenge_Content_041	以飛鼠的姿態不碰到地面\n並抵達終點！
Challenge_Message1_041	-
Challenge_Message2_041	-
Challenge_Message3_041	條件達成
Challenge_Title_044	砲彈刺客上的1UP舞蹈
Challenge_Content_044	踩踏敵人來賺取連續1UP！
Challenge_Message1_044	1Up
Challenge_Message2_044	20Up
Challenge_Message3_044	60Up
Challenge_Title_045	飛行船的連續1UP
Challenge_Content_045	踩踏敵人或砲彈來賺取連續1UP！
Challenge_Message1_045	10Up
Challenge_Message2_045	15Up
Challenge_Message3_045	20Up
Challenge_Title_048	岩石像上的慢慢龜
Challenge_Content_048	踩踏敵人來賺取連續1UP！
Challenge_Message1_048	1Up
Challenge_Message2_048	15Up
Challenge_Message3_048	30Up
Challenge_Title_049	星星大串連
Challenge_Content_049	透過連續獲取無敵星打倒敵人，\n來賺取連續1UP！
Challenge_Message1_049	60Up
Challenge_Message2_049	70Up
Challenge_Message3_049	77Up
Challenge_Title_057	激鬥！與拉里的空戰！
Challenge_Content_057	不碰到地面而打倒老大！
Challenge_Message1_057	-
Challenge_Message2_057	-
Challenge_Message3_057	條件達成
Challenge_Title_058	注意巨大生物！
Challenge_Content_058	在儘量不傷害敵人的情況下抵達終點！\n※傷害敵人3次，挑戰就會失敗。
Challenge_Message1_058	2次
Challenge_Message2_058	1次
Challenge_Message3_058	0次
Challenge_Title_059	巨大生物！小心過橋！
Challenge_Content_059	以飛鼠的姿態不碰到地面\n並抵達終點！
Challenge_Message1_059	-
Challenge_Message2_059	-
Challenge_Message3_059	條件達成
Challenge_Title_064	夕陽下的天空！以超小的姿態一躍而起！
Challenge_Content_064	在不使用蛇磚塊的情況下，\n以超小的姿態抵達終點！
Challenge_Message1_064	-
Challenge_Message2_064	-
Challenge_Message3_064	條件達成
Challenge_Title_067	不喜歡攀岩！
Challenge_Content_067	在不攀爬懸崖的情況下穿過終點圓環！
Challenge_Message1_067	-
Challenge_Message2_067	-
Challenge_Message3_067	條件達成
Challenge_Title_068	灼熱！禁止使用上昇台！
Challenge_Content_068	在不使用平台的情況下穿過終點圓環！
Challenge_Message1_068	-
Challenge_Message2_068	-
Challenge_Message3_068	條件達成
Challenge_Title_069	灼熱！注意上昇台已停止運行！
Challenge_Content_069	在不讓敵人或金幣來到平台的情況下\n穿過終點圓環！
Challenge_Message1_069	-
Challenge_Message2_069	-
Challenge_Message3_069	條件達成
Challenge_Title_070	再一次！帶我到終點！
Challenge_Content_070	讓黃鼴鼠來到平台並帶牠回終點！
Challenge_Message1_070	-
Challenge_Message2_070	-
Challenge_Message3_070	條件達成
Challenge_Title_071	更危險的火球！
Challenge_Content_071	連續閃躲火球！
Challenge_Message1_071	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message2_071	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message3_071	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Title_085	穿越害羞幽靈的舞蹈！
Challenge_Content_085	在40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內抵達終點！
Challenge_Message1_085	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_085	24.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_085	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_086	穿越害羞幽靈的舞蹈，不過要以超小的姿態！
Challenge_Content_086	以超小的姿態在40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內抵達終點！
Challenge_Message1_086	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_086	24.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_086	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_088	會合！大栗寶寶！
Challenge_Content_088	踩踏敵人來賺取連續1UP！
Challenge_Message1_088	14UP
Challenge_Message2_088	16UP
Challenge_Message3_088	18UP
Challenge_Title_089	跑動、滑動、跳躍！？
Challenge_Content_089	從坡道上一滑而下，\n並在40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內抵達終點！
Challenge_Message1_089	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_089	33.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_089	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_090	利用飛行龜活蹦亂跳！
Challenge_Content_090	按照順序踩踏敵人\n來賺取連續1UP！
Challenge_Message1_090	4UP
Challenge_Message2_090	6UP
Challenge_Message3_090	8UP
Challenge_Title_091	踩踏柿寶寶
Challenge_Content_091	踩踏敵人來賺取連續1UP！
Challenge_Message1_091	1UP
Challenge_Message2_091	2UP
Challenge_Message3_091	3UP
Challenge_Title_093	游吧，企鵝！甩開魚雷刺客！
Challenge_Content_093	以企鵝的姿態在60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內穿過終點圓環！
Challenge_Message1_093	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_093	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_093	45.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_095	泡泡世界的空中散步
Challenge_Content_095	乘坐小耀西的泡泡穿過終點圓環！
Challenge_Message1_095	-
Challenge_Message2_095	-
Challenge_Message3_095	條件達成
Challenge_Title_097	利用黑暗過山車來尋找金幣
Challenge_Content_097	收集大量金幣並抵達終點！
Challenge_Message1_097	150枚
Challenge_Message2_097	168枚
Challenge_Message3_097	175枚
Challenge_Title_098	庫巴飛行船的危險金幣
Challenge_Content_098	在不收集金幣及不傷害敵人的情況下\n穿過終點圓環！
Challenge_Message1_098	-
Challenge_Message2_098	-
Challenge_Message3_098	條件達成
Challenge_Title_100	嚴禁衝刺！恐怖城堡！
Challenge_Content_100	在不衝刺的情況下穿過終點圓環！
Challenge_Message1_100	-
Challenge_Message2_100	-
Challenge_Message3_100	條件達成
Challenge_Title_101	金幣也不可！嚴禁衝刺的城堡！
Challenge_Content_101	在不使用衝刺及不獲取金幣的情況下穿過終點圓環！\n※取得超過6枚的金幣，挑戰就會失敗。
Challenge_Message1_101	5枚
Challenge_Message2_101	2枚
Challenge_Message3_101	0枚
Challenge_Title_102	氣球飄呀飄！空中散步！
Challenge_Content_102	在50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內集齊所有金幣！
Challenge_Message1_102	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_102	38.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_102	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_104	從蘑菇的上方穿過！
Challenge_Content_104	在75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內抵達終點！
Challenge_Message1_104	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_104	63.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_104	58.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_107	行走的吞食花！利用鎖鍊越過它！
Challenge_Content_107	在75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內抵達終點！
Challenge_Message1_107	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_107	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_107	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_109	砲彈刺客之丘上消失的平台！
Challenge_Content_109	獲取星星金幣！
Challenge_Message1_109	-
Challenge_Message2_109	-
Challenge_Message3_109	條件達成
Challenge_Title_112	炸彈兵大顯身手
Challenge_Content_112	在100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內集齊所有金幣！
Challenge_Message1_112	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_112	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_112	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_114	利用旋轉跳進行迴旋攻擊！
Challenge_Content_114	只利用旋轉跳踩踏敵人\n來賺取連續1UP！
Challenge_Message1_114	3UP
Challenge_Message2_114	7UP
Challenge_Message3_114	14UP
Challenge_Title_115	企鵝快樂地溜冰！
Challenge_Content_115	以企鵝的姿態在地面滑行並\n打倒敵人來賺取連續1UP！
Challenge_Message1_115	25UP
Challenge_Message2_115	30UP
Challenge_Message3_115	32UP
Challenge_Title_118	在晃晃盪盪岩石上堅持下去！
Challenge_Content_118	一邊跳躍，一邊繼續堅持下去\n不要從晃晃盪盪岩石上掉下去！
Challenge_Message1_118	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message2_118	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message3_118	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Title_119	栗寶寶！跳、跳！
Challenge_Content_119	踩踏敵人來賺取連續1UP！
Challenge_Message1_119	1UP
Challenge_Message2_119	20UP
Challenge_Message3_119	40UP
Challenge_Title_122	被逼至牆邊的3隻碎碎龜！
Challenge_Content_122	踩踏敵人來賺取連續1UP！\n※善用踢牆來爭取時間
Challenge_Message1_122	1UP
Challenge_Message2_122	15UP
Challenge_Message3_122	30UP
Challenge_Title_123	以超小身形驚險地攀越懸崖！
Challenge_Content_123	以超小的姿態不碰到地面\n並在100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內穿過終點圓環！
Challenge_Message1_123	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_123	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_123	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_124	最初的計時賽
Challenge_Content_124	透過衝刺在35.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內抵達終點！
Challenge_Message1_124	35.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message2_124	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Message3_124	21.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以內
Challenge_Title_126	在晃晃盪盪岩石上堅持下去！不可跳躍！
Challenge_Content_126	繼續堅持下去，不要從晃晃盪盪岩石掉下來！\n※但禁止跳躍！
Challenge_Message1_126	10.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message2_126	20.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message3_126	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Title_128	變成飛鼠，優雅地散步！
Challenge_Content_128	以飛鼠的姿態儘量賺取連續1UP並抵達終點！\n※碰到地面的話，挑戰就會結束。
Challenge_Message1_128	0UP
Challenge_Message2_128	1UP
Challenge_Message3_128	5UP
Challenge_Title_129	危險的火球！
Challenge_Content_129	連續閃躲火球！
Challenge_Message1_129	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message2_129	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message3_129	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Title_130	帶我到終點！
Challenge_Content_130	讓黃鼴鼠來到平台並帶牠回終點！
Challenge_Message1_130	-
Challenge_Message2_130	-
Challenge_Message3_130	條件達成
Challenge_Title_132	危險的金幣及大吞食花
Challenge_Content_132	在不收集金幣的情況下穿過終點圓環！\n※取得超過6枚的金幣，挑戰就會失敗。
Challenge_Message1_132	5枚
Challenge_Message2_132	2枚
Challenge_Message3_132	0枚
course_name.msbt
CourseName_1-1	新手的橡栗平原
CourseName_1-2	滿滿的傾斜洞窟
CourseName_1-3	橡栗平原的耀西
CourseName_1-4	軟呼呼蘑菇的拓展運動場
CourseName_1-5	大地隆起的吞食花
CourseName_1-TOWER1	旋轉齒輪的堡壘
CourseName_1-CASTLE	雷米的搖晃錘擺城堡
CourseName_SECRET-SECRET1	秘密魷魷的巢穴
CourseName_2-1	四處張望的岩石像地帶
CourseName_2-2	到處都是刺球丸子的洞窟
CourseName_2-3	黑暗火焰蛇
CourseName_2-4	坡道上滾滾而下的加邦鐵球
CourseName_2-5	沙漠蘑菇及加邦
CourseName_2-6	花開球蓋姆及旋轉大地
CourseName_2-TOWER1	轉動發條爬升的石堡壘
CourseName_2-CASTLE	莫頓的移動磚塊城堡
CourseName_SECRET-SECRET2	到處都是吞食花的冰世界
CourseName_3-1	噴泉海灘
CourseName_3-2	南方島嶼的海中散步
CourseName_3-3	泡泡魚飛出來的海上
CourseName_3-4	刺刺海膽小子的岩礁
CourseName_3-5	住著海龍的海底洞窟
CourseName_3-GHOST	藏著害羞幽靈的沉船
CourseName_3-TOWER1	危險！大狼牙棒的堡壘
CourseName_3-CASTLE	拉里的魚雷刺客迫近的水城
CourseName_SECRET-SECRET3	長到天上的巨大豆豆樹
CourseName_4-1	在夜空中發光的星星跳台
CourseName_4-2	有很多企鵝仔的雪地
CourseName_4-3	砰砰爆開的尖刺栗寶寶冰原
CourseName_4-4	踏著天秤上雪山
CourseName_4-5	懸掛著很多冰錐的洞窟
CourseName_4-GHOST	搖搖晃晃的幽靈屋
CourseName_4-TOWER1	逐漸掉落！懸掛著很多冰錐的堡壘
CourseName_4-CASTLE	溫緹的被咚咚擋住去路的城堡
CourseName_SECRET-SECRET4	住著海象的湖
CourseName_5-1	巨大的叢林
CourseName_5-2	毒沼澤的轉動圓木橋
CourseName_5-3	住著荊棘蟲的森林
CourseName_5-4	油畫中的幽靈沼澤
CourseName_5-5	沉睡深海的遺跡
CourseName_5-6	浮在毒沼上的蹺蹺板圓木頭
CourseName_5-7	跳到花毛毛的背上吧
CourseName_5-GHOST	出口在哪裡　烏漆麻黑的屋子
CourseName_5-TOWER1	大蛇磚塊的堡壘
CourseName_5-CASTLE	伊吉的滾滾熔岩城堡
CourseName_SECRET-SECRET5	蜂擁而來的飛行鋼盔龜大軍
CourseName_5-AIRSHIP	有很多大砲的巨大戰艦
CourseName_6-1	懸崖邊的刺毛怪
CourseName_6-2	游來游去的尖刺河豚 
CourseName_6-3	胖飛鼠的家
CourseName_6-4	黑暗洞窟中的發光磚塊
CourseName_6-5	剛剛學走路的吞食花
CourseName_6-6	黑暗中的白骨過山車
CourseName_6-7	設有機械裝置的十字移動台洞窟
CourseName_6-TOWER1	滾動刺滾輪的堡壘
CourseName_6-TOWER2	轉動發條旋轉的螺旋台堡壘
CourseName_6-CASTLE	洛伊的輸送帶驚險城堡
