challenge_mode.msbt
Challenge_Title_001	穿过橡栗平原！
Challenge_Message2_026	2枚
Challenge_Message3_026	0枚
Challenge_Title_028	该如何获取！？幽灵屋里的金币收集！
Challenge_Content_028	开动脑筋，收集大量金币吧！\n※当所有的金币消失后，游戏就会结束。
Challenge_Message1_028	135枚
Challenge_Message2_028	145枚
Challenge_Message3_028	150枚
Challenge_Title_031	云中的世界，躲避金币！
Challenge_Content_031	不获取金币并抵达终点！\n※获取6枚以上的金币就算失败。
Challenge_Message1_031	5枚
Challenge_Message2_031	2枚
Challenge_Message3_031	0枚
Challenge_Title_032	利用炮弹刺客和平台躲避金币！？
Challenge_Content_032	在不获取金币的情况下穿过终点圆环！\n※获取6枚以上的金币就算失败。
Challenge_Message1_032	5枚
Challenge_Message2_032	2枚
Challenge_Message3_032	0枚
Challenge_Title_033	飞驰的白骨过山车
Challenge_Content_033	收集大量金币并抵达终点！
Challenge_Message1_033	120枚
Challenge_Message2_033	130枚
Challenge_Message3_033	140枚
Challenge_Title_034	敌人！金币！全部躲开！
Challenge_Content_034	在不伤害任何敌人、不获取金币的情况下抵达终点！\n※获取6枚以上的金币就算失败。
Challenge_Message1_034	5枚
Challenge_Message2_034	2枚
Challenge_Message3_034	0枚
Challenge_Title_035	使用3段跳来跳！跳！跳！
Challenge_Content_035	在跑动的同时使用连续跳跃\n来收集大量的金币并抵达终点！
Challenge_Message1_035	75枚
Challenge_Message2_035	82枚
Challenge_Message3_035	86枚
Challenge_Title_037	悬崖上的200枚金币
Challenge_Content_037	收集大量金币并抵达终点！
Challenge_Message1_037	160枚
Challenge_Message2_037	195枚
Challenge_Message3_037	200枚
Challenge_Title_039	乘上球盖姆的云朵
Challenge_Content_039	夺取球盖姆的云朵\n并收集金币！
Challenge_Message1_039	120枚
Challenge_Message2_039	130枚
Challenge_Message3_039	140枚
Challenge_Title_040	利用螺旋桨冲上去！害羞幽灵之环！
Challenge_Content_040	在螺旋桨状态下，于50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内穿过终点圆环！
Challenge_Message1_040	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_040	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_040	23.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_041	水畔峡谷中的飞鼠飞行
Challenge_Content_041	在飞鼠状态下，不碰地面抵达终点！
Challenge_Message1_041	-
Challenge_Message2_041	-
Challenge_Message3_041	条件达成
Challenge_Title_044	炮弹刺客上的1UP之舞
Challenge_Content_044	通过踩敌人来实现连续1UP！
Challenge_Message1_044	1UP
Challenge_Message2_044	20UP
Challenge_Message3_044	60UP
Challenge_Title_045	飞行船的连续1UP
Challenge_Content_045	通过踩敌人或蛋来实现连续1UP！
Challenge_Message1_045	10UP
Challenge_Message2_045	15UP
Challenge_Message3_045	20UP
Challenge_Title_048	岩石像上的慢慢龟
Challenge_Content_048	通过踩敌人来实现连续1UP！
Challenge_Message1_048	1UP
Challenge_Message2_048	15UP
Challenge_Message3_048	30UP
Challenge_Title_049	收集星星
Challenge_Content_049	通过连续获得无敌星来打倒敌人，\n并实现连续1UP！
Challenge_Message1_049	60UP
Challenge_Message2_049	70UP
Challenge_Message3_049	77UP
Challenge_Title_057	激战！与拉里的空战！
Challenge_Content_057	不碰地面打倒敌人！
Challenge_Message1_057	-
Challenge_Message2_057	-
Challenge_Message3_057	条件达成
Challenge_Title_058	小心巨大生物！
Challenge_Content_058	尽量不伤害敌人并抵达终点！\n※伤害敌人3次就算失败。
Challenge_Message1_058	2次
Challenge_Message2_058	1次
Challenge_Message3_058	0次
Challenge_Title_059	巨大生物！心跳过桥！
Challenge_Content_059	在飞鼠状态下，\n不碰地面抵达终点！
Challenge_Message1_059	-
Challenge_Message2_059	-
Challenge_Message3_059	条件达成
Challenge_Title_064	夕阳下的天空！超小的身形一跃而起！
Challenge_Content_064	不使用蛇砖块并在\n超小的状态下抵达终点！
Challenge_Message1_064	-
Challenge_Message2_064	-
Challenge_Message3_064	条件达成
Challenge_Title_067	不喜欢攀岩！
Challenge_Content_067	在不攀爬悬崖的情况下穿过终点圆环！
Challenge_Message1_067	-
Challenge_Message2_067	-
Challenge_Message3_067	条件达成
Challenge_Title_068	灼热！禁止使用上升台！
Challenge_Content_068	在不使用平台的情况下穿过终点圆环！
Challenge_Message1_068	-
Challenge_Message2_068	-
Challenge_Message3_068	条件达成
Challenge_Title_069	灼热！注意上升台已停止运行！
Challenge_Content_069	不让敌人或金币来到平台上面\n并穿过终点圆环！
Challenge_Message1_069	-
Challenge_Message2_069	-
Challenge_Message3_069	条件达成
Challenge_Title_070	再次！带我去终点！
Challenge_Content_070	利用平台带黄鼹鼠去终点！
Challenge_Message1_070	-
Challenge_Message2_070	-
Challenge_Message3_070	条件达成
Challenge_Title_071	更危险的火球！
Challenge_Content_071	连续躲避火球！
Challenge_Message1_071	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message2_071	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message3_071	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Title_085	从跳舞的害羞幽灵当中穿过去！
Challenge_Content_085	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_085	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_085	24.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_085	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_086	在超小状态下从跳舞的害羞幽灵当中穿过去！
Challenge_Content_086	在超小状态下于40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_086	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_086	24.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_086	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_088	会合！大栗宝宝！
Challenge_Content_088	通过踩敌人来实现连续1UP！
Challenge_Message1_088	14UP
Challenge_Message2_088	16UP
Challenge_Message3_088	18UP
Challenge_Title_089	跑动、滑动、跳跃！？
Challenge_Content_089	从坡上一滑而下，\n并于40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_089	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_089	33.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_089	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_090	利用飞行龟乱蹦乱跳！
Challenge_Content_090	通过依序踩敌人\n来实现连续1UP！
Challenge_Message1_090	4UP
Challenge_Message2_090	6UP
Challenge_Message3_090	8UP
Challenge_Title_091	踩柿宝宝
Challenge_Content_091	通过踩敌人来实现连续1UP！
Challenge_Message1_091	1UP
Challenge_Message2_091	2UP
Challenge_Message3_091	3UP
Challenge_Title_093	游泳吧，企鹅！甩开鱼雷刺客！
Challenge_Content_093	在企鹅状态下，于60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内穿过终点圆环！
Challenge_Message1_093	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_093	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_093	45.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_095	在泡泡的世界中进行空中散步
Challenge_Content_095	乘坐小耀西的泡泡穿过终点圆环！
Challenge_Message1_095	-
Challenge_Message2_095	-
Challenge_Message3_095	条件达成
Challenge_Title_097	利用黑暗过山车来寻找金币
Challenge_Content_097	收集大量金币并抵达终点！
Challenge_Message1_097	150枚
Challenge_Message2_097	168枚
Challenge_Message3_097	175枚
Challenge_Title_098	酷霸王飞行船的危险金币
Challenge_Content_098	在不获取金币、不伤害敌人的情况下，\n穿过终点圆环！
Challenge_Message1_098	-
Challenge_Message2_098	-
Challenge_Message3_098	条件达成
Challenge_Title_100	严禁冲刺！恐怖城堡！
Challenge_Content_100	在不使用冲刺的情况下穿过终点圆环！
Challenge_Message1_100	-
Challenge_Message2_100	-
Challenge_Message3_100	条件达成
Challenge_Title_101	金币也不行！严禁冲刺的城堡！
Challenge_Content_101	在不使用冲刺、也不获取金币的情况下穿过终点圆环！\n※获取6枚以上的金币就算失败。
Challenge_Message1_101	5枚
Challenge_Message2_101	2枚
Challenge_Message3_101	0枚
Challenge_Title_102	气球飘呀飘！空中散步！
Challenge_Content_102	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内集齐所有的金币！
Challenge_Message1_102	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_102	38.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_102	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_104	从蘑菇的上方穿过！
Challenge_Content_104	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_104	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_104	63.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_104	58.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_107	行走的吞食花！利用锁链越过它！
Challenge_Content_107	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_107	75.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_107	70.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_107	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_109	炮弹刺客之丘上消失的平台！
Challenge_Content_109	获取星星金币！
Challenge_Message1_109	-
Challenge_Message2_109	-
Challenge_Message3_109	条件达成
Challenge_Title_112	炸弹兵大显身手
Challenge_Content_112	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内集齐所有的金币！
Challenge_Message1_112	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_112	65.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_112	50.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_114	利用旋转跳旋转攻击！
Challenge_Content_114	仅使用旋转跳来踩敌人，\n并实现连续1UP！
Challenge_Message1_114	3UP
Challenge_Message2_114	7UP
Challenge_Message3_114	14UP
Challenge_Title_115	变成企鹅快乐溜冰！
Challenge_Content_115	在企鹅状态下，通过滑行来打倒敌人，\n并实现连续1UP！
Challenge_Message1_115	25UP
Challenge_Message2_115	30UP
Challenge_Message3_115	32UP
Challenge_Title_118	晃晃荡荡岩石上的平衡功夫！
Challenge_Content_118	不断跳跃，别让自己从\n晃晃荡荡岩石上跌落下去！
Challenge_Message1_118	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message2_118	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message3_118	60.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Title_119	栗宝宝！跳跃、跳跃！
Challenge_Content_119	通过踩敌人来实现连续1UP！
Challenge_Message1_119	1UP
Challenge_Message2_119	20UP
Challenge_Message3_119	40UP
Challenge_Title_122	被赶至墙边的3只碎碎龟！
Challenge_Content_122	通过踩敌人来实现连续1UP！\n※活用踢墙跳来争取时间。
Challenge_Message1_122	1UP
Challenge_Message2_122	15UP
Challenge_Message3_122	30UP
Challenge_Title_123	超小身形！惊心动魄攀越悬崖！
Challenge_Content_123	在超小状态下，不碰地面\n并于100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内穿过终点圆环！
Challenge_Message1_123	100.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_123	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_123	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_124	最初的计时赛
Challenge_Content_124	使用冲刺并于35.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内抵达终点！
Challenge_Message1_124	35.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message2_124	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Message3_124	21.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;内
Challenge_Title_126	晃晃荡荡岩石上的平衡功夫！不许跳跃！
Challenge_Content_126	别让自己从晃晃荡荡岩石上跌落下去！\n※禁止跳跃！
Challenge_Message1_126	10.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message2_126	20.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message3_126	30.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Title_128	变成飞鼠，优雅地散步！
Challenge_Content_128	在飞鼠状态下，尽可能地实现连续1UP并抵达终点！\n※碰到地面，游戏就会结束！
Challenge_Message1_128	0UP
Challenge_Message2_128	1UP
Challenge_Message3_128	5UP
Challenge_Title_129	危险的火球！
Challenge_Content_129	连续躲避火球！
Challenge_Message1_129	15.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message2_129	25.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Message3_129	40.&#xE;&#x0;&#x2;&#x2;K&#x0;00&#xE;&#x0;&#x2;&#x2;d&#x0;以上
Challenge_Title_130	带我去终点！
Challenge_Content_130	利用平台带黄鼹鼠去终点！
Challenge_Message1_130	-
Challenge_Message2_130	-
Challenge_Message3_130	条件达成
Challenge_Title_132	危险的金币和大吞食花
Challenge_Content_132	在不获取金币的情况下穿过终点圆环！\n※获取6枚以上的金币就算失败。
Challenge_Message1_132	5枚
Challenge_Message2_132	2枚
Challenge_Message3_132	0枚
course_name.msbt
CourseName_1-1	新手的橡栗平原
CourseName_1-2	满满的倾斜洞窟
CourseName_1-3	橡栗平原的耀西
CourseName_1-4	软乎乎蘑菇的拓展运动场
CourseName_1-5	大地隆起的吞食花
CourseName_1-TOWER1	旋转齿轮的堡垒
CourseName_1-CASTLE	雷米的摇晃锤摆城堡
CourseName_SECRET-SECRET1	秘密鱿鱿的巢穴
CourseName_2-1	四处张望的岩石像地带
CourseName_2-2	到处都是刺球丸子的洞窟
CourseName_2-3	黑暗火焰蛇
CourseName_2-4	坡道上滚滚而下的加邦铁球
CourseName_2-5	沙漠蘑菇及加邦
CourseName_2-6	花开球盖姆及旋转大地
CourseName_2-TOWER1	转动发条爬升的石堡垒
CourseName_2-CASTLE	莫顿的移动砖块城堡
CourseName_SECRET-SECRET2	到处都是吞食花的冰世界
CourseName_3-1	喷泉海滩
CourseName_3-2	南方岛屿的海中散步
CourseName_3-3	泡泡鱼飞出来的海上
CourseName_3-4	刺刺海胆小子的岩礁
CourseName_3-5	住着海龙的海底洞窟
CourseName_3-GHOST	藏着害羞幽灵的沉船
CourseName_3-TOWER1	危险！大狼牙棒的堡垒
CourseName_3-CASTLE	拉里的鱼雷刺客迫近的水城
CourseName_SECRET-SECRET3	长到天上的巨大豆豆树
CourseName_4-1	在夜空中发光的星星跳台
CourseName_4-2	有很多企鹅仔的雪地
CourseName_4-3	砰砰爆开的尖刺栗宝宝冰原
CourseName_4-4	踏着天秤上雪山
CourseName_4-5	悬挂着很多冰锥的洞窟
CourseName_4-GHOST	摇摇晃晃的幽灵屋
CourseName_4-TOWER1	逐渐掉落！悬挂着很多冰锥的堡垒
CourseName_4-CASTLE	温缇的被咚咚挡住去路的城堡
CourseName_SECRET-SECRET4	住着海象的湖
CourseName_5-1	巨大的丛林
CourseName_5-2	毒沼泽的转动圆木桥
CourseName_5-3	住着荆棘虫的森林
CourseName_5-4	油画中的幽灵沼泽
CourseName_5-5	沉睡深海的遗迹
CourseName_5-6	浮在毒沼上的跷跷板圆木头
CourseName_5-7	跳到花毛毛的背上吧
CourseName_5-GHOST	出口在哪里　乌漆麻黑的屋子
CourseName_5-TOWER1	大蛇砖块的堡垒
CourseName_5-CASTLE	伊吉的滚滚熔岩城堡
CourseName_SECRET-SECRET5	蜂拥而来的飞行钢盔龟大军
CourseName_5-AIRSHIP	有很多大炮的巨大战舰
CourseName_6-1	悬崖边的刺毛怪
CourseName_6-2	游来游去的尖刺河豚
CourseName_6-3	胖飞鼠的家
CourseName_6-4	黑暗洞窟中的发光砖块
CourseName_6-5	刚刚学走路的吞食花
CourseName_6-6	黑暗中的白骨过山车
CourseName_6-7	设有机械装置的十字移动台洞窟
CourseName_6-TOWER1	滚动刺滚轮的堡垒
CourseName_6-TOWER2	转动发条旋转的螺旋台堡垒
CourseName_6-CASTLE	洛伊的输送带惊险城堡
CourseName_7-1	天空中冒出很多砖块来
CourseName_7-2	蹦蹦跳跳 跷跷板蘑菇
CourseName_7-3	不进反退的平台山丘
CourseName_7-4	不断跳跃！在天空利用蹦蹦云游玩
CourseName_7-5	用空中之水在天空漫游
CourseName_7-6	蛇砖块不断前进的雾之谷
CourseName_7-GHOST	有很多门的幽灵屋
CourseName_7-TOWER1	旋转的平行移动台堡垒
CourseName_7-CASTLE	洛德威格的滑轨砖块城堡
CourseName_7-AIRSHIP	逐渐迫近的巨大战舰！
CourseName_8-1	岩浆火焰令脚下晃动不已
CourseName_8-2	惊恐熔岩巡航
CourseName_8-3	熔岩浪及螺旋蘑菇
CourseName_8-4	落下火焰的悬崖缝隙
