langid:CF8B6E4B
14    {ts:0.9}５Ｆ{/ts}
6DE4078    {ts:1.1}先從怨念宅邸的{p}調查開始進行！{p}在那之後{p}才能玩多人遊戲啊！！{/ts}
7A533C9    {ts:0.9}隨機高塔{/ts}
83BDB75    {ts:0.8}{p}{p}外型就像顆高爾夫球{p}但在高爾夫球場{p}充其量也只是個障礙物{p}----------------------------------------------------{/ts}
8702C39    {tp:0.04}做得漂亮哪，{clr:51E949}路易吉{clr:pop}！{p}{p}快讓我看看{p}時鐘的{clr:71D2FF}零件{clr:pop}・・・{p}這次取回的是{clr:71D2FF}時針{clr:pop}呀{p}{p}把它交給我吧{/tp}
8702C3A    {tp:0.01}很好～！{p}{p}看來{clr:51E949}鬼怪犬{clr:pop}那傢伙{p}沒把它當骨頭亂啃！{/tp}
8702C3B    {tp:0.04}要把彎曲的{clr:71D2FF}時針{clr:pop}{p}修直可不容易哪{p}這下總算能安心了！{p}{p}那麼就把{clr:71D2FF}鬼怪吸塵器{clr:pop}{p}裡頭的東西交出來吧？{/tp}
8702C3C    {tp:0.12}那麼呢・・・{p}{p}這樣一來{p}不足的{clr:71D2FF}零件{clr:pop}就只差１個{/tp}
8702C3D    {tp:0.04}那就是{clr:71D2FF}螺旋槳{clr:pop}啊{p}{p}只要取回那{clr:71D2FF}螺旋槳{clr:pop}{p}{p}就可以開啟{p}{clr:FF9754}時鐘塔閘門{clr:pop}了哦！{/tp}
8702C3E    {tp:0.04}我就繼續調查{p}看看有沒有{p}{clr:71D2FF}螺旋槳{clr:pop}的線索吧{/tp}
8702C3F    {tp:0.04}硬撐是有損健康的哦{p}{p}偶而也放鬆一下吧{p}{clr:51E949}路易吉{clr:pop}{/tp}
87AE851    {p}我把拖拽系統強化了哦！{p}現在可以使用{p}更強勁的Ａ拖拽了！
87AE852    {p}拖拽系統更進一步強化！{p}用最強的Ａ拖拽{p}把鬼怪吸起來！
898D4A1    {ts:0.84}地下斷層{/ts}
8FF848B    {ts:0.8}{p}{p}水晶帶給他們什麼變化{p}無人知曉　雖然有人說{p}他們得到操控星辰的力量{p}但這需要詳細的研究來證實{p}----------------------------------------------------{/ts}
920E90F    {tp:0.04}嗯？{p}{p}你怎麼全身發抖呢・・・{p}該不會是　害怕了吧？{/tp}
920E910    {tp:0.04}一點都沒變還是這麼膽小哪・・・{/tp}
920E911    {tp:0.04}那我就開門見山地說了　{clr:51E949}路易吉{clr:pop}{p}{p}我實在很想請你{p}馬上就去找出{clr:A554D0}暗月碎片{clr:pop}・・・{p}但頭痛的是{p}{clr:FF9754}鬼怪溪谷{clr:pop}各處{p}似乎都有鬼怪們{p}在胡作非為哩{p}就算是你{p}{p}也不可能赤手空拳{p}跟鬼怪們單打獨鬥哪{/tp}
920E913    {tp:0.04}這是我製作的{p}通訊終端機・・・{p}它的名字就叫{p}{p}{clr:71D2FF}「ＤＳ」{clr:pop}！{p}{p}可以用來查看{clr:71D2FF}地圖{clr:pop}{p}或跟我聊聊天{p}實在是功能豐富哪{/tp}
920E914    {tp:0.04}然後也別忘了{clr:71D2FF}手電筒{clr:pop}{p}{p}用它來照亮黑暗準沒錯哦{/tp}
920E916    {tp:0.01}那麼　就用我的全新大發明！{p}{p}{clr:71D2FF}「ＧＯＧＯ照相機」{clr:pop}！{p}{p}・・・簡稱{clr:71D2FF}「ＧＣ」{clr:pop}{p}讓你瞬間移動到宅邸去！{/tp}
920E917    {tp:0.04}要是這次也能把你整個人{p}都傳送過去就好囉・・・{p}呼嘿　嘿　嘿{p}{p}{clr:71D2FF}ＧＣ{clr:pop}　開關啟動～！{/tp}
98FD7EA    ＯＫ
9981119    {ts:0.75}正在等候其他玩家・・・{/ts}
9F6CF85    追逐者高塔 {0}F
A23511F    {ts:1.1}要退出遊戲{p}並返回多人遊戲選單嗎？{/ts}
A26EC9E    {ts:0.84}廚房{/ts}
A734D0B    B2
B1797FC    {ts:0.85}{p}　能成功過關嗎？{/ts}
B3B70EE    {ts:0.8}{p}{p}最喜歡玩炸彈的{p}雙生嚕普普是個{p}既危險又令人困擾的存在{p}{p}----------------------------------------------------{/ts}
BA17346    {tp:0.06}{ts:0.95}・・・聽得到嗎？{clr:51E949}路易吉{clr:pop}！　　　　{p}{p}知道鬼怪的聚集地了{p}{p}我把資訊傳送到{clr:71D2FF}ＤＳ{clr:pop}去哦！　　　　{p}{p}你用{clr:71D2FF}地圖{clr:pop}看看　　　　　　　　　　{/ts}{/tp}
BA17347    {tp:0.06}{ts:0.95}呼嘿～　怎麼回事？　　　　　　　{p}{p}鬼怪的訊號　　　　　　　　　{p}越來越強了！　　{p}這次從２個房間裡傳出！　　　　　{p}{p}快看{clr:71D2FF}地圖{clr:pop}！　　　　　　　　　　　{/ts}{/tp}
BA17348    {tp:0.04}{ts:0.95}哇、哇、哇！　　　　　　　　{p}{p}越來越多囉！　　　　　　　　{p}{p}看{clr:71D2FF}地圖{clr:pop}{p}快看{clr:71D2FF}地圖{clr:pop}！　　{p}快把那傢伙們捕捉起來呀～！　　　{/ts}{/tp}
BB86367    B1
C7BDBE1    {ts:0.85}暗月碎片就在{p}時鐘塔的頂端！{p}趕緊收回來呀！{/ts}
CC53634    {ts:0.8}{p}{p}他好像盤算著{p}沒隱身時也能完美偽裝{p}但這樣反而更顯眼就是了{p}{p}----------------------------------------------------{/ts}
CF461BB    {ts:0.85}大樓的情況不太妙哦！{p}水力發電機也沒在運轉・・・{p}說不定是供水系統{p}出了什麼問題{p}想想辦法吧！{/ts}
D366B6F    {tp:0.12}{ts:0.95}・・・{clr:51E949}路易吉{clr:pop}？{clr:51E949}路易{clr:pop}・・{p}你聽・・嗎？{p}平安無・・嗎？{/ts}{/tp}
D366B70    {tp:0.12}{ts:0.95}・・嗯，你掉・・地下・・・了呀{p}{p}訊號・・不穩・・呀{/ts}{/tp}
D366B71    {tp:0.12}{ts:0.95}那・・曾・・採掘場{p}{p}我・・覺得・・危險哦{/ts}{/tp}
D366B72    {tp:0.12}{ts:0.95}在哪・・回到上・・的{p}{p}應該・・・電梯・・{p}{p}你・・{clr:71D2FF}ＤＳ的地圖{clr:pop}！{/ts}{/tp}
D53F85D    找到魔王！
D775D51    {ts:0.8}{p}{p}在時鐘塔上{p}守著暗月碎片的附身鬼{p}這種個體似乎擁有{p}能指揮許多鬼怪的能力{p}----------------------------------------------------{/ts}
DD87FE0    {ts:0.85}ɏ 資訊{/ts}
E0FB4F3    {ts:0.85}富翁{/ts}
E49F02D    {ts:0.85}你能做得更好！{/ts}
F75080E    紫羅蘭
105A690D    {ts:0.84}維修室{/ts}
10EF5138    {tp:0.04}多虧了你{p}供水系統也好像復原了{/tp}
10EF5139    {tp:0.04}只能說{p}真不愧是{clr:51E949}路易吉{clr:pop}　呼嘿～！{/tp}
110C0974    {ts:0.8}{p}{p}這種鬼怪吐過來的東西{p}好像是蜂蜜{p}如果成份沒什麼問題{p}或許是個商機・・・{p}----------------------------------------------------{/ts}
110EA2D1    {ts:0.85}過關時間{/ts}
1130A3EC    {vs:3}{ts:0.8} 往上看{p} 調查{/ts}{/vs}
117F33CD    活屍
11A096EB    超級嚕祟祟
12F1748A    {ts:1.1}無法與系統版本較舊的{p}Nintendo 3DS主機{p}進行下載遊戲{/ts}
132996BB    {tp:0.04}真是奇特的一仗・・・{p}哎呀　做得漂亮！{p}不愧是　{clr:51E949}路易吉{clr:pop}哪！{/tp}
132996BC    {tp:0.04}我彷彿能從{clr:71D2FF}鬼怪吸塵器{p}{clr:pop}聽到{clr:51E949}附身鬼{clr:pop}最後的慘叫哪！{p}馬上就把那傢伙{p}送進{clr:FF9754}展示間{clr:pop}吧{/tp}
132996BD    {tp:0.04}嗯・・・{p}{p}這次的{clr:51E949}附身鬼{clr:pop}{p}{p}比目前為止捕獲的傢伙{p}似乎還要更強{p}說不定是・・・{p}{p}持有{clr:A554D0}暗月碎片{clr:pop}的時間越久{p}力量就會越強哪{/tp}
132996BE    {tp:0.04}接下來我會　好～好地{p}調查一下啦！{/tp}
132996BF    {tp:0.04}{clr:A554D0}暗月碎片{clr:pop}無非是受到{p}邪惡能量的污染呀{p}好吧　該來刷洗一番啦{p}{p}鎖～定～！！{/tp}
132996C0    {tp:0.04}很好很好　霧又散開一些囉{p}{p}多虧了你　調查才一帆風順哪！{p}{p}可是　還沒有把{p}{clr:A554D0}暗月碎片{clr:pop}全都取回{/tp}
132996C1    {tp:0.04}要持之以恆哦，{clr:51E949}路易吉{clr:pop}{p}{p}來　看看{clr:FF9754}鬼怪溪谷{clr:pop}的情況吧{/tp}
132996C2    {tp:0.04}下一個目標位置就是・・・{p}{p}山頂！{/tp}
132996C3    {tp:0.04}那兒是{clr:FF9754}鬼怪溪谷{clr:pop}{p}最為寒冷的地方{p}冬天大衣・・・你應該沒有吧{p}{p}雖然很想把我的借給你{p}但是八成尺寸不合呀{p}忍耐一下{p}{p}要走的路還很長遠哦{p}{p}喝杯熱茶也好{p}要讓體力回復哦{/tp}
13320671    {tp:0.12}{ts:0.95}你在哪・・・　{clr:51E949}路{clr:pop}・・{clr:51E949}吉{clr:pop}・！{p}{p}喂・・，聽・・・？{/ts}{/tp}
13320672    {tp:0.12}{ts:0.95}發生什・・・？{p}{p}取回・・・{clr:A554D0}暗月{clr:pop}・・・！！{/ts}{/tp}
13320673    {tp:0.12}{ts:0.95}回到・・{clr:FF9754}實{clr:pop}・・{clr:FF9754}基地{clr:pop}・・・吧！{p}{p}抓穩{clr:A554D0}暗{clr:pop}・・別鬆手・・！{/ts}{/tp}
13656646    {tp:0.04}{ts:0.95}請等等　 {clr:51E949}路易吉{clr:pop}先生{p}{p}我已經受夠齒輪了・・・{p}{p}請您不要到那邊去・・・{/ts}{/tp}
1391BC2E    {ts:0.85}{p}利用鄰近主機通訊來玩！{p}大家和樂融融{p}爬上恐怖高塔吧！{/ts}
13985FE6    昏倒！
143602D0    {ts:0.95}網路連線中・・・{p}{/ts}
148300B5    {tp:0.04}{ts:0.95}你盡力了呢，{clr:51E949}路易吉{clr:pop}{p}{p}雖然花上了{p}不少時間・・・{p}不過總算是避免悲劇了哪{p}{p}那麼　就回到這兒來吧！{/ts}{/tp}
14AB1CE9    {tp:0.04}{ts:0.95}・・・嗯{p}果然不出我所料{p}發電機停止運作了哪{/ts}{/tp}
14AB1CEA    {tp:0.04}{ts:0.95}只不過　這看起來{p}不像是故障{p}大概是供水系統出了問題吧{p}{p}到底是哪邊堵塞了呢・・・？{/ts}{/tp}
14AB1CEB    {tp:0.04}{ts:0.95}供水系統{p}就在{clr:FF9754}東館頂樓{clr:pop}哦{p}你先去調查{p}供水系統！{/ts}{/tp}
15140474    高塔合計
152E68AD    {tp:0.04}{ts:0.95}{clr:51E949}路易吉{clr:pop}先生！{p}請不要輕言放棄{p}重物・・・　哪裡會有重物呢？{p}{p}說不定近在咫尺哦？{/ts}{/tp}
156D28C4    {tp:0.12}{ts:0.95}做得・・・好，{clr:51E949}路易吉{clr:pop}・・！{p}{p}解・・所有封印・・哪{p}{p}那麼　搭・・纜車・・・！{p}橫越・・谷！{/ts}{/tp}
15AF27D6    {ts:0.84}主實驗室橫渡區{/ts}
15B0B53E    鄰近主機連線遊戲
15E883A4    {tp:0.04}{ts:0.95}唉～{p}{p}這裡似乎是條死路呢{/ts}{/tp}
15E883A5    {tp:0.04}{ts:0.95}嗯，{clr:51E949}路易吉{clr:pop}先生？{p}{p}請看那邊！{/ts}{/tp}
15E883A6    {tp:0.04}{ts:0.95}那一定就是{p}{clr:51E949}博士{clr:pop}所說的電梯！{/ts}{/tp}
15E883A7    {tp:0.12}{ts:0.95}可是{p}要怎麼過去才好呢？{/ts}{/tp}
15EF7AC5    {ts:0.84}古代區{/ts}
15F43ADF    {tp:0.04}{ts:0.95}・・・聽得到嗎，{clr:51E949}路易吉{clr:pop}？{p}{p}好強烈的鬼怪能量！{/ts}{/tp}
15F43AE0    {tp:0.04}{ts:0.95}別拖拖拉拉的～！　　　　　　　　{p}{p}現在馬上{p}去捕捉鬼怪呀！　　　　　　　　　{p}再這樣下去　　　　　　　　　　　{p}{p}宮殿就會因為{p}鬼怪的能量而膨脹　　　　　　　　{p}進而發生一場大爆炸哦！　　　　　{p}{p}動作快一點～！！　　　　　　　　{/ts}{/tp}
16393EE3    {tp:0.04}{ts:0.95}呼嘿　嘿　嘿！{p}{p}你好像成功捕獲{p}{clr:D8BCE6}害羞幽靈{clr:pop}了哪！{/ts}{/tp}
16393EE4    {tp:0.04}{ts:0.95}看來那傢伙們{p}躲在各種地方・・・{p}說不定正在偷偷{p}窺探我們這裡的情形哦{/ts}{/tp}
16393EE5    {tp:0.04}{ts:0.95}那傢伙們　外型雖然相似{p}但個性卻好像截然不同哦{p}我也很想調查清楚{/ts}{/tp}
16393EE6    {tp:0.04}{ts:0.95}雖然要找出那傢伙們{p}好像沒那麼簡單・・・{p}今後，尋找{clr:D8BCE6}害羞幽靈{clr:pop}一事{p}也得拜託你囉，{clr:51E949}路易吉{clr:pop}！{/ts}{/tp}
1675B3FC    {tp:0.04}・・・{clr:51E949}鬼怪犬{clr:pop}這可惡的傢伙{p}{p}又逃走了嗎{p}{p}真是的，叫人頭痛的傢伙呀{/tp}
16F3B589    鬼怪犬
16F5D326    {ts:0.84}乘車場{/ts}
16F9A181    {ts:0.7}最高到達樓層更新！{/ts}
17082C0B    {ts:0.9}這個地區專門用來採掘{p}蘊含不可思議力量的礦物{p}過去好像有許多科學家{p}在這兒進行礦物的研究{/ts}
1759EAD5    牛
1770A253    {tp:0.04}想收回{clr:A554D0}暗月碎片{clr:pop}{p}得先找出大樹大門的{clr:71D2FF}鑰匙{clr:pop}{p}只是現在{p}什麼線索也沒有{p}真是傷腦筋哦・・・{p}{p}哦哦，對了{p}{p}你看我都給忘了{p}{p}{clr:51E949}奇諾比奧{clr:pop}帶回的照片資料{p}已經解析完成囉{p}快點來看看照片吧{/tp}
1770A254    {tp:0.01}你也看到了吧，{clr:51E949}路易吉{clr:pop}！{p}{p}{clr:71D2FF}鑰匙{clr:pop}就在{clr:D8BCE6}害羞幽靈{clr:pop}手上！！{/tp}
1770A255    {tp:0.01}而那{clr:71D2FF}鑰匙{clr:pop}正是{p}{p}用來開啟{clr:FF9754}大樹洞{clr:pop}中{p}被封印的大門呀！{/tp}
1770A256    {tp:0.04}{clr:A554D0}暗月{clr:pop}所發出的訊號{p}仍顯示是在大樹之中{/tp}
1770A257    {tp:0.04}看來那傢伙們{p}{p}想盡了辦法{p}不讓你到大樹的深處・・・{/tp}
1770A258    {tp:0.04}所以那傢伙們{p}{p}才會搶走了{clr:71D2FF}鑰匙{clr:pop}{p}甚至把它搬到那種地方去{p}你也這麼覺得吧，{clr:51E949}路易吉{clr:pop}？{/tp}
1770A259    {tp:0.01}只可惜～！{p}{p}那只是白費力氣而已～！{/tp}
1770A25A    {tp:0.04}監視器照片所拍到的地方{p}是西館的{clr:FF9754}瞭望台泳池{clr:pop}{p}你會去一趟對吧，{clr:51E949}路易吉{clr:pop}？{p}{p}務必取回{clr:71D2FF}鑰匙{clr:pop}！{/tp}
17A9F1AC    {tp:0.04}{ts:0.95}你沒事吧，{clr:51E949}路易吉{clr:pop}！？{p}{p}真沒想到在這種地方{p}會有{clr:D8BCE6}害羞幽靈{clr:pop}・・・{/ts}{/tp}
17A9F1AD    {tp:0.12}{ts:0.95}而且{p}還操控著{clr:51E949}咒玉{clr:pop}？{p}嗯・・・{/ts}{/tp}
17A9F1AE    {tp:0.04}{ts:0.95}算了{p}{p}總之{p}你先回到{clr:FF9754}實驗室基地{clr:pop}吧！！{/ts}{/tp}
17D43DBE    {ts:1.1}追加新任務了哦！{/ts}
18903B73    {ts:0.84}地下實驗室{/ts}
18A5B03B    {vs:-2}{ts:0.9}{p}捕捉魔王！{/ts}{/vs}
18FEDE6A    {ts:0.84}遺跡溪谷{/ts}
193F41AA    {tp:0.04}{ts:0.95}喂～，{clr:51E949}路易吉{clr:pop}？{p}{p}你想到哪兒去呀？{p}{p}開啟{clr:FF9754}時鐘塔{clr:pop}入口的時刻{p}總算來臨囉！{/ts}{/tp}
193F41AB    {tp:0.04}{ts:0.95}{clr:FF9754}時鐘塔閘門{p}{clr:pop}正在等著你哦{p}{clr:A554D0}暗月碎片{p}{clr:pop}就在門的另一頭哦！{/ts}{/tp}
193F41AC    {tp:0.04}{ts:0.95}{clr:51E949}路易吉{clr:pop}！{p}快點到{clr:FF9754}時鐘塔閘門{clr:pop}去！{/ts}{/tp}
194380F6    最佳等級：
19ED83D4    {ts:0.92}救命啊！{/ts}
19F1F819    {ts:0.92}喂～！{/ts}
1A0E7209    {tp:0.12}{ts:0.95}・・・{clr:51E949}路{clr:pop}・・{clr:51E949}吉{clr:pop}，平安無・・嗎？{/ts}{/tp}
1A0E720A    {tp:0.12}{ts:0.95}看來・・{p}抵達{clr:FF9754}維修室{clr:pop}・・{p}不愧・・{clr:51E949}路{clr:pop}・・{clr:51E949}吉{clr:pop}呀！{/ts}{/tp}
1A0E720B    {tp:0.12}{ts:0.95}那・・{p}開啟發電機・・！{p}這樣・・・能{p}・・・{clr:FF9754}主實驗室{clr:pop}的門・・{p}調查・・！{/ts}{/tp}
1A1EBEF2    {ts:0.8}{p}{p}擒抱技巧高超！{p}各地的隊伍都覬覦著他！{p}只可惜在這鬼怪溪谷並不需要！！{p}{p}----------------------------------------------------{/ts}
1A740178    {tp:0.04}你回來啦，{clr:51E949}路易吉{clr:pop}！{/tp}
1A740179    {tp:0.04}我想那隻愛惡作劇的{clr:51E949}鬼怪犬{clr:pop}{p}這次終於真的進到{clr:71D2FF}鬼怪之籠{clr:pop}裡頭了哪{p}那我就安心多啦！{p}{p}呼嘿　嘿　嘿{p}{p}・・・・・・・呃{p}{p}宮殿的情形如何！？{/tp}
1A74017A    {tp:0.04}從地下的地區是不是{p}探不著宮殿裡頭的情形哪？{/tp}
1A74017B    {tp:0.04}真是沒辦法{/tp}
1A74017C    {tp:0.04}宮殿裡頭到底{p}有什麼在等著我們呢・・・{p}猜不到哪{/tp}
1A74017D    {tp:0.04}總之{p}不能掉以輕心哦！{/tp}
1A74017E    {tp:0.04}那就待會見啦，{clr:51E949}路易吉{clr:pop}！{/tp}
1B4CAA2D    {tp:0.01}{ts:0.95}哇哇哇　這是怎麼一回事・・・{p}{p}{clr:71D2FF}時鐘指針{clr:pop}和{clr:71D2FF}零件{clr:pop}什麼的{p}怎麼全都不見了！{/ts}{/tp}
1B4CAA2E    {tp:0.04}{ts:0.95}這兒的時鐘{p}應該就是開啟閘門的機關{p}可惡～～！{p}{p}肯定又是鬼怪做的好事！{/ts}{/tp}
1B4CAA2F    {tp:0.04}{ts:0.95}我從這兒調查看看{p}有沒有鬼怪的可疑蹤跡{p}你也在那附近尋找一下{p}看看有沒有什麼線索留下！{/ts}{/tp}
1B63B330    {ts:0.84}？？？{/ts}
1B7156D5    {tp:0.04}{ts:0.95}嗚・・・嗚{p}{p}其實我還有{p}另一位夥伴{p}只是我不知道{p}他被關到哪裡去了・・・{p}咦？{p}{p}{clr:51E949}博士{clr:pop}沒告訴您{p}這邊有２個人嗎？{p}嗚、嗚・・・{p}{p}{clr:51E949}博士{clr:pop}真的是一位很過分的人・・・{p}{p}{clr:51E949}路易吉{clr:pop}先生{p}您當然會幫助我們　對嗎？{/ts}{/tp}
1B7156D6    {tp:0.04}{ts:0.95}嗚、嗚・・・{p}{p}其實我還有{p}另一位夥伴{p}只是我不知道{p}他被關到哪裡去了・・・{p}咦？{p}{p}{clr:51E949}博士{clr:pop}沒告訴您{p}這邊有２個人嗎？{p}唉～{p}{p}{clr:51E949}博士{clr:pop}真的是一位很健忘的人・・・{p}{p}{clr:51E949}路易吉{clr:pop}先生{p}您當然會幫助我們　對嗎？{/ts}{/tp}
1BB01BD2    {tp:0.04}好　{clr:51E949}路易吉{clr:pop}{p}{p}開始新地區的調查！{p}{p}下一個地區・・・就是！{p}{p}冰天雪地山頂上的「採掘場」！{p}{p}好久好久以前{p}{p}有人發現從這座山的地下{p}能採獲蘊藏特殊能量的水晶{p}而這座採掘場{p}{p}就是為了採掘水晶而偷偷建造的{/tp}
1BB01BD4    {tp:0.04}算了　先別管什麼理由{p}{p}其實哪・・・{p}{p}我早就料到可能會發生這種情況{p}{p}就事先把{clr:51E949}奇諾比奧{clr:pop}送過去{p}吩咐他找出{clr:A554D0}暗月碎片{clr:pop}的位置了！{/tp}
