langid:7A947B29
14    5
3D10C03    {tp:0.01}Recover a gear in the Study.{/tp}
3E32481    {tp:0.01}Find a vane in the Seedling Laboratory.{/tp}
3E32482    {tp:0.01}Find a vane in the Tool Shed.{/tp}
3E32483    {tp:0.01}Find a vane in the Conservatory.{/tp}
3E32485    {tp:0.01}Find a vane in the Garden.{/tp}
3EFFE16    Hunter Mode!
407E1E4    {tp:0.01}Remove the green chain.{/tp}
407E1E5    {tp:0.01}Remove the red chain.{/tp}
407E1E6    {tp:0.01}Remove the yellow chain.{/tp}
4137972    Vault{p}Bonus
4181F51    {tp:0.01}Capture all the ghosts as soon as possible!{/tp}
4196E04    {tp:0.01}Rescue the Toad in the Jungle Exhibit.{/tp}
4196E05    {tp:0.01}Rescue the Toad in the Ice Age Exhibit.{/tp}
44CBABF    Workhorse
45006D6    Complete the first mission{p}in the Gloomy Manor to{p}unlock E. Gadd's Vault!
4A8FDD4    {tp:0.01}{clr:51E949}Luigi{clr:pop}, researching those powerful{p}ghosts you just caught will have to{p}wait...{/tp}
4A8FDD5    {tp:0.01}Because I've finally located the{p}{clr:A554D0}Dark Moon {clr:pop}piece!{/tp}
4A8FDD6    {tp:0.01}The signal is coming from an{p}unlikely place outside of the mine:{p}the distant {clr:FF9754}Workshop{clr:pop}!{/tp}
4A8FDD7    {tp:0.01}But the {clr:FF9754}Workshop{clr:pop} is on the other{p}side of a big chasm, and the nearby{p}{clr:71D2FF}Pixelator {clr:pop}camera isn't responding.{/tp}
4A8FDD8    {tp:0.01}Luckily, the Toad you rescued knows{p}how to get across the chasm.{/tp}
4A8FDD9    {tp:0.01}He says there's a gondola that will{p}take you to the {clr:FF9754}Workshop{clr:pop}.{/tp}
4A8FDDA    {tp:0.01}The weather seems to be getting{p}worse, but the gondola ride{p}shouldn't take too long.{/tp}
4A8FDDB    {tp:0.01}All you need to do is board it at the{p}{clr:FF9754}Terminal{clr:pop} and ride it across the{p}chasm.{p}Easy as pie, eh, youngster?{/tp}
4A8FDDC    {tp:0.01}I'll call you on the {clr:71D2FF}Dual Scream{clr:pop}{p}once you get across.{p}Look lively!{/tp}
4B1E2B0    Antechamber
4D6FA46    Red Coin Bonus!
4E24D2D    {tp:0.01}Good going, {clr:51E949}Luigi{clr:pop}!{p}I knew you had it in you.{/tp}
4E24D2E    {tp:0.01}You recovered the {clr:71D2FF}clock hands{clr:pop},{p}and you captured the Ancient{p}Poltergeist!{/tp}
4E24D2F    {tp:0.01}Let's get you back here. I don't{p}want that Poltergeist escaping{p}from the {clr:71D2FF}Poltergust 5000{clr:pop}!{p}Hold on!{/tp}
50C336E    Empty
51DBAA1    Floor
559496F    Vault Total:
5819C2D    No
58DC1AA    Jungle Exhibit
60D210D    Start
63953AB    E. Gadd's Vault
6530CA7    Worldwide
6DE4078    Complete more missions in{p}the Gloomy Manor to unlock{p}ScareScraper mode!
7A533C9    Surprise Mode
83BDB75    The only thing he enjoys more{p}than playing golf is creating{p}"hazards" on the green.
8702C39    {tp:0.01}Welcome back, youngster.{p}Great job up there, as usual.{p}{p}Now, would you hand over that {p}handy {clr:71D2FF}hour hand{clr:pop}? Ho ho!{/tp}
8702C3A    {tp:0.01}Phew! The dog didn't chew it up.{p}{p}{p}After our last ghost-dog incident,{p}I was worried I'd have to repair this{p}thing.{/tp}
8702C3B    {tp:0.01}All right, you know the drill, son.{p}Let's send those ghosties down to{p}the {clr:FF9754}Vault{clr:pop}.{/tp}
8702C3C    {tp:0.01}Anyhoo, we need to focus on finding{p}the last missing clock piece:{p}the {clr:71D2FF}rotor{clr:pop}.{/tp}
8702C3D    {tp:0.01}You'll need it to operate the{p}{clr:71D2FF}clock hands {clr:pop}and open the{p}{clr:FF9754}Clock Tower Gate{clr:pop}. {/tp}
8702C3E    {tp:0.01}I'll need some time to track it down.{p}Why don't you take a load off?{/tp}
8702C3F    {tp:0.01}You hear me, young feller?{p}Skedaddle!{/tp}
87AE851    When vacuuming up a ghost, you'll{p}be able to charge the Power Gauge{p}longer, weakening the ghost even{p}more when you press ɐ!
87AE852    When vacuuming up a ghost, you can{p}now charge the Power Gauge to{p}full capacity before pressing ɐ!
898D4A1    Cliffside
8FF848B    As if they weren't enough trouble{p}already, the crystals have augmented{p}these brainy ghosts' telekinetic powers.{p}I wouldn't want to run into this guy in{p}a dark alley. That's for sure.
920E90F    {tp:0.01}{ts:1}What're ya scared of, sonny?{p}It's just a few harmless ghosts.{/ts}{/tp}
920E910    {tp:0.01}Well...a few hundred ghosts.{p}And they're not exactly harmless.{/tp}
920E911    {tp:0.01}But looky here—{p}With my brains and your...ah...{p}your...{/tp}
920E913    {tp:0.01}Look familiar?{p}{p}{p}This customized {clr:71D2FF}DS{clr:pop} has an{p}interactive map of the{p}{clr:FF9754}Gloomy Manor {clr:pop}on it.{p}It'll also allow me to communicate{p}with you while you're exploring.{/tp}
920E914    {tp:0.01}And it's mighty dark in there, {p}so you'll want this {clr:71D2FF}flashlight{clr:pop}.{/tp}
920E916    {tp:0.01}{ts:1}You ready, son?{p}{p}{p}I'll zap you to the {clr:FF9754}Gloomy Manor{clr:pop}{p}with my new and largely untested{p}{clr:71D2FF}Pixelator{clr:pop}!{/ts}{/tp}
920E917    {tp:0.01}Let's hope all of the pixels make it{p}this time.{p}Heh heh...{p}Hold on to your mustache!{/tp}
98FD7EA    OK
9981119    Waiting for players...
9F6CF85    Polterpup Floor - {0}
A23511F    Are you sure you want to quit?
A26EC9E    Kitchen
A734D0B    B2
B1797FC    Ideal for four experienced players.{p}Virtually impossible on your own, but{p}do you have the guts to try it tandem?
B3B70EE    These identical twin brothers sure {p}have a blast playing with bombs!
BA17346    {tp:0.01}All right, {clr:51E949}Luigi{clr:pop}!{p}I've got a reading on the{p}ghosts. Check your map!{/tp}
BA17347    {tp:0.01}What in tarnation?{p}More readings are popping up.{p}They're in two rooms this time!{/tp}
BA17348    {tp:0.01}Gah! They just keep on coming!{p}Check your map, sonny!{/tp}
BB86367    B1
C7BDBE1    We finally have everything we need{p}to reach the top of the Clock Tower!{p}But first, let's check the security{p}image that the Toad brought with him.
CC53634    Between you and me, his striped{p}camouflage seems a bit unnecessary{p}considering he can turn invisible{p}whenever he wants.
CF461BB    The towers' machinery isn't active.{p}I'm guessing the ghosts broke it{p}already. We need to get the Hydro{p}Generator running before we can{p}search for the next Dark Moon piece.
D366B6F    {tp:0.01}{clr:51E949}L{clr:pop}__{clr:51E949}gi{clr:pop}! Are y_u all right?{/tp}
D366B70    {tp:0.01}You're los__g rec_ption.{p}Are you undergr__nd?{/tp}
D366B71    {tp:0.01}C__miny!{p}You pro__bly fell int_{p}t__ old mine.{p}T___ place is extr___ly {p}da__erous!{p}Be ca__ful.{/tp}
D366B72    {tp:0.01}T__re's an old elevat_r that{p}sh__ld take __u back t_{p}___ {clr:FF9754}Chalet{clr:pop}.{p}That's th_ on_y way out!{p}Good l__k!{/tp}
D53F85D    found the boss ghost!
D775D51    To protect the Dark Moon piece{p}within him, he possessed the huge{p}clock face at the top of the tower and{p}called on hordes of ghosts to help{p}him out. A battle to remember!
DD87FE0    ɏ Information
E0FB4F3    Money Maker
E49F02D    There's nowhere to go but up!
F75080E    Violet
105A690D    Maintenance Room
10EF5138    {tp:0.01}And good job restoring the water{p}flow.{/tp}
10EF5139    {tp:0.01}If this whole ghost-hunting thing{p}doesn't work out, you may have a{p}future as a plumber!{/tp}
110C0974    Incredible! This ghostly bee has{p}glands that produce delicious{p}spectral honey! Although, too{p}much of the stuff will make your{p}tongue numb. Take my word for it.
110EA2D1    Fastest Clear Time
1130A3EC    -Look Up{p}-Interact
117F33CD    Scars
11A096EB    Strong Sneaker
12F1748A    Download Play is not possible {p}using a Nintendo 3DS client {p}that has an old system version.
132996BB    {tp:0.01}Welcome back, {clr:51E949}Luigi{clr:pop}!{p}{p}{p}You were mighty heroic up there{p}fighting that possessor ghost.{/tp}
132996BC    {tp:0.01}Criminy! I can actually hear the{p}possessor raging around inside the{p}{clr:71D2FF}Poltergust 5000{clr:pop}!{p}Let's get him into the {clr:FF9754}Vault{clr:pop} quickly.{/tp}
132996BD    {tp:0.01}The longer the possessor ghosts{p}remain with the {clr:A554D0}Dark Moon {clr:pop}pieces,{p}the stronger they seem to get.{/tp}
132996BE    {tp:0.01}Good thing I've been working on{p}upgrades for the {clr:71D2FF}Poltergust 5000{clr:pop}!{/tp}
132996BF    {tp:0.01}Anyhoo, that {clr:A554D0}Dark Moon {clr:pop}piece has{p}probably been corrupted by dark{p}energy. Let's get it all cleaned up.{/tp}
132996C0    {tp:0.01}The more {clr:A554D0}Dark Moon{clr:pop} pieces we find,{p}the more I think someone shattered{p}it on purpose!{/tp}
132996C1    {tp:0.01}Anyhoo, we've got to keep going!{p}Let's check the map and see if{p}any more fog has lifted.{/tp}
132996C2    {tp:0.01}Ah... The top of the mountains!{/tp}
132996C3    {tp:0.01}That's the coldest part of{p}{clr:FF9754}Evershade Valley{clr:pop}.{p}I hope you brought your winter coat!{/tp}
13320671    {tp:0.01}{clr:51E949}L{clr:pop}{clr:51E949}{clr:pop}____!{p}C__ ___ h__r me?{/tp}
13320672    {tp:0.01}Wh___ ___ ___?{/tp}
13320673    {tp:0.01}____ _____!{p}___ ___ __ c__ ___ ___!{p}H___ on!{/tp}
13656646    {tp:0.01}Hold it, {clr:51E949}Luigi{clr:pop}!{p}You're joking, right? There's no way{p}I'm following you in there!{p}The massive gears would crush{p}me into mushroom soup!{/tp}
1391BC2E    Play with a group of nearby friends{p}who have Luigi's Mansion: Dark Moon{p}or a limited version of ScareScraper{p}acquired via Download Play.
13985FE6    fainted!
143602D0    Connecting to Nintendo Network...
148300B5    {tp:0.01}Nice work, {clr:51E949}Luigi{clr:pop}.{p}{p}{p}You sure took your sweet time,{p}but you've prevented a major{p}catastrophe.{p}Sit tight—I'm firing up the{p}{clr:71D2FF}Pixelator{clr:pop}.{/tp}
14AB1CE9    {tp:0.01}Hmm...just as I feared.{/tp}
14AB1CEA    {tp:0.01}The {clr:FF9754}Hydro Generator{clr:pop} seems to{p}be in good condition, so the{p}{clr:71D2FF}water pump {clr:pop}must be clogged. {/tp}
14AB1CEB    {tp:0.01}Why don't you check the{p}{clr:FF9754}W{clr:pop}{clr:FF9754}{clr:FF9754}ater Supply{clr:pop} {clr:pop}on the roof?{/tp}
15140474    ScareScraper Total:
152E68AD    {tp:0.01}{clr:51E949}Luigi{clr:pop}!{p}Don't give up on reaching the{p}{clr:FF9754}Storage Room{clr:pop} just yet!{p}Maybe you can help me reach that{p}{clr:71D2FF}lift{clr:pop} back there?{/tp}
156D28C4    {tp:0.01}Good j_b, young f_ller!{p}That was th_ last chain.{p}{p}Time to ride th_t gondola{p}and cross t__ chasm.{p}Posth__te!{/tp}
15AF27D6    Workshop Landing
15B0B53E    Local Play Game List
15E883A4    {tp:0.01}Gah! The zip line can't be {p}activated from this side!{/tp}
15E883A5    {tp:0.01}{clr:51E949}Luigi{clr:pop}!{p}Look over there!{/tp}
15E883A6    {tp:0.01}That's the elevator we need{p}to reach!{/tp}
15E883A7    {tp:0.01}We'll need to find another{p}way to get over there.{/tp}
15EF7AC5    Ancient Exhibit
15F43ADF    {tp:0.01}{clr:51E949}Luigi{clr:pop}!{p}We're reaching the paranormal{p}limit!{/tp}
15F43AE0    {tp:0.01}At this rate, our dimension{p}will collapse upon itself!{p}Hurry!{/tp}
16393EE3    {tp:0.01}Fantastic!{p}I'm glad you found and{p}captured that hooligan!{/tp}
16393EE4    {tp:0.01}They're very elusive,{p}only coming out when their{p}hiding spot has been found!{/tp}
16393EE5    {tp:0.01}They may all look the same, but{p}each has its own personality.{p}Try to capture them all!{/tp}
16393EE6    {tp:0.01}Otherwise they might regroup,{p}and their power grows when{p}they gather in large numbers!{/tp}
1675B3FC    {tp:0.01}Doggone it!{p}Not again!{p}{p}I don't get how that little guy{p}manages to escape from the{p}{clr:71D2FF}Poltergust 5000{clr:pop}!{/tp}
16F3B589    ???
16F5D326    Crossroads
16F9A181    New Highest Floor Reached!
17082C0B    Some determined geologists{p}started a mining operation{p}in these snowcapped mountains.{p}But when ghosts started moving in,{p}they got scared and abandoned it!
1759EAD5    Cawe
1770A253    {tp:0.01}All right, {clr:51E949}Luigi{clr:pop}, I've unscrambled the{p}image that our Toad friend{p}brought back.{p}Let's take a look-see.{/tp}
1770A254    {tp:0.01}That key in the image! It must be{p}the {clr:71D2FF}special key {clr:pop}we're looking for!{/tp}
1770A255    {tp:0.01}You know—the key that unlocks the{p}door inside the {clr:FF9754}Hollow Tree{clr:pop}!{/tp}
1770A256    {tp:0.01}The ghosts must be hiding that key{p}from us...because they don't want us{p}to get to the top of the tree.{/tp}
1770A257    {tp:0.01}And they don't want us to get to the{p}top of the tree...because that's{p}where the {clr:A554D0}Dark Moon{clr:pop} piece is!{/tp}
1770A258    {tp:0.01}Ho ho! These are some crafty{p}ghosts we're dealing with.{/tp}
1770A259    {tp:0.01}But they're no match for the{p}intellect of the living!{/tp}
1770A25A    {tp:0.01}Now, then. That image was{p}recorded at the {clr:FF9754}Rooftop Pool{clr:pop}.{p}Go get that {clr:71D2FF}special key{clr:pop}!{/tp}
17A9F1AC    {tp:0.01}You OK, {clr:51E949}Luigi{clr:pop}?{/tp}
17A9F1AD    {tp:0.01}Criminy! What in tarnation was{p}a {clr:D8BCE6}Boo {clr:pop}doing here in the valley?!{p}{p}Good thing you had the{p}{clr:71D2FF}Dark-Light Device {clr:pop}with you, or{p}you'd have been in real trouble!{/tp}
17A9F1AE    {tp:0.01}Let's get you out of there.{p}Hold on tight!{/tp}
17D43DBE    New mission unlocked!
18903B73    Underground Lab
18A5B03B    Defeat the boss ghost!
18FEDE6A    Canyon Narrows
193F41AA    {tp:0.01}{clr:51E949}Luigi{clr:pop}?{p}Where do you think you're{p}going, son?{p}We've worked so hard for this{p}moment! Open that blasted{p}gate!{/tp}
193F41AB    {tp:0.01}{clr:51E949}Luigi{clr:pop}, the {clr:FF9754}Clock Tower Gate{clr:pop}{p}is waiting to be opened.{p}{p}You're not scared of that{p}possessor ghost, are you?{/tp}
193F41AC    {tp:0.01}{clr:51E949}Luigi{clr:pop}! Quit being such a...{p}such a whippersnappin' ninny,{p}and get to the {clr:FF9754}Clock Tower{clr:pop}!{/tp}
194380F6    Highest Rank:
19ED83D4    "Help!"
19F1F819    "Over here!"
1A0E7209    {tp:0.01}{clr:51E949}L{clr:pop}__{clr:51E949}gi{clr:pop}!{p}I h_pe you're d_ing OK down{p}ther_.{/tp}
1A0E720A    {tp:0.01}Looks _ike you've reach_d the{p}{clr:FF9754}Mainten{clr:pop}_{clr:FF9754}nce{clr:pop} {clr:FF9754}Room{clr:pop}!{p}Good!{/tp}
1A0E720B    {tp:0.01}Get that g_nerator going to{p}pow_r up the {clr:FF9754}W{clr:pop}_{clr:FF9754}rkshop{clr:pop}'s door{p}and t_e {clr:71D2FF}Pixelator{clr:pop}'s camera.{/tp}
1A1EBEF2    I'd stay out of his way unless{p}you want to get tackled.{p}He's been voted MVP of the{p}ghost football league for{p}three consecutive years!
1A740178    {tp:0.01}Welcome back, youngster!{p}{p}{p}Nice work hunting down that{p}{clr:71D2FF}Front-Door Key{clr:pop}.{/tp}
1A740179    {tp:0.01}Ha! Gotcha now, you spooky mutt!{p}{p}{p}I made some adjustments to the {p}capture mechanism so he couldn't{p}escape this time.{/tp}
1A74017A    {tp:0.01}However, that was just the{p}basement of the{p}{clr:FF9754}Treacherous Mansion{clr:pop}!{/tp}
1A74017B    {tp:0.01}Who knows what the rest of the{p}place has in store for you?{/tp}
1A74017C    {tp:0.01}The mansion looks a lot creepier{p}than the last time I saw it.{p}I wonder who's been redecorating?{/tp}
1A74017D    {tp:0.01}Anyhoo, I'll adjust the {clr:71D2FF}Pixelator {clr:pop}to{p}send you to the mansion's entrance.{/tp}
1A74017E    {tp:0.01}In the meantime, why don't you do{p}some training in the {clr:71D2FF}ScareScraper{clr:pop}?{p}{p}You'll need to keep your skills sharp{p}to make it through the{p}{clr:FF9754}Treacherous Mansion{clr:pop}!{/tp}
1B4CAA2D    {tp:0.01}Good job, {clr:51E949}Luigi{clr:pop}!{p}I see you made it to the gate.{p}{p}Billowing banshees!{p}The {clr:71D2FF}clock hands{clr:pop} are missing!{/tp}
1B4CAA2E    {tp:0.01}Ho ho! Oho!{p}Those ghosts sure are{p}a clever bunch.{p}You see, the {clr:71D2FF}clock hands{clr:pop}{p}operate the {clr:FF9754}Clock Tower Gate{clr:pop}.{p}{p}The ghosts figured that out and{p}hid them from us!{p}Incredible!{p}Well, not for us, of course.{p}It's actually pretty terrible.{/tp}
1B4CAA2F    {tp:0.01}It would take a strong ghost{p}to pry off those {clr:71D2FF}clock hands{clr:pop}.{p}{p}I'll scan the area for any{p}powerful paranormal signals.{p}{p}Hold tight. I'll let you know{p}when I find something.{/tp}
1B63B330    ???
1B7156D5    {tp:0.01}{clr:51E949}Luigi{clr:pop}, let's go save my friend!{p}{p}{p}Before I fainted, I overheard the{p}{clr:D8BCE6}Boos {clr:pop}saying their boss finished{p}trapping him inside a painting.{p}Then they muttered something about{p}the {clr:FF9754}Jungle Exhibit{clr:pop}.{/tp}
1B7156D6    {tp:0.01}{clr:51E949}Luigi{clr:pop}, let's go save my friend!{p}{p}{p}Before I fainted, I overheard the{p}{clr:D8BCE6}Boos {clr:pop}saying their boss finished{p}trapping him inside a painting.{p}Then they muttered something about{p}the {clr:FF9754}Ice Age Exhibit{clr:pop}...{/tp}
1BB01BD2    {tp:0.01}Son, I hope you like snow,{p}because your next destination{p}is the top of a snowy mountain.{/tp}
1BB01BD4    {tp:0.01}But the signal picked up by the{p}{clr:71D2FF}Parascope {clr:pop}is unstable because{p}of the terrible weather.{/tp}
1BB01BD5    {tp:0.01}Luckily, I already have a Toad{p}assistant there doing research.{p}What are the odds, eh?!{p}Actually, they're one in 734,958,{p}but that's not important right now.{/tp}
1BB01BD8    {tp:0.01}You ready, son?{p}Here we go!{/tp}
1BE96B2B    {tp:0.01}Whatcha got there, son?{/tp}
1BE96B2C    {tp:0.01}Ah! That must be the{p}{clr:71D2FF}special compass{clr:pop}!{/tp}
1BE96B2D    {tp:0.01}I'll bring you back so I can{p}take a gander at it.{p}Hold on a sec.{/tp}
1C2D502B    B1
1C69503E    :
1CD64237    Highest Floor Reached:
1D1E546B    I haven't come up with a name for this{p}mischievous and adorable Polterpup{p}yet. He's caused us a whole mess of{p}trouble, but I think the playful tyke{p}just wants someone to take him in.
1D726687    F1
1DCEADFE    These big-headed know-it-alls{p}have swollen brains (and egos){p}that afford them telekinetic power.{p}Sadly, their sense of humor seems{p}to be underdeveloped.
1DE3013D    {tp:0.01}Welcome home, {clr:51E949}Luigi{clr:pop}!{p}Let's unload all those hooligans.{/tp}
1DE3013E    {tp:0.01}Good thing we nipped that in the{p}bud.{p}{p}It's mind boggling how quickly{p}ghosts can take a place over!{/tp}
1DE3013F    {tp:0.01}That's the world of paranormal{p}research for you—one minute you're{p}having fun learning about ghosts...{/tp}
1DE30140    {tp:0.01}and the next minute you're running{p}for your life, scurrying about like{p}a headless chicken!{/tp}
1DE30141    {tp:0.01}I hope we never get to that point!{/tp}
1DE30142    {tp:0.01}Ho ho!{p}What am I saying?{p}You're always at that point!{/tp}
1E5EBF5E    That ancient ghost ran off with{p}the clock hands we're looking for.{p}Thankfully, his strong paranormal{p}signature made him easy to find!
1E659232    It's always "trick or trick" with this guy!{p}He seems to have conveniently{p}forgotten the treat part. Sheesh!
1E97973B    {clr:71D2FF}A-4{clr:pop} Visual Tricks
1ED557CB    Most Treasure Collected
1EEEC189    Least Health Lost
1F05FE1A    {tp:0.01}Criminy! They've got{p}paranormal shields now?!{p}Resourceful little rascals!{/tp}
1F05FE1B    {tp:0.01}{clr:51E949}Luigi{clr:pop}, the {clr:71D2FF}Poltergust 5000{p}{clr:pop}should be able to make short{p}work of their shields.{/tp}
1F05FE1C    {tp:0.01}Once you catch a ghost in your{p}vortex, wait for the meter to{p}charge, and then press ɐ.{p}The power surge should be{p}enough to disable their shields.{p}Look lively!{/tp}
1F322AE1    ʘ Rotate
1F5A40CE    These massive, disgusting ghosts{p}can destroy an entire mansion before{p}you can say "Criminy! That's gross!"{p}Watch out for their flying goo, or{p}you'll have a hard time capturing them.
1F5DC45C    {tp:0.01}There he is, {clr:51E949}Luigi{clr:pop}!{p}{p}{p}Hmm... But you'll need to reach{p}the other side of the room to{p}get down there.{/tp}
1F5DC45D    {tp:0.01}Ah! You can use the beams to{p}get across. Use the Circle Pad{p}to jump from beam to beam.{p}I hope you're not afraid of{p}heights, youngster.{/tp}
1FCAF0CF    Yes
1FE007FF    -Look Down{p}-Run (While moving){p}-Dodge (While capturing)
203A359E    Game session is no longer available.
20F2D8FF    Canyon Hall
2147C7F7    cleared a room!
2150BDF9    Create a game for other players{p}to join via Download Play from{p}the HOME Menu.
21879866    {tp:0.01}{clr:51E949}L{clr:pop}___{clr:51E949}i{clr:pop}!{p}Are __u there?{/tp}
21879867    {tp:0.01}I can b__ely hear you!{p}Y_u prob_bly made it to t__{p}v_ry bott_m of the mine.{p}So far, so g__d?{/tp}
21879868    {tp:0.01}T__ {clr:FF9754}Crystal Quarry{clr:pop} sho_ld be{p}nearby. Try to f_nd a way in.{p}{p}But whatev_r you do,{p}don't pa__t with cr___a__l!{/tp}
21E0EE81    Charge Flashlight
21FA4A0F    Bad-minton
2229DE1B    If the problem persists, please check{p}the Operations Manual or visit{p}support.nintendo.com.
2246CAC0    Secret Pocket
22511CDC    Poltergeist
2278A5F8    ƃ{clr:F0DE8A}{0}{clr:pop}
22843A99    Failed to delete one or more profiles.
22DD778E    It'll take more than one ghost hunter{p}to capture a big Polterpup!
22DD778F    Use the Dark-Light Device to find the{p}trails leading to the hiding Polterpups!
22DD7790    Start by looking for the{p}Polterpups’ hiding places.
22E97599    {tp:0.01}{clr:51E949}Luigi{clr:pop}, when something is{p}haunted by Spirit Balls, it's not{p}necessarily invisible.{p}Sometimes illusions manifest{p}in different ways.{/tp}
22E9759A    {tp:0.01}You can use the{p}{clr:71D2FF}Dark-Light Device {clr:pop}to interact{p}with all kinds of illusions.{/tp}
22E9759B    {tp:0.01}Yep, illusions can be FRAMED{p}in all sorts of ways. Wink wink!{/tp}
22EEECF1    Criminy! I didn't think something so{p}small could be so...terrifying!{p}The size-to-scare ratio of this{p}little guy is off the charts!
23519063    {tp:0.01}Greetings, {clr:51E949}Luigi{clr:pop}!{p}I knew our paths would cross again.{/tp}
23519064    {tp:0.01}You seem a bit tense, son.{p}Relax! We're perfectly safe here in{p}this impenetrable {clr:FF9754}Bunker{clr:pop}.{/tp}
23519065    {tp:0.01}Anyhoo, it's been too long, my boy!{p}What have you been up to?{p}{p}I imagine you've been off{p}adventuring with that daredevil{p}brother of yours.{/tp}
23519066    {tp:0.01}Me? Oh, I've just been continuing my{p}research on paranormal happenings{p}and whatnot.{/tp}
23519067    {tp:0.01}In fact, after our last adventure{p}I became somewhat of an{p}authority in the field!{/tp}
23519068    {tp:0.01}But enough about that. Let me fill{p}you in on our ghostly predicament!{/tp}
23519069    {tp:0.01}See that on the screen?{p}That there is the {clr:A554D0}Dark Moon{clr:pop}.{p}{p}It's a mysterious celestial body{p}that has a pacifying effect on all of{p}the ghosts in {clr:FF9754}Evershade Valley{clr:pop}.{/tp}
2351906A    {tp:0.01}When I heard about it, I jumped at{p}the rare chance to study ghosts in{p}a peaceful environment.{/tp}
2351906B    {tp:0.01}It was incredible, my boy! I was{p}doing some of the best research of{p}my long and storied career!{p}That is, until something snapped{p}inside the ghosts and they{p}suddenly got all hostile!{/tp}
23519083    {tp:0.01}It got so bad, I had to escape from{p}the {clr:FF9754}Gloomy Manor{clr:pop} and hide here,{p}where the ghosts can't find me.{/tp}
23519084    {tp:0.01}Of course, I'm not one to sit around{p}and twiddle my thumbs. I wanted to{p}know why the ghosts freaked out.{/tp}
23519085    {tp:0.01}So I settled in and did some{p}research to figure out what{p}had happened.{/tp}
23519086    {tp:0.01}That's when I discovered something{p}truly astonishing: the {clr:A554D0}Dark Moon{p}{clr:pop}had vanished from the sky!{/tp}
23519087    {tp:0.01}And on top of that, the whole of{p}{clr:FF9754}Evershade Valley{clr:pop} had become{p}enveloped in an eerie fog.{/tp}
23519088    {tp:0.01}Now, I can't be sure, but I think the{p}disappearance of the {clr:A554D0}Dark Moon{clr:pop}{p}is what caused all this mess.{/tp}
23519089    {tp:0.01}And what a mess it is!{p}{p}{p}If we don't do something about it,{p}the ghosts might leave this valley{p}and terrorize the world beyond!{/tp}
2351908A    {tp:0.01}Worse still, my research will go to{p}waste! We can't let that happen,{p}my boy!{/tp}
2351908B    {tp:0.01}Now, I've got good news and I've got{p}bad news. Wait here.{/tp}
2351908C    {tp:0.01}The good news is that I found a{p}fragment of the {clr:A554D0}Dark Moon{clr:pop} nearby!{p}{p}But the bad news is that I found a{p}fragment of the {clr:A554D0}Dark Moon {clr:pop}nearby, {p}meaning the thing's broken.{p}And this {clr:A554D0}Dark Moon {clr:pop}piece seems to{p}be corrupted by some sort of {p}energy...{/tp}
235190A4    {tp:0.01}I reckon it's a disruptive energy{p}that suppresses the {clr:A554D0}Dark M{clr:pop}{clr:A554D0}oon{clr:pop}'s{p}ability to pacify ghosts!{/tp}
235190A5    {tp:0.01}But lucky for us, I've got inventions{p}for all kinds of situations!{p}{p}Stand back, sonny!{/tp}
235190A6    {tp:0.01}Heh heh! I've done it, {clr:51E949}Luigi{clr:pop}!{p}It seems to have regained its{p}original power!{/tp}
