app_common.dat
msg_common_big_18_keywait	[~ 0]
msg_bag_01_25	-
msg_bag_02_01	零花钱
msg_bag_02_02	[VAR 0206(0000,0000)]
msg_bag_02_03	[VAR 0206(0000,0000)]
msg_bag_02_04	同行宝可梦
msg_bag_02_05	要用于哪只宝可梦？
msg_bag_02_06	出售物列表
msg_bag_02_10	
msg_bag_02_11	威力
msg_bag_02_12	命中
msg_bag_02_20	调整位置
msg_bag_02_21	整理道具
msg_bag_02_22	重置
msg_bag_02_23	退出
msg_bag_02_24	要换穿哪件？
msg_bag_02_25	要戴在哪里？
msg_bag_02_27	要移除哪里的饰品？
msg_bag_02_26	旋转
msg_bag_02_30	[VAR 01C6(0000)]
msg_bag_02_35	[VAR FF00(0006)][VAR 01C6(0000)][VAR FF00(0000)]
msg_bag_02_40	帽子
msg_bag_02_41	眼镜
msg_bag_02_42	衣服
msg_bag_02_43	饰品
msg_bag_02_44	外套
msg_bag_02_45	裤子
msg_bag_02_46	鞋子
msg_bag_02_47	包包
msg_bag_02_48	切换为[VAR 0102(0000)]
msg_bag_02_49	切换为[VAR 0100(0000)]
msg_bag_02_50	已换穿[VAR 01C6(0000)]！
msg_bag_02_55	已换穿[VAR 01C6(0000)]！
msg_bag_02_56	移除身上的饰品。
msg_bag_02_60	耳朵
msg_bag_02_61	胸口
msg_bag_02_62	后背
msg_bag_02_63	尾巴
msg_bag_02_70	[VAR FF00(0006)]耳朵[VAR FF00(0000)]
msg_bag_02_71	[VAR FF00(0006)]前胸[VAR FF00(0000)]
msg_bag_02_72	[VAR FF00(0006)]后背[VAR FF00(0000)]
msg_bag_02_73	[VAR FF00(0006)]尾巴[VAR FF00(0000)]
msg_bag_03_01	使用
msg_bag_03_02	[~ 66]
msg_bag_03_03	[~ 67]
msg_bag_03_04	[~ 68]
msg_bag_03_05	[~ 69]
msg_bag_03_06	[~ 70]
msg_bag_03_07	[~ 71]
msg_bag_03_08	打开
msg_bag_03_09	关闭
msg_bag_03_10	取消
msg_bag_03_11	[~ 75]
msg_bag_03_12	[~ 76]
msg_bag_03_13	[~ 77]
msg_bag_03_14	调整位置
msg_bag_03_15	选择[VAR 0102(0000)]要更换的服饰
msg_bag_03_16	选择[VAR 0100(0000)]要更换的服饰
msg_bag_03_17	持有
msg_bag_03_20	类型排序
msg_bag_03_21	名称排序
msg_bag_03_22	编号排序
msg_bag_03_23	筛选
msg_bag_03_25	持有数　[VAR 0202(0000)]
msg_bag_03_30	出售
msg_bag_03_31	购买
msg_bag_03_32	退出
msg_bag_04_01	[~ 90]
msg_bag_04_02	[~ 91]
msg_bag_04_03	要按照哪种排序进行更改？
msg_bag_04_04	按类型排序整理了持有物！
msg_bag_04_05	按名称排序整理了持有物！
msg_bag_04_06	按编号排序整理了持有物！
msg_bag_04_14	以同行的宝可梦能学习的顺序\n对招式学习器进行了整理！
msg_bag_04_15	以同行的宝可梦能使用的顺序\n对糖果进行了整理！
msg_bag_04_17	已重置筛选。
msg_bag_04_16	[~ 99]
msg_bag_04_07	要回复哪个招式？
msg_bag_04_08	要增加哪个招式的PP？
msg_bag_04_09	[~ 102]
msg_bag_04_10	[~ 103]
msg_bag_04_11	[~ 104]
msg_bag_04_12	[~ 105]
msg_bag_04_13	[~ 106]
msg_bag_05_01	是
msg_bag_05_02	否
msg_bag_06_00	[~ 109]
msg_bag_06_01	[VAR 0102(0000)]的体力回复了[VAR 0202(0001)]！
msg_bag_06_02	[VAR 0102(0000)]恢复了活力！
msg_bag_06_03	[VAR 0102(0000)]的毒消失得干干净净！
msg_bag_06_04	[VAR 0102(0000)]身体的麻痹状态消除了！
msg_bag_06_05	[VAR 0102(0000)]的灼伤治愈了！
msg_bag_06_06	[VAR 0102(0000)]身体的冰融化了！
msg_bag_06_07	[VAR 0102(0000)]醒过来了！
msg_bag_06_08	[VAR 0102(0000)]变得健康了！
msg_bag_06_10	[VAR 0102(0000)][VAR 010D(0001)]的\n基础点数上升了！
msg_bag_06_11	[VAR 0102(0000)]和你有点亲密了！\n[VAR 010D(0001)]的基础点数降低了！
msg_bag_06_12	[VAR 0102(0000)]和你的亲密度已经最高了！\n[VAR 010D(0001)]的基础点数降低了！
msg_bag_06_13	[VAR 0102(0000)]和你有点亲密了！\n[VAR 010D(0001)]的基础点数不再降低！
msg_bag_06_20	[VAR 0100(0000)]\n使用了[VAR 0109(0001)]！
msg_bag_06_23	使用了[VAR 0109(0000)]！\n宝可梦们逃走了！
msg_bag_06_24	使用了[VAR 0109(0000)]！\n神奇的香气扩散了开来！
msg_bag_06_21	之前使用的喷雾效果还留着！
msg_bag_06_22	之前使用的香水效果还留着！
msg_bag_06_30	[~ 127]
msg_bag_06_31	[~ 128]
msg_bag_06_40	[~ 129]
msg_bag_06_41	[~ 130]
msg_bag_06_42	[~ 131]
msg_bag_06_43	[~ 132]
msg_bag_06_44	[~ 133]
msg_bag_06_50	即便使用也无效果哦。
msg_bag_06_51	博士说过……\n[VAR 0100(0000)]！这种东西\r\n是要看场合来用的啊！
msg_bag_06_55	无法在这里使用。
msg_bag_06_52	[~ 137]
msg_bag_06_53	[~ 138]
msg_bag_06_54	[~ 139]
msg_bag_06_70	PP回复了！
msg_bag_06_71	[VAR 0107(0000)]的PP增加了！
msg_bag_06_80	[~ 142]
msg_bag_06_81	[~ 143]
msg_bag_06_82	那么，我退您[VAR 0207(0000,0000)]吧。
msg_bag_06_83	给出[VAR 0109(0000)]，\n拿到了[VAR 0207(0001,0000)]。
msg_bag_06_90	[VAR BE05(0005)][VAR 0102(0000)]提高到\n等级[VAR 0202(0001)]了！[VAR BE05(0001)]
msg_bag_06_97	[VAR 0102(0000)]\n变强了！
msg_bag_06_98	其他人正拿着该道具，\n所以现在无法使用它。
msg_bag_06_99	[VAR 0102(0000)]不喜欢它！
msg_bag_06_91	[~ 150]
msg_bag_06_92	[~ 151]
msg_bag_06_93	[~ 152]
msg_bag_06_94	[~ 153]
msg_bag_06_95	[~ 154]
msg_bag_06_96	[~ 155]
msg_bag_06_100	[~ 156]
msg_bag_06_110	[~ 157]
msg_bag_06_120	[~ 158]
msg_bag_06_121	[~ 159]
msg_bag_06_122	[~ 160]
msg_bag_06_123	[~ 161]
msg_bag_06_124	[~ 162]
msg_bag_07_01	启动了招式学习器！[VAR BE05(0002)][VAR BE05(0000)]
msg_bag_07_02	[VAR 0102(0000)]和[VAR 0107(0001)]\n不匹配！\c\n[VAR 0107(0001)]是学不会的！
msg_bag_07_03	[VAR 0102(0000)]已经\n学会了[VAR 0107(0001)]。
msg_bag_07_04	为了学习[VAR 0107(0000)]，\n请选择要忘记的招式！
msg_bag_07_05	[VAR 0102(0000)]\n学会了[VAR 0107(0001)]！[VAR BE05(0004)][VAR BE05(0001)]
msg_bag_07_06	１[WAIT 20]，２[WAIT 20]…[WAIT 20]…[WAIT 20]空！[VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)]把[VAR 0107(0001)]的\n使用方法忘得干干净净了！\c\n于是……！\c\n[VAR 0102(0000)]学会了\n[VAR 0107(0002)]！[VAR BE05(0004)][VAR BE05(0001)]
msg_bag_07_07	[VAR 0102(0000)]没有学习\n[VAR 0107(0001)]就结束了！
msg_bag_07_08	[VAR 0102(0000)]想要学习\n[VAR 0107(0001)]……\c\n为了学习[VAR 0107(0001)]，\n要忘记其他的招式吗？
msg_bag_08_01	要用于哪只宝可梦？
msg_bag_08_02	[~ 172]
msg_bag_08_03	[~ 173]
msg_bag_08_04	[~ 174]
msg_bag_09_01	能学习！
msg_bag_09_02	[VAR FF00(0001)]不能学[VAR FF00(0000)]
msg_bag_09_03	[VAR FF00(0002)]已学会[VAR FF00(0000)]
msg_bag_09_04	能使用
msg_bag_09_05	[VAR FF00(0001)]不能使用[VAR FF00(0000)]
msg_bag_09_10	[~ 180]
msg_bag_09_11	[~ 181]
msg_bag_09_12	[~ 182]
msg_bag_09_20	[~ 183]
msg_bag_09_30	[~ 184]
msg_bag_09_50	因[VAR 0107(0001)]的效果，\n无法对[VAR 0102(0000)]使用！
msg_bag_09_60	宝可梦的等级不够，\n所以无法使用。
msg_bag_09_61	[VAR 0109(0000)]的数量不足。
msg_bag_09_62	无法再通过使用\n[VAR 0109(0000)]来提高了。
msg_bag_20_01	攻击
msg_bag_20_02	防御
msg_bag_20_03	特攻
msg_bag_20_04	特防
msg_bag_20_05	速度
msg_bag_20_06	HP
msg_bag_11_01	[~ 195]
msg_bag_11_02	[~ 196]
msg_bag_11_03	[~ 197]
msg_bag_11_04	[~ 198]
msg_bag_11_05	[~ 199]
msg_bag_082	[~ 200]
msg_bag_083	[~ 201]
mes_bag_300	[~ 202]
mes_bag_menu_003	[~ 203]
mes_bag_325	[~ 204]
mes_bag_326	[~ 205]
msg_bag_06_83_2	给出[VAR 0109(0000)]，\n拿到了[VAR 0207(0001,0000)]。
box.dat
msg_box_popup_01	[VAR 0102(0000)] Lv.[VAR 0202(0001)] ♂
msg_box_popup_02	[VAR 0102(0000)] Lv.[VAR 0202(0001)] ♀
msg_box_popup_03	[VAR 0102(0000)] Lv.[VAR 0202(0001)]
msg_box_popup_04	[VAR 0102(0000)] ♂
msg_box_popup_05	[VAR 0102(0000)] ♀
msg_box_popup_06	[VAR 0102(0002)]
msg_box_00_00	[VAR 0102(0000)]
msg_box_00_01	[VAR 0203(0000,0000)]/[VAR 0203(0001,0000)]
msg_box_00_02	能发送的数量　[VAR 0201(0000)]/[VAR 0201(0001)]
msg_box_00_06	Lv.[VAR 0202(0000)]
msg_box_00_06_num	Lv.[VAR 0202(0000)]
msg_box_00_07	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_box_00_08	[VAR 0204(0000,0000)]
msg_box_00_09	调整位置
msg_box_00_10	同行宝可梦
msg_box_00_11	整理／搜索
msg_box_00_12	取消
msg_box_00_13	选择的宝可梦
msg_box_00_14	发送
msg_box_00_15	选择
msg_box_00_21	移除
msg_box_00_16	开始搜索
msg_box_00_17	重置
msg_box_00_18	结束搜索
msg_box_00_19	设置
msg_box_00_20	对方的宝可梦
PARAM_POKENAME	[~ 26]
PARAM_MALE	[~ 27]
PARAM_FEMALE	[~ 28]
PARAM_NONE	[~ 29]
PARAM_ZUKAN_NO_00	[~ 30]
PARAM_ZUKAN_NO_02	[~ 31]
PARAM_NAME_00	[~ 32]
PARAM_TYPE	[~ 33]
PARAM_OYANAME_00	[~ 34]
msg_box_00_22	[VAR 0100(0000)]
PARAM_HP_00	[~ 36]
PARAM_HP_01	[~ 37]
PARAM_ATK_00	[~ 38]
PARAM_DEF_00	[~ 39]
PARAM_SPATK_00	[~ 40]
PARAM_SPDEF_00	[~ 41]
PARAM_AGI_00	[~ 42]
PARAM_SEIKAKU_00	[~ 43]
PARAM_SEIKAKU_01	[~ 44]
PARAM_TOKUSEI_00	[~ 45]
PARAM_TOKUSEI_01	[~ 46]
PARAM_ITEM_00	[~ 47]
PARAM_ITEM_01	[VAR 0109(0000)]
PARAM_ITEM_02	×[VAR 0202(0000)]
PARAM_WAZA_00	[~ 50]
PARAM_WAZA_01	[~ 51]
msg_box_name	[~ 52]
msg_box_judge	[~ 53]
msg_team_name_00	[~ 54]
msg_team_name_dummy	[~ 55]
msg_group_name_02	[~ 56]
msg_group_name_03	[~ 57]
msg_group_name_04	[~ 58]
msg_box_01_01	加入同行
msg_box_01_02	从同行中移除
msg_box_01_03	调整位置
msg_box_01_41	[~ 62]
msg_box_01_04	查看信息
msg_box_01_19	更改名字
msg_box_01_15	发送给博士
msg_box_01_16	拿它去交换
msg_box_01_17	选择
msg_box_01_18	移除
msg_box_01_05	[~ 69]
msg_box_01_06	标记
msg_box_01_07	[~ 71]
msg_box_01_08	[~ 72]
msg_box_01_09	[~ 73]
msg_box_01_10	[~ 74]
msg_box_01_11	[~ 75]
msg_box_01_12	[~ 76]
msg_box_01_13	[~ 77]
msg_box_01_14	[~ 78]
msg_box_end	取消
msg_box_01_20	[~ 80]
msg_box_01_21	[~ 81]
msg_box_01_22	[~ 82]
msg_box_01_23	[~ 83]
msg_box_01_24	[~ 84]
msg_box_01_25	[~ 85]
msg_box_01_26	[~ 86]
msg_box_01_27	[~ 87]
msg_box_01_28	[~ 88]
msg_box_01_29	[~ 89]
msg_box_01_30	[~ 90]
msg_box_01_31	[~ 91]
msg_box_01_32	[~ 92]
msg_box_01_33	[~ 93]
msg_box_01_34	[~ 94]
msg_box_01_35	[~ 95]
msg_box_01_36	[~ 96]
msg_box_01_37	[~ 97]
msg_box_01_38	[~ 98]
msg_box_01_39	[~ 99]
msg_box_01_40	[~ 100]
msg_box_01_50	[~ 101]
msg_box_yes	是
msg_box_no	否
msg_box_02_01	[~ 104]
msg_box_02_02	[~ 105]
msg_box_02_03	[~ 106]
msg_box_02_04	[~ 107]
msg_box_02_05	[~ 108]
msg_box_02_06	[~ 109]
msg_box_02_07	[~ 110]
msg_box_02_08	[~ 111]
msg_box_02_09	[~ 112]
msg_box_02_10	[~ 113]
msg_box_02_11	[~ 114]
msg_box_02_12	[~ 115]
msg_box_02_13	[~ 116]
msg_box_02_14	[~ 117]
msg_box_02_15	[~ 118]
msg_box_02_16	[~ 119]
msg_box_02_17	[~ 120]
msg_box_02_18	[~ 121]
msg_box_02_19	[~ 122]
msg_box_02_20	[~ 123]
msg_box_02_21	[~ 124]
msg_box_02_22	[~ 125]
msg_box_02_23	[~ 126]
msg_box_02_24	[~ 127]
msg_box_02_25	[~ 128]
msg_box_03_01	[~ 129]
msg_box_03_02	[~ 130]
msg_box_03_03	[~ 131]
msg_box_03_04	[~ 132]
msg_box_04_yes	[~ 133]
msg_box_04_no	[~ 134]
msg_box_04_01	交换
msg_box_04_02	查看对方的宝可梦
msg_box_04_03	查看自己的宝可梦
msg_box_04_04	取消
msg_box_05_00	交换宝可梦，可以吗？
msg_box_05_12	要结束交换宝可梦吗？
msg_box_05_13	要发送选择的\n宝可梦吗？
msg_box_05_13_2	要发送选择的\n宝可梦吗？
msg_box_05_18	无法发送喜爱的宝可梦。\n要将其从喜爱中移除吗？
msg_box_05_19	[VAR FF00(0006)]发送该宝可梦\n真的可以吗？[VAR FF00(0000)]
msg_box_05_30	已将宝可梦发送给博士！\c\n……　……　……\n大木博士来信息了！\c
msg_box_05_30_2	已将宝可梦发送给博士！\c\n……　……　……\n大木博士来信息了！\c
msg_box_05_31	大木：谢谢你送我的宝可梦！\n多亏了你，我的研究有进展了！\c
msg_box_05_31_2	大木：谢谢你送我的宝可梦！\n多亏了你，我的研究有进展了！\c
msg_box_05_32	大木：谢谢你！\n这下我的研究就能顺利进行了！\c
msg_box_05_33	你好像发送了\n[VAR 0208(0001,0000)]只[VAR 0101(0000)]给我！\c
msg_box_05_34	[VAR 0102(0000)]可是非常\n不错的宝可梦呢！\c
msg_box_05_35	作为回礼，我送你一些\n能让宝可梦变强的[VAR FF00(0006)]糖果[VAR FF00(0000)]吧！\r\n你把它交给想培育的宝可梦好了！\c
msg_box_05_36	作为回礼，我送一些糖果给你吧。\c
msg_box_05_37	将得到的糖果放入了\n包包的[VAR FF00(0006)]糖果罐[VAR FF00(0000)]里！\c
msg_box_05_38	大木：至今为止，你已经发送了\n[VAR 0208(0001,0000)]只宝可梦给我。\r\n接下来也拜托你了！\c
msg_box_05_17	[~ 156]
msg_box_05_01	搭档或已从精灵球里放出来的\n宝可梦是无法用来交换的。
msg_box_05_02	要是将此宝可梦交换的话，\n就无法进行冒险了哦！
msg_box_05_03	[~ 159]
msg_box_05_04	[~ 160]
msg_box_05_05	因为是特殊的宝可梦，\n所以无法用来交换。
msg_box_05_06	因为携带特别的道具，\n所以无法用来交换。
msg_box_05_07	正在等待连接……\n请稍等片刻。
msg_box_05_20	这样就没有可以战斗的宝可梦了！
msg_box_05_21	你没有对方想要的宝可梦。
msg_box_05_08	[~ 166]
msg_box_05_09	[~ 167]
msg_box_05_10	[~ 168]
msg_box_05_11	[~ 169]
msg_box_05_14	[~ 170]
msg_box_05_15	[~ 171]
msg_box_05_16	[~ 172]
msg_box_time_01	[~ 173]
msg_box_time_02	[~ 174]
msg_box_10_01	[~ 175]
msg_box_15_01	用选定的宝可梦进行游戏
msg_box_15_02	选择其他宝可梦
msg_judge_01_01	[~ 178]
msg_judge_01_02	[~ 179]
msg_judge_01_03	[~ 180]
msg_judge_01_04	[~ 181]
msg_judge_01_05	[~ 182]
msg_judge_01_06	[~ 183]
msg_judge_02_01	[~ 184]
msg_judge_02_02	[~ 185]
msg_judge_02_03	[~ 186]
msg_judge_02_04	[~ 187]
msg_box_search_00_01	请选择要整理的种类
msg_box_search_01_01	按捕获的顺序排序
msg_box_search_01_02	按图鉴编号排序
msg_box_search_01_03	按等级从高到低排序
msg_box_search_01_04	按等级从低到高排序
msg_box_search_01_05	按CP从高到低排序
msg_box_search_01_06	按CP从低到高排序
msg_box_search_01_07	按喜爱排序
msg_box_search_01_08	按图鉴的名字排序
msg_box_search_01_09	搜索宝可梦
msg_box_search_02_00	-
msg_box_search_02_01	宝可梦的名字
msg_box_search_02_02	[VAR 0101(0000)]
msg_box_search_02_03	属性１
msg_box_search_02_04	[VAR 0103(0000)]
msg_box_search_02_05	属性２
msg_box_search_02_06	[VAR 0103(0000)]
msg_box_search_02_07	招式
msg_box_search_02_08	[VAR 0107(0000)]
msg_box_search_02_09	招式学习器
msg_box_search_02_10	[VAR 0107(0000)]
msg_box_search_02_11	[~ 209]
msg_box_search_02_12	[~ 210]
msg_box_search_02_13	性格
msg_box_search_02_14	[VAR 0108(0000)]
msg_box_search_02_15	性别
msg_box_search_02_16	♂
msg_box_search_02_17	♀
msg_box_search_02_18	性别无
msg_box_search_02_19	[~ 217]
msg_box_search_02_20	[~ 218]
msg_box_search_02_21	标记
msg_box_search_02_28	开始搜索
msg_box_search_02_22	[~ 221]
msg_box_search_02_23	[~ 222]
msg_box_search_02_24	[~ 223]
msg_box_search_02_25	[~ 224]
msg_box_search_02_26	[~ 225]
msg_box_search_02_27	[~ 226]
msg_box_search_03_01	[~ 227]
msg_box_search_04_01	[~ 228]
msg_box_search_04_02	[~ 229]
msg_box_search_04_03	[~ 230]
msg_box_search_04_04	[~ 231]
msg_box_search_04_05	[~ 232]
msg_box_search_04_06	[~ 233]
msg_box_search_04_07	[~ 234]
msg_box_search_04_08	[~ 235]
msg_box_search_04_09	[~ 236]
msg_box_search_04_10	[~ 237]
msg_box_search_04_11	[~ 238]
msg_box_search_04_12	[~ 239]
msg_box_search_04_13	[~ 240]
msg_box_search_04_14	[~ 241]
msg_box_search_04_15	[~ 242]
msg_box_search_05_01	[VAR 0103(0001)]
msg_box_search_05_02	[VAR 0103(0002)]
msg_box_search_05_03	[VAR 0107(0000)]
msg_box_search_05_04	[VAR 0106(0000)]
msg_box_search_05_05	[VAR 0108(0000)]
msg_box_search_06_00	未发现宝可梦
msg_box_search_06_01	已按捕获的顺序\n进行了整理
msg_box_search_06_02	已按图鉴编号的顺序\n进行了整理
msg_box_search_06_03	已按等级从高到低的顺序\n进行了整理
msg_box_search_06_04	已按等级从低到高的顺序\n进行了整理
msg_box_search_06_05	已按CP从高到低的顺序\n进行了整理
msg_box_search_06_06	已按CP从低到高的顺序\n进行了整理
msg_box_search_06_07	已按添加到喜爱的顺序\n进行了整理
msg_box_search_06_08	已按图鉴的名字顺序\n进行了整理
msg_box_search_07_01	喜爱的宝可梦
msg_box_search_08_01	[~ 258]
msg_box_search_08_02	[~ 259]
msg_box_search_08_03	[~ 260]
msg_box_search_08_04	[~ 261]
msg_box_search_08_05	[~ 262]
msg_box_search_08_06	[~ 263]
msg_box_search_08_07	[~ 264]
msg_box_search_08_08	[~ 265]
msg_box_search_08_09	[~ 266]
msg_box_search_08_10	[~ 267]
msg_box_search_08_11	[~ 268]
msg_box_search_08_12	[~ 269]
msg_box_search_08_13	[~ 270]
msg_box_search_08_14	[~ 271]
msg_box_search_08_15	[~ 272]
msg_box_search_08_16	[~ 273]
msg_box_search_08_17	[~ 274]
msg_box_search_08_18	[~ 275]
msg_box_search_08_19	[~ 276]
msg_box_search_08_20	[~ 277]
msg_box_search_08_21	[~ 278]
msg_box_search_08_22	[~ 279]
msg_box_search_08_23	[~ 280]
msg_box_search_08_24	[~ 281]
msg_box_search_08_25	[~ 282]
msg_chat_list_01	[~ 283]
msg_chat_list_02	[~ 284]
msg_chat_list_03	[~ 285]
msg_box_p2ptrade_01	对方已中止交换。
msg_box_p2ptrade_02	已中止交换。
msg_box_p2ptrade_03	由于对方的宝可梦有问题，\n因此无法交换。
msg_box_p2ptrade_04	要结束宝可梦交换吗？
msg_box_p2ptrade_05	对方选择了结束。\n即将结束交换。
msg_box_p2ptrade_06	正在结束连接……\n请稍等片刻。
msg_box_p2ptrade_07	[~ 292]
msg_box_p2ptrade_08	[~ 293]
msg_box_p2ptrade_09	[~ 294]
msg_judge_03_01	[~ 295]
btl_attack_zenryoku.dat
ATKMSG_Z_M_000	！
ATKMSG_Z_Y_000	！
ATKMSG_Z_E_000	！
ATKMSG_Z_N_000	！
ATKMSG_Z_M_001	[VAR 0101(0000)]使出了\nＺ拍击！
ATKMSG_Z_Y_001	野生的[VAR 0101(0000)]使出了\nＺ拍击！
ATKMSG_Z_E_001	对手的[VAR 0101(0000)]使出了\nＺ拍击！
ATKMSG_Z_N_001	霸主[VAR 0101(0000)]使出了\nＺ拍击！
ATKMSG_Z_M_002	[VAR 0101(0000)]使出了\nＺ空手劈！
ATKMSG_Z_Y_002	野生的[VAR 0101(0000)]使出了\nＺ空手劈！
ATKMSG_Z_E_002	对手的[VAR 0101(0000)]使出了\nＺ空手劈！
ATKMSG_Z_N_002	霸主[VAR 0101(0000)]使出了\nＺ空手劈！
ATKMSG_Z_M_003	[VAR 0101(0000)]使出了\nＺ连环巴掌！
ATKMSG_Z_Y_003	野生的[VAR 0101(0000)]使出了\nＺ连环巴掌！
ATKMSG_Z_E_003	对手的[VAR 0101(0000)]使出了\nＺ连环巴掌！
ATKMSG_Z_N_003	霸主[VAR 0101(0000)]使出了\nＺ连环巴掌！
ATKMSG_Z_M_004	[VAR 0101(0000)]使出了\nＺ连续拳！
ATKMSG_Z_Y_004	野生的[VAR 0101(0000)]使出了\nＺ连续拳！
ATKMSG_Z_E_004	对手的[VAR 0101(0000)]使出了\nＺ连续拳！
ATKMSG_Z_N_004	霸主[VAR 0101(0000)]使出了\nＺ连续拳！
ATKMSG_Z_M_005	[VAR 0101(0000)]使出了\nＺ百万吨重拳！
ATKMSG_Z_Y_005	野生的[VAR 0101(0000)]使出了\nＺ百万吨重拳！
ATKMSG_Z_E_005	对手的[VAR 0101(0000)]使出了\nＺ百万吨重拳！
ATKMSG_Z_N_005	霸主[VAR 0101(0000)]使出了\nＺ百万吨重拳！
ATKMSG_Z_M_006	[VAR 0101(0000)]使出了\nＺ聚宝功！
ATKMSG_Z_Y_006	野生的[VAR 0101(0000)]使出了\nＺ聚宝功！
ATKMSG_Z_E_006	对手的[VAR 0101(0000)]使出了\nＺ聚宝功！
ATKMSG_Z_N_006	霸主[VAR 0101(0000)]使出了\nＺ聚宝功！
ATKMSG_Z_M_007	[VAR 0101(0000)]使出了\nＺ火焰拳！
ATKMSG_Z_Y_007	野生的[VAR 0101(0000)]使出了\nＺ火焰拳！
ATKMSG_Z_E_007	对手的[VAR 0101(0000)]使出了\nＺ火焰拳！
ATKMSG_Z_N_007	霸主[VAR 0101(0000)]使出了\nＺ火焰拳！
ATKMSG_Z_M_008	[VAR 0101(0000)]使出了\nＺ冰冻拳！
ATKMSG_Z_Y_008	野生的[VAR 0101(0000)]使出了\nＺ冰冻拳！
ATKMSG_Z_E_008	对手的[VAR 0101(0000)]使出了\nＺ冰冻拳！
ATKMSG_Z_N_008	霸主[VAR 0101(0000)]使出了\nＺ冰冻拳！
ATKMSG_Z_M_009	[VAR 0101(0000)]使出了\nＺ雷电拳！
ATKMSG_Z_Y_009	野生的[VAR 0101(0000)]使出了\nＺ雷电拳！
ATKMSG_Z_E_009	对手的[VAR 0101(0000)]使出了\nＺ雷电拳！
