app_common.dat
msg_common_big_18_keywait	[~ 0]
msg_bag_01_23	[VAR 0202(0000)]
msg_bag_01_25	—
msg_bag_02_01	MONEY
msg_bag_02_02	[VAR 0206(0000,002C)]
msg_bag_02_03	[VAR 0206(0000,002C)]
msg_bag_02_04	Pokémon in your party
msg_bag_02_05	Which Pokémon will you use it on?
msg_bag_02_06	Items you can sell
msg_bag_02_10	
msg_bag_02_11	Power
msg_bag_02_12	Accuracy
msg_bag_02_20	 Move Item
msg_bag_02_21	 Sort Items
msg_bag_02_22	 Reset
msg_bag_02_23	 Quit
msg_bag_02_24	What would you like to put on?
msg_bag_02_25	Where do you want to stick it?
msg_bag_02_27	Where do you want to remove an accessory from?
msg_bag_02_26	 Turn
msg_bag_02_30	[VAR 01C6(0000)]
msg_bag_02_35	[VAR FF00(0006)][VAR 01C6(0000)][VAR FF00(0000)]
msg_bag_02_40	Hats
msg_bag_02_41	Glasses
msg_bag_02_42	Clothes
msg_bag_02_43	Accessories
msg_bag_02_44	Outerwear
msg_bag_02_45	Pants
msg_bag_02_46	Shoes
msg_bag_02_47	Bags
msg_bag_02_48	Switch to [VAR 0102(0000)]
msg_bag_02_49	Switch to [VAR 0100(0000)]
msg_bag_02_50	You got out your [VAR 01C6(0000)].\nNow you’re really styling!
msg_bag_02_55	You got out the [VAR 01C6(0000)].\nNow your partner is looking great!
msg_bag_02_56	Back into the trunk!
msg_bag_02_60	Ears
msg_bag_02_61	Chest
msg_bag_02_62	Back
msg_bag_02_63	Tail
msg_bag_02_70	[VAR FF00(0006)]Ears[VAR FF00(0000)]
msg_bag_02_71	[VAR FF00(0006)]Chest[VAR FF00(0000)]
msg_bag_02_72	[VAR FF00(0006)]Back[VAR FF00(0000)]
msg_bag_02_73	[VAR FF00(0006)]Tail[VAR FF00(0000)]
msg_bag_03_01	Use this item
msg_bag_03_02	[~ 66]
msg_bag_03_03	[~ 67]
msg_bag_03_04	[~ 68]
msg_bag_03_05	[~ 69]
msg_bag_03_06	[~ 70]
msg_bag_03_07	[~ 71]
msg_bag_03_08	Turn the Exp. Share on
msg_bag_03_09	Turn the Exp. Share off
msg_bag_03_10	Cancel
msg_bag_03_11	[~ 75]
msg_bag_03_12	[~ 76]
msg_bag_03_13	[~ 77]
msg_bag_03_14	Move this item
msg_bag_03_15	Choose an outfit for [VAR 0102(0000)]
msg_bag_03_16	Choose an outfit for [VAR 0100(0000)]
msg_bag_03_17	Use this item
msg_bag_03_20	By type
msg_bag_03_21	By name
msg_bag_03_22	By number
msg_bag_03_23	By usability
msg_bag_03_25	In your Bag: [VAR 0202(0000)]
msg_bag_03_30	 Sell
msg_bag_03_31	 Buy
msg_bag_03_32	 Quit
msg_bag_04_01	[~ 90]
msg_bag_04_02	[~ 91]
msg_bag_04_03	How do you want to sort your items?
msg_bag_04_04	Items have been sorted by type!
msg_bag_04_05	Items have been sorted by name!
msg_bag_04_06	Items have been sorted by number!
msg_bag_04_14	TMs have been filtered so you only see the ones\nyour party Pokémon can use!
msg_bag_04_15	Candies have been filtered so you only see\nthe ones your party Pokémon can use!
msg_bag_04_17	The filter has been removed!
msg_bag_04_16	[~ 99]
msg_bag_04_07	Which move’s PP do you want to restore?
msg_bag_04_08	Which move’s PP do you want to boost?
msg_bag_04_09	[~ 102]
msg_bag_04_10	[~ 103]
msg_bag_04_11	[~ 104]
msg_bag_04_12	[~ 105]
msg_bag_04_13	[~ 106]
msg_bag_05_01	Yes
msg_bag_05_02	No
msg_bag_06_00	[~ 109]
msg_bag_06_01	[VAR 0102(0000)]’s HP was restored by [VAR 0202(0001)] point[VAR 1101(0001,0100)]s.
msg_bag_06_02	[VAR 0102(0000)] recovered from fainting!
msg_bag_06_03	[VAR 0102(0000)] was cured of its poisoning!
msg_bag_06_04	[VAR 0102(0000)] was cured of paralysis!
msg_bag_06_05	[VAR 0102(0000)]’s burn was healed!
msg_bag_06_06	[VAR 0102(0000)] was thawed out!
msg_bag_06_07	[VAR 0102(0000)] woke up!
msg_bag_06_08	[VAR 0102(0000)] became healthy!
msg_bag_06_10	[VAR 0102(0000)]’s base [VAR 010D(0001)]\nrose!
msg_bag_06_11	[VAR 0102(0000)] became more friendly.\c\nHowever, its base [VAR 010D(0001)] fell!
msg_bag_06_12	[VAR 0102(0000)] adores you!\c\nHowever, its base [VAR 010D(0001)] fell!
msg_bag_06_13	[VAR 0102(0000)] became more friendly.\c\nIts base [VAR 010D(0001)] can’t go lower.
msg_bag_06_20	You used [VAR 1302(0001)][VAR 0109(0001)].
msg_bag_06_23	You used a [VAR 0109(0000)]!\nPokémon are running away!
msg_bag_06_24	You used a [VAR 0109(0000)]!\nA mysterious scent spreads around you.
msg_bag_06_21	You can’t use that now, because the last repel\nyou used is still in effect.
msg_bag_06_22	You can’t use that now, because the last lure\nyou used is still in effect.
msg_bag_06_30	[~ 127]
msg_bag_06_31	[~ 128]
msg_bag_06_40	[~ 129]
msg_bag_06_41	[~ 130]
msg_bag_06_42	[~ 131]
msg_bag_06_43	[~ 132]
msg_bag_06_44	[~ 133]
msg_bag_06_50	It won’t have any effect.
msg_bag_06_51	You seem to hear the professor’s voice,\nechoing in your head...\c\nOAK: [VAR 0100(0000)]!\nThis isn’t the time to use that!
msg_bag_06_55	Oops! You can’t use it here. Try again later!
msg_bag_06_52	[~ 137]
msg_bag_06_53	[~ 138]
msg_bag_06_54	[~ 139]
msg_bag_06_70	The move’s PP was restored.
msg_bag_06_71	[VAR 0107(0000)]’s PP increased.
msg_bag_06_80	[~ 142]
msg_bag_06_81	[~ 143]
msg_bag_06_82	I can pay you [VAR 0207(0000,002C)].\nWould that be OK?
msg_bag_06_83	You turned over the [VAR 010A(0000)]\nand got [VAR 0207(0001,002C)].
msg_bag_06_90	[VAR BE05(0005)][VAR 0102(0000)] grew to Lv. [VAR 0202(0001)]![VAR BE05(0001)]
msg_bag_06_97	[VAR 0102(0000)] got stronger!
msg_bag_06_98	Your Support Trainer is already holding that item,\nso you can’t use it!
msg_bag_06_99	[VAR 0102(0000)] doesn’t seem to like it!
msg_bag_06_91	[~ 150]
msg_bag_06_92	[~ 151]
msg_bag_06_93	[~ 152]
msg_bag_06_94	[~ 153]
msg_bag_06_95	[~ 154]
msg_bag_06_96	[~ 155]
msg_bag_06_100	[~ 156]
msg_bag_06_110	[~ 157]
msg_bag_06_120	[~ 158]
msg_bag_06_121	[~ 159]
msg_bag_06_122	[~ 160]
msg_bag_06_123	[~ 161]
msg_bag_06_124	[~ 162]
msg_bag_07_01	You booted up the TM.[VAR BE05(0002)][VAR BE05(0000)]
msg_bag_07_02	[VAR 0102(0000)] and [VAR 0107(0001)]\naren’t compatible.\c\nIt can’t learn [VAR 0107(0001)]!
msg_bag_07_03	[VAR 0102(0000)] already knows the move\n[VAR 0107(0001)].
msg_bag_07_04	Please choose a move that will be replaced\nwith [VAR 0107(0000)].
msg_bag_07_05	[VAR 0102(0000)] learned [VAR 0107(0001)]![VAR BE05(0004)][VAR BE05(0001)]
msg_bag_07_06	One...[WAIT 20]two...[WAIT 20]and...[WAIT 20][WAIT 20]ta-da![VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)] forgot [VAR 0107(0001)]!\c\nAnd it learned [VAR 0107(0002)] instead![VAR BE05(0004)][VAR BE05(0001)]
msg_bag_07_07	[VAR 0102(0000)] did not learn\n[VAR 0107(0001)].
msg_bag_07_08	[VAR 0102(0000)] wants to learn\nthe move [VAR 0107(0001)].\c\nShould an old move be forgotten and\nreplaced with [VAR 0107(0001)]?
msg_bag_08_01	Which Pokémon do you want to use this item on?
msg_bag_08_02	[~ 172]
msg_bag_08_03	[~ 173]
msg_bag_08_04	[~ 174]
msg_bag_09_01	Can learn
msg_bag_09_02	[VAR FF00(0001)]Cannot learn[VAR FF00(0000)]
msg_bag_09_03	[VAR FF00(0002)]Knows this move[VAR FF00(0000)]
msg_bag_09_04	Compatible
msg_bag_09_05	[VAR FF00(0001)]Incompatible[VAR FF00(0000)]
msg_bag_09_10	[~ 180]
msg_bag_09_11	[~ 181]
msg_bag_09_12	[~ 182]
msg_bag_09_20	[~ 183]
msg_bag_09_30	[~ 184]
msg_bag_09_50	The item can’t be used on [VAR 0102(0000)]\nbecause of [VAR 0107(0001)]’s effects!
msg_bag_09_60	You can’t use that because your Pokémon’s\nlevel is too low.
msg_bag_09_61	You don’t have enough [VAR 1001][VAR 0109(0000)].
msg_bag_09_62	You can’t use any more [VAR 1001][VAR 0109(0000)]\non this Pokémon.
msg_bag_20_01	Attack
msg_bag_20_02	Defense
msg_bag_20_03	Sp. Atk
msg_bag_20_04	Sp. Def
msg_bag_20_05	Speed
msg_bag_20_06	HP
msg_bag_11_01	[~ 195]
msg_bag_11_02	[~ 196]
msg_bag_11_03	[~ 197]
msg_bag_11_04	[~ 198]
msg_bag_11_05	[~ 199]
msg_bag_082	[~ 200]
msg_bag_083	[~ 201]
mes_bag_300	[~ 202]
mes_bag_menu_003	[~ 203]
mes_bag_325	[~ 204]
mes_bag_326	[~ 205]
msg_bag_06_83_2	You turned over the [VAR 1001][VAR 010A(0000)]\nand got [VAR 0207(0001,002C)].
box.dat
msg_box_popup_01	[VAR 0102(0000)] (Lv. [VAR 0202(0001)] / ♂)
msg_box_popup_02	[VAR 0102(0000)] (Lv. [VAR 0202(0001)] / ♀)
msg_box_popup_03	[VAR 0102(0000)] (Lv. [VAR 0202(0001)])
msg_box_popup_04	[VAR 0102(0000)] (♂)
msg_box_popup_05	[VAR 0102(0000)] (♀)
msg_box_popup_06	[VAR 0102(0002)]
msg_box_00_00	[VAR 0102(0000)]
msg_box_00_01	[VAR 0203(0000,002C)] of [VAR 0203(0001,002C)]
msg_box_00_02	Pokémon you’re sending: [VAR 0201(0000)]/[VAR 0201(0001)]
msg_box_00_06	Lv. [VAR 0202(0000)]
msg_box_00_06_num	Lv. [VAR 0202(0000)]
msg_box_00_07	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_box_00_08	[VAR 0204(0000,0000)]
msg_box_00_09	 Move Pokémon
msg_box_00_10	 In Party
msg_box_00_11	 Sort/Search
msg_box_00_12	 Back
msg_box_00_13	Selected Pokémon
msg_box_00_14	 Send
msg_box_00_15	 Select
msg_box_00_21	 Remove
msg_box_00_16	 Start Search
msg_box_00_17	 Reset
msg_box_00_18	 Exit Search
msg_box_00_19	 Set
msg_box_00_20	Other Trainer’s Pokémon
PARAM_POKENAME	[~ 26]
PARAM_MALE	[~ 27]
PARAM_FEMALE	[~ 28]
PARAM_NONE	[~ 29]
PARAM_ZUKAN_NO_00	[~ 30]
PARAM_ZUKAN_NO_02	[~ 31]
PARAM_NAME_00	[~ 32]
PARAM_TYPE	[~ 33]
PARAM_OYANAME_00	[~ 34]
msg_box_00_22	[VAR 0100(0000)]
PARAM_HP_00	[~ 36]
PARAM_HP_01	[~ 37]
PARAM_ATK_00	[~ 38]
PARAM_DEF_00	[~ 39]
PARAM_SPATK_00	[~ 40]
PARAM_SPDEF_00	[~ 41]
PARAM_AGI_00	[~ 42]
PARAM_SEIKAKU_00	[~ 43]
PARAM_SEIKAKU_01	[~ 44]
PARAM_TOKUSEI_00	[~ 45]
PARAM_TOKUSEI_01	[~ 46]
PARAM_ITEM_00	[~ 47]
PARAM_ITEM_01	[VAR 1000][VAR 0109(0000)]
PARAM_ITEM_02	×[VAR 0202(0000)]
PARAM_WAZA_00	[~ 50]
PARAM_WAZA_01	[~ 51]
msg_box_name	[~ 52]
msg_box_judge	[~ 53]
msg_team_name_00	[~ 54]
msg_team_name_dummy	[~ 55]
msg_group_name_02	[~ 56]
msg_group_name_03	[~ 57]
msg_group_name_04	[~ 58]
msg_box_01_01	Add to party
msg_box_01_02	Remove from party
msg_box_01_03	Move Pokémon
msg_box_01_41	[~ 62]
msg_box_01_04	Check summary
msg_box_01_19	Change name
msg_box_01_15	Send to professor
msg_box_01_16	Offer as a trade
msg_box_01_17	Select
msg_box_01_18	Deselect
msg_box_01_05	[~ 69]
msg_box_01_06	Change markings
msg_box_01_07	[~ 71]
msg_box_01_08	[~ 72]
msg_box_01_09	[~ 73]
msg_box_01_10	[~ 74]
msg_box_01_11	[~ 75]
msg_box_01_12	[~ 76]
msg_box_01_13	[~ 77]
msg_box_01_14	[~ 78]
msg_box_end	Cancel
msg_box_01_20	[~ 80]
msg_box_01_21	[~ 81]
msg_box_01_22	[~ 82]
msg_box_01_23	[~ 83]
msg_box_01_24	[~ 84]
msg_box_01_25	[~ 85]
msg_box_01_26	[~ 86]
msg_box_01_27	[~ 87]
msg_box_01_28	[~ 88]
msg_box_01_29	[~ 89]
msg_box_01_30	[~ 90]
msg_box_01_31	[~ 91]
msg_box_01_32	[~ 92]
msg_box_01_33	[~ 93]
msg_box_01_34	[~ 94]
msg_box_01_35	[~ 95]
msg_box_01_36	[~ 96]
msg_box_01_37	[~ 97]
msg_box_01_38	[~ 98]
msg_box_01_39	[~ 99]
msg_box_01_40	[~ 100]
msg_box_01_50	[~ 101]
msg_box_yes	Yes
msg_box_no	No
msg_box_02_01	[~ 104]
msg_box_02_02	[~ 105]
msg_box_02_03	[~ 106]
msg_box_02_04	[~ 107]
msg_box_02_05	[~ 108]
msg_box_02_06	[~ 109]
msg_box_02_07	[~ 110]
msg_box_02_08	[~ 111]
msg_box_02_09	[~ 112]
msg_box_02_10	[~ 113]
msg_box_02_11	[~ 114]
msg_box_02_12	[~ 115]
msg_box_02_13	[~ 116]
msg_box_02_14	[~ 117]
msg_box_02_15	[~ 118]
msg_box_02_16	[~ 119]
msg_box_02_17	[~ 120]
msg_box_02_18	[~ 121]
msg_box_02_19	[~ 122]
msg_box_02_20	[~ 123]
msg_box_02_21	[~ 124]
msg_box_02_22	[~ 125]
msg_box_02_23	[~ 126]
msg_box_02_24	[~ 127]
msg_box_02_25	[~ 128]
msg_box_03_01	[~ 129]
msg_box_03_02	[~ 130]
msg_box_03_03	[~ 131]
msg_box_03_04	[~ 132]
msg_box_04_yes	[~ 133]
msg_box_04_no	[~ 134]
msg_box_04_01	Trade Pokémon
msg_box_04_02	Check offered Pokémon
msg_box_04_03	Check your Pokémon
msg_box_04_04	Cancel
msg_box_05_00	You’re about to start a Pokémon trade!\nIs that OK?
msg_box_05_12	Do you want to give up on trading Pokémon?
msg_box_05_13	Do you want to send the Pokémon you’ve\nchosen to the professor?
msg_box_05_13_2	Do you want to send the Pokémon you’ve\nchosen to the professor?
msg_box_05_18	You can’t send a Pokémon that you’ve favorited.\nDo you want to unfavorite this Pokémon?
msg_box_05_19	[VAR FF00(0006)]Are you really sure you want to send this\nPokémon? You can’t get it back![VAR FF00(0000)]
msg_box_05_30	Your Pokémon has been sent to the professor!\c\n... ... ...\c\nYou got a message back from the professor!\c
msg_box_05_30_2	Your Pokémon have been sent to the professor!\c\n... ... ...\c\nYou got a message back from the professor!\c
msg_box_05_31	OAK: Thank you for sending along a Pokémon!\nThis will help a good deal with my research!\c
msg_box_05_31_2	OAK: Thanks for sending along those Pokémon!\nThey will help a good deal with my research!\c
msg_box_05_32	OAK: Thank you, my [VAR 1100(00FF,0403)]boygirl!\nThis will help a good deal with my research!\c
msg_box_05_33	And would you look at this...\nYou’ve sent me [VAR 0208(0001,002C)] [VAR 0101(0000)]!\c
msg_box_05_34	[VAR 0102(0000)] is quite a fine Pokémon!\c
msg_box_05_35	That’s it! I think you’ve earned some [VAR FF00(0006)]Candy[VAR FF00(0000)] for\nall your help in getting me Pokémon to study.\c\nCandies make your Pokémon stronger, so use\nthem on a Pokémon you’d like to train well!\c
msg_box_05_36	I think you’ve earned yourself a reward!\c
msg_box_05_37	You put your reward in the [VAR FF00(0006)]Candy Jar[VAR FF00(0000)] in\nyour Bag!\c
msg_box_05_38	You’ve sent me [VAR 0208(0001,002C)] Pokémon so far.\nYou’re a great aid to my work, [VAR 0100(0000)]!\r\nDo keep on sending me more Pokémon!\c
msg_box_05_17	[~ 156]
msg_box_05_01	You can’t trade your partner or a Pokémon\nyou’ve taken out of its Poké Ball!
msg_box_05_02	You need that Pokémon for your adventure!
msg_box_05_03	[~ 159]
msg_box_05_04	[~ 160]
msg_box_05_05	That’s a special Pokémon.\nYou can’t trade it.
msg_box_05_06	That Pokémon has a special item.\nYou can’t trade it.
msg_box_05_07	Communicating...\nPlease stand by.
msg_box_05_20	You’ll have no Pokémon left to battle with\nif you do that!
msg_box_05_21	You don’t have any Pokémon that your trading\npartner wants.
msg_box_05_08	[~ 166]
msg_box_05_09	[~ 167]
msg_box_05_10	[~ 168]
msg_box_05_11	[~ 169]
msg_box_05_14	[~ 170]
msg_box_05_15	[~ 171]
msg_box_05_16	[~ 172]
msg_box_time_01	[~ 173]
msg_box_time_02	[~ 174]
msg_box_10_01	[~ 175]
msg_box_15_01	Use the Pokémon you selected
msg_box_15_02	Choose a Pokémon
msg_judge_01_01	[~ 178]
msg_judge_01_02	[~ 179]
msg_judge_01_03	[~ 180]
msg_judge_01_04	[~ 181]
msg_judge_01_05	[~ 182]
msg_judge_01_06	[~ 183]
msg_judge_02_01	[~ 184]
msg_judge_02_02	[~ 185]
msg_judge_02_03	[~ 186]
msg_judge_02_04	[~ 187]
msg_box_search_00_01	Choose how to sort or search for specific Pokémon
msg_box_search_01_01	Sort by order caught
msg_box_search_01_02	Sort by Pokédex number
msg_box_search_01_03	Sort by level (high to low)
msg_box_search_01_04	Sort by level (low to high)
msg_box_search_01_05	Sort by CP (high to low)
msg_box_search_01_06	Sort by CP (low to high)
msg_box_search_01_07	Sort with favorites on top
msg_box_search_01_08	Sort by species name
msg_box_search_01_09	Search for specific Pokémon
msg_box_search_02_00	—
msg_box_search_02_01	Name
msg_box_search_02_02	[VAR 0101(0000)]
msg_box_search_02_03	Type 1
msg_box_search_02_04	[VAR 0103(0000)]
msg_box_search_02_05	Type 2
msg_box_search_02_06	[VAR 0103(0000)]
msg_box_search_02_07	Known move
msg_box_search_02_08	[VAR 0107(0000)]
msg_box_search_02_09	Compatible TM
msg_box_search_02_10	[VAR 0107(0000)]
msg_box_search_02_11	[~ 209]
msg_box_search_02_12	[~ 210]
msg_box_search_02_13	Nature
msg_box_search_02_14	[VAR 0108(0000)]
msg_box_search_02_15	Gender
msg_box_search_02_16	♂
msg_box_search_02_17	♀
msg_box_search_02_18	Unknown
msg_box_search_02_19	[~ 217]
msg_box_search_02_20	[~ 218]
msg_box_search_02_21	Markings
msg_box_search_02_28	Start search
msg_box_search_02_22	[~ 221]
msg_box_search_02_23	[~ 222]
msg_box_search_02_24	[~ 223]
msg_box_search_02_25	[~ 224]
msg_box_search_02_26	[~ 225]
msg_box_search_02_27	[~ 226]
msg_box_search_03_01	[~ 227]
msg_box_search_04_01	[~ 228]
msg_box_search_04_02	[~ 229]
msg_box_search_04_03	[~ 230]
msg_box_search_04_04	[~ 231]
msg_box_search_04_05	[~ 232]
msg_box_search_04_06	[~ 233]
msg_box_search_04_07	[~ 234]
msg_box_search_04_08	[~ 235]
msg_box_search_04_09	[~ 236]
msg_box_search_04_10	[~ 237]
msg_box_search_04_11	[~ 238]
msg_box_search_04_12	[~ 239]
msg_box_search_04_13	[~ 240]
msg_box_search_04_14	[~ 241]
msg_box_search_04_15	[~ 242]
msg_box_search_05_01	[VAR 0103(0001)]
msg_box_search_05_02	[VAR 0103(0002)]
msg_box_search_05_03	[VAR 0107(0000)]
msg_box_search_05_04	[VAR 0106(0000)]
msg_box_search_05_05	[VAR 0108(0000)]
msg_box_search_06_00	No Pokémon were found.
msg_box_search_06_01	Your Pokémon have been sorted by when you\nfirst caught them.
msg_box_search_06_02	Your Pokémon have been sorted by their\nPokédex numbers.
msg_box_search_06_03	Your Pokémon have been sorted by level,\nfrom the highest level to the lowest.
msg_box_search_06_04	Your Pokémon have been sorted by level,\nfrom the lowest level to the highest.
msg_box_search_06_05	Your Pokémon have been sorted by their CP,\nfrom the highest value to the lowest.
msg_box_search_06_06	Your Pokémon have been sorted by their CP,\nfrom the lowest value to the highest.
msg_box_search_06_07	Your Pokémon have been sorted so your\nfavorites appear at the top of the list.
msg_box_search_06_08	Your Pokémon have been sorted alphabetically\nby species name.
msg_box_search_07_01	Favorite
msg_box_search_08_01	[~ 258]
msg_box_search_08_02	[~ 259]
msg_box_search_08_03	[~ 260]
msg_box_search_08_04	[~ 261]
msg_box_search_08_05	[~ 262]
msg_box_search_08_06	[~ 263]
msg_box_search_08_07	[~ 264]
msg_box_search_08_08	[~ 265]
msg_box_search_08_09	[~ 266]
msg_box_search_08_10	[~ 267]
msg_box_search_08_11	[~ 268]
msg_box_search_08_12	[~ 269]
msg_box_search_08_13	[~ 270]
msg_box_search_08_14	[~ 271]
msg_box_search_08_15	[~ 272]
msg_box_search_08_16	[~ 273]
msg_box_search_08_17	[~ 274]
msg_box_search_08_18	[~ 275]
msg_box_search_08_19	[~ 276]
msg_box_search_08_20	[~ 277]
msg_box_search_08_21	[~ 278]
msg_box_search_08_22	[~ 279]
msg_box_search_08_23	[~ 280]
msg_box_search_08_24	[~ 281]
msg_box_search_08_25	[~ 282]
msg_chat_list_01	[~ 283]
msg_chat_list_02	[~ 284]
msg_chat_list_03	[~ 285]
msg_box_p2ptrade_01	Your trading partner canceled the trade.
msg_box_p2ptrade_02	You canceled the trade.
msg_box_p2ptrade_03	You can’t make this trade because there’s\na problem with your trading partner’s Pokémon.
msg_box_p2ptrade_04	Would you like to cancel the Pokémon trade?
msg_box_p2ptrade_05	Your trading partner chose to cancel.\nThe trade will now end.
msg_box_p2ptrade_06	Ending the communication...\nPlease wait.
msg_box_p2ptrade_07	[~ 292]
msg_box_p2ptrade_08	[~ 293]
msg_box_p2ptrade_09	[~ 294]
msg_judge_03_01	[~ 295]
btl_attack_zenryoku.dat
ATKMSG_Z_M_000	!
ATKMSG_Z_Y_000	!
ATKMSG_Z_E_000	!
ATKMSG_Z_N_000	!
ATKMSG_Z_M_001	[VAR 0101(0000)] used Z-Pound!
ATKMSG_Z_Y_001	The wild [VAR 0101(0000)] used Z-Pound!
ATKMSG_Z_E_001	The opposing [VAR 0101(0000)] used Z-Pound!
ATKMSG_Z_N_001	Totem [VAR 0101(0000)] used Z-Pound!
ATKMSG_Z_M_002	[VAR 0101(0000)] used Z-Karate Chop!
ATKMSG_Z_Y_002	The wild [VAR 0101(0000)] used Z-Karate Chop!
ATKMSG_Z_E_002	The opposing [VAR 0101(0000)] used Z-Karate Chop!
ATKMSG_Z_N_002	Totem [VAR 0101(0000)] used Z-Karate Chop!
ATKMSG_Z_M_003	[VAR 0101(0000)] used Z-Double Slap!
ATKMSG_Z_Y_003	The wild [VAR 0101(0000)] used Z-Double Slap!
ATKMSG_Z_E_003	The opposing [VAR 0101(0000)] used Z-Double Slap!
ATKMSG_Z_N_003	Totem [VAR 0101(0000)] used Z-Double Slap!
ATKMSG_Z_M_004	[VAR 0101(0000)] used Z-Comet Punch!
ATKMSG_Z_Y_004	The wild [VAR 0101(0000)] used Z-Comet Punch!
ATKMSG_Z_E_004	The opposing [VAR 0101(0000)] used Z-Comet Punch!
ATKMSG_Z_N_004	Totem [VAR 0101(0000)] used Z-Comet Punch!
ATKMSG_Z_M_005	[VAR 0101(0000)] used Z-Mega Punch!
ATKMSG_Z_Y_005	The wild [VAR 0101(0000)] used Z-Mega Punch!
ATKMSG_Z_E_005	The opposing [VAR 0101(0000)] used Z-Mega Punch!
ATKMSG_Z_N_005	Totem [VAR 0101(0000)] used Z-Mega Punch!
ATKMSG_Z_M_006	[VAR 0101(0000)] used Z-Pay Day!
ATKMSG_Z_Y_006	The wild [VAR 0101(0000)] used Z-Pay Day!
ATKMSG_Z_E_006	The opposing [VAR 0101(0000)] used Z-Pay Day!
ATKMSG_Z_N_006	Totem [VAR 0101(0000)] used Z-Pay Day!
ATKMSG_Z_M_007	[VAR 0101(0000)] used Z-Fire Punch!
ATKMSG_Z_Y_007	The wild [VAR 0101(0000)] used Z-Fire Punch!
ATKMSG_Z_E_007	The opposing [VAR 0101(0000)] used Z-Fire Punch!
