app_common.dat
msg_common_big_18_keywait	[~ 0]
msg_bag_01_25	-
msg_bag_02_01	零用錢
msg_bag_02_02	[VAR 0206(0000,0000)]
msg_bag_02_03	[VAR 0206(0000,0000)]
msg_bag_02_04	同行寶可夢
msg_bag_02_05	要對哪隻寶可夢使用？
msg_bag_02_06	賣出物品列表
msg_bag_02_10	
msg_bag_02_11	威力
msg_bag_02_12	命中
msg_bag_02_20	調整位置
msg_bag_02_21	整理道具
msg_bag_02_22	重置
msg_bag_02_23	退出
msg_bag_02_24	要換成哪一件？
msg_bag_02_25	要戴在哪裡？
msg_bag_02_27	要移除哪裡的飾品？
msg_bag_02_26	旋轉
msg_bag_02_30	[VAR 01C6(0000)]
msg_bag_02_35	[VAR FF00(0006)][VAR 01C6(0000)][VAR FF00(0000)]
msg_bag_02_40	帽子
msg_bag_02_41	眼鏡
msg_bag_02_42	衣服
msg_bag_02_43	飾品
msg_bag_02_44	上裝
msg_bag_02_45	褲子
msg_bag_02_46	鞋子
msg_bag_02_47	包包
msg_bag_02_48	切換為[VAR 0102(0000)]
msg_bag_02_49	切換為[VAR 0100(0000)]
msg_bag_02_50	換上了\n[VAR 01C6(0000)]！
msg_bag_02_55	換上了\n[VAR 01C6(0000)]！
msg_bag_02_56	移除身上的服飾。
msg_bag_02_60	耳朵
msg_bag_02_61	胸口
msg_bag_02_62	背部
msg_bag_02_63	尾巴
msg_bag_02_70	[VAR FF00(0006)]耳朵[VAR FF00(0000)]
msg_bag_02_71	[VAR FF00(0006)]胸口[VAR FF00(0000)]
msg_bag_02_72	[VAR FF00(0006)]背部[VAR FF00(0000)]
msg_bag_02_73	[VAR FF00(0006)]尾巴[VAR FF00(0000)]
msg_bag_03_01	使用
msg_bag_03_02	[~ 66]
msg_bag_03_03	[~ 67]
msg_bag_03_04	[~ 68]
msg_bag_03_05	[~ 69]
msg_bag_03_06	[~ 70]
msg_bag_03_07	[~ 71]
msg_bag_03_08	開啟
msg_bag_03_09	關閉
msg_bag_03_10	取消
msg_bag_03_11	[~ 75]
msg_bag_03_12	[~ 76]
msg_bag_03_13	[~ 77]
msg_bag_03_14	調整位置
msg_bag_03_15	為[VAR 0102(0000)]選擇要更換的服裝
msg_bag_03_16	為[VAR 0100(0000)]選擇要更換的服裝
msg_bag_03_17	拿出
msg_bag_03_20	按種類排序
msg_bag_03_21	按名稱排序
msg_bag_03_22	按編號排序
msg_bag_03_23	篩選
msg_bag_03_25	持有數　[VAR 0202(0000)]
msg_bag_03_30	賣出
msg_bag_03_31	購買
msg_bag_03_32	退出
msg_bag_04_01	[~ 90]
msg_bag_04_02	[~ 91]
msg_bag_04_03	要更改成哪種排序？
msg_bag_04_04	按種類排序整理了持有物！
msg_bag_04_05	按名稱排序整理了持有物！
msg_bag_04_06	按編號排序整理了持有物！
msg_bag_04_14	已篩選出同行寶可夢\n能學習的招式學習器！
msg_bag_04_15	已篩選出同行寶可夢\n能使用的糖果！
msg_bag_04_17	已重置篩選。
msg_bag_04_16	[~ 99]
msg_bag_04_07	要回復哪個招式的PP？
msg_bag_04_08	要增加哪個招式的PP？
msg_bag_04_09	[~ 102]
msg_bag_04_10	[~ 103]
msg_bag_04_11	[~ 104]
msg_bag_04_12	[~ 105]
msg_bag_04_13	[~ 106]
msg_bag_05_01	是
msg_bag_05_02	否
msg_bag_06_00	[~ 109]
msg_bag_06_01	[VAR 0102(0000)]的體力回復了[VAR 0202(0001)]！
msg_bag_06_02	[VAR 0102(0000)]恢復了活力！
msg_bag_06_03	[VAR 0102(0000)]中的毒消失得一乾二淨了！
msg_bag_06_04	[VAR 0102(0000)]身上的麻痺解除了！
msg_bag_06_05	[VAR 0102(0000)]的灼傷痊癒了！
msg_bag_06_06	[VAR 0102(0000)]身上的冰融化了！
msg_bag_06_07	[VAR 0102(0000)]醒過來了！
msg_bag_06_08	[VAR 0102(0000)]恢復健康了！
msg_bag_06_10	[VAR 0102(0000)]的[VAR 010D(0001)]\n基礎點數上升了！
msg_bag_06_11	[VAR 0102(0000)]\n和你的親密度上升了！\c\n[VAR 010D(0001)]的基礎點數下降了！
msg_bag_06_12	[VAR 0102(0000)]\n和你的親密度已經達到最高了！\c\n[VAR 010D(0001)]的基礎點數下降了！
msg_bag_06_13	[VAR 0102(0000)]\n和你的親密度上升了！\c\n[VAR 010D(0001)]的基礎點數\n已經不能再降低了！
msg_bag_06_20	[VAR 0100(0000)]\n使用了[VAR 0109(0001)]！
msg_bag_06_23	使用了[VAR 0109(0000)]！\n寶可夢跑掉了！
msg_bag_06_24	使用了[VAR 0109(0000)]！\n奇妙的香氣向四周飄散！
msg_bag_06_21	之前使用的噴霧效果還沒消失哦！
msg_bag_06_22	之前使用的香水效果還沒消失哦！
msg_bag_06_30	[~ 127]
msg_bag_06_31	[~ 128]
msg_bag_06_40	[~ 129]
msg_bag_06_41	[~ 130]
msg_bag_06_42	[~ 131]
msg_bag_06_43	[~ 132]
msg_bag_06_44	[~ 133]
msg_bag_06_50	現在使用沒有效果哦。
msg_bag_06_51	博士說過……\n[VAR 0100(0000)]！這種東西\r\n是要看場合來使用的啊！
msg_bag_06_55	無法在此使用。
msg_bag_06_52	[~ 137]
msg_bag_06_53	[~ 138]
msg_bag_06_54	[~ 139]
msg_bag_06_70	PP回復了！
msg_bag_06_71	[VAR 0107(0000)]的PP增加了！
msg_bag_06_80	[~ 142]
msg_bag_06_81	[~ 143]
msg_bag_06_82	那麼，我用[VAR 0207(0000,0000)]跟您收購吧。
msg_bag_06_83	交出[VAR 0109(0000)]，\n獲得了[VAR 0207(0001,0000)]。
msg_bag_06_90	[VAR BE05(0005)][VAR 0102(0000)]的等級\n提升到[VAR 0202(0001)]了！[VAR BE05(0001)]
msg_bag_06_97	[VAR 0102(0000)]\n變強了！
msg_bag_06_98	另一位玩家正拿著此道具，\n因此無法拿出。
msg_bag_06_99	[VAR 0102(0000)]不喜歡它！
msg_bag_06_91	[~ 150]
msg_bag_06_92	[~ 151]
msg_bag_06_93	[~ 152]
msg_bag_06_94	[~ 153]
msg_bag_06_95	[~ 154]
msg_bag_06_96	[~ 155]
msg_bag_06_100	[~ 156]
msg_bag_06_110	[~ 157]
msg_bag_06_120	[~ 158]
msg_bag_06_121	[~ 159]
msg_bag_06_122	[~ 160]
msg_bag_06_123	[~ 161]
msg_bag_06_124	[~ 162]
msg_bag_07_01	啟動了招式學習器！[VAR BE05(0002)][VAR BE05(0000)]
msg_bag_07_02	[VAR 0107(0001)]不適合\n[VAR 0102(0000)]！\c\n無法學會[VAR 0107(0001)]！
msg_bag_07_03	[VAR 0102(0000)]原本就已經\n學會了[VAR 0107(0001)]。
msg_bag_07_04	為了學習[VAR 0107(0000)]，\n請選擇要忘記的招式！
msg_bag_07_05	[VAR 0102(0000)]\n學會了[VAR 0107(0001)]！[VAR BE05(0004)][VAR BE05(0001)]
msg_bag_07_06	１[WAIT 20]、２[WAIT 20]…[WAIT 20]…[WAIT 20]空！[VAR BE05(0003)][VAR BE05(0000)]\c\n[VAR 0102(0000)]把[VAR 0107(0001)]\n的使用方法忘得一乾二淨了！\c\n於是……！\c\n[VAR 0102(0000)]學會了\n[VAR 0107(0002)]！[VAR BE05(0004)][VAR BE05(0001)]
msg_bag_07_07	[VAR 0102(0000)]最終沒有學會\n[VAR 0107(0001)]！
msg_bag_07_08	[VAR 0102(0000)]想要學習\n[VAR 0107(0001)]……\c\n為了學習[VAR 0107(0001)]，\n要忘記其他的招式嗎？
msg_bag_08_01	要對哪隻寶可夢使用？
msg_bag_08_02	[~ 172]
msg_bag_08_03	[~ 173]
msg_bag_08_04	[~ 174]
msg_bag_09_01	能學習！
msg_bag_09_02	[VAR FF00(0001)]不能學習[VAR FF00(0000)]
msg_bag_09_03	[VAR FF00(0002)]已學會[VAR FF00(0000)]
msg_bag_09_04	能使用
msg_bag_09_05	[VAR FF00(0001)]不能使用[VAR FF00(0000)]
msg_bag_09_10	[~ 180]
msg_bag_09_11	[~ 181]
msg_bag_09_12	[~ 182]
msg_bag_09_20	[~ 183]
msg_bag_09_30	[~ 184]
msg_bag_09_50	因為[VAR 0107(0001)]的效果，\n無法對[VAR 0102(0000)]使用！
msg_bag_09_60	寶可夢等級不夠，\n因此無法使用。
msg_bag_09_61	[VAR 0109(0000)]的數量不足。
msg_bag_09_62	無法再對此寶可夢\n使用更多[VAR 0109(0000)]了。
msg_bag_20_01	攻擊
msg_bag_20_02	防禦
msg_bag_20_03	特攻
msg_bag_20_04	特防
msg_bag_20_05	速度
msg_bag_20_06	HP
msg_bag_11_01	[~ 195]
msg_bag_11_02	[~ 196]
msg_bag_11_03	[~ 197]
msg_bag_11_04	[~ 198]
msg_bag_11_05	[~ 199]
msg_bag_082	[~ 200]
msg_bag_083	[~ 201]
mes_bag_300	[~ 202]
mes_bag_menu_003	[~ 203]
mes_bag_325	[~ 204]
mes_bag_326	[~ 205]
msg_bag_06_83_2	交出[VAR 0109(0000)]，\n獲得了[VAR 0207(0001,0000)]。
box.dat
msg_box_popup_01	[VAR 0102(0000)] Lv.[VAR 0202(0001)] ♂
msg_box_popup_02	[VAR 0102(0000)] Lv.[VAR 0202(0001)] ♀
msg_box_popup_03	[VAR 0102(0000)] Lv.[VAR 0202(0001)]
msg_box_popup_04	[VAR 0102(0000)] ♂
msg_box_popup_05	[VAR 0102(0000)] ♀
msg_box_popup_06	[VAR 0102(0002)]
msg_box_00_00	[VAR 0102(0000)]
msg_box_00_01	[VAR 0203(0000,0000)]/[VAR 0203(0001,0000)]
msg_box_00_02	能發送的數量 [VAR 0201(0000)]/[VAR 0201(0001)]
msg_box_00_06	Lv.[VAR 0202(0000)]
msg_box_00_06_num	Lv.[VAR 0202(0000)]
msg_box_00_07	[VAR 0202(0000)]/[VAR 0202(0001)]
msg_box_00_08	[VAR 0204(0000,0000)]
msg_box_00_09	調整位置
msg_box_00_10	同行寶可夢
msg_box_00_11	整理／搜尋
msg_box_00_12	返回
msg_box_00_13	選擇的寶可夢
msg_box_00_14	發送
msg_box_00_15	選擇
msg_box_00_21	移除
msg_box_00_16	開始搜尋
msg_box_00_17	重置
msg_box_00_18	結束搜尋
msg_box_00_19	設定
msg_box_00_20	對方的寶可夢
PARAM_POKENAME	[~ 26]
PARAM_MALE	[~ 27]
PARAM_FEMALE	[~ 28]
PARAM_NONE	[~ 29]
PARAM_ZUKAN_NO_00	[~ 30]
PARAM_ZUKAN_NO_02	[~ 31]
PARAM_NAME_00	[~ 32]
PARAM_TYPE	[~ 33]
PARAM_OYANAME_00	[~ 34]
msg_box_00_22	[VAR 0100(0000)]
PARAM_HP_00	[~ 36]
PARAM_HP_01	[~ 37]
PARAM_ATK_00	[~ 38]
PARAM_DEF_00	[~ 39]
PARAM_SPATK_00	[~ 40]
PARAM_SPDEF_00	[~ 41]
PARAM_AGI_00	[~ 42]
PARAM_SEIKAKU_00	[~ 43]
PARAM_SEIKAKU_01	[~ 44]
PARAM_TOKUSEI_00	[~ 45]
PARAM_TOKUSEI_01	[~ 46]
PARAM_ITEM_00	[~ 47]
PARAM_ITEM_01	[VAR 0109(0000)]
PARAM_ITEM_02	×[VAR 0202(0000)]
PARAM_WAZA_00	[~ 50]
PARAM_WAZA_01	[~ 51]
msg_box_name	[~ 52]
msg_box_judge	[~ 53]
msg_team_name_00	[~ 54]
msg_team_name_dummy	[~ 55]
msg_group_name_02	[~ 56]
msg_group_name_03	[~ 57]
msg_group_name_04	[~ 58]
msg_box_01_01	加入同行隊伍
msg_box_01_02	從同行隊伍移除
msg_box_01_03	調整位置
msg_box_01_41	[~ 62]
msg_box_01_04	查看資訊
msg_box_01_19	更改名字
msg_box_01_15	發送給博士
msg_box_01_16	拿去交換
msg_box_01_17	選擇
msg_box_01_18	移除
msg_box_01_05	[~ 69]
msg_box_01_06	標記
msg_box_01_07	[~ 71]
msg_box_01_08	[~ 72]
msg_box_01_09	[~ 73]
msg_box_01_10	[~ 74]
msg_box_01_11	[~ 75]
msg_box_01_12	[~ 76]
msg_box_01_13	[~ 77]
msg_box_01_14	[~ 78]
msg_box_end	取消
msg_box_01_20	[~ 80]
msg_box_01_21	[~ 81]
msg_box_01_22	[~ 82]
msg_box_01_23	[~ 83]
msg_box_01_24	[~ 84]
msg_box_01_25	[~ 85]
msg_box_01_26	[~ 86]
msg_box_01_27	[~ 87]
msg_box_01_28	[~ 88]
msg_box_01_29	[~ 89]
msg_box_01_30	[~ 90]
msg_box_01_31	[~ 91]
msg_box_01_32	[~ 92]
msg_box_01_33	[~ 93]
msg_box_01_34	[~ 94]
msg_box_01_35	[~ 95]
msg_box_01_36	[~ 96]
msg_box_01_37	[~ 97]
msg_box_01_38	[~ 98]
msg_box_01_39	[~ 99]
msg_box_01_40	[~ 100]
msg_box_01_50	[~ 101]
msg_box_yes	是
msg_box_no	否
msg_box_02_01	[~ 104]
msg_box_02_02	[~ 105]
msg_box_02_03	[~ 106]
msg_box_02_04	[~ 107]
msg_box_02_05	[~ 108]
msg_box_02_06	[~ 109]
msg_box_02_07	[~ 110]
msg_box_02_08	[~ 111]
msg_box_02_09	[~ 112]
msg_box_02_10	[~ 113]
msg_box_02_11	[~ 114]
msg_box_02_12	[~ 115]
msg_box_02_13	[~ 116]
msg_box_02_14	[~ 117]
msg_box_02_15	[~ 118]
msg_box_02_16	[~ 119]
msg_box_02_17	[~ 120]
msg_box_02_18	[~ 121]
msg_box_02_19	[~ 122]
msg_box_02_20	[~ 123]
msg_box_02_21	[~ 124]
msg_box_02_22	[~ 125]
msg_box_02_23	[~ 126]
msg_box_02_24	[~ 127]
msg_box_02_25	[~ 128]
msg_box_03_01	[~ 129]
msg_box_03_02	[~ 130]
msg_box_03_03	[~ 131]
msg_box_03_04	[~ 132]
msg_box_04_yes	[~ 133]
msg_box_04_no	[~ 134]
msg_box_04_01	交換
msg_box_04_02	查看對方的寶可夢
msg_box_04_03	查看自己的寶可夢
msg_box_04_04	取消
msg_box_05_00	確定要進行寶可夢的交換嗎？
msg_box_05_12	要結束寶可夢交換嗎？
msg_box_05_13	要發送已選擇的寶可夢嗎？
msg_box_05_13_2	要發送已選擇的寶可夢嗎？
msg_box_05_18	已設為我的最愛的寶可夢無法發送。\n要從我的最愛移除嗎？
msg_box_05_19	[VAR FF00(0006)]確定要發送這隻寶可夢嗎？[VAR FF00(0000)]
msg_box_05_30	已把寶可夢發送給博士！\c\n………………\n博士發來了訊息！\c
msg_box_05_30_2	已把寶可夢發送給博士！\c\n………………\n博士發來了訊息！\c
msg_box_05_31	大木博士「謝謝[VAR 1100(00FF,0101)]你妳的寶可夢！\n多虧了[VAR 1100(00FF,0101)]你妳，\c\n我的研究一定會大有進展！\c
msg_box_05_31_2	大木博士「謝謝[VAR 1100(00FF,0101)]你妳的寶可夢！\n多虧了[VAR 1100(00FF,0101)]你妳，\c\n我的研究一定會大有進展！\c
msg_box_05_32	大木博士「謝謝[VAR 1100(00FF,0101)]你妳！\n這下子我的研究一定會大有進展！\c
msg_box_05_33	[VAR 1100(00FF,0101)]你妳已經送了\n[VAR 0208(0001,0000)]隻[VAR 0101(0000)]給我的樣子。\c
msg_box_05_34	[VAR 0102(0000)]\n是隻不錯的寶可夢！\c
msg_box_05_35	為了答謝[VAR 1100(00FF,0101)]你妳，我送[VAR 1100(00FF,0101)]你妳一些\n能讓寶可夢變強的[VAR FF00(0006)]糖果[VAR FF00(0000)]吧！\r\n[VAR 1100(00FF,0101)]你妳可以把它餵給想要培育的寶可夢！\c
msg_box_05_36	為了答謝[VAR 1100(00FF,0101)]你妳，\n我送[VAR 1100(00FF,0101)]你妳一些糖果吧！\c
msg_box_05_37	[VAR 1100(00FF,0101)]你妳把拿到的糖果\n放進了包包的[VAR FF00(0006)]糖果罐[VAR FF00(0000)]！\c
msg_box_05_38	至今為止，[VAR 1100(00FF,0101)]你妳已經送了\n[VAR 0208(0001,0000)]隻寶可夢給我！\r\n接下來也拜託[VAR 1100(00FF,0101)]你妳啦！\c
msg_box_05_17	[~ 156]
msg_box_05_01	搭檔以及正從球裡放出的\n寶可夢是不能用來交換的。
msg_box_05_02	要是交換這隻寶可夢的話，\n就無法進行冒險了哦！
msg_box_05_03	[~ 159]
msg_box_05_04	[~ 160]
msg_box_05_05	特殊的寶可夢\n是無法用來交換的。
msg_box_05_06	因為攜帶著特別的道具，\n所以無法用來交換。
msg_box_05_07	正在等待連線……\n請稍候片刻。
msg_box_05_20	這樣就沒有可戰鬥的寶可夢了！
msg_box_05_21	[VAR 1100(00FF,0101)]你妳沒有對方想要的寶可夢。
msg_box_05_08	[~ 166]
msg_box_05_09	[~ 167]
msg_box_05_10	[~ 168]
msg_box_05_11	[~ 169]
msg_box_05_14	[~ 170]
msg_box_05_15	[~ 171]
msg_box_05_16	[~ 172]
msg_box_time_01	[~ 173]
msg_box_time_02	[~ 174]
msg_box_10_01	[~ 175]
msg_box_15_01	使用已選擇的寶可夢對戰
msg_box_15_02	繼續選擇其他寶可夢
msg_judge_01_01	[~ 178]
msg_judge_01_02	[~ 179]
msg_judge_01_03	[~ 180]
msg_judge_01_04	[~ 181]
msg_judge_01_05	[~ 182]
msg_judge_01_06	[~ 183]
msg_judge_02_01	[~ 184]
msg_judge_02_02	[~ 185]
msg_judge_02_03	[~ 186]
msg_judge_02_04	[~ 187]
msg_box_search_00_01	請選擇要以哪種方法整理
msg_box_search_01_01	按捕獲的順序排序
msg_box_search_01_02	按圖鑑編號排序
msg_box_search_01_03	按等級從高到低排序
msg_box_search_01_04	按等級從低到高排序
msg_box_search_01_05	按CP從高到低排序
msg_box_search_01_06	按CP從低到高排序
msg_box_search_01_07	按我的最愛排序
msg_box_search_01_08	按圖鑑上的名字排序
msg_box_search_01_09	搜尋寶可夢
msg_box_search_02_00	-
msg_box_search_02_01	寶可夢的名字
msg_box_search_02_02	[VAR 0101(0000)]
msg_box_search_02_03	屬性１
msg_box_search_02_04	[VAR 0103(0000)]
msg_box_search_02_05	屬性２
msg_box_search_02_06	[VAR 0103(0000)]
msg_box_search_02_07	招式
msg_box_search_02_08	[VAR 0107(0000)]
msg_box_search_02_09	招式學習器
msg_box_search_02_10	[VAR 0107(0000)]
msg_box_search_02_11	[~ 209]
msg_box_search_02_12	[~ 210]
msg_box_search_02_13	性格
msg_box_search_02_14	[VAR 0108(0000)]
msg_box_search_02_15	性別
msg_box_search_02_16	♂
msg_box_search_02_17	♀
msg_box_search_02_18	無性別
msg_box_search_02_19	[~ 217]
msg_box_search_02_20	[~ 218]
msg_box_search_02_21	標記
msg_box_search_02_28	開始搜尋
msg_box_search_02_22	[~ 221]
msg_box_search_02_23	[~ 222]
msg_box_search_02_24	[~ 223]
msg_box_search_02_25	[~ 224]
msg_box_search_02_26	[~ 225]
msg_box_search_02_27	[~ 226]
msg_box_search_03_01	[~ 227]
msg_box_search_04_01	[~ 228]
msg_box_search_04_02	[~ 229]
msg_box_search_04_03	[~ 230]
msg_box_search_04_04	[~ 231]
msg_box_search_04_05	[~ 232]
msg_box_search_04_06	[~ 233]
msg_box_search_04_07	[~ 234]
msg_box_search_04_08	[~ 235]
msg_box_search_04_09	[~ 236]
msg_box_search_04_10	[~ 237]
msg_box_search_04_11	[~ 238]
msg_box_search_04_12	[~ 239]
msg_box_search_04_13	[~ 240]
msg_box_search_04_14	[~ 241]
msg_box_search_04_15	[~ 242]
msg_box_search_05_01	[VAR 0103(0001)]
msg_box_search_05_02	[VAR 0103(0002)]
msg_box_search_05_03	[VAR 0107(0000)]
msg_box_search_05_04	[VAR 0106(0000)]
msg_box_search_05_05	[VAR 0108(0000)]
msg_box_search_06_00	沒有找到寶可夢。
msg_box_search_06_01	已按捕獲的順序\n進行了整理。
msg_box_search_06_02	已按圖鑑編號的順序\n進行了整理。
msg_box_search_06_03	已按等級從高到低的順序\n進行了整理。
msg_box_search_06_04	已按等級從低到高的順序\n進行了整理。
msg_box_search_06_05	已按CP從高到低的順序\n進行了整理。
msg_box_search_06_06	已按CP從低到高的順序\n進行了整理。
msg_box_search_06_07	已將我的最愛\n整理至列表前方。
msg_box_search_06_08	己按圖鑑上的名字順序\n進行了整理。
msg_box_search_07_01	我的最愛
msg_box_search_08_01	[~ 258]
msg_box_search_08_02	[~ 259]
msg_box_search_08_03	[~ 260]
msg_box_search_08_04	[~ 261]
msg_box_search_08_05	[~ 262]
msg_box_search_08_06	[~ 263]
msg_box_search_08_07	[~ 264]
msg_box_search_08_08	[~ 265]
msg_box_search_08_09	[~ 266]
msg_box_search_08_10	[~ 267]
msg_box_search_08_11	[~ 268]
msg_box_search_08_12	[~ 269]
msg_box_search_08_13	[~ 270]
msg_box_search_08_14	[~ 271]
msg_box_search_08_15	[~ 272]
msg_box_search_08_16	[~ 273]
msg_box_search_08_17	[~ 274]
msg_box_search_08_18	[~ 275]
msg_box_search_08_19	[~ 276]
msg_box_search_08_20	[~ 277]
msg_box_search_08_21	[~ 278]
msg_box_search_08_22	[~ 279]
msg_box_search_08_23	[~ 280]
msg_box_search_08_24	[~ 281]
msg_box_search_08_25	[~ 282]
msg_chat_list_01	[~ 283]
msg_chat_list_02	[~ 284]
msg_chat_list_03	[~ 285]
msg_box_p2ptrade_01	對方已中止交換。
msg_box_p2ptrade_02	已中止交換。
msg_box_p2ptrade_03	由於對方的寶可夢有問題，\n因此無法交換。
msg_box_p2ptrade_04	要結束寶可夢交換嗎？
msg_box_p2ptrade_05	對方已選擇結束。\n將結束交換。
msg_box_p2ptrade_06	正在結束連線……\n請稍候片刻。
msg_box_p2ptrade_07	[~ 292]
msg_box_p2ptrade_08	[~ 293]
msg_box_p2ptrade_09	[~ 294]
msg_judge_03_01	[~ 295]
btl_attack_zenryoku.dat
ATKMSG_Z_M_000	！
ATKMSG_Z_Y_000	！
ATKMSG_Z_E_000	！
ATKMSG_Z_N_000	！
ATKMSG_Z_M_001	[VAR 0101(0000)]使出了\nＺ拍擊！
ATKMSG_Z_Y_001	野生的[VAR 0101(0000)]使出了\nＺ拍擊！
ATKMSG_Z_E_001	對手的[VAR 0101(0000)]使出了\nＺ拍擊！
ATKMSG_Z_N_001	霸主[VAR 0101(0000)]使出了\nＺ拍擊！
ATKMSG_Z_M_002	[VAR 0101(0000)]使出了\nＺ空手劈！
ATKMSG_Z_Y_002	野生的[VAR 0101(0000)]使出了\nＺ空手劈！
ATKMSG_Z_E_002	對手的[VAR 0101(0000)]使出了\nＺ空手劈！
ATKMSG_Z_N_002	霸主[VAR 0101(0000)]使出了\nＺ空手劈！
ATKMSG_Z_M_003	[VAR 0101(0000)]使出了\nＺ連環巴掌！
ATKMSG_Z_Y_003	野生的[VAR 0101(0000)]使出了\nＺ連環巴掌！
ATKMSG_Z_E_003	對手的[VAR 0101(0000)]使出了\nＺ連環巴掌！
ATKMSG_Z_N_003	霸主[VAR 0101(0000)]使出了\nＺ連環巴掌！
ATKMSG_Z_M_004	[VAR 0101(0000)]使出了\nＺ連續拳！
ATKMSG_Z_Y_004	野生的[VAR 0101(0000)]使出了\nＺ連續拳！
ATKMSG_Z_E_004	對手的[VAR 0101(0000)]使出了\nＺ連續拳！
ATKMSG_Z_N_004	霸主[VAR 0101(0000)]使出了\nＺ連續拳！
ATKMSG_Z_M_005	[VAR 0101(0000)]使出了\nＺ百萬噸重拳！
ATKMSG_Z_Y_005	野生的[VAR 0101(0000)]使出了\nＺ百萬噸重拳！
ATKMSG_Z_E_005	對手的[VAR 0101(0000)]使出了\nＺ百萬噸重拳！
ATKMSG_Z_N_005	霸主[VAR 0101(0000)]使出了\nＺ百萬噸重拳！
ATKMSG_Z_M_006	[VAR 0101(0000)]使出了\nＺ聚寶功！
ATKMSG_Z_Y_006	野生的[VAR 0101(0000)]使出了\nＺ聚寶功！
ATKMSG_Z_E_006	對手的[VAR 0101(0000)]使出了\nＺ聚寶功！
ATKMSG_Z_N_006	霸主[VAR 0101(0000)]使出了\nＺ聚寶功！
ATKMSG_Z_M_007	[VAR 0101(0000)]使出了\nＺ火焰拳！
