Battle\COMMON.msbt
NOT_MOVE	正在觀察狀況……
BTL_INFO_AI_GOODS	拿出了道具！
BTL_INFO_REVIVAL	復活了！
BTL_INFO_ADLIB	發動即興演出！
BTL_INFO_AND	\xd7
BTL_INFO_TRANS	的攻擊力大幅上升了。
BTL_INFO_SUMMON_GHARNEF	召喚了精靈們！
Battle\EVT_BTL_B2_2.msbt
GAN_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2303\0啊，真無趣……\n不管是哪個傢伙都好無趣……
GAN_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0027_em2303\0你們！\n還不快去幫我擋住！
Battle\EVT_SKILL_0.msbt
Battle\EV_BOSS_00.msbt
ACT_START_00	\x0e\x04\0\x16\x13\0BTL_ACT_0008_em2301\0現在要開始大家期待已久的！\n猜謎‧幻影在哪裡ＳＨＯＷ！！
ACT_START_01	\x0e\x04\0\x16\x13\0BTL_ACT_0031_em2301\0猜錯的笨蛋們要一起接受處罰遊戲！\n哈哈哈，這可沒有小抄也沒有解答板喔！
ACT_START_02	\x0e\x04\0\x18\x15\0BTL_REACT_0017_em2301\0笨蛋就好～好地思考吧！
ACT_END_00	\x0e\x04\0\x16\x13\0BTL_ACT_0031_em2301\0找出藏起來的本大爺吧！\n找錯人的下場可是很慘的喔！
ACT_FAILED_00	\x0e\x04\0\x18\x15\0BTL_REACT_0017_em2301\0是那傢伙嗎？\n你覺得是那傢伙嗎？\n你們真是一群蠢蛋啊～！
ACT_FAILED_01	\x0e\x04\0\x16\x13\0BTL_ACT_0031_em2301\0猜、錯、了。哇哈哈哈！\n處罰遊戲開始！
ACT_SUCCESS_00	\x0e\x04\0\x16\x13\0BTL_ACT_0013_em2301\0唔啊啊啊啊！
ACT_SUCCESS_01	\x0e\x04\0\x18\x15\0BTL_OTHER_0040_em2301\0你為什麼知道那是本大爺啊啊啊啊！？
BT00_PC_YUJIN_00	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0001_pc1003\0哈，漂亮的開場！……咦，奇怪？\n連阿樹他們也變成幻影主人了！？
BT00_MIRAGE_SCK_01_00	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0002_mr1053\0看來確實如此啊。
BT00_NPC_SHIKAI_00	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0003_np1101\0啊哈哈哈哈哈哈哈哈！！
BT00_PC_YUJIN_01	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0004_pc1003\0……啊？
BT00_NPC_SHIKAI_01	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0005_np1101\0幻影增加了！\n所有人都跟我走吧！
BT00_PC_YUJIN_02	\x0e\x04\0\x1b\x18\0EVT_m0011_01_0006_pc1003\0……什麼，怎麼可能這麼輕易地跟你走！\n我要反過來，\n把你體內那個幻影趕出去！
Battle\EV_BTL_B1_3.msbt
INV_01	\x0e\x04\0\x19\x16\0BTL_OPEN_0001_em2302_b\0啊……好忌妒……\n好忌妒……好忌妒……\n好忌妒好忌妒好忌妒好忌妒！
INV_02	\x0e\x04\0\x19\x16\0BTL_OPEN_0001_em2302_a\0好忌妒那傢伙！\n快殺了那傢伙！
INV_04	\x0e\x04\0\x1b\x18\0EVT_m1034_01_0001_mr2302\0嗚……嗚嗚……\n即使打倒我……也不會有任何改變……
INV_05	\x0e\x04\0\x1b\x18\0EVT_m1034_01_0002_mr2302\0我們的大批同胞……\n會不斷地……來到這個世界……
INV_06	\x0e\x04\0\x1d\x1a\0EVT_m1034_01_0003_mr2302_a\0戰爭才剛剛開始……\n最後會勝利的……是我們～～！
Battle\EV_BTL_B3_1.msbt
ITSUKI_01	\x0e\x04\0\x1b\x18\0EVT_m3067_03_0001_pc1001\0原來劍彌代……也是幻影主人嗎！？
RIVAL_01	\x0e\x04\0\x1b\x18\0EVT_m3067_03_0002_pc1008\0……給我讓開。
ITSUKI_02	\x0e\x04\0\x1b\x18\0EVT_m3067_03_0003_pc1001\0我不會……讓你得逞的！
RIVAL_02	\x0e\x04\0\x17\x14\0BTL_OPEN_0002_em1008\0還算是有點本事……\n但不是我的對手。
RIVAL_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0008_em1008\0你還不懂我們之間力量的差距嗎？
RIVAL_04	\x0e\x04\0\x18\x15\0BTL_OTHER_0009_em1008\0乖乖把琪姬交出來。
Battle\EV_BTL_B3_3.msbt
Battle\EV_BTL_B4_2.msbt
GERIBA_02	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2037\0不是說了別過來嗎！？
Battle\EV_BTL_B4_3.msbt
RIVAL_03	\x0e\x04\0\x17\x14\0BTL_OPEN_0003_em1008\0雖然是情勢所逼，但我不打算手下留情。
DIRM_01	\x0e\x04\0\x16\x13\0BTL_ACT_0008_em2306\0我會讓你戲劇性地退場的！
DIRM_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0022_em2306\0要重拍唷！\n壓軸才沒這麼容易退場！
DIRM_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0022_em2306\0再加強一點！\n還需要再戲劇化一些！
RIVAL_04	\x0e\x04\0\x17\x14\0BTL_OPEN_0004_em1008\0就到此為止了嗎？我就在此退場了。
Battle\EV_BTL_B5_3.msbt
DYASI_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2309\0哥才是真正的劍彌代……！
DYASI_03	\x0e\x04\0\x16\x13\0BTL_ACT_0007_em2309\0就讓你們見識一下本尊的威力！
DYASI_04	\x0e\x04\0\x1b\x18\0EVT_m5145_03_0001_mr2009\0哥、哥的歌聲……消失了……！？
DYASI_05	\x0e\x04\0\x1b\x18\0EVT_m5145_03_0006_mr2009\0唔唔唔……為什麼！\n哥跟你究竟有什麼差別！？
Battle\EV_BTL_B5_4.msbt
Battle\EV_BTL_B6_1.msbt
TOMS_01	\x0e\x04\0\x16\x13\0BTL_ACT_0007_em2338\0我要來真的了喔！
MISHERAN_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2346\0讓我見識見識你們的本事吧！
RINDA_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2339\0來吧，一決勝負！
RINDA_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2339\0可別讓我失望啊……
GODON_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2340\0能不能讓我見識你的力量呢？
Battle\EV_BTL_B6_2.msbt
OGMA_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2341\0我是個只知道戰鬥的男人。
PAORA_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2342\0讓我見識你們的力量吧！
JAYGAN_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2343\0讓吾見識你的力量吧！
Battle\EV_BTL_B6_3.msbt
GANEF_01	\x0e\x04\0\x18\x15\0BTL_OTHER_0014_em2311\0呵呵呵……哈哈哈哈……
Battle\EV_BTL_Q61_5.msbt
MSG_Q61_5_01	\x0e\x04\0\x18\x15\0BTL_OTHER_0009_em2017\0你還不懂嗎？\n就憑你是無法傷到這肉體一絲一毫的！
MSG_Q61_5_02	\x0e\x04\0\x16\x13\0BTL_ACT_0011_em2017\0我的弟子就足以對付你們了。\n喂！他們就交給你們了！
MSG_Q61_5_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0009_em2017\0你還不懂嗎？\n就憑你是無法傷到這肉體……？
MSG_Q61_5_04	\x0e\x04\0\x18\x15\0BTL_REACT_0005_em2017\0受、受傷了！我這無敵的身體居然有了傷痕！\n你這傢伙作弊了吧！
MSG_Q61_5_05	\x0e\x04\0\x16\x13\0BTL_ACT_0011_em2017\0既然如此……\n我也使出全力，動員全軍來擊潰你吧！\n小子們！上啊！
Battle\EV_BTL_QB10_1.msbt
CERV_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2337\0吾的鬍鬚因勝利而熱血沸騰！
CERV_02	\x0e\x04\0\x1a\x17\0BTL_SESSION_0012_em2337\0哈哈哈！太棒了！\n只要有這麼強大的表現晶，\n甚至連這種事都可以做到！
Battle\EV_BTL_QB2_1.msbt
FEL_01	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_10_0001_em2412\0怎麼會……！我……！\n身為傳說中的偶像的我！\n居然會輸給這樣的小丫頭！
TSUB_01	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_10_0002_pc1002\0傳說中的偶像是前川梓小姐。\n才不是你呢！
FEL_02	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2412\0我……前川梓……\n滿懷哀嘆怨意……為大家獻唱。
FEL_03	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2412\0小丫頭……！
Battle\EV_BTL_QB3_1.msbt
ABEL_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2401\0就用你的身體……\n來承受我這怨嘆之槍吧！
Battle\EV_BTL_QB4_1.msbt
SAR_01	\x0e\x04\0\x18\x15\0EVT_REPLY_0004_mr1054\0不把這些傢伙誘惑住的話，很難打倒他們喔……\n小翼，示範給他看吧。
TSUB_01	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_12_0007_pc1002\0是、是的！霧亞小姐，請仔細看喔！
TSUB_02	\x0e\x04\0\x1d\x1a\0EVT_s1009_s_08_0003_pc1002\0成功了！就是這種感覺喔，霧亞小姐！
SAR_02	\x0e\x04\0\x18\x15\0EVT_REPLY_0014_mr1054\0不愧是小翼……但另一邊似乎還有點不滿足呢……\n霧亞，該輪到你出場了喔。
KIRIA_01	\x0e\x04\0\x1d\x1a\0EVT_s1009_s_13_0002_pc1009\0…………
TSUB_03	\x0e\x04\0\x18\x15\0EVT_REPLY_0099_pc1002\0那、那個……\n霧亞小姐？
KIRIA_02	\x0e\x04\0\x1d\x1a\0EVT_s1009_b_09_0001_pc1009\0……嗯。\n我大概抓到感覺了。
QB4_INFO_02	\x0e\0\x03\x02\x02\0霧亞\x0e\0\x03\x02\xff\xff在這場戰鬥中\n學會如何使用技能\x0e\0\x03\x02\x02\0「誘惑姿勢」\x0e\0\x03\x02\xff\xff了！
KIRIA_03	\x0e\x04\0\x18\x15\0EVT_REPLY_0030_pc1009\0就讓我徹底展現……那可愛之處吧！\n要上了喔！泥土人偶！
QB4_INFO_01	\x0e\0\x03\x02\x02\0小翼\x0e\0\x03\x02\xff\xff在這場戰鬥中\n學會如何使用技能\x0e\0\x03\x02\x02\0「誘惑姿勢」\x0e\0\x03\x02\xff\xff了！
MAZI_01	\x0e\x04\0\x18\x15\0BTL_REACT_0010_em2334\0那邊那個酷酷的傢伙！
KIRIA_04	…………
MAZI_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2334\0你這傢伙太耀眼了吧！
QB4_INFO_03	看來霧亞似乎是他喜歡的類型……
SAZI_01	\x0e\x04\0\x18\x15\0BTL_REACT_0008_em2333\0那邊那個可愛的傢伙！
TSUB_04	\x0e\x04\0\x1d\x1a\0EVT_s1002_s_12_0007_pc1002\0是、是？！
SAZI_02	\x0e\x04\0\x18\x15\0BTL_OTHER_0015_em2333\0你這傢伙太可愛了吧！
QB4_INFO_04	看來他很喜歡小翼……
SAR_03	\x0e\x04\0\x18\x15\0EVT_REPLY_0035_mr1054\0居然一次就成功，你很不錯嘛。\n好了，他們被迷住的這時候就是良機。
KIRIA_05	\x0e\x04\0\x18\x15\0EVT_REPLY_0039_pc1009\0嗯，一口氣收拾他們吧！
SAZI_03	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2333\0喂，瑪吉！\n你這傢伙別搞砸了啊！
MAZI_03	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2334\0薩吉！你這傢伙太蠢了！
Battle\EV_BTL_QB5_1.msbt
VIOL_01	\x0e\x04\0\x1d\x1a\0EVT_s1006_a_09_0002_mr1055\0等等，艾莉。\n看來有新的客人來了呢。
ELLEE_02	\x0e\x04\0\x1d\x1a\0EVT_s1006_a_09_0003_pc1006\0哼！看我將他們一網打盡！\n阿樹，好好掩護我喔！
ITSUKI_01	\x0e\x04\0\x1d\x1a\0EVT_s1006_a_09_0004_pc1001\0沒問題！
Battle\EV_BTL_QB6_1.msbt
LAWR_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2335\0全都是……不切實際的東西……
Battle\EV_BTL_QB7_1.msbt
YASIRO_01	\x0e\x04\0\x18\x15\0EVT_REPLY_0031_pc1008\0這個練習的目的，\n是要讓我們兩個學會攜手合作。\n蒼井樹……你就專注於支援吧。
QB7_INFO_01	\x0e\0\x03\x02\x02\0彌代\x0e\0\x03\x02\xff\xff在這場戰鬥中\n學會如何使用技能\x0e\0\x03\x02\x02\0「線索……」\x0e\0\x03\x02\xff\xff了！
QB7_INFO_02	\x0e\0\x03\x02\x02\0艾莉\x0e\0\x03\x02\xff\xff在這場戰鬥中\n學會如何使用技能\x0e\0\x03\x02\x02\0「犯人……」\x0e\0\x03\x02\xff\xff了！
Battle\EV_BTL_QB7_2.msbt
LONG_01	\x0e\x04\0\x17\x14\0BTL_OPEN_0001_em2400\0劍彌代……你的表現晶我也收下了。
Battle\EV_GIMMIK.msbt
TIKI_EVENT_1	\x0e\x04\0\x18\x15\0BTL_OTHER_1004_pc1010\0大哥哥！總算將梅迪烏斯逼入絕境了！\n全力……\n就在此刻使出全力吧！
TIKI_EVENT_2	由於琪姬的力量，\n阿樹等人的ＨＰ及異常狀態回復了！
TIKI_EVENT_3	\x0e\0\x03\x02\x02\0阿樹\x0e\0\x03\x02\xff\xff在這場戰鬥中\n學會如何使用特別演出\x0e\0\x03\x02\x02\0「神龍的加護」\x0e\0\x03\x02\xff\xff了！
Battle\TU_ADL.msbt
Battle\TU_ATK.msbt
Battle\TU_CAT.msbt
TU_CAT_T	關於克制技能
TU_CAT_000	\x0e\0\x03\x02\x02\0克制技能\x0e\0\x03\x02\xff\xff就是可以無視防禦相剋，\n對騎兵或是龍等\x0e\0\x03\x02\x02\0特定職業\x0e\0\x03\x02\xff\xff發動協奏的技能。\n\n例如，殺馬槍能無視\n職業為騎兵的敵人之防禦相剋進行攻擊。\n※克制技能也具備一般的武器屬性。
Battle\TU_CHG.msbt
TU_CHG_T	關於ＣＨＡＮＧＥ
TU_CHG_000	選擇\x0e\0\x03\x02\x02\0ＣＨＡＮＧＥ\x0e\0\x03\x02\xff\xff之後，\n\x0e\0\x03\x02\x02\0可以在戰鬥中讓阿樹以外的成員與\n後備成員替換。\x0e\0\x03\x02\xff\xff\n\n可活用於攻擊不到敵方的弱點及\n成員血量過少等狀況，\n隨機應變地戰鬥吧！
Battle\TU_CHM.msbt
TU_CHM_T	關於魅惑狀態
TU_CHM_000	陷入\x0e\0\x03\x02\x02\0魅惑狀態\x0e\0\x03\x02\xff\xff時，將\x0e\0\x03\x02\x02\0無法接受任何行動指示，\n並會隨機採取行動。\x0e\0\x03\x02\xff\xff\n例如會對敵方使用回復道具或技能、\n攻擊我方成員、看敵方看得入迷而不行動。\n\x0e\0\x03\x02\x02\0同時也無法參與協奏。\x0e\0\x03\x02\xff\xff\n\n雖然魅惑狀態也可能自然解除，\n但還是活用技能或道具，\n盡早讓成員回復吧。
Battle\TU_CLS.msbt
TU_CLS_T	關於封印狀態
TU_CLS_000	陷入\x0e\0\x03\x02\x02\0封印狀態\x0e\0\x03\x02\xff\xff時，幻影的力量會被封印，\n\x0e\0\x03\x02\x02\0將無法使用技能。\x0e\0\x03\x02\xff\xff\n此外，\x0e\0\x03\x02\x02\0成員的能力將被弱化，\n同時也無法參與協奏。\x0e\0\x03\x02\xff\xff\n\n請注意，雖然封印狀態也可能自然解除，\n但若我方成員陷入封印狀態，\n\x0e\0\x03\x02\x02\0即使戰鬥結束也將持續維持。\x0e\0\x03\x02\xff\xff
Battle\TU_DUO.msbt
Battle\TU_ELE.msbt
Battle\TU_ESC.msbt
Battle\TU_FLM.msbt
TU_FLM_T	關於燃燒狀態
TU_FLM_000	受到梅迪烏斯的火焰攻擊，陷入\x0e\0\x03\x02\x02\0燃燒狀態\x0e\0\x03\x02\xff\xff了。\n\n燃燒狀態中，會在\x0e\0\x03\x02\x02\0每次行動時受到傷害。\x0e\0\x03\x02\xff\xff\n此外，\x0e\0\x03\x02\x02\0因陷入燃燒狀態時\n對火焰屬性的防禦相剋會下降，\n所受的火焰屬性傷害會大幅增加。\n同時也無法參與協奏，\x0e\0\x03\x02\xff\xff\n是非常危險的異常狀態，\n盡速使用道具或是技能來應對吧！
Battle\TU_GDS.msbt
Battle\TU_GRD.msbt
Battle\TU_MAS.msbt
Battle\TU_MIR.msbt
TU_MIR_T	關於特別演出
TU_MIR_000	可以使用\x0e\0\x03\x02\x02\0特別演出\x0e\0\x03\x02\xff\xff了！\n\n特別演出是需要消耗螢幕右上角的\n\x0e\0\x03\x02\x02\0ＳＰ量表\x0e\0\x03\x02\xff\xff才能使用的技能。\n\x0e\0\x03\x02\x02\0都是些能夠無視屬性發動協奏、\n或是具有特殊強力效果的技能。\x0e\0\x03\x02\xff\xff\n\nＳＰ量表會根據戰鬥中的行動和協奏攻擊累積。
Battle\TU_MND.msbt
TU_MND_T	關於心智波動狀態
TU_MND_000	\x0e\0\x03\x02\x02\0心智波動狀態\x0e\0\x03\x02\xff\xff中，\n\x0e\0\x03\x02\x02\0每一次行動都會造成ＥＰ減少。\x0e\0\x03\x02\xff\xff\n\n雖然心智波動狀態也可能自然解除，\n但還是盡早使用道具或是技能來應對吧。
Battle\TU_OVK.msbt
TU_OVK_T	關於過量擊殺
TU_OVK_001	因為敵方剩餘ＨＰ在協奏攻擊中歸零，\n發生了\x0e\0\x03\x02\x02\0過量擊殺\x0e\0\x03\x02\xff\xff！\n\n當發生過量擊殺時，\n該協奏剩餘的追擊將會\n\x0e\0\x03\x02\x02\0無視敵方的抗性、無效、反彈以及吸收。\x0e\0\x03\x02\xff\xff
Battle\TU_PNC.msbt
TU_PNC_T	關於混亂狀態
TU_PNC_000	陷入\x0e\0\x03\x02\x02\0混亂狀態\x0e\0\x03\x02\xff\xff時，將\x0e\0\x03\x02\x02\0無法接受任何行動指示，\n並會隨機採取行動。\x0e\0\x03\x02\xff\xff\n例如會對敵我雙方使用回復道具或技能、\n或是什麼都不做。\n\x0e\0\x03\x02\x02\0同時也無法參與協奏。\x0e\0\x03\x02\xff\xff\n\n我方成員陷入混亂狀態時，\n雖然也可能自然解除，\n但還是活用技能或是道具，\n盡早讓成員回復吧。
Battle\TU_PSN.msbt
TU_PSN_T	關於中毒狀態
TU_PSN_000	陷入\x0e\0\x03\x02\x02\0中毒狀態\x0e\0\x03\x02\xff\xff時，\n會在\x0e\0\x03\x02\x02\0每次行動時受到傷害。\x0e\0\x03\x02\xff\xff\n\n此外，若我方成員\x0e\0\x03\x02\x02\0在戰鬥結束後\n仍然維持中毒狀態，\n即使在地圖上移動也會造成傷害，\x0e\0\x03\x02\xff\xff\n所以還是活用技能或是道具，\n盡早讓成員回復吧。
Battle\TU_RGK.msbt
TU_RGK_T	特定條件下的協奏
TU_RGK_001	有部分閃耀技能，\n\x0e\0\x03\x02\x02\0能夠無視防禦相剋，\n並且對陷入特定異常狀態的敵人進行協奏。\x0e\0\x03\x02\xff\xff\n\n現在已經滿足能以其效果引發協奏的條件。\n積極地嘗試發動技能吧！
Battle\TU_SES.msbt
TU_SES_T	關於協奏
TU_SES_000	\x0e\0\x03\x02\x02\0當以技能攻擊敵方弱點時，\n擁有能配合該技能之協奏技能的我方成員\n將會進行追擊。\x0e\0\x03\x02\xff\xff\n這就稱為\x0e\0\x03\x02\x02\0協奏\x0e\0\x03\x02\xff\xff。\n\n比起一般的攻擊，\n協奏能更有效地給予更多的傷害。\n積極瞄準弱點，串起協奏吧！
TU_SES_001	……小翼新學到的協奏技能——\n\x0e\0\x03\x02\x02\0追雷突擊\x0e\0\x03\x02\xff\xff是雷屬性……也就是說，\n能與阿樹的\x0e\0\x03\x02\x02\0吉歐\x0e\0\x03\x02\xff\xff進行協奏。\n\n先試著使用阿樹的吉歐，\n瞄準敵方弱點吧！
Battle\TU_SES2.msbt
Battle\TU_SKL.msbt
Battle\TU_SLP.msbt
TU_SLP_T	關於睡眠狀態
TU_SLP_000	陷入\x0e\0\x03\x02\x02\0睡眠狀態\x0e\0\x03\x02\xff\xff時，包含協奏在內，\n\x0e\0\x03\x02\x02\0將無法採取任何行動。\x0e\0\x03\x02\xff\xff\n此外，受到的攻擊必定是暴擊。\n\n我方成員陷入睡眠狀態時，\n雖然也可能自然解除，\n但還是活用技能或是道具，\n盡早讓成員回復吧。
Battle\TU_SSB.msbt
TU_SSB_T	關於擊敗定量目標的支線劇情
TU_SSB_000	這個支線劇情，\n必須在將指定成員編入主要成員的狀態下，\n打倒特定數量的指定敵人才能進行。\n\n除了由指定成員的攻擊所擊敗的目標外，\n\x0e\0\x03\x02\x02\0該成員參與協奏攻擊後擊敗的目標，\n也會被計算在內。\x0e\0\x03\x02\xff\xff
Battle\TU_STN.msbt
TU_STN_T	關於昏厥狀態
TU_STN_000	\x0e\0\x03\x02\x02\0陷入昏厥狀態的回合，\n既無法行動也無法參與協奏。\x0e\0\x03\x02\xff\xff\n在下一個行動回合時便會自然解除昏厥狀態，\n但在昏厥狀態期間，\n比較容易受到來自敵方的暴擊。
Battle\TU_TAC.msbt
TU_TAC_T	關於ＴＡＣＴＩＣＳ
TU_TAC_001	在\x0e\0\x03\x02\x02\0ＴＡＣＴＩＣＳ\x0e\0\x03\x02\xff\xff中，\n可以設定除了阿樹以外所有成員的行動方針。\n設定個別指示以外的指示時，\n該成員會依照指示自行行動。\n\n指示可按下\x0e\x03\0\x04\0\0\x07\0進行設定，\n按下\x0e\x03\0\x04\0\0\x08\0則會取消設定。\n設定好的指示在自動戰鬥中無效，\n且在下一個阿樹的行動回合前無法更改。
Battle\TU_ZMB.msbt
TU_ZMB_T	關於殭屍狀態
TU_ZMB_000	陷入\x0e\0\x03\x02\x02\0殭屍狀態\x0e\0\x03\x02\xff\xff時，\x0e\0\x03\x02\x02\0無法接受任何行動指示，\n且每次行動都會受到傷害。\n同時也無法參與協奏。\x0e\0\x03\x02\xff\xff\n另外，陷入殭屍狀態的成員會攻擊我方成員，\n\x0e\0\x03\x02\x02\0受到攻擊的我方成員，也會感染殭屍狀態，\x0e\0\x03\x02\xff\xff\n活用技能或是道具，盡早讓成員回復吧。
Camp\Camp.msbt
CAMP_MENU_000	？？？
CAMP_MENU_00	確認或使用技能。
CAMP_MENU_01	確認或使用道具。
CAMP_MENU_02	確認或搭配裝備。
CAMP_MENU_03	確認角色狀態及個人資料。
CAMP_MENU_04	配置參加戰鬥的成員。
CAMP_MENU_05	確認敵方幻影資訊。
CAMP_MENU_06	進行儲存及讀取等整體管理。
CAMP_MENU_07	儲存遊戲資料。
