Text/archive_MES
ARC_CHARA_PL0000_001	Cereza
ARC_CH_TXT_PL0000_0002	At the onset of their travels, the two realise they can very easily rub each other the wrong way. Cheshire often irritates Cereza by highlighting her inexperience. The last straw is when Cheshire gives a vigorous slash to Cereza's mother, causing her to disappear. The vision of Rosa is an illusion created by the faeries, but the shock to Cereza is real.\n\nAnd yet, after going their separate ways, Cereza realises that her strength does have limits, and she has come to rely on Cheshire. She realises that she appreciates Cheshire, and begins to be able to see things from his perspective. The two eventually reach an understanding, and afterwards they develop true bonds of friendship.
ARC_CH_TXT_PL0000_0003	The relationships Cereza forges during her time in Avalon leave her with unforgettable memories that will undoubtedly help shape her into a confident witch able to pursue her dream of becoming a powerful Umbra with a newfound determination.\n\nThis chapter of her journey having now reached its end, Cereza looks one last time at the house she trained with Morgana. Vowing to one day become a witch worthy of her mother, she steps off into the moonlight.
ARC_CH_TXT_PL1100_0000	A demon summoned by Cereza on the night of the full moon.\n\nTraditionally, Umbra Witches use their hair as a medium to control their demons, but the ritual proved too difficult for Cereza, and the demon somehow found himself in Cereza's stuffed toy.\n\nThe demon, humiliated by such a vessel, demanded to be returned to Inferno immediately, but the inexperienced Cereza had no idea how to help. And being bound to the magical energy of whoever summoned him, he realised he was unable to separate himself from her. Reluctantly, he agrees to accompany her just until they find a way to send him home.\n\nHaving been just newly born in Inferno when called, he had yet to be given a name. Cereza decides to simply call him Cheshire, after the name of the stuffed toy he inhabits.
ARC_CH_TXT_PL1100_0001	With his bone-crunching fangs and razor-sharp claws, Cheshire has confidence in his strength, and an itch to prove his superiority to others, jumping into battle whenever the opportunity arises.\n\nHe also just happens to have a notorious sweet tooth, especially for Inferno Fruit and Avalon Drops. With his keen nose he can usually discern any Avalon Drops Cereza might be hiding, and sometimes nabs a quick snack when she's distracted.\n\nHis demon nature would normally make him care only for destruction, but be it due to the hugs and affection that Cereza shows his medium, he feels an inexplicable fuzziness towards Cereza he can't understand.\n\nAt first, his teamwork with Cereza is shaky. Cheshire is especially frustrated with the cowardice she shows during their first encounter with the Jabberwock. And even though it was a trap created by the faeries, attacking the illusion of Cereza's mother sends a shock to Cereza so great a significant rift is born between them, sending them on their separate ways.
ARC_CH_TXT_PL1100_0002	Though not one to prefer the company of others, his time apart from Cereza gives him the chance to reflect on their journey, and fills him with strange feelings of concern and sorrow, both emotions demons were assumed unable to experience.\n\nAfter watching the bravery Cereza is capable of during his rescue and the care she shows sacrificing her hair to heal his wounds, Cheshire finally begins to accept Cereza as someone he relies on, and a bond between the two grows.\n\nWith Cereza, Cheshire is able to forge an irreplaceable bond of friendship most demons never experience. As of now, he is probably thrashing around Inferno, going wherever those brilliant claws lead him. Though he still might not be able to admit it, surely he is someday hoping for a fateful reunion.
ARC_CH_TXT_PL0050_0000	A young witch undergoing formal training in the Umbran Arts. Her skills already far surpass witches of her age, and she continues to master new arts at an astonishing pace.\n\nSome say her strict, serious demeanour makes her seem a bit cold, but she is extremely loyal and cares deeply for those she trusts.\n\nShe feels competitive towards Cereza, but she also sees her as a good friend. Whereas her peers may find Cereza's unorthodox training under a recluse witch to be unsightly, Jeanne recognises Cereza's true power and heart, and approaches her as an equal.
ARC_CH_TXT_PL0100_0000	An Umbra Witch unparalleled in skill, thought to possibly be the strongest in the entire history of the clan. Mother of Cereza.\n\nFalling in love with a Lumen Sage, she broke the sacred vows of the Umbra and bore a child with him, resulting in her eternal imprisonment.\n\nShe has never revealed why she would go against Umbran teachings and have forbidden relations with a Lumen, but she has accepted her isolation without the slightest resistance, despite all of the power she possesses. This has led many to think she understood and agreed to the consequences of her actions before even taking them.\n\nSome of the Umbra even sympathise with her plight, overlooking her daughter Cereza sneaking to her cell, or even finding chances for the two to meet.\n\nCereza's precious stuffed toy was made by Rosa from whatever she could gather. Before being moved to an even further prison, she would often sing lullabies as Cereza would rest against the steel bars of her cell, showing nothing but the deepest maternal love for her precious daughter.
ARC_CH_TXT_EM0200_0000	A wolf dwelling in Avalon with a mane white like winter snow.\n\n"The white wolf...guide you..." \nJust like the boy in Cereza's dream said, the wolf appears before Cereza and Cheshire, as if to lead them through the forest.
ARC_CH_TXT_EM0200_0001	Effortlessly evading each of Cheshire's initial attempts to slash at him, it seems that this nimble movement is the reason he is able to survive the dangerous Avalon Forest in the first place.
ARC_CH_TXT_EM0200_0002	Somehow aware of the location of the Elemental Cores, he appears before Cereza to show her where they rest.
ARC_CH_TXT_EM0200_0003	Inside the white wolf there is revealed to be the spirit of Lukaon, the true successor to the faerie kingdom, who was forced to escape there following a dispute for the throne. \n\nAs noble as the prince he is, he has struggled to protect and help all of the innocent who have somehow wandered into Avalon. While doing this, he has come across a fair number of young Umbra Witches, which he finds somewhat puzzling, but he works with the girls to try and help them escape Avalon. \n\nThe only way he can think of for them to accomplish this is for the girls to sacrifice their demon to restore his true power. Alas, every girl yet has met a tragic end before they can finalise their plan, which pains him greatly.
ARC_CH_TXT_EM0200_0004	After Lukaon's spirit left the wolf's body to return to its own, the wolf simply reverted to its natural self, and disappeared into the forest.
ARC_CH_TXT_EM1100_0000	A curious boy who enters Cereza's dreams and invites her to the forbidden land of Avalon.\n\nOnce Cereza enters the forest, he appears before her again in an ethereal form. He promises Cereza a great power if she will only destroy the Elemental Cores that sleep in the forest, breaking the seal that has been placed on him.
ARC_CH_TXT_EM1100_0001	Meeting Cereza from time to time along her journey, the two slowly learn about each other, and their common goal of each wishing to reunite with their mother. This similarity, along with his handsome face, makes Cereza realise she might have just a tiny crush on Lukaon. 
ARC_CH_TXT_EM1100_0002	He was born from the love between an Umbra Witch and the previous faerie king who ruled the faerie kingdom.\n\nHis father was a pacifist who wished to do away with many of the cumbersome traditions of the past, and envisioned an Avalon where faeries and humans could live together side by side. Lukaon, sharing the blood of both, was meant to serve as the symbol that would unite these groups together.\n\nBut one day, there was an insurgence led by a scheming faerie who succeeded in dethroning the king. With Lukaon's own life in danger, in a last minute attempt to save her son, Lukaon's mother transferred his spirit inside the white wolf, and he escaped into the forest.
ARC_CH_TXT_EM1100_0003	Lukaon's body was also just barely saved due to his mother's magic, but the faerie insurgents managed to get hold of it and sealed it away deep in the forest.\n\nReleasing the seal would require the life of a demon born on the night of a full moon. Lukaon has found many young witches lost in the forest whom he has tried to persuade to help him, guiding them with the white wolf.\n\nLukaon's reasons for doing this were never only to save himself, he simply wanted to see the girls released from the forest safely. Unbeknownst to him, it was his very own mother who had tricked these girls into Avalon in the first place.\n\nEven not having reached full maturity, there exists inside him truly phenomenal power. After having his seal finally released, he awakens the abilities he inherited from his father, the great faerie king.
ARC_CH_TXT_EM1100_0004	Seeing Cheshire as nothing but a tool for his ends, he finds himself in confrontation with Cereza. But having witnessed the bond that has formed between Cereza and her demon, he reconsiders his own actions.\n\nIn his last moments, he tries pleading to Morgana to remove the hatred from her heart, and not have others suffer for his own sake. He then finally falls to eternal rest, cradled softly in her arms.
ARC_CH_TXT_BA0100_0000	A solitary Umbra Witch, living an unimposing life near the edge of Avalon Forest, displaced far from the rest of her clan.\n\nA master of the Umbran Arts, her skills in magic greatly exceed those of other witches, but she cut ties with her clan and moved to her secluded home ages ago, her reasons for doing so an unspoken mystery.\n\nThough usually avoiding all contact with the outside world, she invited the practically orphaned Cereza to come live with her, and has since made Cereza her pupil, training her rigorously.
ARC_CH_TXT_BA0100_0001	Typically thought of as extremely strict and largely unpleasant, just her gaze is enough to send chills down the spine of its receiver. Yet she saw potential in Cereza, and her stern training has been effective in producing exemplary results from Cereza in remarkable time. Cereza has in turn learned to trust Morgana despite her seemingly cold ways. \n\nNot one to ever lose herself to emotion, everything she does appears perfectly calculated. This extends to the minions she summons from Inferno as well; she excels at their use, but they are tools to do her bidding, nothing more. \n\nShe reprimands Cereza thoroughly for disobeying her and entering Avalon Forest, but she promises to find a way to help, and uses her magic to watch over and communicate with Cereza.
ARC_CH_TXT_BA0100_0002	Her true identity is the mother of the faerie prince Lukaon. Even Cereza, who had lived with Morgana for some time, was unaware of Morgana's past.\n\nLong ago, during a dispute for the faerie kingdom, Morgana was forced to use her magic to transfer Lukaon's spirit to a wolf in order to hide him from the usurping faeries. Despite her efforts, the faeries were able to get away with Lukaon's physical body.\n\nIn the confusion, Morgana herself was able to escape to the outside of the forest, where the faerie's powers are unable to reach. But to protect the body the faeries stole, she was required to continuously cast a spell that would prevent her from either moving further away from the forest, or going back inside it.\n\nUnable to do any more by herself, Morgana began to train Umbra Witches still young and pure in heart, so she may eventually trick them to go into the forest. There, she planned to have them find Lukaon, so they may sacrifice their demon to save him.\n\nHer desperate wish to save her son gradually disfigured her soul into doing the unforgiveable. Looking at her actions, it may be hard to tell if any humanity remained inside her at all. Yet as she collapses to the ground, defeated by Cereza and Cheshire, in her arms lay the gift of violets Cereza had given her.
ARC_CH_TXT_EM0050_0000	An unsettling figure who surfaces from the shadows, then dissolves within them just as quickly. He can command many of the faeries of Avalon, and seems to have interest in Cereza and Cheshire's whereabouts.
ARC_CH_TXT_EM0050_0001	His name is Púca, and he claims himself to be the king of the faerie kingdom. He is bent on complete domination of Avalon, and commands an army of faeries in order to accomplish this.\n\nBeing neurotically cautious, he orders lower faeries to constantly patrol the forest for any invaders and extinguish them upon sight, no matter how helpless or innocent they may be.\n\nHe dons a cape several times taller than his own height, and acts overly haughty to anyone in his presence, albeit with a peculiar way of speaking. \n\nNot one to fight his own battles, he prefers instead to create strategies for how to eliminate his opposition. A talented user of faerie magic, he has succeeded in creating an illusion of the angel Affinity that he can control to his own will. His power should not be underestimated. 
ARC_CH_TXT_EM0050_0002	Originally a researcher serving under the former faerie king, Púca deciphered many human writings and, in turn, was able to create numerous inventions for the kingdom. He showed the talent of a brilliant scientist.\n\nThe Elemental Cores also happened to be of Púca's design, and their introduction into faerie society changed it radically. He was praised for his contributions to the kingdom, but he continued to seek power with an obsession, and eventually started to devise a plan to overthrow Avalon.\n\nOnce the faerie king revealed his son would be a human boy, Púca used this to create unease within the kingdom, building an army that he would lead to bring the kingdom to its downfall.
ARC_CH_TXT_EM0050_0003	He had hoped to acquire Lukaon's immense power for himself, but having his spirit hidden and body guarded by Morgana's magic, his only remaining option was to create a seal on the body with the Elemental Cores that would prevent Lukaon from ever recovering it.\n\nAnd once he finally does obtain Lukaon's power, he immediately thinks of taking his plans for conquest outside Avalon...only to have his life snuffed out by a single crushing blow from Morgana, who had been waiting for the moment patiently.
ARC_CH_TXT_BAFB10_0000	A wisp boy Cereza meets along her journey. Seeing him distraught, Cereza stops to talk to him, and learns many of his friends have been wisp-napped by the faeries. Colm's worries for his friends supersede any inhibition he may have had towards a stranger like Cereza and pleads to her to help.\n\nAs wisps are often said to be the wandering souls of those who have died in the forest, Colm's kindness is most likely something inherited from his former life. Most of the wisps see Colm as an unofficial leader they trust to organise their hidden community. He lives with the other wisps in a hideaway he has helped make with trash collected from the faeries' trash heap.
ARC_CH_TXT_BAFB10_0001	Most of his days he makes brave excursions to collect materials to help expand the hideaway, carefully avoiding faeries in the process. He serves as chief editor for the "Wisp Weekly", a newsletter he puts together consisting of snippets of useful information and other writings collected from wisps across the forest. His aim for the Weekly is to hopefully help wisps in places he might not even know about.\n\nThough its contents are relatively simple, reading each new issue has become a highly valued tradition for wisps who have little escape from the countless dangers in their life in Avalon.
ARC_CH_TXT_BAFB14_0000	A mysterious figure who appears suddenly before Cereza, introducing herself simply as one who knows about "the goings-on in the forest". She does seem well versed in the ways of Avalon, and tries to provide Cereza what guidance she can.\n\nShe seems to have something of a personal vendetta against the faeries, which is likely linked at least partially to her reasons for wanting to help Cereza.
ARC_CH_TXT_BAFB14_0001	Her true identity is one of the oldest wisps in Avalon. She has undoubtedly been through much to have survived through the treacherous times of Avalon, which has given her a more weathered appearance compared to the other wisps.\n\nShe knows of less trodden paths even the faeries have not discovered, and just about every shortcut the forest has to offer. She will gladly impart this wisdom to any travellers who might find it useful.
ARC_CH_TXT_BAFB14_0002	As a wisp, her frail form does not have the strength to contend with the faeries, but she always will lend a helping hand to those lost in the forest, and shows an especially keen interest in any young witches she may come across.\n\nShe is always calm and focused, never letting the faeries intimidate or get the best of her. Because of this many of the wisps think she must have been someone of considerable power in her previous life.
ARC_CH_TXT_BAFB14_0003	Long ago, a small band of thieves on a quest for power invaded Avalon, searching for the faerie kingdom's hidden treasures. A young witch of promising potential was sent to the forest to circumvent them, but legend says that ultimately neither her nor the thieves ever made it back out of the forest.\n\nSince that day, a powerful barrier was cast around the forest, allowing only those of pure heart to enter. The event served as a catalyst that would have many clamour for better relations between faeries and humans, which is likely to have enabled the first human queen in faerie kingdom history.\n\nThere are rumours the witch from that time is still alive somewhere in the forest, yet what connection this may have with Ignis, if any, is unproven.
ARC_EM_TXT_EM0000_000_0000	Rank: Tourmaline Knight\n\nA biped faerie that uses a spear its own height.\nDeveloping from quadrupeds after absorbing sufficient energy, they are seated relatively high along the faerie hierarchy. Often are placed within units of lower ranking faeries to step in when needed.\n\nBánánachs possess significant strength which they display through powerful jabs to keep their proximity in check. The wings on their back enable flight, and switching their strategy to a succession of aerial strikes is not uncommon. Aggressive by nature, once they have initiated their attack, they will not cease assault on a target until it has been completely incapacitated, lunging their massive bodies at their opponent to physically overwhelm them. The persistence with which they go after their opponent has likened them to an enraged demon among the other faeries. And yet, they also seem to have a strong sense of pride, insisting on fighting their enemies head on.
ARC_EM_TXT_EM0000_001_0000	Rank: Jade Knight\n\nAn elite biped faerie that uses a large spear in their right hand, and sturdy shield their left. Skilled in reading an enemy's movement, they have won their way through many battles by blocking an incoming attack, making an opening, and answering with a swift jab of their spear. Because of their emphasis on defence, they are often called "gatekeepers" by other faeries, which is also likely related to why many of them are assigned guard duty around faerie fortresses.\n\nTheir shield is forged with a precious metal called orichalcum, and greatly surpasses the defensive abilities of shields used by common faeries. Due to this metal's scarcity, not many of these shields exist, making Fomhórach themselves quite rare. Most Fomhórach are veteran fighters who have been around since Avalon's feudal era.\n\nAnother reason for being called "gatekeepers" likely comes from their dedication to law and servitude. They show no hesitation to strike down swift justice on any resident of Avalon causing disorder, even if it were a fellow faerie.
ARC_EM_TXT_EM0000_002_0000	Rank: Amethyst Knight\n\nA biped faerie wizard that summons spirits known as Barghest to do its bidding in battle. Able to summon large numbers of spirits simultaneously, they are often likened to a shepherd with a herd of sheep on the battlefield.\n\nWhen fighting, they make a point of staying out of the action, providing assistance through their summons. Their offensive strategies consist of summoning enough Barghest to overwhelm their opponent. And, if ever finding themselves in danger, they can easily recall any of their Barghest to act as a shield.\n\nDifferent from the relationship between Infernal Demons and the Umbra, which is based on a pact, the Faun manipulate their summons through mind control. This means those particularly gifted in mind manipulation learn to control much more than just Barghest. Legend even has it that a small town almost disappeared overnight after a Faun assumed control of the town's youth.
ARC_EM_TXT_EM0000_003_0000	Rank: Spinel Knight\n\nA biped faerie wizard with excellent knowledge of and proficiency in faerie magic. Many of Avalon's most powerful spellcasters are Sparcanagh. Their preferred way of fighting is to come at an opponent with an onslaught of spells, not giving them even the smallest of openings to respond. With negative vibes being the source of their magic power, the more they intimidate or scare an opponent, the more powerful their spells become.\n\nNaturally curious, they spend most of their days exploring the forest for ancient writings, hoping to learn about new spells or enhancements. And while most of their spells have practical application, some they discover turn out to be mostly useless. Always anxious to try their new magic out, their fellow faeries stand the risk of being debilitated by a spell the Sparcanagh don't yet understand. 
ARC_EM_TXT_EM0000_004_0000	Rank: Topaz Knight\n\nA high ranking faerie commander suited in bulky armour and brandishing a giant mace. To Gog-Magog, nothing would be worth the cost of jeopardising the battle. When needed, they will throw themselves to the front lines, overpowering their opponent with their incredible might.\n\nTaking pride in their heritage, Gog-Magog use arms that have been passed down from a long line of ancestors. According to faerie tradition, the only way a faerie other than a Gog-Magog would ever be allowed use of their weapons and armour would be if an extremely decorated soldier challenged one to a duel and came out victorious.\n\nBy far the most skilled fighters of the biped faeries, they avoid all-out offensives, favouring to adapt their strategy as required. Between their impenetrable armour and calculated, devastating blows, they are truly a force to be reckoned with. It is said that simply the glaring eyes protruding from deep within their helmet can send such pure dread in an opponent to induce surrender immediately.
ARC_EM_TXT_EM0000_005_0000	Rank: Topaz Knight\n\nA biped spellknight with a gift for flame and stone magic.\n\nSkilled in both physical attacks and magic, Mulciber usually fight in a style that utilises both. Their proficiency with defensive stone spells allows them to cast barriers on fellow faerie fighters, and their flame magic is said to be able reach extreme temperatures; those who anger Mulciber are often suddenly reduced to ash.\n\nUsing magic fuelled by negative vibes, burns induced by Mulciber take much longer to recover. Always seeking ways to strengthen their firepower, they hunt for negative vibes even more aggressively than regular faeries. \n\nTo faeries, the power of flame magic can be so intense that it eventually consumes one's soul entirely, resulting in a complete loss of sanity. Mulciber are no exception in this matter, with many of them displaying questionable levels of mental stability. On the battlefield they simply go berserk, becoming unstoppable until they burn out of energy completely.
