Text/archive_MES
ARC_CHARA_PL0000_001	瑟蕾莎
ARC_HITODAMA_0036	剃剃
ARC_HITODAMA_0037	墊墊
ARC_HITODAMA_0038	栓栓庫
ARC_HITODAMA_0039	繃帶達
ARC_HITODAMA_0040	巫巫
ARC_NOTE_0001	生物學者的便條 1
ARC_NOTE_0002	生物學者的便條 2
ARC_NOTE_0003	生物學者的便條 3
ARC_NOTE_0004	生物學者的便條 4
ARC_NOTE_0005	生物學者的便條 5
ARC_NOTE_0006	生物學者的便條 6
ARC_NOTE_0007	生物學者的便條 7
ARC_NOTE_0008	生物學者的便條 8
ARC_NOTE_0009	人魂通訊 1
ARC_NOTE_0010	人魂通訊 2
ARC_NOTE_0011	人魂通訊 3
ARC_NOTE_0012	人魂通訊 4
ARC_NOTE_0013	人魂通訊 5
ARC_NOTE_0014	人魂通訊 6
ARC_NOTE_0015	人魂通訊 7
ARC_NOTE_0016	人魂通訊 8
ARC_NOTE_0017	某個妖精的研究記錄 1
ARC_NOTE_0018	某個妖精的研究記錄 2
ARC_NOTE_0019	某個妖精的研究記錄 3
ARC_NOTE_0020	某個妖精的研究記錄 4
ARC_NOTE_0021	某個妖精的研究記錄 5
ARC_NOTE_0022	某個妖精的研究記錄 6
ARC_NOTE_0023	某個妖精的研究記錄 7
ARC_NOTE_0024	某個妖精的研究記錄 8
ARC_NOTE_0025	伊古妮絲的筆記 1
ARC_NOTE_0026	伊古妮絲的筆記 2
ARC_NOTE_0027	伊古妮絲的筆記 3
ARC_NOTE_0028	伊古妮絲的筆記 4
ARC_NOTE_0029	伊古妮絲的筆記 5
ARC_NOTE_0030	伊古妮絲的筆記 6
ARC_NOTE_0031	伊古妮絲的筆記 7
ARC_NOTE_0032	伊古妮絲的筆記 8
ARC_NOTE_0033	妖精王國史 1
ARC_NOTE_0034	妖精王國史 2
ARC_NOTE_0035	妖精王國史 3
ARC_NOTE_0036	妖精王國史 4
ARC_NOTE_0037	妖精王國史 5
ARC_NOTE_0038	妖精王國史 6
ARC_NOTE_0039	妖精王國史 7
ARC_NOTE_0040	妖精王國史 8
ARC_NOTE_0041	見習魔女的日誌 1
ARC_NOTE_0042	見習魔女的日誌 2
ARC_NOTE_0043	見習魔女的日誌 3
ARC_NOTE_0044	見習魔女的日誌 4
ARC_NOTE_0045	見習魔女的日誌 5
ARC_NOTE_0046	見習魔女的日誌 6
ARC_NOTE_0047	見習魔女的日誌 7
ARC_NOTE_0048	見習魔女的日誌 8
ARC_MEMORY_0001	森林中的樂園
ARC_MEMORY_0002	力量的氣息
ARC_MEMORY_0003	交通工具的行蹤
ARC_MEMORY_0004	望著人魂
ARC_MEMORY_0005	哪邊比較大？
ARC_MEMORY_0006	邪龍之牢
ARC_MEMORY_0007	妖精的鬼主意
ARC_MEMORY_0008	在結界盡頭等待的是
ARC_MEMORY_0009	王的神木
ARC_MEMORY_0010	別大聲喧譁！
ARC_MEMORY_0011	生命清泉
ARC_MEMORY_0012	王妃與妖精
ARC_MEMORY_0013	不可思議的海灘
ARC_MEMORY_0014	悠久的蓮田
ARC_MEMORY_0015	森林的英雄
Text/archive
ARC_ARCHIVE_TXT_01	可以查看故事登場人物。
ARC_ARCHIVE_TXT_02	阻撓瑟蕾莎的敵人。
ARC_ARCHIVE_TXT_03	在森林裡拾獲的筆記，不知道是誰寫的。
ARC_ARCHIVE_TXT_04	在森林裡找到的旅行回憶。
ARC_ARCHIVE_TXT_05	在森林裡結識交好的人魂。
ARC_CH_TXT_PL0000_0000	光明一族的「流明賢者」父親\n與黑暗一族的「暗影魔女」母親，\n他們之間生下了這名美麗的少女。\n\n賢者和魔女都嚴格禁止彼此結合，\n因此瑟蕾莎是不被接受的存在。\n即使在魔女村落，\n也是在周遭鄙視下生活。\n\n深愛自己的母親羅莎被拘禁在牢獄裡，\n瑟蕾莎每晚都因為無法救出母親而飽受折磨。\n於是「成為強大的魔女救出母親」，\n不知不覺中就成了她的人生目標。\n\n母親羅莎留給她的唯一物品是個貓布偶。\n瑟蕾莎將它取名為「小柴貓」，\n總是形影不離的帶在身上。\n曾幾何時，小柴貓便成了她排遣寂寞的\n說話對象，在她心中有著舉足輕重的分量。
ARC_CH_TXT_PL0000_0001	魔女摩根娜被族人排擠，住在阿瓦隆森林旁。\n她收留了瑟蕾莎，並教她魔導術。\n摩根娜看出瑟蕾莎身為魔女，\n技巧雖然粗糙，卻蘊含難以估計的才能，\n因此對她嚴加鍛鍊。\n\n摩根娜雖然嚴格，但也是個體貼的老師。\n瑟蕾莎在摩根娜身上看見母親的身影，\n寄予深深信賴，努力修行。\n\n某夜，瑟蕾莎受到夢中少年所言引導，\n前往嚴禁涉足的阿瓦隆森林深處，\n而此舉大大地改變了她的命運。\n\n她在森林裡被一群邪惡妖精追擊，\n不料卻在召喚惡魔時，\n使惡魔進入自己視若珍寶的布偶裡。\n她將惡魔以布偶之名喚作「小柴貓」，\n從此這奇妙雙人組的旅程便展開序幕。
ARC_CH_TXT_PL0000_0002	開始一起行動時，小柴貓總是\n把瑟蕾莎當作不成熟的魔女來對待。\n瑟蕾莎對此十分不滿，兩人之間也衝突不斷。\n當小柴貓撕裂了妖精製造出的羅莎幻影，\n更是徹底激怒了瑟蕾莎。\n因此她與小柴貓絕交，兩人分道揚鑣。\n\n不過，兩人分開一段時間後，\n瑟蕾莎深感自己的無能與對小柴貓的依賴，\n也因此開始接受小柴貓的觀點\n並承認祂的力量。\n兩人開始對彼此敞開心胸，友情越發深厚。
ARC_CH_TXT_PL0000_0003	在阿瓦隆森林的相識與別離，\n對瑟蕾莎而言是無可替代的回憶，\n讓她在「成為強大魔女」的夢想道路上\n更加成長茁壯。\n\n結束了這段冒險的瑟蕾莎，\n向熟悉的摩根娜家告別。\n為了成為如母親般偉大的魔女，\n在月光照耀下踏上旅程。
ARC_CH_TXT_PL1100_0000	陰曆二月的滿月之夜，\n因瑟蕾莎的召喚術而來到人界的惡魔。\n\n暗影召喚術喚來的惡魔，\n本該寄宿在魔女頭髮上現形。\n但瑟蕾莎尚未成熟的召喚術，\n導致惡魔無法成功寄宿在頭髮上，\n不得已附身到她隨身攜帶的布偶裡。\n\n若不在召喚者瑟蕾莎的魔力觸及範圍內，\n就會失去力量的惡魔，無法離開瑟蕾莎；\n除了相信瑟蕾莎會取得力量並將祂送回魔界，\n惡魔也沒有其他選擇。\n因此惡魔只好不情願地跟瑟蕾莎一起行動。\n\n惡魔剛出生在魔界，還沒有名字。\n便由瑟蕾莎沿用布偶之名喚作「小柴貓」。
ARC_CH_TXT_PL1100_0001	小柴貓對自身力量有絕對的自信。\n戰鬥時會用血盆大口裡的成排利齒，\n還有銳利的前腳爪子兇猛地攻擊獵物。\n\n祂愛吃甜食，\n喜歡吃煉獄果實或阿瓦隆結晶等食物。\n祂的鼻子也很靈，曾經聞出瑟蕾莎藏起來的\n阿瓦隆結晶並偷偷吃掉。\n\n惡魔的本性原應使祂的言行舉止具破壞性，\n但或許因為附身在瑟蕾莎深愛的寶貝布偶上，\n開始逐漸對她敞開心房。\n\n起初惡魔和瑟蕾莎的合作並不順利。\n瑟蕾莎與賈巴沃克對戰時表現不佳，\n使祂非常不滿。\n雖然是妖精設下的陷阱，\n但惡魔不假思索地攻擊瑟蕾莎母親的幻影，\n也讓瑟蕾莎怒不可遏。\n不斷針鋒相對的兩人一度分道揚鑣。
ARC_CH_TXT_PL1100_0002	雖然小柴貓在魔界喜歡單獨行動，\n但與瑟蕾莎分開，\n讓祂有機會反省自己對待瑟蕾莎的方式，\n甚至開始抱持悲傷或體貼這種\n惡魔本不該有的複雜情感。\n\n瑟蕾莎出手相救讓自己脫離困境，\n還犧牲珍貴的頭髮為自己療傷。\n這讓小柴貓體會到瑟蕾莎內心的強大，\n也讓兩人逐漸開始互相理解。\n\n與瑟蕾莎一起度過的時間，\n是小柴貓無可取代的經驗。\n現在祂應該在家鄉魔界揮舞自豪的爪子\n自由自在地生活，\n並期待將來成為了不起的惡魔，\n與瑟蕾莎重逢的那一天。
ARC_CH_TXT_PL0050_0000	接受正統暗影魔導術教育，\n目前是見習魔女的少女。\n天賦異稟的她陸續習得許多魔導術，\n每天都有驚人的成長。\n\n由於平時喜怒不形於色，有時看似冷酷，\n不過內心沉穩，很有人情味。\n\n對同齡的瑟蕾莎抱持競爭心理。\n雖然瑟蕾莎在來路不明的魔女指導下\n學習可說是邪門歪道的魔導術，\n但她並未因此瞧不起瑟蕾莎，\n而是承認瑟蕾莎的實力，平等對待。\n\n與瑟蕾莎是於幼年剛開始修行時相遇。\n貞德向人人鄙視厭惡的瑟蕾莎釋出善意，\n兩個女孩因此成為親密的玩伴。\n\n現在則是會從暗影魔女的修道院偷溜出來，\n避人耳目地和瑟蕾莎比試魔導術，\n兩人是很好的競爭對手。\n\n與瑟蕾莎一樣執著於「成為強大的魔女」，\n對鍛鍊的投入程度甚至近乎瘋狂。\n有人說這和她的生長境遇有關……\n但背後原因無人知曉。\n\n對天天有志難伸的瑟蕾莎而言是心靈支柱，\n甚至偶爾會出現在瑟蕾莎的夢裡。
ARC_CH_TXT_PL0100_0000	被譽為暗影魔女漫長歷史中最強的魔女。\n將各種魔導術練得登峰造極，\n是瑟蕾莎的生母。\n\n她與一位流明賢者相戀，\n由於打破禁忌誕下孩子而遭到嚴刑處罰，\n被囚禁在永恆的牢獄之中。\n\n她絕口不提為何打破禁忌與流明賢者往來，\n因此她的目的至今成謎。\n雖然她擁有極度強大的力量，\n卻從未企圖逃獄，甘願受罰。\n人們說她早已做好心理準備，\n要為打破禁忌付出代價。\n\n有些魔女同情她的遭遇，\n對瑟蕾莎因思念而潛入牢裡探望母親的行為\n睜一隻眼閉一隻眼，\n甚至刻意製造她們母女相見的機會。\n\n瑟蕾莎的寶貝布偶，\n是羅莎在獄中用手邊僅有的材料做的。\n在女兒隔著鐵柵欄依偎著母親入睡時，\n羅莎還會為她唱搖籃曲。\n直到被封印到更深沉黑暗的牢獄前，\n她都持續為女兒傾注無盡的愛。
ARC_CH_TXT_EM0200_0000	居住在阿瓦隆森林，\n是一匹擁有美麗銀白毛皮的狼。\n\n就如少年在瑟蕾莎夢中說「白狼會引導你」，\n牠屢次現身於瑟蕾莎和小柴貓面前，\n似乎在為徘徊在森林中的兩人指引道路。
ARC_CH_TXT_EM0200_0001	牠的行動相當敏捷，\n就連身手了得的小柴貓都捉不住牠，\n因此牠能輕易在邪惡妖精控制的\n危險森林中穿梭。
ARC_CH_TXT_EM0200_0002	白狼似乎知道森林中的元素核心藏在何處，\n牠經常出現在瑟蕾莎和小柴貓面前，\n像是在引誘兩人前進般，\n帶著兩人走向元素核心的所在。
ARC_CH_TXT_EM0200_0003	白狼的身體裡有個魂魄寄宿其中。\n魂魄的主人，就是過去因權力鬥爭\n而遭遇生命危險的妖精王繼承者——萊卡翁。\n\n阿瓦隆森林只允許擁有高潔精神\n和純真心靈的人進入，\n而且一旦進去便絕對無法離開。\n牠總是費盡心力，\n守護誤闖森林的人類以及居住其中的人魂，\n使他們倖免於難。\n\n牠雖然對不斷有見習魔女\n帶著惡魔進入森林一事感到奇怪，\n卻又為了將惡魔獻祭以解開自身肉體封印，\n並讓見習魔女離開森林，\n而總是引導這些見習魔女在森林中前進。\n然而，每次都只能看到這些幼小的生命消逝，\n讓牠被自己的無能和自責折磨。
ARC_CH_TXT_EM0200_0004	萊卡翁的靈魂回到原本肉體後，\n白狼或許是恢復了身為動物的本性，\n悄悄消失在森林深處。
ARC_CH_TXT_EM1100_0000	出現在瑟蕾莎夢中的神秘少年，\n要求瑟蕾莎前往禁忌的阿瓦隆森林。\n\n瑟蕾莎進入森林之後，\n以幻影的模樣出現在她面前，\n並承諾只要解除束縛著自己的封印，\n就實現她的願望，\n促使瑟蕾莎破壞主宰封印的元素核心。
ARC_CH_TXT_EM1100_0001	長相清秀；\n在瑟蕾莎的旅途中，多次現身與她互動。\n而同樣希望與母親重逢的兩人對彼此的際遇\n感同身受，心中淡淡的情愫也漸漸滋長。
ARC_CH_TXT_EM1100_0002	他是過去統治妖精一族的妖精王\n與一位暗影魔女所生之子。\n\n他的妖精王父親是一位和平主義者，\n期望廢除古老傳統，與人類共存。\n萊卡翁繼承妖精與人類雙方血統，\n預計要繼位為下一任妖精王，\n扮演妖精與人類之間的溝通橋樑。\n\n然而，有一派邪惡的妖精發動叛變，\n王族被迫退位，\n萊卡翁也差點小命不保。\n於是母親用魔導術\n把他的靈魂轉移到狼的體內，\n讓他以狼的模樣逃亡到森林裡。
ARC_CH_TXT_EM1100_0003	而他留下的軀體雖因母親的魔導術\n勉強不致崩壞，但卻落到邪惡妖精手裡，\n被嚴密封印在森林深處。\n\n要解放軀體，必須用在陰曆二月的滿月\n出生的惡魔魂魄來獻祭。\n因此他為了解除封印，至今以狼的姿態\n試著引導過好幾個帶著惡魔誤闖森林的\n見習魔女。\n\n不過他這麼做並非出於自私自利，\n而是唯有如此，才能安全地把她們送回原處。\n但他並不知道\n把這些見習魔女送入森林的正是自己的母親。\n\n雖然他的精神與肉體都尚未成熟，\n但內在卻蘊藏著驚人的力量。\n解開封印後得以覺醒的他，\n便能使出承襲自父親妖精王的法術。
ARC_CH_TXT_EM1100_0004	在他眼裡小柴貓不過是惡魔，\n因為打算拿祂來獻祭，\n還一度與瑟蕾莎對立。\n但在看到瑟蕾莎和小柴貓的深厚情誼後，\n他為自己的想法感到懊悔。\n\n臨死前，他阻止了就算使出狠毒手段\n也要拯救他的母親摩根娜；\n像在母親懷抱中睡著般，\n嚥下了最後一口氣。
ARC_CH_TXT_BA0100_0000	一位經驗老到的暗影魔女，\n住在建於阿瓦隆森林入口的屋舍，\n過著離群索居的生活。\n\n她擁有出眾的魔導力，\n且精通所有魔導術，實力相當堅強。\n然而，卻與暗影魔女一族完全斷絕聯繫，\n從很久以前就一直窩在自宅裡，\n關於她的一切全是一團謎。\n\n她拒絕所有來訪者，不准任何人靠近，\n卻讓孤苦無依的瑟蕾莎住進她的屋子，\n並嚴格地指導瑟蕾莎。\n
ARC_CH_TXT_BA0100_0001	摩根娜性格嚴苛至極，在她銳利目光注視下，\n任誰都會立刻感到一陣惡寒。\n不過她是非常優秀的導師，\n她看出瑟蕾莎是塊璞玉，\n透過嚴格而明確的指導，\n讓瑟蕾莎的能力得以發揮。\n她不怒而威的氣勢深得瑟蕾莎的信賴。\n\n她的精神面相當強大，決不受情感動搖。\n從魔界召喚黑暗眷屬時，也徹底地\n把惡魔當單純的武器使喚，運用自如。\n\n在瑟蕾莎破壞規定闖入阿瓦隆森林後，\n雖然嚴格訓斥瑟蕾莎，但也擔心她的安危，\n運用魔導術與她溝通並給予建議。
ARC_CH_TXT_BA0100_0002	連長年一起生活的瑟蕾莎都不曉得，\n遭囚於阿瓦隆森林的妖精王嫡子——萊卡翁，\n他的母親就是摩根娜。\n\n過去因妖精一族內部的權力鬥爭，\n而被逐出王城時，摩根娜為了\n保護兒子萊卡翁不被邪惡妖精所害，\n用魔導術密技將他的靈魂藏到狼的體內。\n然而，留下的軀體卻被妖精奪走了。\n\n後來，摩根娜逃到妖精力所不及的森林外，\n但為了保護萊卡翁的肉體，\n必須持續使用強力的守護魔法，\n因此她不能離開阿瓦隆森林附近，\n也無法攻入森林。\n\n進退兩難的她想到讓其他人代替自己。\n至今她教導過多名年幼少女使用魔導術，\n並把她們與獻祭用的惡魔一起送進森林深處，\n以復活萊卡翁。\n瑟蕾莎與其他見習魔女身上穿戴的魔導器\n名為「蜘蛛之擁」，\n是摩根娜製作的秘密道具。\n透過這個魔導器，\n少女們就像被困在蜘蛛絲上的獵物，\n一舉一動都逃不過摩根娜的法眼。\n\n因對自己孩子的強烈母愛，\n導致摩根娜行事偏離正道，\n但當她準備和瑟蕾莎與小柴貓對決時，\n手上卻戴著瑟蕾莎送的紫花地丁花圈。
ARC_CH_TXT_EM0050_0000	帶著眾多妖精隨從\n穿梭於阿瓦隆森林的陰影中，\n是一個詭異的妖精。\n祂跟蹤瑟蕾莎和小柴貓，一直暗中監視兩人。
ARC_CH_TXT_EM0050_0001	其真實身分為支配阿瓦隆森林的邪惡妖精，\n自稱「妖精王」，以首領自居，\n指揮麾下的妖精軍團。\n\n祂行事謹慎，一旦發現有人入侵森林，\n就會立刻命令部下襲擊，\n就算來者弱小無力也一律殺無赦。\n\n身披不合身型的超長披風，\n總是表現出桀傲不遜的態度，\n用獨特的說話方式恐嚇對手，\n但絕不堂堂正正地與人單挑。\n\n比起親自動手，\n祂更擅長施展詭計讓對手落入陷阱，\n還精通能流傳於妖精之間的奇妙幻術，\n甚至能製造並操縱天界使徒親和的幻影，\n實力不容小覷。
ARC_CH_TXT_EM0050_0002	祂本是服務前任妖精王的研究人員。\n除了能解讀人類書籍，還完成了多項發明，\n是一名優秀的科學家。\n\n元素核心也是普卡的發明，\n可說是操控妖精生活所需能量的頂尖好手，\n但卻逐漸過度自負，\n產生支配整個妖精王國的野心。\n\n於是祂利用妖精王與人類誕下孩子一事，\n趁機煽動民心，發起叛亂並消滅王族。
ARC_CH_TXT_EM0050_0003	祂嘗試奪取萊卡翁擁有的王家之力，\n但摩根娜將萊卡翁的靈魂藏起來，\n又用魔導術阻止祂破壞遺留下來的軀體。\n於是祂為了不讓萊卡翁復活，\n用元素核心將他的軀體封印在森林深處。\n\n祂企圖在成功奪取萊卡翁強大力量之際，\n向人類世界出擊以擴大支配權，\n最後卻遭到憤怒的摩根娜以大魔導術\n打成肉醬，一眨眼就死了。
ARC_CH_TXT_BAFB10_0000	瑟蕾莎在森林裡遇到的人魂少年。\n正因同伴被妖精捉走而不知所措時，\n得到了瑟蕾莎的幫助。\n個性溫柔，很為同伴著想，\n為了救出遭囚禁的同伴，\n而請求瑟蕾莎等人幫忙。\n\n據說人魂是死去人類的靈魂，\n因為無法成佛而徘徊人間的模樣。\n或許柯爾姆生前的良善之心，\n在成為人魂後仍持續留存。
ARC_CH_TXT_BAFB10_0001	在躲在森林裡居住的眾多人魂中\n擔任統籌的角色，深受同伴信賴。\n祂與同伴齊心協力，將森林中妖精棄置不用的\n垃圾場改造成「秘密基地」，\n當作人魂的藏身之處。\n祂總是避開妖精耳目偷偷蒐集物資，\n日復一日地改良秘密基地，\n好讓大家過得更舒適。\n\n祂也為住在其他藏身之處的同伴\n發行「人魂通訊」。\n由祂擔任主筆，\n蒐集森林裡值得關注的資訊，\n編輯並發送給大家。\n\n「人魂通訊」雖然只是簡樸的情報雜誌，\n但對經常身處於妖精威脅下的人魂來說，\n是非常珍貴的娛樂，\n據說也默默引發了一股熱潮。
ARC_CH_TXT_BAFB14_0000	自稱是「最了解這座森林的人」，\n會提供瑟蕾莎森林資訊的神秘人物。\n而祂確實對森林的大小事瞭若指掌，\n提供的資訊也經常對瑟蕾莎等人很有幫助。
ARC_CH_TXT_BAFB14_0001	對妖精沒有好感，所以積極協助瑟蕾莎他們，\n讓兩人在森林中能順利前進。\n\n其真實身分是長年住在阿瓦隆森林的\n年老人魂。\n相較其他人魂，祂的模樣十分有特色。\n這也充分顯示在危險森林存活至今的祂\n有多麼經驗老到。\n\n不論是連妖精都不走的野獸小徑，\n還是險峻難行的洞窟；\n祂對連通阿瓦隆森林各處的秘密通道\n無所不知，\n所以有時候會為感興趣的訪客帶路。
ARC_CH_TXT_BAFB14_0002	祂只是一個小小人魂，\n沒有足以對抗妖精的強大力量。\n但對誤闖森林的人類，\n尤其是年幼的見習魔女特別有興趣，\n長年不遺餘力地為他們提供協助。\n\n伊古妮絲舉止冷靜沉著，\n對上妖精也態度強悍、毫不畏懼，\n可以看出祂生前是個了不起的人物。
ARC_CH_TXT_BAFB14_0003	傳說在很久以前，一支貪圖力量的叛軍\n盯上了妖精王國的秘寶，攻入阿瓦隆森林。\n為了阻止叛軍，一位頗具實力的年輕魔女\n奉命跟著叛軍進入森林當中，\n但卻沒有任何人從森林回來。\n\n據說從那天起，森林被施了強力結界，\n只有內心高潔的人可以進入。\n有些人認為，這件事促使\n越來越多人希望人與妖精能和平共處，\n也間接導致人類妖精王妃的誕生。\n\n謠傳當時的魔女至今仍活在森林裡，\n但不確定這是否與伊古妮絲有關。
ARC_EM_TXT_EM0000_000_0000	【階級：碧璽騎士】\n\n二足妖精，操持著與自己近乎等高的利槍。\n是四足妖精因力量累積而成長後的型態，\n在妖精的位階中處於上位。\n多擔任指揮前線作戰的隊長，\n會頻繁給部下妖精下指令，以確實驅趕獵物。\n\n本身戰鬥能力也很高，\n喜歡使力揮舞大槍以壓制周遭的戰鬥方式。\n加上背上的翅膀帶來的飛行能力，\n有時也會從空中發動奇襲。個性好戰兇猛，\n要把對手打到動彈不得才肯罷休。\n也許是對自己的力量十分自滿，\n有很多個體會堅持從正面攻擊，\n讓對手無路可退後再將之擊潰。\n\n祂們憑藉著龐大的身軀，\n面對敵人攻擊仍毫不退卻、持續進攻的模樣\n就有如傳說中的惡鬼。
ARC_EM_TXT_EM0000_001_0000	【階級：翡翠騎士】\n\n右手持大槍，左手拿能夠反彈一切攻擊的\n堅固盾牌，是一種頑強的二足妖精。\n弗摩爾能夠看穿對手動向，\n並運用手中盾牌確實擋住攻擊，\n同時華麗地用長槍了結對手性命。\n防禦性能高，因此主要在重要據點\n擔任防衛工作，其他妖精稱祂們為「門衛」。\n\n祂們持有的盾牌是大量使用名為「奧利銀」的\n貴重資源製成的特製武器，\n強度與下級妖精拿的盾截然不同。\n因此，獲准持有這種盾的妖精很少，\n大多是在戰亂不斷的阿瓦隆森林中\n身經百戰的勇士。\n\n或許因為有著門衛的特質，\n有忠實執行任務及注重規範的傾向。\n若有妖精破壞戒律，就算是同伴，\n祂們也會毫不猶豫給予嚴苛制裁，\n是規範的守護者。
