Text/archive
ARC_ARCHIVE_TXT_01	在故事中登场的人物。
ARC_CH_TXT_PL1100_0002	小柴猫在魔界时喜欢独来独往，但这次\n和瑟蕾莎分开行动给了小柴猫一个契机\n去重新审视自己与瑟蕾莎相处的方式，\n它开始拥有恶魔本不该拥有的悲伤、\n关心等复杂感情。\n\n在瑟蕾莎救它脱离困境并毫不吝惜地\n用珍贵的头发为它治疗后，它认可了\n瑟蕾莎坚强的心，渐渐对她敞开心扉。\n\n与瑟蕾莎一起度过的时光让小柴猫获得了\n无可替代的重要体验。现在它回到了故乡\n魔界，凭借它引以为豪的爪子自由自在地\n生活着。说不定它也期待着有朝一日自己\n成为了不起的恶魔后再次见到瑟蕾莎。
ARC_CH_TXT_PL0050_0000	这位少女是一名见习魔女。\n她接受正统教育，学习暗影魔导术。\n天赋惊人，循序渐进地掌握了越来越多的\n魔导术，其成长速度令人赞叹。\n\n喜怒不形于色，看似冷漠，\n但其实性格温和，重情义。\n\n对同龄的瑟蕾莎怀抱着强烈的竞争意识，\n尽管瑟蕾莎从来历不明的魔女处学到的\n魔导术堪称邪道，但贞德并未因此疏远\n瑟蕾莎，而是认可她的实力，平等相待。\n\n与瑟蕾莎相识是在小时候刚开始修行的\n入门阶段。瑟蕾莎被视为不洁之子，\n遭人排斥，但贞德向她伸出了友谊之手，\n两人成为了感情很好的玩伴。\n\n现在也会避人耳目溜出暗影魔女修道院，\n偷偷和瑟蕾莎进行魔导术比拼，是一对\n相互竞争的益友。\n\n与瑟蕾莎一样渴望“成为强大的魔女”，\n以极强的意志力对自己进行魔鬼训练，\n但不知原因为何。\n也有人说这与她的出身境遇有关……\n\n对缺乏关心的瑟蕾莎来说，\n贞德是时常会在梦中见到的心灵支柱。
ARC_CH_TXT_PL0100_0000	在暗影魔女的悠久历史中被誉为最强者，\n对一切魔导术的造诣均登峰造极的魔女，\n也是瑟蕾莎的生母。\n\n她与一名流明贤者坠入爱河，\n打破禁忌生下了后代，\n因而遭到重罚，被关入牢狱，\n永世不得重获自由。\n\n她从不提及自己为何打破禁忌与贤者来往，\n其目的至今不明。尽管她拥有极强的力量，\n却从不试图越狱，甘愿接受惩罚。从这点\n来看，有人说她或许是在做好心理准备的\n前提下做出了破戒举动。\n\n在魔女当中也有人同情她的处境，出于对她的\n仰慕之情，对偷偷潜入牢狱来见母亲的瑟蕾莎\n睁一只眼闭一只眼，给母女俩创造相聚的机会。\n\n牢狱里的罗莎用手边仅有的材料给瑟蕾莎做了\n那个她心爱的玩偶，也曾给隔着铁栏杆依偎在\n自己身旁睡着的女儿轻唱摇篮曲……在被关进\n更深的牢狱前，罗莎尽自己所能对女儿倾注了\n最大的爱。
ARC_CH_TXT_EM0200_0000	生活在阿瓦隆森林里，\n拥有一身美丽银白色皮毛的狼。\n\n瑟蕾莎曾在梦中听说“白狼会为你引路”。\n正如这句话所说，当瑟蕾莎她们在森林里\n迷失方向时，白狼就会像引路人一样\n一次次出现。
ARC_CH_TXT_EM0200_0001	白狼的行动极为敏捷，以小柴猫的身手\n也追不上它。尽管身处邪恶妖精支配的\n危险森林中，它依然能够畅通无阻。
ARC_CH_TXT_EM0200_0002	白狼似乎知道元素核心藏在森林何处。\n它如同向导般出现，带领瑟蕾莎她们\n前往元素核心的所在地。
ARC_CH_TXT_EM0200_0003	附在白狼体内的是曾因权力斗争而面临\n生命危险的妖精王继承人莱卡翁的灵魂。\n\n拥有高洁的灵魂，一直以来都在费心保护\n误入只有心灵纯洁之人才能进入、且一旦\n进入就再也无法离开的阿瓦隆森林的人类，\n以及生活在森林里的人魂们远离危险。\n\n他虽然对见习魔女们带着恶魔前赴后继地\n进入森林很是不解，但也引导过许多魔女\n以恶魔为祭品解除自己肉体的封印，并把\n她们送回森林外的世界。然而总是不得不\n眼看幼小生命消逝的无力感和自责，让他\n备受折磨。
ARC_CH_TXT_EM0200_0004	莱卡翁的灵魂回归自己的肉体后，\n白狼好像找回了原来的自我，\n默默向森林深处远去。
ARC_CH_TXT_EM1100_0000	出现在瑟蕾莎梦里的神秘少年，\n要求她前往禁地阿瓦隆森林。\n\n在进入森林的瑟蕾莎面前以幻影形态现身。\n少年要求瑟蕾莎破坏维持封印的元素核心，\n并对瑟蕾莎承诺，只要她帮忙解开\n束缚自己的封印，就会帮她实现愿望。
ARC_CH_TXT_EM1100_0001	容貌英俊，多次出现在瑟蕾莎的目的地\n与她交流，切身理解她想再见到母亲的心愿，\n两人心中对对方隐约产生了恋慕之情。
ARC_CH_TXT_EM1100_0002	真实身份是过去统治妖精一族的妖精王\n与一名暗影魔女生下的孩子。\n\n父亲妖精王是一位打破陈规、希望与人类\n共存的和平主义者，所以继承了妖精与\n人类双方血统的莱卡翁本该继承王位，\n成为沟通妖精与人类的桥梁。\n\n然而，由于邪恶妖精一派发起叛乱，\n王族被赶下宝座，莱卡翁也面临生命危险。\n他的母亲使用魔导术将他的灵魂转移到\n白狼体内后，他便以这样的形态逃到了\n森林里面。
ARC_CH_TXT_EM1100_0003	莱卡翁留下的肉体虽在母亲的魔导术保护下\n堪堪逃过被毁坏的命运，但落于邪恶妖精\n一派的魔爪，被严密封印在森林深处。\n\n想要解放莱卡翁的肉体，必须献祭生于二月\n月圆之夜的恶魔灵魂。莱卡翁曾以狼的形态\n多次引导带着恶魔进入森林的迷途见习魔女\n帮忙解除封印。\n\n他这么做并非出于一己私利，而是因为\n这是送魔女平安离开森林的唯一手段。\n他并不知道将那些魔女送入森林之人，\n正是自己的母亲。\n\n虽然精神和肉体都尚未成熟，\n但体内蕴含着无比惊人的力量。\n封印解除后，能够驱使遗传自\n父亲妖精王的强大法术。
ARC_CH_TXT_EM1100_0004	把小柴猫视为普通恶魔准备将其献祭，\n一度与瑟蕾莎对立，\n其后目睹了瑟蕾莎和小柴猫的深厚情谊，\n反思并改变了想法。\n\n得知母亲摩根娜为救自己不惜采用\n残酷手段后，他劝阻了母亲，\n最后在她怀里像陷入沉眠一样停止了呼吸。
ARC_CH_TXT_BA0100_0000	远离人群，独自生活在阿瓦隆森林\n入口处房子里的老练暗影魔女。\n\n本领高强，拥有不凡的魔导力，精通所有\n魔导术。与暗影魔女一族切断了一切交流，\n很久以来都在自己的房子里深居简出，\n身份来历全都成谜。\n\n不允许任何来访者靠近，\n唯独接纳了无依无靠的瑟蕾莎住进家里，\n要求她刻苦修炼并对她严加指导。
ARC_CH_TXT_BA0100_0001	性格极端严厉，带刺的视线看向谁，谁就会\n立刻浑身发抖。她发现了瑟蕾莎身上潜藏的\n天赋，并施以严格但行之有效的指导让她的\n天赋得以显现，可说是一位非常优秀的导师。\n她那孤高冷峻的身姿深得瑟蕾莎信赖。\n\n她意志坚定，不会被感情影响判断。\n从魔界召唤暗之眷属时只把恶魔视为武器，\n熟练驱使。\n\n在瑟蕾莎违背教诲进入阿瓦隆森林后，\n虽然严厉批评了她，但同时也担心她的安危，\n使用魔导术与她取得联系并给予建议。
ARC_CH_TXT_BA0100_0002	摩根娜其实是被困在阿瓦隆森林的\n妖精王之子莱卡翁的母亲，\n就连长期与她生活的瑟蕾莎也不知道这件事。\n\n曾因妖精一族的内部权力斗争被赶出王都，\n当时为了从邪恶妖精手中守住莱卡翁，\n摩根娜以魔导术秘技将他的灵魂转移到了\n狼的体内，但妖精们还是夺走了他的肉体。\n\n她之后虽逃到了妖精势力所不能及的森林外，\n但因需要持续使用强力的守护魔术\n来保护莱卡翁的肉体，\n她既不能离开阿瓦隆森林附近，\n也无法攻入森林。\n\n摩根娜自身无法自如行动，所以这些年来\n她教会了许多年幼女孩魔导术，好让她们替她\n带着能让莱卡翁复活的祭品恶魔进入森林深处。\n瑟蕾莎和见习魔女身上戴着的魔导器名为\n“阿拉涅厄姆的拥抱”，是摩根娜亲手制作的\n秘密道具。她们就像是落入蜘蛛网的猎物，\n摩根娜能通过魔导器看清她们的一举一动。\n\n太过疼爱自己的孩子致使她丧失了人性，\n但她来到与瑟蕾莎和小柴猫战斗的战场时，\n手腕上还戴着瑟蕾莎曾送给她的紫罗兰花环。
ARC_CH_TXT_EM0050_0000	驱使众多妖精在阿瓦隆森林里暗中\n活动的可怕存在。追踪着瑟蕾莎和\n小柴猫的脚步，一直暗中监视两人。
ARC_CH_TXT_EM0050_0001	他的真实身份是统治阿瓦隆森林的\n邪恶妖精，自称“妖精王”，指挥着\n手下的一众妖精部队。\n\n性情谨慎，只要发现有人入侵森林，\n便立刻命令部下发动攻击，就算是\n弱小的对手也会毫不留情地铲除。\n\n身披比自己身高长出好几倍的外套，\n态度高傲，目中无人。\n爱用独特的说话方式给对方施压，\n但从来不会堂堂正正与对手单挑。\n\n比起亲自动手，更善于暗中玩弄策略\n给对方布下陷阱。他同时精通妖精们\n传承的奇妙幻术，能够制造天界使徒\n亲和的幻影并加以操纵，可以说实力\n不容小觑。
ARC_CH_TXT_EM0050_0002	曾在前任妖精王治下担任研究者，\n研究人类书籍，创造出多种发明，\n是一位优秀的科学家。\n\n元素核心也是普卡的发明，\n在运用支持妖精生活的能量这方面，\n他的技术无人能及。\n然而这也导致了他对自身能力的过度自信，\n开始肖想由自己统治整个妖精王国。\n\n于是趁着妖精王和人类诞下子嗣之机，\n煽动民众的不安情绪，\n掀起叛乱消灭了王族。
ARC_CH_TXT_EM0050_0003	普卡试图夺取莱卡翁的王族之力，\n但摩根娜藏起了莱卡翁的灵魂，\n并用魔导术保护他的肉体免遭破坏。\n因此普卡用元素核心把莱卡翁的肉体\n封印在森林深处，以避免他复活。\n\n普卡企图在夺取莱卡翁的强大力量后，\n扩张自己的势力范围，侵略人类世界。\n结果在摩根娜愤怒使出的大魔导术下，\n结结实实地一败涂地，野心未竟，\n迎来了悲惨的结局。
ARC_CH_TXT_BAFB10_0000	瑟蕾莎在森林里遇见的人魂少年。\n他因为伙伴们被妖精抓走正不知所措时，\n是瑟蕾莎帮助了他。\n他心地善良、关心伙伴，\n为了救出被囚禁的人魂，\n向瑟蕾莎一行恳切求助。\n\n据说人魂是未能上天堂的已故之人\n留在世间徘徊的灵魂，想必柯尔姆\n生前一定是个善良的人类。
ARC_CH_TXT_BAFB10_0001	是森林里隐居的人魂领头人，深受信赖。\n在森林中与伙伴们齐心协力，\n将妖精们弃用的垃圾场改造成“秘密基地”。\n避开妖精们的耳目，偷偷收集物资，\n致力于改善居住环境，让大家生活得更好。\n\n为了造福隐居在其他地方的人魂，\n他主笔编写了收集森林里新鲜消息的\n“人魂通讯”并四处分发。\n\n虽然只是很简单的资讯杂志，\n但对那些终日面临妖精威胁的人魂们来说，\n称得上是宝贵的娱乐途径，\n因此不知不觉受到了越来越多人魂的欢迎。
ARC_CH_TXT_BAFB14_0000	自称“最了解这座森林之人”，\n向瑟蕾莎透露森林信息的神秘人。\n的确对森林之事了如指掌，\n所透露的信息给瑟蕾莎一行\n提供了很多帮助。
ARC_CH_TXT_BAFB14_0001	讨厌妖精，\n积极支持瑟蕾莎她们深入森林。\n\n其真实身份是在阿瓦隆森林生活多年的\n年长人魂。不同于其他人魂的独特面貌\n诉说着伊古妮丝在这座危险森林中存活\n至今的丰富经历。\n\n熟知阿瓦隆森林每一处秘道，包括妖精\n不会经过的动物小道、路况崎岖的洞穴\n等等。遇到感兴趣的来访者时会为他们\n指路。
ARC_CH_TXT_BAFB14_0002	虽然自身的力量不足以反抗妖精，\n但对误入森林的人类，尤其是对\n见习魔女们特别关心，多年以来\n都在尽力帮助这些人。\n\n从沉着冷静的举止，到不惧妖精的\n勇敢态度，皆可窥见伊古妮丝生前\n并非等闲之辈。
ARC_CH_TXT_BAFB14_0003	有这样一个传说。\n很久很久以前，渴望力量的叛军为了得到\n妖精王国的秘宝而攻入了阿瓦隆森林。\n为了阻止叛军，一位年轻而实力不凡的魔女\n被派往森林，可自那以后没能见到任何一人\n从森林里走出来。\n\n从那天开始，森林被布下了强大的结界，\n唯有心灵纯洁之人才有资格进入。\n也因为这件事，渴望人类与妖精和平共处的\n呼声大量涌现。据说这也是让人类能够成为\n妖精王妃的原因之一。\n\n有人说当时那位魔女至今仍生活在森林里，\n但这与伊古妮丝是否有关目前还没有定论。
ARC_EM_TXT_EM0000_000_0000	【阶级：碧玺骑士】\n\n四足妖精积蓄力量成长后为两足妖精，\n手持长度与自己身高相近的锋利长枪。\n在妖精内部的阶级结构中也属于上层。\n大多是在前线指挥作战的队长级妖精，\n对部下下达种种指示，将猎物驱赶到\n他们期望的位置。\n\n自身战斗力也很强，喜欢用力挥舞长枪\n压制四周敌人的打法。且背上长着翅膀，\n拥有飞行能力，有时会使出从空中发动\n奇袭的打法。性格凶猛好战，除非与之\n对峙的敌人失去行动能力否则决不停手。\n或许是出于对自身力量的绝对自信，\n当中有很多个体都追求从正面压制\n并击溃敌人。\n\n凭借块头大的优势，\n面对敌人的攻击也毫不退缩，\n穷追猛打，宛如传说中的恶鬼。
ARC_EM_TXT_EM0000_001_0000	【阶级：翡翠骑士】\n\n右手持枪、左手持盾的强壮两足妖精。\n左手的盾牌能弹开一切攻击。\n擅长预判敌人的行动，以手中之盾精确抵御\n攻击的同时，使出华丽迅猛的枪技击毙敌人。\n因为防御力高强，所以主要负责防守重要的\n据点，被其他妖精称为“守卫”。\n\n他们的盾是用大量贵重资源“秘银”特别\n制作的，与低级妖精所使用的盾牌相比，\n在强度上完全不是一个等级。\n因此，有资格拿这种盾的妖精数量稀少，\n他们大多是在战乱不断的阿瓦隆森林里\n身经百战的勇士。\n\n身为守卫的他们忠实执行任务，遵守规则。\n打破妖精戒律者，哪怕对方是自己的同伴\n也会毫不留情地严惩，是规则的守护者。
ARC_EM_TXT_EM0000_002_0000	【阶级：紫水晶骑士】\n\n两足妖精术士。能够召唤妖精灵体\n巴格斯特，并如臂使指地控制它们。\n自如操控无数灵体行动的样子宛如\n监视羊群的牧神一般。\n\n在战斗中主要负责自后方召唤援手支援。\n召唤大量巴格斯特，以数量取胜的战术\n无疑是一大威胁。对他们来说，同胞的\n灵体也不过是战斗的棋子。当自己遭遇\n危险时，会毫不犹豫地把巴格斯特当作\n挡箭牌。\n\n不同于暗影魔女基于契约的召唤，\n他们的召唤是将被召唤者洗脑成自己可以\n随意使唤的对象。因此，能力高强的个体\n除了召唤巴格斯特，还能够召唤其他东西。\n传说，某个城镇有超过100名儿童的失踪\n是因为被潘恩控制成为了他的眷属。
ARC_EM_TXT_EM0000_003_0000	【阶级：尖晶石骑士】\n\n学识丰富，精通妖精法术的两足妖精术士。\n斯帕柯纳中存在众多拥有强大力量的个体，\n他们能够使用强大的攻击术对敌人发动\n不间断的攻击。\n\n他们自己的身体也经过法术强化，\n能够承受疲劳和疼痛。\n其法术的力量之源是人类的负面能量，\n所以面前的敌人越是感到慌张、恐惧，\n法术的威力就越强。\n\n求知欲旺盛，每天都在森林中解读传承\n下来的典籍，孜孜不倦地研究新的法术。\n他们创造的法术形形色色，既有实用的，\n也有完全派不上用场的。似乎非常重视\n在战场上检验法术效果，所以手下妖精\n被施加效果不明的法术后遭殃的情况也\n偶有发生。
ARC_EM_TXT_EM0000_004_0000	【阶级：黄玉骑士】\n\n身着覆盖全身的坚固盔甲，\n擅使巨大狼牙棒的两足妖精骑士。\n在妖精中属于大队长等级，\n永远将完成任务放在首位，\n为此不惜一切代价。自己也会积极地\n冲锋陷阵，用压倒性的力量击溃敌人。\n\n身上的武器装备是歌革玛各代代相传的\n正统传家宝。两足妖精中的战功显赫者\n一对一挑战上一代歌革玛各并获得胜利，\n方可继承这些武器装备。\n\n在两足妖精中也是首屈一指的善战者。\n打法并不是完全偏重攻击，而是根据\n敌人的类型灵活应对，拥有战略思维。\n以盔甲防御敌人攻击的同时，也能够\n发动精准的攻击，此等实力堪称威胁。\n从头盔缝隙中透出的无机质目光能让\n面前的敌人感到沉重的压迫感，足以\n令人绝望。
ARC_EM_TXT_EM0000_005_0000	【阶级：黄玉骑士】\n\n能够自如操控火与石之法术的\n两足魔战士。精通武器与法术，擅长\n搭配使用两者攻击敌人。尤其是\n阿瓦隆森林里传承悠久的火焰法术，\n可以散发出与岩浆相当的热量，因此\n触怒莫尔西伯之人都会被烧成灰烬。\n\n他们使用的火焰是以负面能量为燃料的\n特殊火焰。这种火焰造成的伤势，恢复\n起来会特别迟缓。为了追求更强的火焰，\n莫尔西伯摄取能量比其他妖精更加积极。\n\n使用火焰法术的妖精，其精神会逐渐遭到\n侵蚀，最终失去理智。莫尔西伯也不例外，\n存在许多精神失常的个体。一旦上了战场，\n他们就会像对力量迷失了心神般肆意妄为，\n直到自己或敌人化为灰烬，是令人恐惧的\n狂战士。
ARC_EM_TXT_EM0010_001_0000	【阶级：兵】\n\n森林里最常见的四足妖精。\n他们大多喜怒无常，爱搞恶作剧。\n主要以灵魂为食，欺压人类和人魂，\n吸收他们释放的负面能量为生。\n伊斯锡的体格大小各不相同，\n体格大的多为年长力强的个体，\n需要小心提防。\n\n在妖精当中属于力量较弱的类型，\n虽没有特殊能力，但力量不逊于成年人类，\n并且会使用武器和法术，不可掉以轻心。\n不过他们的五感较为迟钝，\n可以选择小心行动避开他们。\n\n伊斯锡大多担任巡逻兵，\n负责将闯入森林者的消息传递给上级妖精。\n如果被他们发现，妖精大军便会随之而来，\n所以在森林里一定要慎重行动。
ARC_EM_TXT_EM0010_002_0000	【阶级：兵】\n\n携带大炮的四足妖精。大炮为妖精\n特有的技术——妖精工艺制作而成。\n他们热爱发射炮弹，一旦发现敌人就会像\n捡到便宜一样胡乱发射一通，非常危险。\n虽然大炮准头不高且他们的技术也不太好，\n但是炮弹的威力相当强。\n炮弹速度不是很快，如果能预判好弹道，\n倒也不难避开。\n\n他们的工作是用大炮恐吓发现的人类，\n把人类引导到其他妖精所在的地方。\n为此，他们会埋伏在一个地方，\n等待猎物从眼前经过。\n但他们很快就会失去耐心，\n忍不住开始发射炮弹。\n\n这些炮弹的成本似乎并不昂贵，\n所以他们从不担心炮弹耗尽。\n优先解决掉波奇，是为上策。
ARC_EM_TXT_EM0010_003_0000	【阶级：无】\n\n妖精们为了恐吓入侵阿瓦隆森林者\n而制作的机械人偶。简单来说就是\n会走路的炸弹，其威力足以将石块\n炸得粉碎。如果被炸到可能会没命，\n作为恐吓的道具好像有点太厉害了。\n不过这也是开发者考虑过的一环。\n\n炸弹是在森林里生长的魔界植物基础上，\n用妖精的法术增强破坏力的产物。\n由于爆炸声听起来像是惨叫一样，\n人们便以传说中会发出惨叫之物为其命名。\n\n虽然一定程度上可以自主行动，\n但为了防止误炸，将之做成了\n必须设置目标才能爆炸的结构。\n但是设置必须由妖精来完成，\n而且设置好以后稍受冲击就会爆炸，\n因此评价很差。
ARC_EM_TXT_EM0010_004_0000	【阶级：兵】\n\n负责用盾保护周围妖精免受攻击的四足妖精。\n从两足妖精长官那里学会了承受攻击的方式，\n正面攻击基本都可以防住。但因为不够熟练，\n光是保护自己就已经竭尽全力，无法分心去\n保护同伴。或许是因为过于偏重防御，所以\n发动攻击的频率较低。\n\n他们的盾以森林里的“金刚石矿”为原材料，\n制成于古代战乱时期。史普利根从不懈怠\n对盾的养护，所以每块盾都擦得亮晶晶的。\n史普利根的盾是大家混用的，一旦丢失，\n大家都要负连带责任。\n还有一个问题，装饰于盾牌顶部的芽常会\n勾住树枝之类的东西，所以他们都强烈地\n希望去掉装饰。
ARC_EM_TXT_EM0010_005_0000	【阶级：已除名】\n\n被潘恩召唤出来的妖精灵体。\n其特征是颜色比活着的妖精暗淡，略显透明。\n虽是灵体，但借助潘恩的魔力化为了实体，\n所以可以摸得到。潘恩利用这一特性，\n主要将他们用作挡箭牌以防御敌人的攻击。\n巴格斯特没有自己的意志，对潘恩唯命是从，\n可悲可叹。\n\n他们是森林里死去妖精的灵魂，可以说是\n人魂的妖精版。但妖精们没有凭吊死者的\n习俗，而且无论如何折磨巴格斯特，\n他们也无法产出负面能量，\n因此妖精们对巴格斯特毫无兴趣。\n\n也有极少数的巴格斯特是自然形成，\n他们会在森林中无所事事地游荡，\n但这种巴格斯特不会存活很久。
ARC_EM_TXT_EM0010_006_0000	【阶级：兵】\n\n手持火焰之杖的妖精术士。虽说是术士，\n其实只会用火焰法术，不会用别的法术。\n不过相应地在火焰法术上拥有绝对自信，\n可以从小小的身体里释放出超乎想象的\n猛烈火焰。是能从后方进行火力支援的\n宝贵兵种，但因为他们不擅长调整威力，\n所以时不时会殃及同伴。\n\n火焰法术自古以来就在妖精当中流传，\n但使用这门法术的能力很看天赋。\n能够使用火焰法术是妖精天赋优秀的\n证明，因此许多沙拉曼达都非常高傲。\n\n因为偶尔会来到人类聚集的地方恶作剧\n引发火灾，所以常在火灾现场被人目击。\n但是很少有人知道妖精会使用火焰法术，\n所以人们将其视为“诞生于火焰的妖精”。
ARC_EM_TXT_EM0010_007_0000	【阶级：兵】\n\n头戴尖帽的四足妖精术士。虽然四足着地，\n但聪慧灵巧，能够使用转移术等多种法术。\n其攻击类法术虽然杀伤力不强，\n但精准度之高令人惊异。能够牢牢地困住\n敌人慢慢折磨。不过吟唱法术的速度较慢。\n\n加肯那大多勤奋好学，每天跟随两足妖精\n学习法术，掌握的法术日渐增加。\n求知欲极强，会搜罗人类进入森林留下的\n有用物品。事实上，头戴尖帽的行为也是\n从人类文化中学来的，这样做有助于他们\n振奋精神。\n\n施放法术时，习惯用低沉的声线吟唱咒语，\n据说这种声线听上去就像在求偶一样。
ARC_EM_TXT_EM0010_008_0000	【阶级：兵】\n\n头盔罩住整个脑袋的四足妖精。\n是伊斯锡在积累一定经验，\n戴上长官赐予的头盔后的形态。\n其技能强度远超一般四足妖精，\n经不懈锻炼获得的耐力也相当难缠。\n论实力在四足妖精当中可说是一骑绝尘，\n甚至能与两足妖精一较高下。\n但因为头盔沉重而且尺寸也不合适，\n所以他们几乎看不见东西。\n\n对儒威尔格来说，头盔即荣耀，\n所以他们非常爱惜。但头盔本身做工粗糙，\n很容易在冲撞中受损。为了修复受损的头盔，\n有不少个体的冶金与手工技术突飞猛进，\n于是他们也承担了其他妖精的装备维护工作。\n甚至有些儒威尔格从不上战场，\n专门负责锻造武器装备。
ARC_EM_TXT_EM0010_009_0000	【阶级：兵】\n\n妖精陷阱师，负责在森林各处设陷阱捉拿\n擅闯森林者。拉布列康多为老奸巨滑之辈，\n且熟悉森林里的地理状况，知道陷阱设在\n哪里最有效，能在恰当的位置布置好陷阱，\n是一种很难对付的妖精。\n\n或许是为了有效率地捕捉人类和人魂这些\n主要目标，他们懂得在陷阱上放置宝石等\n发光物品，甚至有狡猾的个体会制作宝箱，\n并在附近设置陷阱。\n不了解这种习性的人们将拉布列康称为\n“宝物守护者”，在记载中将之描述为知晓\n地下宝物所在地的妖精，流传后世。\n\n拉布列康的陷阱为就地取材，使用森林里的\n木材制作而成。因此制作效率很高，森林里\n布满了无数的陷阱。最近也不断有野生妖精\n模仿他们制作陷阱并设置于偏僻的地方。
ARC_EM_TXT_EM0010_013_0000	【阶级：兵】\n\n头戴螺旋状特制头盔的四足妖精。\n由于制成头盔的材料结实耐用，因此可以\n通过旋转身体，轻易地挖开地面进行移动。\n平时的主要工作是挖掘运输能量用的隧道。\n当有外敌出现时，能够从地底发动偷袭，\n化身为优秀的战斗人员给敌人强力一击。\n\n一天中的大部分时间都在地底度过，\n因此视力相较其他妖精更弱。\n并且不适应阳光，讨厌长时间待在地面上。\n所以有些妖精甚至不知道诺卡的存在。\n\n常年在地底一边挖掘一边前进，据说十分\n清楚宝石和矿床的位置。但是大部分个体\n都贪得无厌，就算面对伙伴也不会将位置\n如实告知。
