CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	发生连接错误。
0105_1	{[0102]}
0106_0	洒墨器操作者
0106_1	{[0102]}
0107_0	定点侦测器操作者
0107_1	{[0102]}
0108_0	毒雾操作者
0108_1	{[0102]}
0109_0	斯普拉防护墙操作者
0109_1	{[0102]}
0110_0	跳跃信标操作者
0110_1	{[0102]}
0111_0	碳酸炸弹操作者
0111_1	{[0102]}
0112_0	鱼雷操作者
0112_1	{[0102]}
0113_0	标线器操作者
0113_1	{[0102]}
0120_0	墨雨云操作者
0120_1	{[0102]}
0121_0	终极发射操作者
0121_1	{[0102]}
0122_0	终极印章操作者
0122_1	{[0102]}
0123_0	巨大防护罩操作者
0123_1	{[0102]}
0124_0	喷射背包操作者
0124_1	{[0102]}
0125_0	弹跳声呐操作者
0125_1	{[0102]}
0126_0	触手喷射操作者
0126_1	{[0102]}
0127_0	鲨鱼坐骑操作者
0127_1	{[0102]}
0128_0	螃蟹坦克操作者
0128_1	{[0102]}
0129_0	赞气弹操作者
0129_1	{[0102]}
0130_0	吸墨机操作者
0130_1	{[0102]}
0131_0	多重导弹操作者
0131_1	{[0102]}
0132_0	喇叭镭射5.1ch操作者
0132_1	{[0102]}
0133_0	三重龙卷风操作者
0133_1	{[0102]}
0134_0	能量站操作者
0134_1	{[0102]}
0150_0	战斗鱿鱼爱好者
0150_1	{[0102]}
0151_0	钢铁先锋爱好者
0151_1	{[0102]}
0152_0	海月爱好者
0152_1	{[0102]}
0153_0	罗肯贝格爱好者
0153_1	{[0102]}
0154_0	泽酷爱好者
0154_1	{[0102]}
0155_0	锻品爱好者
0155_1	{[0102]}
0156_0	暖流爱好者
0156_1	{[0102]}
0157_0	帆立爱好者
0157_1	{[0102]}
0158_0	寺门爱好者
0158_1	{[0102]}
0159_0	时雨爱好者
0159_1	{[0102]}
0160_0	艾洛眼爱好者
0160_1	{[0102]}
0161_0	暇古爱好者
0161_1	{[0102]}
0162_0	无法无天爱好者
0162_1	{[0102]}
0163_0	鱿皇爱好者
0163_1	{[0102]}
0164_0	剑尖鱿爱好者
0164_1	{[0102]}
0166_0	散寿司爱好者
0166_1	{[0102]}
0167_0	七轮爱好者
0167_1	{[0102]}
0168_0	鱼干制造爱好者
0168_1	{[0102]}
0180_0	Squid Squad粉丝
0180_1	{[0102]}
0181_0	ABXY粉丝
0181_1	{[0102]}
0182_0	Hightide Era粉丝
0182_1	{[0102]}
0183_0	Wet Floor粉丝
0183_1	{[0102]}
0184_0	From Bottom粉丝
0184_1	{[0102]}
0185_0	流裂粉丝
0185_1	{[0102]}
0186_0	SashiMori粉丝
0186_1	{[0102]}
0187_0	禁同食粉丝
0187_1	{[0102]}
0188_0	ω-3粉丝
0188_1	{[0102]}
0189_0	OCTOTOOL粉丝
0189_1	{[0102]}
0190_0	Dedf1sh粉丝
0190_1	{[0102]}
0191_0	C-Side粉丝
0191_1	{[0102]}
0220_0	长发
0220_1	{[0102]}
0221_0	短发
0221_1	{[0102]}
0222_0	丸子头
0222_1	{[0102]}
0223_0	波浪卷
0223_1	{[0102]}
0224_0	双马尾
0224_1	{[0102]}
0225_0	齐刘海
0225_1	{[0102]}
0226_0	发髻
0226_1	{[0102]}
0227_0	后梳油头
0227_1	{[0102]}
0228_0	平头
0228_1	{[0102]}
0229_0	马尾
0229_1	{[0102]}
0230_0	刺刺头
0230_1	{[0102]}
0231_0	蘑菇头
0231_1	{[0102]}
0232_0	麻花辫
0232_1	{[0102]}
0233_0	自然发型
0233_1	{[0102]}
0234_0	湿发
0234_1	{[0102]}
0235_0	脏辫
0235_1	{[0102]}
0236_0	卷发
0236_1	{[0102]}
0237_0	莫西干头
0237_1	{[0102]}
0238_0	爆炸头
0238_1	{[0102]}
0239_0	纵卷发
0239_1	{[0102]}
0240_0	渐层寸头
0240_1	{[0102]}
0241_0	男性长发
0241_1	{[0102]}
0242_0	飞机头
0242_1	{[0102]}
0243_0	斜刘海
0243_1	{[0102]}
0300_0	小拟粉丝
0300_1	{[0102]}
0301_0	头部装备店常客
0301_1	{[0102]}
0302_0	饭田粉丝
0302_1	{[0102]}
0303_0	曼曼粉丝
0303_1	{[0102]}
0304_0	鞋店常客
0304_1	{[0102]}
0305_0	杂货店常客
0305_1	{[0102]}
0306_0	麻辣鱿物粉丝
0306_1	{[0102]}
0307_0	鱼浆帮粉丝
0307_1	{[0102]}
0308_0	腕儿姐妹粉丝
0308_1	{[0102]}
0309_0	小姬粉丝
0309_1	{[0102]}
0310_0	莎莎粉丝
0310_1	{[0102]}
0311_0	武器店常客
0311_1	{[0102]}
0312_0	服装店常客
0312_1	{[0102]}
0313_0	小萤粉丝
0313_1	{[0102]}
0314_0	鬼福粉丝
0314_1	{[0102]}
0315_0	真格蛤蜊爱好者
0315_1	{[0102]}
0316_0	真格区域爱好者
0316_1	{[0102]}
0317_0	真格鱼虎对战爱好者
0317_1	{[0102]}
0318_0	真格塔楼爱好者
0318_1	{[0102]}
0319_0	鲑鱼跑爱好者
0319_1	{[0102]}
0320_0	占地对战爱好者
0320_1	{[0102]}
0321_0	英雄模式爱好者
0321_1	{[0102]}
0322_0	真格蛤蜊大师
0322_1	{[0102]}
0323_0	真格区域大师
0323_1	{[0102]}
0324_0	真格塔楼大师
0324_1	{[0102]}
0325_0	占地对战大师
0325_1	{[0102]}
0326_0	真格鱼虎大师
0326_1	{[0102]}
0327_0	鲑鱼跑大师
0327_1	{[0102]}
0328_0	英雄模式大师
0328_1	{[0102]}
0329_0	鱿鱼族
0329_1	{[0102]}
0330_0	章鱼圈
0330_1	{[0102]}
0331_0	T恤爱好者
0331_1	{[0102]}
0332_0	外套爱好者
0332_1	{[0102]}
0333_0	衬衫爱好者
0333_1	{[0102]}
0334_0	运动鞋爱好者
0334_1	{[0102]}
0335_0	针织衫爱好者
0335_1	{[0102]}
0336_0	时尚教主
0336_1	{[0102]}
0337_0	帽子爱好者
0337_1	{[0102]}
0338_0	眼镜爱好者
0338_1	{[0102]}
0339_0	靴子爱好者
0339_1	{[0102]}
0340_0	卡片收藏者
0340_1	{[0102]}
0341_0	杂货收藏者
0341_1	{[0102]}
0342_0	时尚界人士
0342_1	{[0102]}
0343_0	置物柜狂
0343_1	{[0102]}
0344_0	鱿鱼登顶者
0344_1	{[0102]}
0345_0	鱿鱼滚行者
0345_1	{[0102]}
0346_0	全能者
0346_1	{[0102]}
0347_0	跳跃者
0347_1	{[0102]}
0348_0	翻滚者
0348_1	{[0102]}
0349_0	慢起步者
0349_1	{[0102]}
0350_0	轰炸者
0350_1	{[0102]}
0351_0	守护神
0351_1	{[0102]}
0352_0	冲锋队长
0352_1	{[0102]}
0353_0	鬼蝠鲼
0353_1	{[0102]}
0354_0	章鱼族
0354_1	{[0102]}
0355_0	熊
0355_1	{[0102]}
0356_0	水母
0356_1	{[0102]}
0357_0	人类
0357_1	{[0102]}
0358_0	鱼贝类
0358_1	{[0102]}
0359_0	哺乳类
0359_1	{[0102]}
0360_0	艺术家
0360_1	{[0102]}
0361_0	偶像
0361_1	{[0102]}
0362_0	打工仔
0362_1	{[0102]}
0363_0	海鳗操作者
0363_1	{[0102]}
0364_0	鲨鱼操作者
0364_1	{[0102]}
0365_0	商店店员
0365_1	{[0102]}
0366_0	上班族
0366_1	{[0102]}
0367_0	老大
0367_1	{[0102]}
0368_0	冠军
0368_1	{[0102]}
0369_0	贝斯手
0369_1	{[0102]}
2500_0	幸运儿
2500_1	{[0102]}
3000_0	年轻人
3000_1	{[0102]}
3001_0	鱿鱼
3001_1	{[0102]}
3002_0	章鱼
3002_1	{[0102]}
3003_0	鲑鱼
3003_1	{[0102]}
3004_0	男孩
3004_1	女孩
3005_0	3号
3005_1	{[0102]}
3006_0	父亲
3006_1	母亲
3007_0	爸爸
3007_1	妈妈
3008_0	儿子
3008_1	女儿
3009_0	哥哥
3009_1	姐姐
3010_0	弟弟
3010_1	妹妹
3011_0	爷爷
3011_1	奶奶
3012_0	孙子
3012_1	{[0102]}
3013_0	叔叔
3013_1	阿姨
3014_0	婴儿
3014_1	{[0102]}
3015_0	宠物
3015_1	{[0102]}
3100_0	霸者
3100_1	{[0102]}
3200_0	占地斗士
3200_1	{[0102]}
3201_0	卡牌玩家
3201_1	{[0102]}
3300_0	旅行者
3300_1	{[0102]}
CommonMsg\Coop\CoopEnemy.msbt
SakelienStandard	鲑鱼
SakelienLarge	大胖鱼
SakelienSmall	小鲑鱼
SakelienGolden	金鲑鱼
SakeFlyBagman	拾蛋鱼
SakelienBomber	炸弹鱼
SakelienCupTwins	垫肩飞鱼
SakelienShield	铁板鱼
SakelienSnake	蛇鱼
SakelienTower	高塔鱼
Sakediver	鼹鼠鱼
Sakedozer	烤架鱼
SakepuncherBulletSimpl	直升机鲑鱼
Sakerocket	蝙蝠鱼
SakeSaucer	锅盖鱼
SakePillar	柱鱼
SakeDolphin	潜水鱼
SakeArtillery	铁球鱼
SakelienGiant	横纲
CommonMsg\Coop\CoopGrade.msbt
Grade_00	新手
Grade_01	半吊子
Grade_02	独当一面
Grade_03	熟练
Grade_04	达人
Grade_05	达人+1
Grade_06	达人+2
Grade_07	达人+3
Grade_08	传说
CommonMsg\Coop\CoopSkinName.msbt
COP001	打工连身工作服 橘色
CommonMsg\Coop\CoopStageName.msbt
Shakespiral	新卷堡
CommonMsg\GameWindow\ItemGetWindow.msbt
RewardWeapon_00	获得“{[0401|00000000]}”！
RewardWeapon_01	前往{color[0100]}大厅设备{color[ffff]}领取后，\n在互联网对战中使用吧！
RewardGear_Head_00	获得“{[0402|00000000]}”！
RewardGear_Head_01	前往{color[0100]}大厅设备{color[ffff]}领取后，\n在互联网对战中使用吧！
RewardGear_Clothes_00	获得“{[0402|00000000]}”！
RewardGear_Clothes_01	前往{color[0100]}大厅设备{color[ffff]}领取后，\n在互联网对战中使用吧！
RewardGear_Shoes_00	获得“{[0402|00000000]}”！
RewardGear_Shoes_01	前往{color[0100]}大厅设备{color[ffff]}领取后，\n在互联网对战中使用吧！
RewardLockerFigure_00	获得装饰品！
RewardLockerFigure_01	前往{color[0100]}大厅设备{color[ffff]}领取后，\n装饰在置物柜上吧！
RewardLockerSticker_00	获得贴纸！
RewardLockerSticker_01	前往{color[0100]}大厅设备{color[ffff]}领取后，\n装饰在置物柜上吧！
RewardMiniGameCardPack_00	获得卡片包！
RewardMiniGameCardPack_01	前往{color[0100]}大厅设备{color[ffff]}领取后，\n在占地斗士中使用吧！
RewardByname_00	获得称号！
RewardByname_01	前往{color[0100]}大厅设备{color[ffff]}领取后，\n设置在名称牌上吧！
RewardFoodTicket_00	获得餐券！
RewardFoodTicket_01	前往{color[0100]}大厅设备{color[ffff]}领取吧！\n只要将券带到大厅的商店里，就会有好事发生哦！
MsnWeaponBufDocument_00	获得小鱼干！
MsnWeaponBufDocument_01	它可以用来为英雄装备强化能力哦！\n按{[0302|0000803f00000000]}打开菜单就可以强化能力了！
MsnGoldDisk_00	获得金色唱片！
MsnGoldDisk_01	在这附近听到的音乐变得不太一样了哦！\n用心聆听吧！
MsnExStageChallengeRight_00	隐藏的茶壶出现了！
MsnExStageChallengeRight_01	去觉醒之地看看吧！
CommonMsg\Gear\GearBrandName.msbt
B00	战斗鱿鱼
B01	钢铁先锋
B02	海月
B03	罗肯贝格
B04	泽酷
B05	锻品
B06	暖流
B07	帆立
B08	寺门
B09	时雨
B10	艾洛眼
B11	暇古
B15	无法无天
B16	鱿皇
B17	剑尖鱿
B19	散寿司
B20	七轮
B97	熊先生商会
B98	鱼干制造
B99	amiibo
CommonMsg\Gear\GearName_Clothes.msbt
TES001	鱿鱼眼T恤 黑色
TES004	罗肯贝格T恤 白色
TES005	罗肯贝格T恤 黑色
TES006	鱿鱼T恤 黑色
TES013	向量图案T恤 红色
TES014	向量图案T恤 灰色
TES015	山岳T恤 蓝色
TES016	山岳T恤 象牙色
TES018	海盗风横纹T恤
TES019	海军风横纹T恤
TES020	烧河豚点阵T恤 白色
TES021	烧河豚点阵T恤 黑色
TES035	鱿鱼V领T恤 白色
TES063	鱿鱼丝T恤 白色
TES066	无法无天T恤配颈链
TES088	加百列T恤
TES069	再版T恤 蓝色
TES070	再版T恤 棕色
TES071	散寿司披肩 海苔卷
TES072	散寿司T恤 白米
TES073	散寿司T恤 糙米
TES074	散寿司T恤 红豆饭
TES075	依古T恤 五分袖
TES076	鱿鱼先生T恤
TES077	章鱼先生T恤
TES082	滚边T恤 凤梨
TES083	滚边T恤 苹果
TES084	暮光渐层T恤
TES085	日落渐层T恤
TES091	密集水滴鱼上衣 莓果红
TEL004	泽酷插肩袖上衣
TLY000	两件式长袖上衣 白色
TLY001	两件式长袖上衣 芥末黄
TLY006	两件式长袖上衣 巧克力色
TLY008	向量线条两件式长袖上衣
TLY009	绿色T恤
PLO004	乒乓球Polo衫
PLO005	单车衫
