CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	通信エラーが発生しました
0160	{r2[せいざちゅう]}正座中{/r2}の
0161	{r2[みぎき]}右利{/r2}きの
0162	{r2[むくち]}無口{/r2}な
0163	プロ{r2[きゅう]}級{/r2}
0164	アマチュア
0165	ハイカラスクエアの
0166	ハイカラシティの
0167	ハイカラな
0168	{r2[やせい]}野生{/r2}の
0169	{r2[とかい]}都会{/r2}の
0170	いなかの
0171	どん{r2[よく]}欲{/r2}な
0172	{r2[はや]}流行{/r2}りの
0173	{r2[うらどお]}裏通{/r2}りの
0174	{r2[よるがた]}夜型{/r2}の
0175	{r2[あした]}明日{/r2}が{r2[たの]}楽{/r2}しみな
0177	{r2[ゆめみ]}夢見{/r2}がちな
0178	{r2[ぶんかけい]}文化系{/r2}
0179	{r2[はら]}腹{/r2}ペコの
0180	{r2[ま]}負{/r2}けずぎらいな
0181	{r2[つ]}付{/r2}け{r2[や]}焼{/r2}き{r2[ば]}刃{/r2}の
0182	テキトーな
0183	{r2[あさがた]}朝型{/r2}の
0184	だいたんな
0185	{r2[おおぐ]}大食{/r2}いの
0186	{r2[たいいくかいけい]}体育会系{/r2}
0187	{r2[そうちょう]}早朝{/r2}の
0188	{r2[はやう]}早撃{/r2}ち
0189	{r2[はやお]}早起{/r2}きな
0191	{r2[しんかい]}深海{/r2}の
0193	{r2[ねお]}寝起{/r2}きの
0194	{r2[なぎさ]}渚{/r2}の
0195	{r2[じゆうじざい]}自由自在{/r2}な
0196	{r2[じだい]}時代{/r2}おくれの
0197	{r2[さんごくいち]}三国一{/r2}の
0200	{r2[こくみんてき]}国民的{/r2}
0201	{r2[あらなみ]}荒波{/r2}の
0202	こどくな
0203	{r2[げんかい]}限界{/r2}を{r2[こ]}超{/r2}えた
0204	{r2[つよき]}強気{/r2}な
0205	{r2[な]}泣{/r2}く{r2[こ]}子{/r2}もだまる
0206	{r2[きゅうじつ]}休日{/r2}の
0207	{r2[ひさ]}久{/r2}しぶりの
0208	{r2[かえ]}帰{/r2}ってきた
0209	がんばる
0210	{r2[あまとう]}甘党{/r2}の
0211	{r2[うみ]}海{/r2}の
0212	{r2[じこりゅう]}自己流{/r2}の
0213	{r2[なつやす]}夏休{/r2}みの
0214	{r2[かこう]}加工{/r2}された
0215	よごれた
0216	{r2[しおあじ]}塩味{/r2}の
0217	{r2[うん]}運{/r2}まかせの
0219	{r2[い]}井{/r2}の{r2[なか]}中{/r2}の
0220	ワイプアウトの
0221	ロックな
0222	レトロな
0224	ルーズな
0225	よくばりな
0226	ヤンチャな
0227	やわらかい
0228	{r2[むてき]}無敵{/r2}の
0229	ムキムキの
0230	ポップな
0231	フレッシュな
0232	フルスロットル
0233	ピチピチの
0234	{r2[はんにん]}犯人{/r2}は
0235	はたらく
0236	はじめての
0237	のびしろのある
0238	{r2[ぬ]}塗{/r2}りたくる
0239	{r2[なみの]}波乗{/r2}り
0240	トレンディーな
0241	とれたての
0242	データで{r2[たたか]}戦{/r2}う
0243	{r2[ちつじょ]}秩序{/r2}の
0244	たったひとりの
0245	センチメンタルな
0246	スライドする
0247	スミにおけない
0248	{r2[しゅんぱつりょく]}瞬発力{/r2}のある
0249	シャイな
0250	シオカラ
0251	サバよんだ
0253	ケバ{r2[だ]}立{/r2}つ
0254	ケバい
0255	グレート
0256	{r2[きょう]}今日{/r2}が{r2[たんじょうび]}誕生日{/r2}の
0257	{r2[き]}気{/r2}まぐれな
0258	キケンな
0259	ガチ
0260	おいしい
0261	ウルトラ
0262	ウキワの
0263	インドアな
0264	インクまみれの
0265	インクしたたる
0266	イカす
0267	イカした
0268	ありふれた
0269	アッサリ{r2[けい]}系{/r2}の
0270	８{r2[ぽんあし]}本足{/r2}の
0271	１０{r2[ぽんあし]}本足{/r2}の
2500	{r2[だいだいきち]}大大吉{/r2}の
3000	バンカラな
3001	インド{r2[よう]}洋{/r2}の
3002	{r2[きたたいせいよう]}北大西洋{/r2}の
3003	{r2[きたたいへいよう]}北太平洋{/r2}の
3004	{r2[なんきょくかい]}南極海{/r2}の
3005	{r2[ほっきょくかい]}北極海{/r2}の
3006	{r2[みなみたいせいよう]}南大西洋{/r2}の
3007	{r2[みなみたいへいよう]}南太平洋{/r2}の
3008	イカッチャの
3009	クマサン{r2[しょうかい]}商会{/r2}の
3010	クレーターの
3011	{r2[ひろば]}広場{/r2}の
3012	ロビーの
3013	{r2[さんだいめ]}三代目{/r2}
3014	{r2[こんとん]}混沌{/r2}の
3015	{r2[まなつ]}真夏{/r2}の
3100	オルタナの
3200	エンジョイ
3201	{r2[さいきょう]}最強{/r2}の
3300	アゲアゲの
CommonMsg\Byname\BynameSubject.msbt
0000_0	ボールドマーカー{r2[つか]}使{/r2}い
0000_1	{[0102]}
0001_0	わかばシューター{r2[つか]}使{/r2}い
0001_1	{[0102]}
0002_0	シャープマーカー{r2[つか]}使{/r2}い
0002_1	{[0102]}
0003_0	プロモデラー{r2[つか]}使{/r2}い
0003_1	{[0102]}
0004_0	スプラシューター{r2[つか]}使{/r2}い
0004_1	{[0102]}
0005_0	.52ガロン{r2[つか]}使{/r2}い
0005_1	{[0102]}
0006_0	N-ZAP{r2[つか]}使{/r2}い
0006_1	{[0102]}
0007_0	プライムシューター{r2[つか]}使{/r2}い
0007_1	{[0102]}
0008_0	.96ガロン{r2[つか]}使{/r2}い
0008_1	{[0102]}
0009_0	ジェットスイーパー{r2[つか]}使{/r2}い
0009_1	{[0102]}
0010_0	ノヴァブラスター{r2[つか]}使{/r2}い
0010_1	{[0102]}
0011_0	ホットブラスター{r2[つか]}使{/r2}い
0011_1	{[0102]}
0012_0	ロングブラスター{r2[つか]}使{/r2}い
0012_1	{[0102]}
0013_0	クラッシュブラスター{r2[つか]}使{/r2}い
0013_1	{[0102]}
0014_0	ラピッドブラスター{r2[つか]}使{/r2}い
0014_1	{[0102]}
0015_0	Rブラスターエリート{r2[つか]}使{/r2}い
0015_1	{[0102]}
0016_0	L3リールガン{r2[つか]}使{/r2}い
0016_1	{[0102]}
0017_0	H3リールガン{r2[つか]}使{/r2}い
0017_1	{[0102]}
0018_0	ボトルガイザー{r2[つか]}使{/r2}い
0018_1	{[0102]}
0019_0	カーボンローラー{r2[つか]}使{/r2}い
0019_1	{[0102]}
0020_0	スプラローラー{r2[つか]}使{/r2}い
0020_1	{[0102]}
0021_0	ダイナモローラー{r2[つか]}使{/r2}い
0021_1	{[0102]}
0022_0	ヴァリアブルローラー{r2[つか]}使{/r2}い
0022_1	{[0102]}
0023_0	パブロ{r2[つか]}使{/r2}い
0023_1	{[0102]}
0024_0	ホクサイ{r2[つか]}使{/r2}い
0024_1	{[0102]}
0025_0	スクイックリン{r2[つか]}使{/r2}い
0025_1	{[0102]}
0026_0	スプラチャージャー{r2[つか]}使{/r2}い
0026_1	{[0102]}
0027_0	リッター4K{r2[つか]}使{/r2}い
0027_1	{[0102]}
0028_0	14{r2[しきたけづつじゅうつか]}式竹筒銃使{/r2}い
0028_1	{[0102]}
0029_0	ソイチューバー{r2[つか]}使{/r2}い
0029_1	{[0102]}
0030_0	バケットスロッシャー{r2[つか]}使{/r2}い
0030_1	{[0102]}
0031_0	ヒッセン{r2[つか]}使{/r2}い
0031_1	{[0102]}
0032_0	スクリュースロッシャー{r2[つか]}使{/r2}い
0032_1	{[0102]}
0033_0	オーバーフロッシャー{r2[つか]}使{/r2}い
0033_1	{[0102]}
0034_0	エクスプロッシャー{r2[つか]}使{/r2}い
0034_1	{[0102]}
0035_0	スプラスピナー{r2[つか]}使{/r2}い
0035_1	{[0102]}
0036_0	バレルスピナー{r2[つか]}使{/r2}い
0036_1	{[0102]}
0037_0	ハイドラント{r2[つか]}使{/r2}い
0037_1	{[0102]}
0038_0	クーゲルシュライバー{r2[つか]}使{/r2}い
0038_1	{[0102]}
0039_0	ノーチラス{r2[つか]}使{/r2}い
0039_1	{[0102]}
0040_0	スパッタリー{r2[つか]}使{/r2}い
0040_1	{[0102]}
0041_0	スプラマニューバー{r2[つか]}使{/r2}い
0041_1	{[0102]}
0042_0	ケルビン525{r2[つか]}使{/r2}い
0042_1	{[0102]}
0043_0	デュアルスイーパー{r2[つか]}使{/r2}い
0043_1	{[0102]}
0044_0	クアッドホッパー{r2[つか]}使{/r2}い
0044_1	{[0102]}
0045_0	パラシェルター{r2[つか]}使{/r2}い
0045_1	{[0102]}
0046_0	キャンピングシェルター{r2[つか]}使{/r2}い
0046_1	{[0102]}
0047_0	スパイガジェット{r2[つか]}使{/r2}い
0047_1	{[0102]}
0048_0	トライストリンガー{r2[つか]}使{/r2}い
0048_1	{[0102]}
0049_0	ジムワイパー{r2[つか]}使{/r2}い
0049_1	{[0102]}
0050_0	LACT-450{r2[つか]}使{/r2}い
0050_1	{[0102]}
0052_0	スプラスコープ{r2[つか]}使{/r2}い
0052_1	{[0102]}
0053_0	4Kスコープ{r2[つか]}使{/r2}い
0053_1	{[0102]}
0100_0	スプラッシュボム{r2[つか]}使{/r2}い
0100_1	{[0102]}
0101_0	キューバンボム{r2[つか]}使{/r2}い
0101_1	{[0102]}
0102_0	クイックボム{r2[つか]}使{/r2}い
0102_1	{[0102]}
0103_0	カーリングボム{r2[つか]}使{/r2}い
0103_1	{[0102]}
0104_0	ロボットボム{r2[つか]}使{/r2}い
0104_1	{[0102]}
0105_0	トラップ{r2[つか]}使{/r2}い
0105_1	{[0102]}
0106_0	スプリンクラー{r2[つか]}使{/r2}い
0106_1	{[0102]}
0107_0	ポイントセンサー{r2[つか]}使{/r2}い
0107_1	{[0102]}
0108_0	ポイズンミスト{r2[つか]}使{/r2}い
0108_1	{[0102]}
0109_0	スプラッシュシールド{r2[つか]}使{/r2}い
0109_1	{[0102]}
0110_0	ジャンプビーコン{r2[つか]}使{/r2}い
0110_1	{[0102]}
0111_0	タンサンボム{r2[つか]}使{/r2}い
0111_1	{[0102]}
0112_0	トーピード{r2[つか]}使{/r2}い
0112_1	{[0102]}
0113_0	ラインマーカー{r2[つか]}使{/r2}い
0113_1	{[0102]}
0120_0	アメフラシ{r2[つか]}使{/r2}い
0120_1	{[0102]}
0121_0	ウルトラショット{r2[つか]}使{/r2}い
0121_1	{[0102]}
0122_0	ウルトラハンコ{r2[つか]}使{/r2}い
0122_1	{[0102]}
0123_0	グレートバリア{r2[つか]}使{/r2}い
0123_1	{[0102]}
0124_0	ジェットパック{r2[つか]}使{/r2}い
0124_1	{[0102]}
0125_0	ホップソナー{r2[つか]}使{/r2}い
0125_1	{[0102]}
0126_0	ショクワンダー{r2[つか]}使{/r2}い
0126_1	{[0102]}
0127_0	サメライド{r2[つか]}使{/r2}い
0127_1	{[0102]}
0128_0	カニタンク{r2[つか]}使{/r2}い
0128_1	{[0102]}
0129_0	ナイスダマ{r2[つか]}使{/r2}い
0129_1	{[0102]}
0130_0	キューインキ{r2[つか]}使{/r2}い
0130_1	{[0102]}
0131_0	マルチミサイル{r2[つか]}使{/r2}い
0131_1	{[0102]}
0132_0	メガホンレーザー5.1ch{r2[つか]}使{/r2}い
0132_1	{[0102]}
0133_0	トリプルトルネード{r2[つか]}使{/r2}い
0133_1	{[0102]}
0134_0	エナジースタンド{r2[つか]}使{/r2}い
0134_1	{[0102]}
0150_0	バトロイカ{r2[ず]}好{/r2}き
0150_1	{[0102]}
0151_0	アイロニック{r2[ず]}好{/r2}き
0151_1	{[0102]}
0152_0	クラーゲス{r2[ず]}好{/r2}き
0152_1	{[0102]}
0153_0	ロッケンベルグ{r2[ず]}好{/r2}き
0153_1	{[0102]}
0154_0	エゾッコ{r2[ず]}好{/r2}き
0154_1	{[0102]}
0155_0	フォーリマ{r2[ず]}好{/r2}き
0155_1	{[0102]}
0156_0	ホッコリー{r2[ず]}好{/r2}き
0156_1	{[0102]}
0157_0	ホタックス{r2[ず]}好{/r2}き
0157_1	{[0102]}
0158_0	ジモン{r2[ず]}好{/r2}き
0158_1	{[0102]}
0159_0	シグレニ{r2[ず]}好{/r2}き
0159_1	{[0102]}
0160_0	アロメ{r2[ず]}好{/r2}き
0160_1	{[0102]}
0161_0	ヤコ{r2[ず]}好{/r2}き
0161_1	{[0102]}
0162_0	アナアキ{r2[ず]}好{/r2}き
0162_1	{[0102]}
0163_0	エンペリー{r2[ず]}好{/r2}き
0163_1	{[0102]}
0164_0	タタキケンサキ{r2[ず]}好{/r2}き
0164_1	{[0102]}
0166_0	バラズシ{r2[ず]}好{/r2}き
0166_1	{[0102]}
0167_0	シチリン{r2[ず]}好{/r2}き
0167_1	{[0102]}
0168_0	アタリメイド{r2[ず]}好{/r2}き
0168_1	{[0102]}
0180_0	Squid Squadファン
0180_1	{[0102]}
0181_0	ABXYファン
0181_1	{[0102]}
0182_0	Hightide Eraファン
0182_1	{[0102]}
0183_0	Wet Floorファン
0183_1	{[0102]}
0184_0	From Bottomファン
0184_1	{[0102]}
0185_0	カレントリップファン
0185_1	{[0102]}
0186_0	SashiMoriファン
0186_1	{[0102]}
0187_0	{r2[がっしょくきん]}合食禁{/r2}ファン
0187_1	{[0102]}
0188_0	ω-3ファン
0188_1	{[0102]}
0189_0	OCTOTOOLファン
0189_1	{[0102]}
0190_0	Dedf1shファン
0190_1	{[0102]}
0191_0	C-Sideファン
0191_1	{[0102]}
0220_0	ロングヘア
0220_1	{[0102]}
0221_0	ショートカット
0221_1	{[0102]}
0222_0	おだんご
0222_1	{[0102]}
0223_0	ウェービー
0223_1	{[0102]}
0224_0	ツインテ
0224_1	{[0102]}
0225_0	ぱっつん
0225_1	{[0102]}
0226_0	ちょんまげ
0226_1	{[0102]}
0227_0	オールバック
0227_1	{[0102]}
0228_0	ボウズ
0228_1	{[0102]}
0229_0	ポニテ
0229_1	{[0102]}
0230_0	ツンツン
0230_1	{[0102]}
0231_0	マッシュ
0231_1	{[0102]}
0232_0	ミツアミ
0232_1	{[0102]}
0233_0	むぞうさ
0233_1	{[0102]}
0234_0	ウェット
0234_1	{[0102]}
0235_0	コーンロウ
0235_1	{[0102]}
0236_0	カーリーヘア
0236_1	{[0102]}
0237_0	モヒカン
0237_1	{[0102]}
0238_0	アフロ
0238_1	{[0102]}
0239_0	タテロール
0239_1	{[0102]}
0240_0	フェード
0240_1	{[0102]}
0241_0	ロンゲ
0241_1	{[0102]}
0242_0	リーゼント
0242_1	{[0102]}
0243_0	アシメ
0243_1	{[0102]}
0300_0	アオリファン
0300_1	{[0102]}
0301_0	アタマ{r2[やじょうれん]}屋常連{/r2}
0301_1	{[0102]}
0302_0	イイダファン
0302_1	{[0102]}
0303_0	ウツホファン
0303_1	{[0102]}
0304_0	クツ{r2[やじょうれん]}屋常連{/r2}
0304_1	{[0102]}
0305_0	ザッカ{r2[やじょうれん]}屋常連{/r2}
0305_1	{[0102]}
0306_0	シオカラーズファン
0306_1	{[0102]}
0307_0	すりみ{r2[れんごう]}連合{/r2}ファン
0307_1	{[0102]}
0308_0	テンタクルズファン
0308_1	{[0102]}
0309_0	ヒメファン
0309_1	{[0102]}
0310_0	フウカファン
0310_1	{[0102]}
0311_0	ブキ{r2[やじょうれん]}屋常連{/r2}
0311_1	{[0102]}
0312_0	フク{r2[やじょうれん]}屋常連{/r2}
0312_1	{[0102]}
0313_0	ホタルファン
0313_1	{[0102]}
0314_0	マンタローファン
0314_1	{[0102]}
0315_0	ガチアサリ{r2[ず]}好{/r2}き
0315_1	{[0102]}
0316_0	ガチエリア{r2[ず]}好{/r2}き
0316_1	{[0102]}
0317_0	ガチホコバトル{r2[ず]}好{/r2}き
0317_1	{[0102]}
0318_0	ガチヤグラ{r2[ず]}好{/r2}き
0318_1	{[0102]}
0319_0	サーモンラン{r2[ず]}好{/r2}き
0319_1	{[0102]}
0320_0	ナワバリバトル{r2[ず]}好{/r2}き
0320_1	{[0102]}
0321_0	ヒーローモード{r2[ず]}好{/r2}き
0321_1	{[0102]}
0322_0	ガチアサリマスター
0322_1	{[0102]}
0323_0	ガチエリアマスター
0323_1	{[0102]}
0324_0	ガチヤグラマスター
0324_1	{[0102]}
0325_0	ナワバリマスター
0325_1	{[0102]}
0326_0	ガチホコマスター
0326_1	{[0102]}
0327_0	サーモンランマスター
0327_1	{[0102]}
0328_0	ヒーローモードマスター
0328_1	{[0102]}
0329_0	インクリング
0329_1	{[0102]}
0330_0	オクトリング
0330_1	{[0102]}
0331_0	Tシャツ{r2[ず]}好{/r2}き
0331_1	{[0102]}
0332_0	ジャケット{r2[ず]}好{/r2}き
0332_1	{[0102]}
0333_0	シャツ{r2[ず]}好{/r2}き
0333_1	{[0102]}
0334_0	スニーカー{r2[ず]}好{/r2}き
0334_1	{[0102]}
0335_0	ニット{r2[ず]}好{/r2}き
0335_1	{[0102]}
0336_0	ファッションリーダー
0336_1	{[0102]}
0337_0	ぼうし{r2[ず]}好{/r2}き
0337_1	{[0102]}
0338_0	メガネ{r2[ず]}好{/r2}き
0338_1	{[0102]}
