CommonMsg\CuiMsgWin.msbt
Msg_Network_Error	發生通訊錯誤。
Msn_EnmOctMissile_02	章魚導彈兵
Msn_EnmOctSoldier_01	章魚女戰士
Msn_EnmOctBaller_01	章魚保齡球兵
Msn_EnmOctCleaner_01	吸墨器
Msn_EnmOctFlooder_01	章魚推進灑墨機
Msn_AreaOfAlternative	地域
Msn_ZapfishGiant	大電池鯰魚
Msn_ZapfishNormal	電池鯰魚
Msn_ZapfishReplica	電仔
Msn_Archives_01	神秘檔案
Msn_Drone	無人機
Msn_WorldObj_03	管線
Msn_WorldObj_05	驚人螺絲
Msn_Item_01	小魚乾
Msn_Item_02	鮭魚卵
Msn_Item_03	瓶裝鮭魚卵
Msn_Item_04	炸魷魚圈
Msn_Item_05	特殊罐頭
Msn_Item_07	鑰匙
Msn_Item_08	金色唱片
Msn_PowerUpPoint	強化點數
Msn_CheckPoint	關卡點
Msn_JumpPoint	跳躍點
Msn_CourseObj_04	開關
Msn_CourseObj_05	轉轉開關
Msn_CourseObj_06	炸彈氣球
Msn_CourseObj_07	海綿
Msn_CourseObj_10	噴泉
Msn_CourseObj_11	吹吹捲
Msn_CourseObj_12	螺旋槳
Msn_CourseObj_13	墨汁軌道
Msn_CourseObj_14	輸送軌道
Msn_CourseObj_15	衝刺板
Msn_CourseObj_17	跳躍墊
Msn_CourseObj_18	塗色輪子
Msn_CourseObj_19	蛇方塊
Msn_CourseObj_20	踩踏開關
Msn_CourseObj_21	能量核心
Msn_CourseObj_22	螺旋槳踏板
Msn_BreakableObj_08	失敗氣球
Msn_BreakableObj_09	標靶
Msn_ObstacleObj_02	塗塗棒
Msn_ObstacleObj_03	灑墨器
Msn_ObstacleObj_04	毒霧
Msn_ObstacleObj_05	斯普拉防護牆
UdemaePoint	技術點數
UdemaePoint_00	晉級戰
BattleMemory	對戰記憶
XRanking	X排名
XRegionGroup	組別
VS_Obj_01	標靶
VS_Obj_03	真格區域
VS_Obj_04	真格塔樓
VS_Obj_05	真格魚虎
VS_Obj_10	真格蛤蜊
VS_Obj_11	蛤蜊
FesRank	祭典等級
FesPoint	祭典點數
Fes100Person	百傑
TrumpetShell	法螺
FestivalShell	祭典貝
FesFloat	神轎
FesPhase_01	準備祭
FesPhase_02	正式祭
TricolorSignal	超級信號
TricolorTreasure	塗滿告示牌
ModeMission	英雄模式
Plz_Obj_01	祭典投票所
Lobby_Obj_01	對戰壺
Lobby_Obj_02	大廳設備
Lobby_Obj_03	假魷魚
PlayerAvatar	分身
Grizzco_Obj_01	熊先生設備
WeaponLicense	武器兌換證
WeaponLicenseGold	金色武器兌換證
SDServiceName	魷魚圈 3
AnemoShop	魷魚鬚商城
Emote	表情
NamePlateBg	背景
Byname	別名
Figure	裝飾品
Sticker	貼紙
Lottery	抽獎
TurbanShell	超級蠑螺
CommonMsg\MatchMode.msbt
Regular	一般比賽
Bankara	蠻頹比賽{size[4b00]}（挑戰）{size[6400]}
BankaraOpen	蠻頹比賽{size[4b00]}（開放）{size[6400]}
XMatch	X比賽
Private	私人比賽
FestRegular	祭典比賽{size[4b00]}（開放）{size[6400]}
FestChallenge	祭典比賽{size[4b00]}（挑戰）{size[6400]}
FestTriColor	三色奪寶比賽
Coop	SALMON RUN
CoopPrivate	私人打工
CoopBigRun	大型跑
MiniGame	占地鬥士
CommonMsg\PictFontRef.msbt
Tuto_B	{[0301|0000204000000000]}
Tuto_Y	{[0303|0000204000000000]}
Tuto_R	{[030a|0000204000000000]}
Tuto_ZL	{[030b|0000204000000000]}
Tuto_ZR	{[030c|0000204000000000]}
Tuto_LStick	{[0307|0000204000000000]}
Tuto_RStick	{[0308|0000204000000000]}
Tuto_Buddy	{[030f|0000204000000000]}
Tuto_Crosshair	{[0310|0000204000000000]}
Tuto_InkTank	{[0311|0000204000000000]}
Tuto_Squid	{[0312|0000204000000000]}
Tuto_SquidSwim	{[0313|0000204000000000]}
Tuto_Baloon	{[0314|0000204000000000]}
Tuto_Bomb	{[0315|0000204000000000]}
Talk_A	{[0300|0000803f00000000]}
Talk_B	{[0301|0000803f00000000]}
Talk_Y	{[0303|0000803f00000000]}
Talk_R	{[030a|0000803f00000000]}
Talk_ZL	{[030b|0000803f00000000]}
Talk_ZR	{[030c|0000803f00000000]}
Talk_LStick	{[0307|cdcc4c3f00000000]}
Talk_RStick	{[0308|cdcc4c3f00000000]}
Talk_Cross	{[0304|0000803f00000000]}
Talk_CrossU	{[030e|295c4f3f00000000]}
Talk_CrossD	{[0328|295c4f3f00000000]}
Talk_Minus	{[0306|0000803f00000000]}
Talk_Crosshair	{[0310|0000803f00000000]}
Talk_MsnCore	{[0316|0000803f00000000]}
Talk_PowerEgg	{[0317|0000803f00000000]}
Talk_MsnTarget	{[0318|0000803f00000000]}
Talk_MsnBox	{[0319|0000803f00000000]}
Talk_MsnKey	{[031a|0000803f00000000]}
Talk_MsnDoor	{[031b|0000803f00000000]}
Talk_MsnSardinium	{[031f|0000803f00000000]}
Talk_MsnPoweUpPoint	{[0320|0000803f00000000]}
TalkShop_A	{[0300|0000803f00000000]}
TalkShop_Y	{[0303|0000803f00000000]}
TalkShop_R	{[030a|0000803f00000000]}
TalkShop_ZL	{[030b|0000803f00000000]}
TalkShop_ZR	{[030c|0000803f00000000]}
TalkShop_LStick	{[0307|7b142e3f00000000]}
TalkShop_Plus	{[0305|0000803f00000000]}
TalkShop_Minus	{[0306|0000803f00000000]}
TalkShop_Money	{[0327|85eb913f00000000]}
TalkShop_WeaponLicense	{[031c|295c4f3f00000000]}
TalkShop_WeaponLicenseGold	{[031d|295c4f3f00000000]}
SubSpe_A	{[0300|0000803f00000000]}
SubSpe_B	{[0301|0000803f00000000]}
SubSpe_R	{[030a|0000803f00000000]}
SubSpe_ZR	{[030c|0000803f00000000]}
SubSpe_ZL	{[030b|0000803f00000000]}
Cst_RStick	{[0308|0000004000000000]}
Menu_RStick_00	{[0308|0000004000000000]}
MySet_RStick	{[0308|6666263f00000000]}
GetWin_X	{[0302|0000803f00000000]}
GetWin_Plus	{[0305|ae47613f00000000]}
PlyGuide_A	{[0300|713d2a4000000000]}
PlyGuide_R	{[030a|0000604000000000]}
PlyGuide_ZR	{[030c|cdcc4c4000000000]}
PlyGuide_CrossD	{[030d|cdcc4c4000000000]}
LobbyHead_L	{[0309|0000404000000000]}
Lottery_Money	{[0327|0000404000000000]}
Lottery_TrumpetShell	{[0323|0000404000000000]}
Man_A	{[0300|52b85e3f03000000]}
Man_B	{[0301|52b85e3f03000000]}
Man_X	{[0302|52b85e3f03000000]}
Man_Y	{[0303|52b85e3f03000000]}
Man_L	{[0309|52b85e3f03000000]}
Man_R	{[030a|52b85e3f03000000]}
Man_ZL	{[030b|52b85e3f03000000]}
Man_ZR	{[030c|52b85e3f03000000]}
Man_LStick	{[0307|1f852b3f00000000]}
Man_RStick	{[0308|1f852b3f00000000]}
Man_Plus	{[0305|52b85e3f03000000]}
Man_Minus	{[0306|52b85e3f03000000]}
Man_Cross	{[0304|52b85e3f03000000]}
Man_CrossU	{[030e|52b85e3f03000000]}
Man_Amiibo	{[0325|d7a3703ffbffffff]}
Man_WeaponLicense	{[031c|295c4f3f02000000]}
Trial_A	{[0300|295c0f4005000000]}
Trial_B	{[0301|295c0f4005000000]}
Trial_X	{[0302|295c0f4005000000]}
Trial_Y	{[0303|295c0f4005000000]}
Trial_L	{[0309|295c0f4005000000]}
Trial_R	{[030a|295c0f4005000000]}
Trial_ZL	{[030b|295c0f4005000000]}
Trial_ZR	{[030c|295c0f4005000000]}
Trial_LStick	{[0307|5c8fc23f05000000]}
Trial_RStick	{[0308|5c8fc23f05000000]}
Trial_Cross	{[0304|295c0f4005000000]}
Trial_CrossU	{[030e|295c0f4005000000]}
Trial_CrossD	{[0328|295c0f4005000000]}
System_Minus	{[0306|0000803f00000000]}
System_Amiibo	{[0321|9a99593ffcffffff]}
System_WeaponLicenseGold	{[031d|f6285c3f00000000]}
Mng_SpecialMass	{[0329|14ae473f00000000]}
Mng_SpecialMass_Op	{[032a|14ae473f00000000]}
Result_WeaponLicense	{[031c|295c4f3f00000000]}
X_YakoLeague	{[032c|0000803f00000000]}
X_AromeLeague	{[032b|0000803f00000000]}
CommonMsg\RegionLanguageID.msbt
JPja	日文
USen	英文
USfr	フランス語（カナダ）
USes	スペイン語（ラテンアメリカ）
EUen	英文
EUfr	フランス語（フランス）
EUes	スペイン語（スペイン）
CommonMsg\SeasonName.msbt
Spring	春 Fresh Season
Summer	夏 Sizzle Season
Autumn	秋 Drizzle Season
Winter	冬 Chill Season
CommonMsg\UnitName.msbt
Identifier	#{d}
VSTimer	{[0200|00020000]}:{[0200|01020100]}
MsnTimer_MinSec	{[0200|00020200]}:{[0200|01020100]}
MinSec_1Digit	{[0200|00010000]}:{[0200|01020100]}
MsnTimer_MinSecCentsec_00	{[0200|00020200]}:{[0200|01020100]}.{size[3200]}{[0200|02020100]}{size[6400]}
PaintPercent	{[0200|00020000]}.{[0200|01010100]}％
PaintPoint	{[0200|00040000]}p
GachiCount	{[0200|00020000]}{size[4b00]}計數{size[6400]}
GachiPoint	{[0200|00030000]}p
GachiKnockOut	完勝！
Notification_HourAgo	{[0200|00030000]}小時前
Notification_MinAgo	{[0200|00030000]}分鐘前
Notification_Now	現在
PlayerRankExp	{[0200|00060000]}/{[0200|01060000]}
CoopGradeExp	{[0200|00030000]}/{[0200|01030000]}
CatalogLevelExp	{[0200|00040000]}/{[0200|01040000]}
MiniGameRankExp	{[0200|00040000]}/{[0200|01040000]}
GearExp	{[0200|00050000]}/{[0200|01050000]}
WeaponExp	{[0200|00070000]}/{[0200|01070000]}
WeaponExpMax	MAX
WeaponUnlockRank	等級{[0200|00020000]}
FestRankExp	{[0200|00040000]}/{[0200|01040000]}
FestTeam	{[0404|0000000000cd]}隊
FestPower	{[0404|0000000000cd]}戰力
FlagMeter	{[0200|00020000]}.{[0200|01010000]}
GearBreakLimit00	經驗值×{[0200|00010000]}.{[0200|01010000]}
GearBreakLimit01	經驗值×{[0200|00010000]}.{[0200|01020100]}
CapsuleNum	×{[0200|00020000]}
DateTime00	{[0200|00020000]}/{[0200|01020000]}  {[0200|02020100]}:{[0200|03020100]}
DateTime01	{[0200|00040100]}/{[0200|01020000]}/{[0200|02020000]}  {[0200|03020100]}:{[0200|04020100]}
DateTime02	{[0200|00020000]}/{[0200|01020000]} （{[0410|02000000]}） {[0200|03020100]}:{[0200|04020100]}
Date01	{[0200|00040100]}/{[0200|01020000]}/{[0200|02020000]}
Time00	{[0200|00020100]}:{[0200|01020100]}
ScheduleTerm	{d} ～ {[0201|0100]}
MsnStageNo	No.{[0200|00020000]}
UdemaePoint	{[0200|00050000]}p
UdemaePointGoal	NEXT:{[0200|00040000]}p
CoopRewardPoint	{[0200|00050000]}p
CoopDangerLevel	{[0200|00030000]}%
SpecialPoint	{[0200|00030000]}p
WaveNum	WAVE {[0200|00010000]}
WaveBoss	EX-WAVE
CatalogSeason	{[0200|00040000]}{[040c|01000000]}
FestPowCount	{[0200|00010000]}/{[0200|01010000]}
NumFestPowNow	目前：{[0200|00040000]}.{[0200|01010000]}
NumFestPowMax	最高：{[0200|00040000]}.{[0200|01010000]}
XPower	{[0200|00040000]}.{[0200|01010000]}
Hyphen2	--
CardGameWin_Singular	勝
CardGameWin_Prural	勝
BigRunHighScore	x{[0200|00040000]}
StatusXPower	X戰力：{[0200|00040000]}.{[0200|01010000]}
Sunday	日
Monday	一
Tuesday	二
Wednesday	三
Thursday	四
Friday	五
Saturday	六
CommonMsg\Badge\BadgeMsg.msbt
Mission_Lv00	已擊倒DJ芥末章魚將軍
Mission_Lv01	已通過英雄模式
Mission_Lv02	獲得的英雄裝備強化點數已達到上限
Mission_Lv03	獲得的英雄裝備強化點數已達到上限
Mission_Lv04	已通過隱藏茶壺
WinCount_Pnt_Lv00	占地對戰獲勝50次
WinCount_Pnt_Lv01	占地對戰獲勝250次
WinCount_Pnt_Lv02	占地對戰獲勝1200次
WinCount_Var_Lv00	真格區域獲勝100次
WinCount_Var_Lv01	真格區域獲勝1000次
WinCount_Vlf_Lv00	真格塔樓獲勝100次
WinCount_Vlf_Lv01	真格塔樓獲勝1000次
WinCount_Vgl_Lv00	真格魚虎對戰獲勝100次
WinCount_Vgl_Lv01	真格魚虎對戰獲勝1000次
WinCount_Vcl_Lv00	真格蛤蜊獲勝100次
WinCount_Vcl_Lv01	真格蛤蜊獲勝1000次
WinCount_Tcl_Atk_Lv00	在三色奪寶對戰中作為進攻隊伍獲勝
WinCount_Tcl_Atk_Lv01	在三色奪寶對戰中作為進攻隊伍獲勝10次
WinCount_Tcl_Def_Lv00	在三色奪寶對戰中作為防守隊伍獲勝
WinCount_Tcl_Def_Lv01	在三色奪寶對戰中作為防守隊伍獲勝10次
Udemae_Lv00	技術達到A
Udemae_Lv01	技術達到S
Udemae_Lv02	技術達到S+
XRank_Lv00	在X比賽的排名中位列前3000名
XRank_Lv01	在X比賽的排名中位列前500名
XRank_Lv02	在X比賽的排名中位列前10名
WeaponLevel_Lv00	{[0401|00000000]}的熟練度達到★4
WeaponLevel_Lv01	{[0401|00000000]}的熟練度達到★5
WinCount_WeaponSp_Lv00	使用{[0401|00000000]}在對戰中獲勝30次
WinCount_WeaponSp_Lv01	使用{[0401|00000000]}在對戰中獲勝180次
WinCount_WeaponSp_Lv02	使用{[0401|00000000]}在對戰中獲勝1200次
CatalogueLevel_Lv00	目錄等級達到50
CatalogueLevel_Lv01	目錄等級達到100
FestRankMax	祭典等級已達到「永遠」
GearTotalRarity_Lv00	{[040f|00000000]}的裝備稀有度總計達到30
GearTotalRarity_Lv01	{[040f|00000000]}的裝備稀有度總計達到100
CoopGrade_Normal_Lv00	在{[040e|00000000]}中達到「傳說200」
CoopGrade_Normal_Lv01	在{[040e|00000000]}中達到「傳說400」
CoopGrade_Normal_Lv02	在{[040e|00000000]}中達到「傳說600」
CoopGrade_Normal_Lv03	在{[040e|00000000]}中達到「傳說999」
TotalKumaPoint_Lv00	累積獲得10000p熊先生點數
TotalKumaPoint_Lv01	累積獲得100000p熊先生點數
TotalKumaPoint_Lv02	累積獲得9999999p熊先生點數
CoopClearDangerRateMax	危險度MAX過關
CoopRareEnemyKillNum_Lv00	擊倒100隻{[0407|00000000]}
CoopRareEnemyKillNum_Lv01	擊倒1000隻{[0407|00000000]}
CoopRareEnemyKillNum_Lv02	擊倒10000隻{[0407|00000000]}
CoopBossKillNum_Lv00	擊倒10隻{[0407|00000000]}
CoopBossKillNum_Lv01	擊倒100隻{[0407|00000000]}
CoopBossKillNum_Lv02	擊倒1000隻{[0407|00000000]}
NawaBattlerRank_Lv00	占地鬥士等級達到30
NawaBattlerRank_Lv01	占地鬥士等級達到40
NawaBattlerRank_Lv02	占地鬥士等級達到50
NawaBattlerCardNum_Lv00	收集90種占地鬥士卡片
NawaBattlerCardNum_Lv01	收集120種占地鬥士卡片
NawaBattlerCardNum_Lv02	收集150種占地鬥士卡片
NawaBattlerWinAllNpcLevel3	在占地鬥士道場戰勝最高等級的所有人
SpendShop_Head_Lv00	在頭部裝備店的消費金額達到100,000元魷鈔
SpendShop_Head_Lv01	在頭部裝備店的消費金額達到1,000,000元魷鈔
SpendShop_Clothes_Lv00	在服裝店的消費金額達到100,000元魷鈔
SpendShop_Clothes_Lv01	在服裝店的消費金額達到1,000,000元魷鈔
SpendShop_Shoes_Lv00	在鞋店的消費金額達到100,000元魷鈔
SpendShop_Shoes_Lv01	在鞋店的消費金額達到1,000,000元魷鈔
SpendShop_Goods_Lv00	在雜貨店的消費金額達到100,000元魷鈔
SpendShop_Goods_Lv01	在雜貨店的消費金額達到1,000,000元魷鈔
OrderFood_Lv00	在商店完成預訂10次
OrderFood_Lv01	在商店完成預訂100次
OrderFood_Lv02	在商店完成預訂1000次
OrderVendor_Lv00	找刺冠預訂裝備10次
OrderVendor_Lv01	找刺冠預訂裝備100次
SpendLottery_Lv00	抽獎的消費金額達到300,000元魷鈔
SpendLottery_Lv01	抽獎的消費金額達到3,000,000元魷鈔
SpendLottery_Lv02	抽獎的消費金額達到30,000,000元魷鈔
LimitedRewardLottery_Lv00	抽獎抽中了4次頭獎
LimitedRewardLottery_Lv01	抽獎抽中了8次頭獎
LimitedRewardLottery_Lv02	抽獎抽中了16次頭獎
CoopBigRunTrophy_Lv00	大型跑的分數位列前50％
CoopBigRunTrophy_Lv01	大型跑的分數位列前20％
CoopBigRunTrophy_Lv02	大型跑的分數位列前5％
CommonMsg\Byname\BynameAdjective.msbt
0000	溫泉花大峽谷的
0001	鰻鯰區的
0002	煙管魚市場的
0003	竹蟶疏洪道的
0005	魚肉碎金屬的
0006	臭魚乾溫泉的
0007	比目魚住宅區的
0008	真鯖跨海大橋的
0009	金眼鯛美術館的
0010	鬼頭刀SPA度假區的
0011	海女美術大學的
0012	鱘魚造船廠的
0013	座頭購物中心的
0014	醋飯海洋世界的
0040	鮭壩的
0041	漂浮落難船的
0045	新卷堡的
0046	麥年海洋發電所的
0060	一般比賽的
0061	蠻頹比賽的
0062	私人比賽的
0063	英雄模式的
0064	鮭魚跑的
0065	X比賽的
0067	三色奪寶比賽的
0100	墨汁用光的
0101	週末的
0102	萬眾矚目的
0103	左撇子的
0104	蠻頹鎮的
0105	愛好購物的
0106	普通的
0107	真誠的
0108	超級
0109	有魅力的
0110	永遠的
0111	武器店的
0112	頭部裝備店的
0113	服裝店的
0114	鞋店的
0115	雜貨店的
0116	占地鬥士道場的
0117	實習中的
0118	新手的
0119	半吊子的
0120	獨當一面的
0121	熟練的
0122	達人的
0123	傳說的
0124	狂潮中的
0125	滿潮的
0126	大量出現的
0127	濃霧籠罩下的
0128	乾潮的
0129	秋天的
0130	春天的
0131	冬天的
0132	夏天的
0133	快樂的
0134	新潮的
0135	犀利的
0136	時髦的
0137	酷炫的
0138	簡約的
0139	傳統的
0140	時尚的
0141	自然的
0142	火熱的
0143	享受當下的
0144	秋色的
0145	春色的
0146	滿好看的
0147	就是
0148	缺錢的
0149	富有的
0150	嚮往成為司令的
0151	想成為英雄的
0152	百發百中的
0154	橫衝直撞的
0155	沉著冷靜的
0156	靜音中的
0157	左右開弓的
0158	站著玩的
0159	直播中的
0160	跪坐中的
0161	右撇子的
0162	沉默寡言的
0163	專業級的
0164	業餘的
0165	尚興廣場的
0166	尚興市的
0167	尚興的
0168	野生的
0169	都會的
0170	鄉村的
0171	貪婪的
0172	流行的
0173	後巷的
0174	夜行性的
0175	期待明天的
0177	愛做夢的
0178	文青系的
0179	肚子餓的
0180	好勝的
0181	臨陣磨槍的
0182	適當的
0183	晝行性的
0184	大膽的
0185	大胃王的
0186	運動系的
0187	一大早的
0188	快速射擊的
0189	早起的
0191	深海的
0193	睡醒的
0194	岸邊的
0195	無拘無束的
0196	過時的
0197	世界第一的
0200	國民的
0201	波濤洶湧的
0202	孤獨的
0203	超越極限的
0204	剛強的
0205	有威嚴的
0206	休假的
0207	久違的
0208	歸來的
0209	努力的
0210	愛吃甜食的
0211	海洋的
0212	自成一派的
0213	暑假的
0214	經過加工的
0215	骯髒的
0216	鹹的
0217	碰運氣的
0219	井底的
0220	橫掃千軍的
0221	搖滾的
0222	復古的
0224	懶散的
0225	貪得無厭的
0226	調皮的
0227	柔軟的
0228	無敵的
0229	肌肉結實的
0230	潮流的
0231	新穎的
0232	馬力全開的
0233	活蹦亂跳的
0234	犯人是
0235	工作的
0236	初次的
0237	有潛力的
0238	到處亂塗的
0239	乘風破浪的
0240	時尚風潮的
0241	新鮮的
0242	資訊戰的
0243	有秩序的
0244	孤單一人的
0245	多愁善感的
0246	翻滾的
0247	無法待在墨汁裡的
0248	瞬間爆發力強的
0249	害羞的
0250	Calamari
0251	混水摸魚的
0253	起毛的
0254	花枝招展的
0255	優秀的
0256	今天生日的
0257	心血來潮的
0258	危險的
0259	真格的
0260	美味的
0261	終極的
0262	漂浮的
0263	室內的
0264	沾滿墨汁的
0265	滴出墨汁的
0266	魷型的
0267	超魷型的
0268	常有的
0269	清爽型的
0270	八隻腳的
0271	十隻腳的
0272	隆冬的
0273	超出想像的
0274	一生的
0275	世界三大的
0276	實際是
0277	成長中的
0278	修行中的
0279	壓倒性的
0281	逃得很快的
0282	直接命中的
0283	彈跳的
0284	跑來跑去的
0288	守護的
0289	攻擊的
0290	擅長護衛的
0291	擅長合作的
0292	擅長隱身的
0293	潛伏的
0294	強硬的
0295	擅長掩護的
0296	平日的
0297	愛玩遊戲的
0301	有邏輯性的
0303	可靠的
0304	善良的
0305	自信滿滿的
0306	認真的
0307	客氣的
0308	心情好的
0309	愛吃的
0310	多話的
0311	傾家蕩產的
0312	漫不經心的
0313	充滿愛的
0314	風的
0315	水的
0316	幽暗的
0317	火焰的
0318	光明的
0319	年輕的
0320	有組織力的
0321	完美的
0322	神秘國度的
0323	世界中心的
0324	猛烈的
0325	曖昧的
0326	剎那的
0329	淚水的
0330	愛好旅行的
0332	明年的
0334	黃昏時分的
0335	獨一無二的
0336	肥美的
0337	眼力好的
0338	迷路的
0339	明天再努力的
0340	名譽
0341	無臭無味的
0343	無慈悲的
0344	無限的
0345	想睡的
0347	來自未來的
0348	有品味的
0350	咆哮的
0352	變幻無常的
0353	紛飛的
0354	腐爛也沒關係的
0357	必殺的
0358	秘密的
0359	秘傳的
0360	疲累的
0361	比較的
0362	泛用型的
0363	發光的
0364	白晝的
0366	賣剩下的
0367	破天荒的
0368	頑強的
0369	熱情的
0370	白天的
0371	厚實的
0372	謎樣的
0374	無動於衷的
0375	頭腦清晰的
0376	逃跑的
0377	沒電的
0378	投胎轉世的
0379	曬乾的
0381	通稱為
0382	超人的
0385	生長在地底下的
0386	大量的
0387	大地的
0388	重要的
0389	漁獲豐收的
0390	大海的
0391	大的
0393	優游自在的
0394	太古的
0395	增生的
0397	全自動的
0398	閃光的
0399	暈船的
0400	未被沾染的
0402	戰鬥的
0403	上前線的
0404	瀕臨絕種的
0405	堅持不懈的
