00_glossary.msbt
01_msg_with_voice.msbt
mng_cmn_go	ゴー！
credit_name_06_27	Hiroyuki Watanabe
credit_name_06_28	Aya Yoshii
credit_name_06_29	Takanori Kikuchi
credit_name_06_30	Takeshi Kawamoto
credit_name_06_31	Tsutomu Kawamoto
credit_name_06_32	Takanori Ode
credit_name_06_33	Takayuki Hayase
credit_name_06_34	Kazuki Tashiro
credit_name_06_35	Tetsuya Kimura
credit_name_06_36	Atsushi Hamada
credit_name_06_37	Yukihiko Tani
credit_name_07_00	Keisuke Kasahara
credit_name_08_00	Takamitsu Manabe
credit_name_08_01	Masahiko Yamada
credit_name_08_02	Tomoaki Watanabe
credit_name_08_03	Saori Yamashita
credit_name_08_04	Takahiro Karino
credit_name_08_05	Masayuki Tsuboi
credit_name_08_06	Masami Kodaira
credit_name_09_00	Shunsaku Yamamoto
credit_name_09_01	Kazuhisa Okamoto
credit_name_09_02	Seiya Yuasa
credit_name_09_03	Ami Matsuda
credit_name_09_04	Toshifumi Sekijima
credit_name_09_05	Kazuaki Henmi
credit_name_09_06	Hayato Ogawa
credit_name_09_07	Huichung Lee
credit_name_09_08	Takuya Funaki
credit_name_09_09	Masayasu Ban
credit_name_09_10	Nana Tanaka
credit_name_09_11	Shizuka Abe
credit_name_09_12	Mari Inomata
credit_name_09_13	Tsuyoshi Mizuguchi
credit_name_09_14	Arata Kobayashi
credit_name_09_15	Tsukasa Tanaka
credit_name_09_16	Mikio Kita
credit_name_09_17	Keisuke Izaki
credit_name_09_18	Yasuhiro Ando
credit_name_09_19	Yoshinori Ikeshita
credit_name_09_20	Hideki Morinaga
credit_name_09_21	Yurie Ito
credit_name_09_22	Takuya Tawaratsumida
credit_name_09_23	Shohei Higashi
credit_name_09_24	Shinsuke Miyazaki
credit_name_09_25	Sho Nakamura
credit_name_09_26	Saki Watanabe
credit_name_09_27	Miki Kita
credit_name_09_28	Akira Mizoguchi
credit_name_09_29	Shouichi Kawamura
credit_name_09_30	Yumi Futagawa
credit_name_09_31	Senei Sou
credit_name_09_32	Tadashi Miura
credit_name_09_33	Keisuke Yonaha
credit_name_09_34	Yoshinori Hirai
credit_name_09_35	Arisa Kurosu
credit_name_09_36	Shiori Teramoto
credit_name_09_37	Yuka Shimazaki
credit_name_09_38	Takumi Akiyama
credit_name_09_39	Motoi Tashiro
credit_name_09_40	Risa Takei
credit_name_09_41	Ryoichi Okayama
credit_name_09_42	Chika Kawase
credit_name_09_43	Sumihiro Kawai
credit_name_09_44	Kazuhiro Nagata
credit_name_09_45	Takanori Goto
credit_name_09_46	Hiroaki Miura
credit_name_09_47	Takaya Iwamoto
credit_name_09_48	Shun Matsumoto
credit_name_09_49	Mizuki Hasegawa
credit_name_09_50	Mizuki Tachi
credit_name_09_51	Mayuko Muramatsu
credit_name_09_52	Mu Ueno
credit_name_09_53	Ryo Yoshida
credit_name_09_54	Ryo Tsukagoshi
credit_name_09_55	Kentaro Narimatsu
credit_name_09_56	Yusuke Hashimoto
credit_name_09_57	Yuki Nonaka
credit_name_09_58	Manabu Konno
credit_name_09_59	Sachiko Matsui
credit_name_09_60	Hiroki Maeda
credit_name_09_61	Yohei Fujimoto
credit_name_09_62	Yasutaka Nozawa
credit_name_09_63	Yu Yamaguchi
credit_name_09_64	Yurai Matsui
credit_name_09_65	Shiu Kan
credit_name_09_66	Kaoru Akimoto
credit_name_09_67	Takayoshi Matsuo
credit_name_09_68	Yoshinori Higaki
credit_name_09_69	Kaishi Yamamura
credit_name_09_70	Shoki Takada
credit_name_09_71	Yuki Tomo
credit_name_09_72	Yuki Kinoshita
credit_name_09_73	Keisuke Hayashi
credit_name_09_74	Tomoka Sukegawa
credit_name_09_75	Masaya Sakuma
credit_name_09_76	Qifeng Zheng
credit_name_09_77	Nagisa Morimoto
credit_name_09_78	Kiyoiku Kanematsu
credit_name_09_79	Itchiku Miyamoto
credit_name_10_00	Hiroyuki Tsuboguchi
credit_name_11_00	Yuhki Mori
credit_name_11_01	Ichiro Shimakura
credit_name_11_02	Takahiro Nagano
credit_name_12_00	Chamy Ishi
credit_name_13_00	Toshiki Aida
credit_name_13_01	Satoshi Okubo
credit_name_13_02	Naruki Kadosaka
credit_name_14_00	Tomomitsu Matsushita
credit_name_14_01	Kotaro Baba
credit_name_14_02	Shohei Niigawa
credit_name_14_03	Taisuke Kobayashi
credit_name_15_00	Koji Kondo
credit_name_15_01	Ryoji Yoshitomi
credit_name_15_02	Megumi Inoue
credit_name_16_00	Charles Martinet
credit_name_16_01	Sam Kelly
credit_name_16_02	Deanna Mustard
credit_name_16_03	Laura Faye Smith
credit_name_16_04	Kenny James
credit_name_16_05	Caety Sagoian
credit_name_16_06	Kazumi Totaka
credit_name_16_07	Takashi Nagasako
credit_name_16_08	Katsumi Suzuki
credit_name_16_09	Motoki Takagi
credit_name_16_10	Nate Bihldorff
credit_name_16_11	Sanae Uchida
credit_name_16_12	Haruka Kakinuma
credit_name_16_13	Atsushi Masaki
credit_name_16_14	Tadd Morgan
credit_name_16_15	Masafumi Kawamura
credit_name_16_16	Ryo Nagamatsu
credit_name_16_17	Hirohito Shinoda
credit_name_16_18	Yuki Tsuji
credit_name_16_19	Shigetoshi Gohara
credit_name_17_00	Dutch Hixenbaugh
credit_name_17_01	Josée Lebeau-Bédard
credit_name_17_02	Cristina Pohlenz Garcia
credit_name_17_03	Samantha Robertson
credit_name_17_04	Thaddée Wiseur
credit_name_17_05	Sabrina Jouillat
credit_name_17_06	Kent Robello
credit_name_17_07	Sebastian Schürg
credit_name_17_08	Álex Hernández-Puertas
credit_name_17_09	Carsten Harmans
credit_name_17_10	Victoria Valeria Becker
credit_name_18_00	Kanae Dohta
credit_name_19_00	Kazue Ohara
credit_name_19_01	Ryusuke Yoshida
credit_name_19_02	Shigehisa Nakaue
credit_name_19_03	Yuri Adachi
credit_name_19_04	Takumi Wada
credit_name_19_05	Yu Yamamoto
credit_name_20_00	Nanako Tokuno
credit_name_21_00	Toru Inage
credit_name_22_00	Nate Bihldorff
credit_name_22_01	Reiko Ninomiya
credit_name_22_02	Rich Amtower
credit_name_22_03	Ann Lin
credit_name_22_04	Tim O'Leary
credit_name_22_05	Scot Ritchey
credit_name_23_00	Lauren Ammerman
credit_name_23_01	Michael Benedetto
credit_name_23_02	Billy Carroll
credit_name_23_03	Rich Comegys
credit_name_23_04	Owen Cooney
credit_name_23_05	Marjolaine Drouin
credit_name_23_06	Robert Heiret
credit_name_23_07	Lars Knudson
credit_name_23_08	Nich Maragos
credit_name_23_09	Morgan Ritchie
credit_name_23_10	Elina Sánchez
credit_name_24_00	Nicko Gonzalez De Santiago
credit_name_24_01	Sara Hoad
credit_name_24_02	Veronica Reyes
credit_name_24_03	Paloma Hernandez
credit_name_24_04	Ludovic Tientcheu
credit_name_24_05	Josée Lebeau-Bédard
credit_name_24_06	Morel Takougang
credit_name_25_00	Patrick Thorenz
credit_name_25_01	Saskia Doorschodt
credit_name_25_02	Kevin Murray
credit_name_25_03	Ryoko Sawabe
credit_name_26_00	Roby Liebetruth
credit_name_26_01	Martina Leonor Bassani
credit_name_26_02	John Mullen
credit_name_26_03	Jo Legge
credit_name_26_04	Gurvan Le Guen
credit_name_26_05	Sabrina Jouillat
credit_name_26_06	Emmanuel Adien
credit_name_26_07	Florence d'Anterroches
credit_name_26_08	Alessandro Pagano
credit_name_26_09	Mirko Capocelli
credit_name_26_10	Tito Leati
credit_name_26_11	Frithjof Koepp
credit_name_26_12	Jessica Morandi
credit_name_26_13	Sascha Weinard
credit_name_26_14	Arne Glinka
credit_name_26_15	Ariel del Rio de Angelis
credit_name_26_16	Elizabeth Sánchez León
credit_name_26_17	Sara Sainz Nieto
credit_name_26_18	José Manuel Malagón León
credit_name_26_19	Jónatan Marcos Millán
credit_name_26_20	Marijke Pustjens
credit_name_26_21	Mark Hoefsteders
credit_name_26_22	Thomas den Haan
credit_name_26_23	Carsten Harmans
credit_name_26_24	Victoria Valeria Becker
credit_name_26_25	Tatiana Dornbusch
credit_name_26_26	Elsa Jödicke
credit_name_26_27	Localsoft, S.L.
credit_name_27_00	Jeanie Ho
credit_name_27_01	Monica Lai
credit_name_27_02	Claudia Chan
credit_name_27_03	Pole To Win Taiwan
credit_name_28_00	Mike Kan
credit_name_29_00	Keisuke Fukushima
credit_name_29_01	Qiu Xiaochun
credit_name_29_02	Ling Yayun
credit_name_29_03	Zhang Jiong
credit_name_29_04	Pole To Win Shanghai Co., Ltd.
credit_name_30_00	Hyokjin Jung
credit_name_30_01	Soonil Kim
credit_name_30_02	Narae Won
credit_name_30_03	Dongyeon Kim
credit_name_30_04	Eodo Lee
credit_name_30_05	Kyoungim Na
credit_name_30_06	Pole To Win Korea Co., Ltd.
credit_name_31_00	Inseon Song
credit_name_31_01	Suzy Do
credit_name_32_00	Tsuyoshi Komura
credit_name_32_01	Tohru Takahashi
credit_name_32_02	Nobuya Sasaki
credit_name_32_03	Kanta Yokota
credit_name_32_04	Tomohiro Hirao
credit_name_32_05	Noriko Fujimatsu
credit_name_32_06	Hideaki Fukushima
credit_name_32_07	Mami Koguchi
credit_name_32_08	Mitsutoshi Asai
credit_name_32_09	Emika Yamamoto
credit_name_32_10	Mario Club Co., Ltd.
credit_name_32_11	Shinpei Otowa
credit_name_32_12	Soma Kitakoji
credit_name_32_13	Shota Inagaki
credit_name_32_14	Risa Miyata
credit_name_32_15	Toru Moritani
credit_name_32_16	DIGITAL HEARTS Co.,Ltd.
credit_name_33_00	Kentaro Nishimura
credit_name_33_01	Kirk Buchanan
credit_name_33_02	Q Dequina
credit_name_33_03	Tomoko Mikami
credit_name_33_04	Ryan Dean
credit_name_33_05	James Dillon
credit_name_33_06	Daijiro Imoto
credit_name_33_07	Kathy Huguenard
credit_name_33_08	Douglas Lynn
credit_name_33_09	Paul Gardner
credit_name_33_10	Micah Kenworthy
credit_name_33_11	Kaitlynn Ham
credit_name_33_12	Product Testing Technicians
credit_name_34_00	J. Ignacio León López
credit_name_34_01	Wolfgang Weber
credit_name_34_02	Jérôme Petit
credit_name_34_03	Yannick Simonklein
credit_name_34_04	Stéphane Zussy
credit_name_34_05	Gabriele Cuscino
credit_name_34_06	Sandra Pommer
credit_name_34_07	Hannah Siebert
credit_name_34_08	Zoran Tasevski
credit_name_34_09	Daniel Picazo Millán
credit_name_34_10	Keywords Studios
credit_name_35_00	Takayasu Morisawa
credit_name_35_01	Takumi Kawagoe
credit_name_35_02	Tomoe Aratani
credit_name_35_03	Team Cococii
credit_name_35_04	Jeff Miller
credit_name_35_05	Hideki Sahashi
credit_name_35_06	Osamu Tsuchihashi
credit_name_35_07	Osamu Tsujikawa
credit_name_35_08	Shigeru Okita
credit_name_35_09	Hisao Hasunuma
credit_name_35_10	Mitsuo Hasunuma
credit_name_35_11	Noriyuki Saeki
credit_name_35_12	Tatsuo Masuda
credit_name_35_13	Hirotaka Nakayama
credit_name_35_14	Jun Arai
credit_name_35_15	Shinobu Kojima
credit_name_35_16	Kei Yonezuka
credit_name_35_17	Makoto Suda
credit_name_35_18	Kazuhisa Tomita
credit_name_35_19	CA PRODUCTION Co.,Ltd.
credit_name_35_20	WILL Co.,Ltd.
credit_name_35_21	SmileBoom Co.Ltd.
credit_name_35_22	Magnum enter Co.,Ltd.
credit_name_35_23	T's MUSIC Co.,Ltd.
credit_name_36_00	Miyuki Hirose
credit_name_36_01	Yoshinori Tsuchiyama
credit_name_36_02	Misaki Hiraga
credit_name_37_00	Kazuyuki Gofuku
credit_name_38_00	Yoshiaki Onishi 
credit_name_39_00	Atsushi Ikeda
credit_name_39_01	Kenji Kikuchi
credit_name_39_02	Toshiaki Suzuki
credit_name_39_03	Toyokazu Nonaka
credit_name_39_04	Keisuke Terasaki
credit_name_40_00	Shinya Takahashi
credit_name_41_00	Hidetoshi Endo
credit_name_41_01	Tatsumi Kimishima
bdcn001_msg.msbt
bdcn001_mginter002	スピードアップ！
bdcn_mgname_001	[mg0]
mgcn401_guide001	ひけ！
mgcn402_guide001	ジャンプでたたけ！
mgcn403_guide001	つきさせ！
mgcn404_guide001	パネルを{r2[あ]}上{/r2}げろ!
mgcn405_guide001	ポーズをして！
mgcn406_guide001	たたけ！
mgcn407_guide001	うちかえせ！
mgcn408_guide001	ゴシゴシふきとれ！
mgcn409_guide001	あるけ！
mgcn410_guide001	たづなをひけ！
bdcn001_hit02	はやい
bdcn001_hit03	おそい
bdcn001_hit01	{c[ffdc0f]}ジャスト{c[001e14]}
bdcn001_demo_001	{r2[てびょうし]}手拍子{/r2}に{r2[あ]}合{/r2}わせて {r2[て]}手{/r2}を{r2[あ]}上{/r2}げよう！
bdcn001_pccall_001	{c[ffdc0f]}[n0]{c[ffffff]}さん、\x0e\x01\x06\x02\n\0{r2[じゅん]}準{/r2}\x0e\x01\x06\x02\x04\0{r2[び]}備{/r2}は いいですか？
bdcn001_pccall_002	{c[ffdc0f]}[n0]{c[ffffff]}さんは？
bdcn001_pccall_003	{c[ffdc0f]}[n0]{c[ffffff]}さん？
bdcn001_pccall_004	{c[ffdc0f]}[n0]{c[ffffff]}さん！
bdcn001_opmc_002	\x0e\x01\x06\x02\x04\0{c[ffdc0f]}サイッ\x0e\x01\x06\x02\n\0コ\x0e\x01\x06\x02\x04\0ーの ステージに！{c[ffffff]}
bdcn001_mc_001	{r2[きょう]}今日{/r2}も お{r2[きゃく]}客{/r2}さんが いっぱいです！
bdcn001_mc_002	そろそろ{r2[かいえん]}開演{/r2}ですよ！
bdcn001_result_001	{r2[こんかい]}今回{/r2}のパフォーマンス
bdcn001_result_002	{r2[ごうけい]}合計{/r2}
bdcn001_result_003	ノーマル
bdcn001_result_004	リミックス
bdcn001_result_005	ハード
bdcn001_result_006	なりきりビート
bdcn001_result_perc000	[0].[1]%
bdcn_result_pos001	[0]
bdcn_result_total001	[0]
bdcn_result_total002	[0]
bdcn001_resmoni_000	ベストパフォーマー\r\n発表！
bdcn001_resmoni_000_p	ベストパフォーマー\r\n発表！
bdcn001_resmoni_001	ベストパフォーマー\r\nなし
bdcn001_cdown_000	START!
bdcn001_cdown_001	1
bdcn001_cdown_002	2
bdcn001_cdown_003	3
mgcn401_cdown_000	[0]
mgcn409_tlp_001	あるけ
mgcn409_tlp_002	ストップ
bdcn001_levelmess_000	{c[ffdc0f]}[n0]{c[ffffff]}さん、\x0e\x01\x06\x02\n\0{r2[こん]}今{/r2}\x0e\x01\x06\x02\x04\0{r2[かい]}回{/r2}の\r\n\x0e\x01\x06\x02\n\0ス\x0e\x01\x06\x02\x04\0テージは どうしますか？
bdcn001_levelmess_001	{c[ffdc0f]}[n0]{c[ffffff]}さん、\x0e\x01\x06\x02\n\0{r2[こん]}今{/r2}\x0e\x01\x06\x02\x04\0{r2[かい]}回{/r2}の\r\n\x0e\x01\x06\x02\n\0ス\x0e\x01\x06\x02\x04\0テージは どうしますか？
bdcn001_levelmess_002	{c[ffdc0f]}[n0]{c[ffffff]}さん、\r\n\x0e\x01\x06\x02\x1e\0{r2[つぎ]}次{/r2}\x0e\x01\x06\x02\x04\0は どうしますか？
bdcn001_level_000	ノーマル
bdcn001_level_001	リミックス
bdcn001_level_002	ハード
bdr001_msg.msbt
bdr001_tlp_06	タイムエクステンド！
bdr001_sys_01	タイムエクステンド！
bdr001_st_02	3
bdr001_st_03	2
bdr001_st_04	1
bdr001_st_05	GO!
bdr001_ms_00	{r2[たんけん]}探検{/r2}{r2[たい]}隊{/r2}の みなさん！\r\n\x0e\x01\x06\x02\x1e\0{c[ffdc0f]}リ\x0e\x01\x06\x02\x04\0バーサバイバル{c[ffffff]}へようこそ！
bdr001_ms_20	このジャングルは、\r\n\x0e\x01\x06\x02\n\0{r2[はじ]}初{/r2}\x0e\x01\x06\x02\x04\0めてですか？
bdr001_ms_21	はい
bdr001_ms_22	いいえ
bdr001_ms_23	ここは{r2[おお]}多{/r2}くの{r2[たんけん]}探検{/r2}{r2[たい]}隊{/r2}が{r2[しゅっぱつ]}出発{/r2}した\r\n\x0e\x01\x06\x02\n\0{r2[れき]}歴{/r2}\x0e\x01\x06\x02\x04\0{r2[し]}史{/r2}ある{r2[ばしょ]}場所{/r2}です。
bdr001_ms_24	ゆるやかな{r2[なが]}流{/r2}れとマイナスイオンで\r\n\x0e\x01\x06\x02\n\0{r2[こころ]}心{/r2}\x0e\x01\x06\x02\x04\0も{r2[お]}落{/r2}ち{r2[つ]}着{/r2}きますよね。
bdr001_ms_35	{c[ffdc0f]}しかし！！{c[ffffff]}
bdr001_ms_25	ずっとこの{r2[ちょうし]}調子{/r2}では\r\n\x0e\x01\x06\x02\n\0あ\x0e\x01\x06\x02\x04\0りません。
bdr001_ms_26	この{r2[さき]}先{/r2}には{r2[きゅうりゅう]}急流{/r2}や、\r\n\x0e\x01\x06\x02\n\0{r2[おお]}大{/r2}\x0e\x01\x06\x02\x04\0きな{r2[いわ]}岩{/r2}があったり…
bdr001_ms_27	{r2[み]}見{/r2}たこともない{r2[せいぶつ]}生物{/r2}など、\r\n\x0e\x01\x06\x02\n\0{c[ffdc0f]}キ\x0e\x01\x06\x02\x04\0ケンがいっぱい{c[ffffff]}です！！
bdr001_ms_29	い、\x0e\x01\x06\x02\n\0い\x0e\x01\x06\x02\x04\0やー\r\n\x0e\x01\x06\x02\x1e\0な\x0e\x01\x06\x02\x04\0んて おそろしいんでしょう！！
bdr001_ms_30	ゴ、\x0e\x01\x06\x02\n\0ゴ\x0e\x01\x06\x02\x04\0ホン。
bdr001_ms_31	また、\x0e\x01\x06\x02\n\0{r2[かわ]}川{/r2}\x0e\x01\x06\x02\x04\0はこの{r2[さき]}先{/r2}で\r\n\x0e\x01\x06\x02\n\0{r2[なが]}流{/r2}\x0e\x01\x06\x02\x04\0れが わかれています。
bdr001_ms_32	その{r2[さき]}先{/r2}がどうなっているのか\r\n\x0e\x01\x06\x02\n\0わ\x0e\x01\x06\x02\x04\0たしたちも まだ{r2[ちょうさ]}調査{/r2}{r2[ちゅう]}中{/r2}です。
bdr001_ms_33	どうか、\x0e\x01\x06\x02\n\0み\x0e\x01\x06\x02\x04\0なさんで\r\n\x0e\x01\x06\x02\n\0{c[ffdc0f]}サ\x0e\x01\x06\x02\x04\0バイバル{c[ffffff]}してください！
bdr001_ms_15	ところで この{r2[かわ]}川{/r2}のルールは\r\n\x0e\x01\x06\x02\n\0ご\x0e\x01\x06\x02\x04\0ぞんじですか？
bdr001_ms_19	\x0e\x01\x06\x02\0\0ルール{r2[せつめい]}説明{/r2}を{r2[き]}聞{/r2}く？
bdr001_ms_02	{r2[き]}聞{/r2}く
bdr001_ms_03	{r2[き]}聞{/r2}かない
bdr001_ms_04	オールでボートをこぎます。
bdr001_ms_06	{r2[せいげん]}制限{/r2}{r2[じかん]}時間{/r2}が{r2[き]}来{/r2}たら、\r\n\x0e\x01\x06\x02\n\0サ\x0e\x01\x06\x02\x04\0バイバル{r2[しゅうりょう]}終了{/r2}です。
bdr001_ms_05	{c[ffdc0f]}バルーン{c[ffffff]}を{r2[わ]}割{/r2}ったら\r\n\x0e\x01\x06\x02\n\0ミ\x0e\x01\x06\x02\x04\0ニゲーム！
bdr001_ms_34	ミニゲームのランクによって\r\n\x0e\x01\x06\x02\n\0{r2[のこ]}残{/r2}\x0e\x01\x06\x02\x04\0り{r2[じかん]}時間{/r2}が{r2[おお]}大{/r2}きく{r2[ふ]}増{/r2}えます！
bdr001_ms_09	サバイバルのコツは\r\n\x0e\x01\x06\x02\n\0{c[ffdc0f]}{r2[きょう]}協{/r2}\x0e\x01\x06\x02\x04\0{r2[りょく]}力{/r2}すること{c[ffffff]}です！
bdr001_ms_10	{r2[こころ]}心{/r2}を{r2[ひと]}一{/r2}つに、\x0e\x01\x06\x02\n\0が\x0e\x01\x06\x02\x04\0んばってください！！
bdr001_ms_11	そう！ \x0e\x01\x06\x02\n\0そ\x0e\x01\x06\x02\x04\0の{r2[ちょうし]}調子{/r2}です！
bdr001_ms_14	おっと、\x0e\x01\x06\x02\n\0{r2[いき]}息{/r2}\x0e\x01\x06\x02\x04\0が{r2[あ]}合{/r2}いませんでしたね…。
bdr001_ms_18	でも、\x0e\x01\x06\x02\n\0こ\x0e\x01\x06\x02\x04\0こから{r2[さき]}先{/r2}は、\r\n\x0e\x01\x06\x02\n\0{r2[こえ]}声{/r2}\x0e\x01\x06\x02\x04\0の かけあいも{r2[だいじ]}大事{/r2}ですよ！
bdr001_ms_17	あ！ \x0e\x01\x06\x02\n\0ス\x0e\x01\x06\x02\x04\0タートラインが\r\n\x0e\x01\x06\x02\n\0{r2[ちか]}近{/r2}\x0e\x01\x06\x02\x04\0づいてきましたよ！
bdr001_ms_12	{c[ffdc0f]}レッツ サバイバル！！{c[ffffff]}
bdr001_result_01	[0]m
bdr001_gm_01	こいで、{r2[きょだい]}巨大{/r2}ゲッソーから{r2[に]}逃{/r2}げろ！
bdr001_m_map00	[0]m
bdr001_result01	おわる
bdr001_ct_a01	はじまりのリバー
bdr001_ct_b01	{r2[たき]}滝{/r2}まっさかさま
bdr001_ct_b02	{r2[きけん]}危険{/r2}なプクプク
bdr001_ct_c01	デコボコ{r2[がわ]}川{/r2}を{r2[か]}駆{/r2}け{r2[お]}下{/r2}りて
bdr001_ct_c02	ホップ! ステップ!! バルーン!!!
bdr001_ct_c03	ハイスピードラフティング
bdr001_ct_d01	{r2[と]}飛{/r2}び{r2[は]}跳{/r2}ねるボート
bdr001_ct_d02	{r2[いっすん]}一寸{/r2}{r2[さき]}先{/r2}は{r2[いわ]}岩{/r2}
bdr001_ct_d03	ゲッソーの{r2[す]}棲{/r2}み{r2[か]}家{/r2}
bdr001_ct_d04	{r2[きゅうりゅう]}急流{/r2}の{r2[ほそみち]}細道{/r2}
bdr001_ct_e01	{r2[かげ]}影{/r2}{r2[ひそ]}潜{/r2}むデコボコ{r2[がわ]}川{/r2}
bdr001_ct_e02	{r2[きょだい]}巨大{/r2}なヌシ
bdr001_ct_e03	{r2[まほう]}魔法{/r2}{r2[つか]}使{/r2}いカメック
bdr001_ct_e04	もっと{r2[きけん]}危険{/r2}なプクプク
