00_glossary.msbt
01_msg_with_voice.msbt
mng_cmn_go	Go！
credit_name_03_15	Ayumu Kawashiro
credit_name_03_16	Hideki Izumi
credit_name_03_17	Yuka Murata
credit_name_03_18	Hiroshi Kurimoto
credit_name_03_19	Shigeyasu Ohashi
credit_name_03_20	Yukako Kawauchi
credit_name_03_21	Ryota Saruwatari
credit_name_03_22	Hiroshi Nosaka
credit_name_03_23	Norihito Shima
credit_name_04_00	Yuhei Tsukami
credit_name_05_00	Akira Matsumoto
credit_name_05_01	Haruhiko Tanuma
credit_name_06_00	Masayuki Shinohara
credit_name_06_01	Yuki Konno
credit_name_06_02	Hisashi Yoshida
credit_name_06_03	Tatsuo Yamajiri
credit_name_06_04	Shinichi Hiramori
credit_name_06_05	Yuya Kumagai
credit_name_06_06	Kentaro Tanaka
credit_name_06_07	Shinji Shibasaki
credit_name_06_08	Satoshi Ezaki
credit_name_06_09	Takuya Fujimoto
credit_name_06_10	Momoka Kanaya
credit_name_06_11	Izumi Fukuda
credit_name_06_12	Takashi Iwanaga
credit_name_06_13	Kenji Oohira
credit_name_06_14	Tadao Shoyama
credit_name_06_15	Akihiro Terada
credit_name_06_16	Yasutaka Ikeda
credit_name_06_17	Norihumi Hira
credit_name_06_18	Tomoaki Tanaka
credit_name_06_19	Daizo Yamauchi
credit_name_06_20	Nobuya Wada
credit_name_06_21	Kana Mizota
credit_name_06_22	Takahiro Matsumoto
credit_name_06_23	Sayaka Fukuyama
credit_name_06_24	Hikaru Hino
credit_name_06_25	Souichiro Yamamoto
credit_name_06_26	Satoshi Sakaguchi
credit_name_06_27	Hiroyuki Watanabe
credit_name_06_28	Aya Yoshii
credit_name_06_29	Takanori Kikuchi
credit_name_06_30	Takeshi Kawamoto
credit_name_06_31	Tsutomu Kawamoto
credit_name_06_32	Takanori Ode
credit_name_06_33	Takayuki Hayase
credit_name_06_34	Kazuki Tashiro
credit_name_06_35	Tetsuya Kimura
credit_name_06_36	Atsushi Hamada
credit_name_06_37	Yukihiko Tani
credit_name_07_00	Keisuke Kasahara
credit_name_08_00	Takamitsu Manabe
credit_name_08_01	Masahiko Yamada
credit_name_08_02	Tomoaki Watanabe
credit_name_08_03	Saori Yamashita
credit_name_08_04	Takahiro Karino
credit_name_08_05	Masayuki Tsuboi
credit_name_08_06	Masami Kodaira
credit_name_09_00	Shunsaku Yamamoto
credit_name_09_01	Kazuhisa Okamoto
credit_name_09_02	Seiya Yuasa
credit_name_09_03	Ami Matsuda
credit_name_09_04	Toshifumi Sekijima
credit_name_09_05	Kazuaki Henmi
credit_name_09_06	Hayato Ogawa
credit_name_09_07	Huichung Lee
credit_name_09_08	Takuya Funaki
credit_name_09_09	Masayasu Ban
credit_name_09_10	Nana Tanaka
credit_name_09_11	Shizuka Abe
credit_name_09_12	Mari Inomata
credit_name_09_13	Tsuyoshi Mizuguchi
credit_name_09_14	Arata Kobayashi
credit_name_09_15	Tsukasa Tanaka
credit_name_09_16	Mikio Kita
credit_name_09_17	Keisuke Izaki
credit_name_09_18	Yasuhiro Ando
credit_name_09_19	Yoshinori Ikeshita
credit_name_09_20	Hideki Morinaga
credit_name_09_21	Yurie Ito
credit_name_09_22	Takuya Tawaratsumida
credit_name_09_23	Shohei Higashi
credit_name_09_24	Shinsuke Miyazaki
credit_name_09_25	Sho Nakamura
credit_name_09_26	Saki Watanabe
credit_name_09_27	Miki Kita
credit_name_09_28	Akira Mizoguchi
credit_name_09_29	Shouichi Kawamura
credit_name_09_30	Yumi Futagawa
credit_name_09_31	Senei Sou
credit_name_09_32	Tadashi Miura
credit_name_09_33	Keisuke Yonaha
credit_name_09_34	Yoshinori Hirai
credit_name_09_35	Arisa Kurosu
credit_name_09_36	Shiori Teramoto
credit_name_09_37	Yuka Shimazaki
credit_name_09_38	Takumi Akiyama
credit_name_09_39	Motoi Tashiro
credit_name_09_40	Risa Takei
credit_name_09_41	Ryoichi Okayama
credit_name_09_42	Chika Kawase
credit_name_09_43	Sumihiro Kawai
credit_name_09_44	Kazuhiro Nagata
credit_name_09_45	Takanori Goto
credit_name_09_46	Hiroaki Miura
credit_name_09_47	Takaya Iwamoto
credit_name_09_48	Shun Matsumoto
credit_name_09_49	Mizuki Hasegawa
credit_name_09_50	Mizuki Tachi
credit_name_09_51	Mayuko Muramatsu
credit_name_09_52	Mu Ueno
credit_name_09_53	Ryo Yoshida
credit_name_09_54	Ryo Tsukagoshi
credit_name_09_55	Kentaro Narimatsu
credit_name_09_56	Yusuke Hashimoto
credit_name_09_57	Yuki Nonaka
credit_name_09_58	Manabu Konno
credit_name_09_59	Sachiko Matsui
credit_name_09_60	Hiroki Maeda
credit_name_09_61	Yohei Fujimoto
credit_name_09_62	Yasutaka Nozawa
credit_name_09_63	Yu Yamaguchi
credit_name_09_64	Yurai Matsui
credit_name_09_65	Shiu Kan
credit_name_09_66	Kaoru Akimoto
credit_name_09_67	Takayoshi Matsuo
credit_name_09_68	Yoshinori Higaki
credit_name_09_69	Kaishi Yamamura
credit_name_09_70	Shoki Takada
credit_name_09_71	Yuki Tomo
credit_name_09_72	Yuki Kinoshita
credit_name_09_73	Keisuke Hayashi
credit_name_09_74	Tomoka Sukegawa
credit_name_09_75	Masaya Sakuma
credit_name_09_76	Qifeng Zheng
credit_name_09_77	Nagisa Morimoto
credit_name_09_78	Kiyoiku Kanematsu
credit_name_09_79	Itchiku Miyamoto
credit_name_10_00	Hiroyuki Tsuboguchi
credit_name_11_00	Yuhki Mori
credit_name_11_01	Ichiro Shimakura
credit_name_11_02	Takahiro Nagano
credit_name_12_00	Chamy Ishi
credit_name_13_00	Toshiki Aida
credit_name_13_01	Satoshi Okubo
credit_name_13_02	Naruki Kadosaka
credit_name_14_00	Tomomitsu Matsushita
credit_name_14_01	Kotaro Baba
credit_name_14_02	Shohei Niigawa
credit_name_14_03	Taisuke Kobayashi
credit_name_15_00	Koji Kondo
credit_name_15_01	Ryoji Yoshitomi
credit_name_15_02	Megumi Inoue
credit_name_16_00	Charles Martinet
credit_name_16_01	Sam Kelly
credit_name_16_02	Deanna Mustard
credit_name_16_03	Laura Faye Smith
credit_name_16_04	Kenny James
credit_name_16_05	Caety Sagoian
credit_name_16_06	Kazumi Totaka
credit_name_16_07	Takashi Nagasako
credit_name_16_08	Katsumi Suzuki
credit_name_16_09	Motoki Takagi
credit_name_16_10	Nate Bihldorff
credit_name_16_11	Sanae Uchida
credit_name_16_12	Haruka Kakinuma
credit_name_16_13	Atsushi Masaki
credit_name_16_14	Tadd Morgan
credit_name_16_15	Masafumi Kawamura
credit_name_16_16	Ryo Nagamatsu
credit_name_16_17	Hirohito Shinoda
credit_name_16_18	Yuki Tsuji
credit_name_16_19	Shigetoshi Gohara
credit_name_17_00	Dutch Hixenbaugh
credit_name_17_01	Josée Lebeau-Bédard
credit_name_17_02	Cristina Pohlenz Garcia
credit_name_17_03	Samantha Robertson
credit_name_17_04	Thaddée Wiseur
credit_name_17_05	Sabrina Jouillat
credit_name_17_06	Kent Robello
credit_name_17_07	Sebastian Schürg
credit_name_17_08	Álex Hernández-Puertas
credit_name_17_09	Carsten Harmans
credit_name_17_10	Victoria Valeria Becker
credit_name_18_00	Kanae Dohta
credit_name_19_00	Kazue Ohara
credit_name_19_01	Ryusuke Yoshida
credit_name_19_02	Shigehisa Nakaue
credit_name_19_03	Yuri Adachi
credit_name_19_04	Takumi Wada
credit_name_19_05	Yu Yamamoto
credit_name_20_00	Nanako Tokuno
credit_name_21_00	Toru Inage
credit_name_22_00	Nate Bihldorff
credit_name_22_01	Reiko Ninomiya
credit_name_22_02	Rich Amtower
credit_name_22_03	Ann Lin
credit_name_22_04	Tim O'Leary
credit_name_22_05	Scot Ritchey
credit_name_23_00	Lauren Ammerman
credit_name_23_01	Michael Benedetto
credit_name_23_02	Billy Carroll
credit_name_23_03	Rich Comegys
credit_name_23_04	Owen Cooney
credit_name_23_05	Marjolaine Drouin
credit_name_23_06	Robert Heiret
credit_name_23_07	Lars Knudson
credit_name_23_08	Nich Maragos
credit_name_23_09	Morgan Ritchie
credit_name_23_10	Elina Sánchez
credit_name_24_00	Nicko Gonzalez De Santiago
credit_name_24_01	Sara Hoad
credit_name_24_02	Veronica Reyes
credit_name_24_03	Paloma Hernandez
credit_name_24_04	Ludovic Tientcheu
credit_name_24_05	Josée Lebeau-Bédard
credit_name_24_06	Morel Takougang
credit_name_25_00	Patrick Thorenz
credit_name_25_01	Saskia Doorschodt
credit_name_25_02	Kevin Murray
credit_name_25_03	Ryoko Sawabe
credit_name_26_00	Roby Liebetruth
credit_name_26_01	Martina Leonor Bassani
credit_name_26_02	John Mullen
credit_name_26_03	Jo Legge
credit_name_26_04	Gurvan Le Guen
credit_name_26_05	Sabrina Jouillat
credit_name_26_06	Emmanuel Adien
credit_name_26_07	Florence d'Anterroches
credit_name_26_08	Alessandro Pagano
credit_name_26_09	Mirko Capocelli
credit_name_26_10	Tito Leati
credit_name_26_11	Frithjof Koepp
credit_name_26_12	Jessica Morandi
credit_name_26_13	Sascha Weinard
credit_name_26_14	Arne Glinka
credit_name_26_15	Ariel del Rio de Angelis
credit_name_26_16	Elizabeth Sánchez León
credit_name_26_17	Sara Sainz Nieto
credit_name_26_18	José Manuel Malagón León
credit_name_26_19	Jónatan Marcos Millán
credit_name_26_20	Marijke Pustjens
credit_name_26_21	Mark Hoefsteders
credit_name_26_22	Thomas den Haan
credit_name_26_23	Carsten Harmans
credit_name_26_24	Victoria Valeria Becker
credit_name_26_25	Tatiana Dornbusch
credit_name_26_26	Elsa Jödicke
credit_name_26_27	Localsoft, S.L.
credit_name_27_00	Jeanie Ho
credit_name_27_01	Monica Lai
credit_name_27_02	Claudia Chan
credit_name_27_03	Pole To Win Taiwan
credit_name_28_00	Mike Kan
credit_name_29_00	Keisuke Fukushima
credit_name_29_01	Qiu Xiaochun
credit_name_29_02	Ling Yayun
credit_name_29_03	Zhang Jiong
credit_name_29_04	Pole To Win Shanghai Co., Ltd.
credit_name_30_00	Hyokjin Jung
credit_name_30_01	Soonil Kim
credit_name_30_02	Narae Won
credit_name_30_03	Dongyeon Kim
credit_name_30_04	Eodo Lee
credit_name_30_05	Kyoungim Na
credit_name_30_06	Pole To Win Korea Co., Ltd.
credit_name_31_00	Inseon Song
credit_name_31_01	Suzy Do
credit_name_32_00	Tsuyoshi Komura
credit_name_32_01	Tohru Takahashi
credit_name_32_02	Nobuya Sasaki
credit_name_32_03	Kanta Yokota
credit_name_32_04	Tomohiro Hirao
credit_name_32_05	Noriko Fujimatsu
credit_name_32_06	Hideaki Fukushima
credit_name_32_07	Mami Koguchi
credit_name_32_08	Mitsutoshi Asai
credit_name_32_09	Emika Yamamoto
credit_name_32_10	Mario Club Co., Ltd.
credit_name_32_11	Shinpei Otowa
credit_name_32_12	Soma Kitakoji
credit_name_32_13	Shota Inagaki
credit_name_32_14	Risa Miyata
credit_name_32_15	Toru Moritani
credit_name_32_16	DIGITAL HEARTS Co.,Ltd.
credit_name_33_00	Kentaro Nishimura
credit_name_33_01	Kirk Buchanan
credit_name_33_02	Q Dequina
credit_name_33_03	Tomoko Mikami
credit_name_33_04	Ryan Dean
credit_name_33_05	James Dillon
credit_name_33_06	Daijiro Imoto
credit_name_33_07	Kathy Huguenard
credit_name_33_08	Douglas Lynn
credit_name_33_09	Paul Gardner
credit_name_33_10	Micah Kenworthy
credit_name_33_11	Kaitlynn Ham
credit_name_33_12	Product Testing Technicians
credit_name_34_00	J. Ignacio León López
credit_name_34_01	Wolfgang Weber
credit_name_34_02	Jérôme Petit
credit_name_34_03	Yannick Simonklein
credit_name_34_04	Stéphane Zussy
credit_name_34_05	Gabriele Cuscino
credit_name_34_06	Sandra Pommer
credit_name_34_07	Hannah Siebert
credit_name_34_08	Zoran Tasevski
credit_name_34_09	Daniel Picazo Millán
credit_name_34_10	Keywords Studios
credit_name_35_00	Takayasu Morisawa
credit_name_35_01	Takumi Kawagoe
credit_name_35_02	Tomoe Aratani
credit_name_35_03	Team Cococii
credit_name_35_04	Jeff Miller
credit_name_35_05	Hideki Sahashi
credit_name_35_06	Osamu Tsuchihashi
credit_name_35_07	Osamu Tsujikawa
credit_name_35_08	Shigeru Okita
credit_name_35_09	Hisao Hasunuma
credit_name_35_10	Mitsuo Hasunuma
credit_name_35_11	Noriyuki Saeki
credit_name_35_12	Tatsuo Masuda
credit_name_35_13	Hirotaka Nakayama
credit_name_35_14	Jun Arai
credit_name_35_15	Shinobu Kojima
credit_name_35_16	Kei Yonezuka
credit_name_35_17	Makoto Suda
credit_name_35_18	Kazuhisa Tomita
credit_name_35_19	CA PRODUCTION Co.,Ltd.
credit_name_35_20	WILL Co.,Ltd.
credit_name_35_21	SmileBoom Co.Ltd.
credit_name_35_22	Magnum enter Co.,Ltd.
credit_name_35_23	T's MUSIC Co.,Ltd.
credit_name_36_00	Miyuki Hirose
credit_name_36_01	Yoshinori Tsuchiyama
credit_name_36_02	Misaki Hiraga
credit_name_37_00	Kazuyuki Gofuku
credit_name_38_00	Yoshiaki Onishi 
credit_name_39_00	Atsushi Ikeda
credit_name_39_01	Kenji Kikuchi
credit_name_39_02	Toshiaki Suzuki
credit_name_39_03	Toyokazu Nonaka
credit_name_39_04	Keisuke Terasaki
credit_name_40_00	Shinya Takahashi
credit_name_41_00	Hidetoshi Endo
credit_name_41_01	Tatsumi Kimishima
bdcn001_msg.msbt
bdcn001_mginter002	加速！
bdcn_mgname_001	[mg0]
mgcn401_guide001	抽出来！
mgcn402_guide001	跳跃顶！
mgcn403_guide001	刺过去！
mgcn404_guide001	举画板！
mgcn405_guide001	摆姿势！
mgcn406_guide001	敲下去！
mgcn407_guide001	打回去！
mgcn408_guide001	用力擦！
mgcn409_guide001	走起来！
mgcn410_guide001	拉缰绳！
bdcn001_hit02	快了
bdcn001_hit03	慢了
bdcn001_hit01	{c[ffdc0f]}时机绝佳{c[001e14]}
bdcn001_demo_001	跟着节拍举手！
bdcn001_pccall_001	{c[ffdc0f]}[n0]{c[ffffff]}，\x0e\x01\x06\x02\n\0准\x0e\x01\x06\x02\x04\0备好了吗？
bdcn001_pccall_002	{c[ffdc0f]}[n0]{c[ffffff]}呢？
bdcn001_pccall_003	{c[ffdc0f]}[n0]{c[ffffff]}？
bdcn001_pccall_004	{c[ffdc0f]}[n0]{c[ffffff]}！
bdcn001_opmc_002	{c[ffdc0f]}让我们为这最～棒的舞台击掌吧！{c[ffffff]}
bdcn001_mc_001	今天也是座无虚席！
bdcn001_mc_002	快到演出的时间了哦！
bdcn001_result_001	这次的表演
bdcn001_result_002	合计
bdcn001_result_003	标准
bdcn001_result_004	混音
bdcn001_result_005	困难
bdcn001_result_006	成为节拍王
bdcn001_result_perc000	[0].[1]%
bdcn_result_pos001	[0]
bdcn_result_total001	[0]
bdcn_result_total002	[0]
bdcn001_resmoni_000	最佳表演者\r\n揭晓！
bdcn001_resmoni_000_p	最佳表演者\r\n揭晓！
bdcn001_resmoni_001	最佳表演者\r\n空缺
bdcn001_cdown_000	START!
bdcn001_cdown_001	1
bdcn001_cdown_002	2
bdcn001_cdown_003	3
mgcn401_cdown_000	[0]
mgcn409_tlp_001	走起来
mgcn409_tlp_002	停止
bdcn001_levelmess_000	{c[ffdc0f]}[n0]{c[ffffff]}，\x0e\x01\x06\x02\n\0这\x0e\x01\x06\x02\x04\0次表演\r\n\x0e\x01\x06\x02\n\0要\x0e\x01\x06\x02\x04\0选择怎样的舞台？
bdcn001_levelmess_001	{c[ffdc0f]}[n0]{c[ffffff]}，\x0e\x01\x06\x02\n\0这\x0e\x01\x06\x02\x04\0次表演\r\n\x0e\x01\x06\x02\n\0要\x0e\x01\x06\x02\x04\0选择怎样的舞台？
bdcn001_levelmess_002	{c[ffdc0f]}[n0]{c[ffffff]}，\r\n\x0e\x01\x06\x02\x1e\0接\x0e\x01\x06\x02\x04\0下来要如何选择？
bdcn001_level_000	标准
bdcn001_level_001	混音
bdcn001_level_002	困难
bdr001_msg.msbt
bdr001_tlp_06	时间延长！
bdr001_sys_01	时间延长！
bdr001_st_02	3
bdr001_st_03	2
bdr001_st_04	1
bdr001_st_05	GO!
bdr001_ms_00	探险队的各位！\r\n\x0e\x01\x06\x02\x1e\0欢\x0e\x01\x06\x02\x04\0迎来到{c[ffdc0f]}河川生存战{c[ffffff]}！
bdr001_ms_20	大家是第一次来到\r\n\x0e\x01\x06\x02\n\0这\x0e\x01\x06\x02\x04\0片丛林吗？
bdr001_ms_21	是
bdr001_ms_22	否
bdr001_ms_23	这里是个历史悠久的地方，\r\n许多探险队都曾从这里出发。
bdr001_ms_24	缓缓流淌的河水和充满负离子的清新空气，\r\n\x0e\x01\x06\x02\n\0真\x0e\x01\x06\x02\x04\0是让人的内心都平静下来了呢。
bdr001_ms_35	{c[ffdc0f]}但是！！{c[ffffff]}
bdr001_ms_25	这里可不是一直\r\n\x0e\x01\x06\x02\n\0都\x0e\x01\x06\x02\x04\0是这种状态。
bdr001_ms_26	这前方有着急流，\r\n\x0e\x01\x06\x02\n\0巨\x0e\x01\x06\x02\x04\0大的岩石……
bdr001_ms_27	还有从未见过的生物等等，\r\n\x0e\x01\x06\x02\n\0{c[ffdc0f]}充\x0e\x01\x06\x02\x04\0斥着危险{c[ffffff]}！！
bdr001_ms_29	哎、\x0e\x01\x06\x02\n\0哎\x0e\x01\x06\x02\x04\0呀～\r\n\x0e\x01\x06\x02\x1e\0多\x0e\x01\x06\x02\x04\0么可怕的地方啊！！
bdr001_ms_30	咳、\x0e\x01\x06\x02\n\0咳\x0e\x01\x06\x02\x04\0。
bdr001_ms_31	另外，这条河川会在\r\n前方出现分支。
bdr001_ms_32	这前方究竟有何蹊跷，\r\n我们也还在调查中。
bdr001_ms_33	请大家\x0e\x01\x06\x02\n\0同\x0e\x01\x06\x02\x04\0心协力，\r\n\x0e\x01\x06\x02\n\0一\x0e\x01\x06\x02\x04\0定要{c[ffdc0f]}生存{c[ffffff]}下去！
bdr001_ms_15	话说回来，大家清楚\r\n\x0e\x01\x06\x02\n\0这\x0e\x01\x06\x02\x04\0条河川的规则吗？
bdr001_ms_19	要听规则说明吗？
bdr001_ms_02	听
bdr001_ms_03	不听
bdr001_ms_04	使用船桨划船。
bdr001_ms_06	限制时间一到，\r\n\x0e\x01\x06\x02\n\0生\x0e\x01\x06\x02\x04\0存战就会宣告结束。
bdr001_ms_05	撞破{c[ffdc0f]}气球{c[ffffff]}的话，\r\n\x0e\x01\x06\x02\n\0就\x0e\x01\x06\x02\x04\0会开始小游戏！
bdr001_ms_34	根据小游戏的达成等级，\r\n\x0e\x01\x06\x02\n\0剩\x0e\x01\x06\x02\x04\0余时间会大幅增加！
bdr001_ms_09	生存战的要领，\r\n\x0e\x01\x06\x02\n\0就\x0e\x01\x06\x02\x04\0是{c[ffdc0f]}同心协力{c[ffffff]}！
bdr001_ms_10	大家团结一心，\x0e\x01\x06\x02\n\0一\x0e\x01\x06\x02\x04\0起加油吧！！
bdr001_ms_11	没错！\x0e\x01\x06\x02\n\0就\x0e\x01\x06\x02\x04\0是这个感觉！
bdr001_ms_14	啊呀呀，\x0e\x01\x06\x02\n\0没\x0e\x01\x06\x02\x04\0有配合好呢……
bdr001_ms_18	不过，接下来的路途中，\r\n彼此沟通也是十分重要的哦！
bdr001_ms_17	啊！\r\n\x0e\x01\x06\x02\n\0就\x0e\x01\x06\x02\x04\0快到起点线了！
bdr001_ms_12	{c[ffdc0f]}生存战开始啦！！{c[ffffff]}
bdr001_result_01	[0]m
bdr001_gm_01	用力划桨，逃离巨大鱿鱿！
bdr001_m_map00	[0]m
bdr001_result01	结束
bdr001_ct_a01	初始河川
bdr001_ct_b01	俯冲瀑布
bdr001_ct_b02	危险的泡泡鱼
bdr001_ct_c01	冲下凹凸不平河川
bdr001_ct_c02	蹦跳！跨跳！！气球！！！
bdr001_ct_c03	极速泛舟
bdr001_ct_d01	飞跃的小船
bdr001_ct_d02	前有岩石
bdr001_ct_d03	鱿鱿的栖息地
bdr001_ct_d04	狭窄的急流
bdr001_ct_e01	潜藏危机的凹凸不平河川
bdr001_ct_e02	河川巨怪
bdr001_ct_e03	施展魔法的卡美克
bdr001_ct_e04	加倍危险的泡泡鱼
bdr001_ct_e05	朝着丛林的那一边……
bdr001_re_01	成绩
bdr001_re_02	通过的路线
bdr001_re_03	详细
bdr001_re_04	通过的路线
bdr001_re_05	详细
bdr001_re_06	划桨次数
bdr001_re_07	[0]次
bdr001_re_08	取得的气球
bdr001_re_09	1
bdr001_re_10	2
bdr001_re_11	3
bdr001_re_12	4
bdr001_re_13	5
bdr001_re_14	[0]/[1]/[2]
bdr001_re_15	[0]/[1]/[2]
bdr001_re_16	放大
bdr001_re_17	俯冲瀑布
bdr001_re_18	俯冲瀑布
bdr001_re_19	朝着丛林的那一边……
bdr001_re_20	朝着丛林的那一边……
bdr001_pata_tl	有只拿着相机的飞行龟哦！
bdr001_re_21	？
bdr001_pata_tl_2	请飞行龟帮忙拍照吧！
bds001_cmn_terms.msbt
bds001_stg00_01	砰砰的骨牌遗迹
bds001_stg00_01_w	骨牌遗迹的宝箱
bds001_stg00_02	炸弹王的危险矿山
bds001_stg00_02_w	矿山的淘金热
bds001_stg00_03	发现巨大水果的岛屿！
bds001_stg00_03_w	巨大西瓜的星星
bds001_stg00_04	卡美克的华丽塔楼
bds001_stg00_04_w	华丽塔楼的扭蛋机
bds001_itm00	冲刺蘑菇
bds001_itm01	强力冲刺蘑菇
bds001_itm02	毒蘑菇
bds001_itm03	抢劫龙卷风
bds001_itm04	超级抢劫龙卷风
bds001_itm05	金水管
bds001_itm06	传送箱
bds001_itm07	2倍卡
bds001_itm08	决斗手套
bds001_itm12	支持电话
bds001_itm13	黄金饮料
bds001_itm14	螺旋桨嘿虎券
bds001_itm15	不害羞幽灵铃铛
bds001_itm17	隐藏砖块卡
bds001_itm18	恰恰好骰子
bds001_itm19	宝箱钥匙
bds001_itm20	银之叉子
bds001_itm21	十字镐
bds001_itm22	门扉钥匙
bds001_itm23	扭蛋券
bds001_dice01	马力欧骰子
bds001_dice02	路易吉骰子
bds001_dice03	桃花公主骰子
bds001_dice04	菊花公主骰子
bds001_dice05	瓦力欧骰子
bds001_dice06	瓦路易吉骰子
bds001_dice07	耀西骰子
bds001_dice10	迪迪刚骰子
bds001_dice11	罗莎塔骰子
bds001_dice12	森喜刚骰子
bds001_dice50	酷霸王骰子
bds001_dice51	栗宝宝骰子
bds001_dice52	嘿虎骰子
bds001_dice53	慢慢龟骰子
bds001_dice54	黄鼹鼠骰子
bds001_dice55	碎碎龟骰子
bds001_dice56	酷霸王Jr.骰子
bds001_dice58	害羞幽灵骰子
bds001_dice59	铁锤兄弟骰子
bds001_dice60	碰碰骰子
bds001_dice00	标准骰子
bds001_msg.msbt
bds001_stgskp	/跳过
bds001_tmname	[n0]队
bds001_st1_100	欢迎光临！\r\n\x0e\x01\x06\x02\n\0这\x0e\x01\x06\x02\x04\0里是\x0e\x01\x06\x02\n\0{c[ffdc0f]}确\x0e\x01\x06\x02\x04\0认牵绊的丛林冒险{c[ffffff]}。
bds001_st1_101	大家是第一次{c[ffdc0f]}组队{c[ffffff]}\r\n\x0e\x01\x06\x02\n\0来\x0e\x01\x06\x02\x04\0到这个地方吗？
bds001_st1_101_a	是
bds001_st1_101_b	否
bds001_st1_102	在这个古代遗迹里，\x0e\x01\x06\x02\n\0似\x0e\x01\x06\x02\x04\0乎发现了\r\n\x0e\x01\x06\x02\n\0能\x0e\x01\x06\x02\x04\0够组队挑战的{c[ffdc0f]}新谜题{c[ffffff]}。
bds001_st1_103	可以使用钥匙打开的，\r\n\x0e\x01\x06\x02\n\0非\x0e\x01\x06\x02\x04\0～常{c[ffdc0f]}华丽的宝箱{c[ffffff]}……
